k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1e-07 6.71159 0.8657 0.03623 0.1706 0 0.0060348 0.019691 0.14466 425.65 58000 100 100 0.8631 0.037546 0.16221 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 1.375e-07 6.7116 0.8657 0.03623 0.16213 0 0.0026219 0.014921 0.14427 425.65 58000 100 100 0.8631 0.037546 0.16016 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 1.75e-07 6.7116 0.8657 0.03623 0.16142 0 0.0026437 0.014796 0.14369 425.65 58000 100 100 0.8631 0.037546 0.16007 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 2.5e-07 6.7116 0.8657 0.03623 0.16145 0 0.0026351 0.014867 0.14365 425.65 58000 100 100 0.8631 0.037546 0.16017 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 3.75e-07 6.7116 0.8657 0.03623 0.16213 0 0.0026462 0.01496 0.14422 425.65 58000 100 100 0.8631 0.037546 0.16066 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 5e-07 6.7116 0.8657 0.03623 0.16123 0 0.0026341 0.014699 0.1436 425.65 58000 100 100 0.8631 0.037546 0.15991 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 7.5e-07 6.7116 0.8657 0.03623 0.16121 0 0.0026792 0.014768 0.14347 425.65 58000 100 100 0.8631 0.037546 0.15978 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 1e-06 6.7116 0.8657 0.03623 0.16115 0 0.0026269 0.014732 0.1435 425.65 58000 100 100 0.8631 0.037546 0.16002 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 1.375e-06 6.7116 0.8657 0.03623 0.16132 0 0.0026455 0.014848 0.14354 425.65 58000 100 100 0.8631 0.037546 0.16213 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 1.75e-06 6.7116 0.8657 0.03623 0.16187 0 0.0032954 0.014698 0.14357 425.65 58000 100 100 0.8631 0.037546 0.15963 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 2.5e-06 6.7116 0.8657 0.03623 0.16367 0 0.0024871 0.016014 0.14488 425.65 58000 100 100 0.8631 0.037546 0.15911 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 3.75e-06 6.7116 0.8657 0.03623 0.16097 0 0.0024532 0.014892 0.14334 425.65 58000 100 100 0.8631 0.037546 0.16657 2 6 5 10 28 32 52 76 104 187 498 
10 5 12 0.036 10 1 5e-06 6.7116 0.8657 0.03623 0.16256 0 0.002503 0.01626 0.14349 425.65 58000 100 100 0.8631 0.037546 0.15938 2 6 5 10 28 32 52 76 104 187 498 
