k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 25 0.212284 0.6162 0.077895 0.18114 0.6089 0.079931 0.18457 18 47 54 82 93 104 124 103 113 120 142 
10 1 50 0.21228 0.6162 0.077895 0.18248 0.6089 0.079931 0.18535 18 47 54 82 93 104 124 103 113 120 142 
10 1 100 0.21228 0.6162 0.077895 0.18264 0.6089 0.079931 0.18618 18 47 54 82 93 104 124 103 113 120 142 
10 1 200 0.21228 0.6162 0.077895 0.18191 0.6089 0.079931 0.18941 18 47 54 82 93 104 124 103 113 120 142 
10 1 400 0.21228 0.6337 0.076871 0.19745 0.6279 0.07805 0.19937 15 45 48 75 88 100 126 104 115 125 159 
10 1 1000 0.21228 0.832 0.042859 0.4163 0.8327 0.040361 0.4207 0 6 10 21 32 46 72 96 115 171 431 
10 1 2000 0.21228 0.9401 0.013776 0.7869 0.9374 0.013835 0.75245 0 0 0 2 3 14 29 33 68 146 705 
10 1 4000 0.21228 0.9828 0.0031673 1.4072 0.9809 0.0045898 1.4088 0 0 0 0 0 0 5 10 27 68 890 
10 1 10000 0.21228 0.9978 0.00029546 3.4145 0.9986 0.00023828 3.406 0 0 0 0 0 0 0 0 4 14 982 
10 1 20000 0.21228 0.9999 1e-05 6.7467 0.9998 1.998e-05 6.7349 0 0 0 0 0 0 0 0 0 1 999 
10 1 40000 0.21228 1 0 13.105 1 0 12.935 0 0 0 0 0 0 0 0 0 0 1000 
10 1 100000 0.21228 1 0 17.572 1 0 17.485 0 0 0 0 0 0 0 0 0 0 1000 
10 1 200000 0.21228 1 0 17.562 1 0 17.492 0 0 0 0 0 0 0 0 0 0 1000 
10 1 400000 0.21228 1 0 17.556 1 0 17.495 0 0 0 0 0 0 0 0 0 0 1000 
10 5 25 0.677023 0.7714 0.056619 0.189 0.7694 0.05674 0.19213 5 10 27 26 48 65 100 100 141 153 325 
10 5 50 0.67702 0.7714 0.056619 0.28258 0.7694 0.05674 0.26409 5 10 27 26 48 65 100 100 141 153 325 
10 5 100 0.67702 0.7714 0.056619 0.28308 0.7694 0.05674 0.25316 5 10 27 26 48 65 100 100 141 153 325 
10 5 200 0.67702 0.7714 0.056619 0.25941 0.7694 0.05674 0.19316 5 10 27 26 48 65 100 100 141 153 325 
10 5 400 0.67702 0.7755 0.056146 0.1957 0.7773 0.05577 0.20691 5 10 26 26 46 64 95 101 140 156 331 
10 5 1000 0.67702 0.8784 0.029363 0.33586 0.8817 0.028604 0.34863 0 1 7 9 16 31 46 79 114 188 509 
10 5 2000 0.67702 0.9347 0.015421 0.52759 0.938 0.013409 0.52282 0 0 1 6 3 14 18 43 81 152 682 
10 5 4000 0.67702 0.9761 0.0051439 0.85453 0.9781 0.0048753 0.85717 0 0 0 0 1 4 4 20 27 83 861 
10 5 10000 0.67702 0.9968 0.00051027 1.8798 0.9972 0.00039255 1.8674 0 0 0 0 0 0 0 3 1 21 975 
10 5 20000 0.67702 0.9994 0.00011976 3.5251 0.9995 6.982e-05 3.4916 0 0 0 0 0 0 0 1 0 3 996 
10 5 40000 0.67702 1 0 6.5375 0.9999 1e-05 6.5274 0 0 0 0 0 0 0 0 0 0 1000 
10 5 100000 0.67702 1 0 13.919 1 0 13.97 0 0 0 0 0 0 0 0 0 0 1000 
10 5 200000 0.67702 1 0 23.497 1 0 23.457 0 0 0 0 0 0 0 0 0 0 1000 
10 5 400000 0.67702 1 0 29.121 1 0 33.686 0 0 0 0 0 0 0 0 0 0 1000 
10 10 25 1.2435 0.835 0.038473 0.19279 0.8339 0.0395 0.1974 1 5 8 12 27 53 65 99 135 193 402 
10 10 50 1.2435 0.835 0.038473 0.20162 0.8339 0.0395 0.20725 1 5 8 12 27 53 65 99 135 193 402 
10 10 100 1.2435 0.835 0.038473 0.29978 0.8339 0.0395 0.27268 1 5 8 12 27 53 65 99 135 193 402 
10 10 200 1.2435 0.835 0.038473 0.22638 0.8339 0.0395 0.22977 1 5 8 12 27 53 65 99 135 193 402 
10 10 400 1.2435 0.8397 0.037331 0.24001 0.841 0.037897 0.23857 0 5 8 11 27 51 63 97 129 199 410 
10 10 1000 1.2435 0.9222 0.016524 0.3867 0.9211 0.017502 0.39 0 0 3 1 7 14 27 41 104 196 607 
10 10 2000 1.2435 0.9601 0.008046 0.56573 0.9629 0.0077413 0.55718 0 0 0 1 2 8 5 26 43 156 759 
10 10 4000 1.2435 0.9826 0.0030203 0.75129 0.9857 0.0023078 0.76075 0 0 0 0 0 1 2 11 24 80 882 
10 10 10000 1.2435 0.9981 0.00022662 1.5148 0.998 0.00027628 1.5016 0 0 0 0 0 0 0 0 2 15 983 
10 10 20000 1.2435 0.9998 1.998e-05 2.7983 0.9996 3.988e-05 2.7613 0 0 0 0 0 0 0 0 0 2 998 
10 10 40000 1.2435 1 0 5.2101 1 0 5.1838 0 0 0 0 0 0 0 0 0 0 1000 
10 10 100000 1.2435 1 0 11.489 1 0 11.527 0 0 0 0 0 0 0 0 0 0 1000 
10 10 200000 1.2435 1 0 20.125 1 0 20.239 0 0 0 0 0 0 0 0 0 0 1000 
10 10 400000 1.2435 1 0 34.665 1 0 34.166 0 0 0 0 0 0 0 0 0 0 1000 
10 25 25 2.92888 0.8663 0.032727 0.21495 0.8718 0.032437 0.22305 0 6 3 10 23 34 52 77 122 198 475 
10 25 50 2.9289 0.8663 0.032727 0.21539 0.8718 0.032437 0.21603 0 6 3 10 23 34 52 77 122 198 475 
10 25 100 2.9289 0.8663 0.032727 0.21395 0.8718 0.032437 0.21817 0 6 3 10 23 34 52 77 122 198 475 
10 25 200 2.9289 0.8663 0.032727 0.21434 0.8718 0.032437 0.21591 0 6 3 10 23 34 52 77 122 198 475 
10 25 400 2.9289 0.8704 0.031435 0.21908 0.8759 0.0312 0.22147 0 6 3 8 21 31 54 73 126 194 484 
10 25 1000 2.9289 0.941 0.013292 0.34202 0.9361 0.014081 0.34795 0 0 3 2 4 9 16 33 72 176 685 
10 25 2000 2.9289 0.9671 0.0077553 0.48032 0.967 0.0068378 0.48483 0 0 1 2 3 4 5 17 41 116 811 
10 25 4000 2.9289 0.9852 0.0028638 0.6935 0.9849 0.0028849 0.69953 0 0 0 0 0 3 3 5 17 72 900 
10 25 10000 2.9289 0.995 0.00075576 1.2203 0.9967 0.00041953 1.2378 0 0 0 0 0 0 1 1 5 33 960 
