k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 4 100 10 1.09843 0.5817 0.11893 0.042863 0.5913 0.11957 0.042225 161 35 39 36 44 60 89 99 154 169 114 
10 4 100 20 1.0984 0.8006 0.08076 0.070865 0.7802 0.089938 0.071015 63 12 8 14 22 32 44 73 107 193 432 
10 4 100 40 1.0984 0.9158 0.034345 0.10891 0.9175 0.034638 0.11388 24 0 2 4 2 13 19 31 62 188 655 
10 4 100 60 1.0984 0.9501 0.01958 0.15241 0.9494 0.019839 0.15396 11 1 3 1 2 4 6 25 36 146 765 
10 4 100 80 1.0984 0.9628 0.01391 0.18833 0.9633 0.012756 0.19128 7 0 1 2 2 4 7 17 30 109 821 
10 4 100 100 1.0984 0.9717 0.008858 0.22616 0.9737 0.0070253 0.22987 4 0 1 0 0 3 5 16 25 102 844 
10 4 100 120 1.0984 0.9744 0.0080327 0.26424 0.9792 0.0053928 0.26515 3 1 1 0 0 2 3 15 24 94 857 
10 4 100 200 1.0984 0.9832 0.0033411 0.41907 0.9855 0.0031229 0.42127 0 0 1 0 0 1 2 9 20 80 887 
10 4 100 400 1.0984 0.987 0.0021131 0.86009 0.9892 0.0018052 0.84772 0 0 0 0 0 1 1 5 18 70 905 
10 4 100 600 1.0984 0.9893 0.0016772 1.3476 0.99 0.0016817 1.3682 0 0 0 0 0 1 1 2 14 64 918 
10 4 100 800 1.0984 0.9897 0.0015254 1.9626 0.9911 0.0013922 2.0118 0 0 0 0 0 0 2 2 12 65 919 
10 4 100 1000 1.0984 0.9901 0.0014534 2.7032 0.9916 0.0012907 2.7142 0 0 0 0 0 0 2 2 10 65 921 
10 4 100 1200 1.0984 0.9903 0.0014373 3.522 0.9916 0.0012907 3.5313 0 0 0 0 0 0 2 2 10 63 923 
10 4 100 1500 1.0984 0.9905 0.0013811 4.9315 0.9922 0.0011603 4.9541 0 0 0 0 0 0 2 1 11 62 924 
10 4 100 2000 1.0984 0.991 0.0013203 7.7162 0.9922 0.0011603 7.8018 0 0 0 0 0 0 2 1 10 59 928 
10 4 500 10 3.30981 0.5883 0.11731 0.04674 0.6024 0.11471 0.047617 156 33 35 39 45 59 91 104 146 174 118 
