k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 1 5.86717 0.3262 0.033267 0.25159 0.3247 0.032212 0.24247 58 125 174 197 210 116 77 31 9 3 0 
10 1 2 5.8672 0.4201 0.051898 0.24483 0.4206 0.052348 0.2551 41 86 124 148 169 145 109 102 41 24 11 
10 1 3 5.8672 0.4561 0.060784 0.2802 0.4541 0.060143 0.27845 39 75 112 129 155 147 111 90 77 42 23 
10 1 4 5.8672 0.4703 0.064472 0.27355 0.4681 0.063616 0.27017 36 72 112 119 152 149 106 89 81 50 34 
10 1 5 5.8672 0.4752 0.065971 0.26039 0.4744 0.06583 0.27221 35 71 112 117 155 139 111 83 88 50 39 
10 1 8 5.8672 0.4805 0.067477 0.26576 0.4794 0.067763 0.26469 34 72 109 115 153 139 106 90 87 49 46 
10 1 10 5.8672 0.4811 0.067801 0.27148 0.4797 0.067946 0.26948 34 72 109 115 153 139 103 93 84 52 46 
10 1 12 5.8672 0.4811 0.067801 0.2697 0.4798 0.06798 0.26975 34 72 109 115 153 139 103 93 84 52 46 
10 1 20 5.8672 0.4814 0.067942 0.27358 0.4798 0.06798 0.27127 34 72 109 115 153 139 102 92 86 52 46 
10 1 25 5.8672 0.4814 0.067942 0.27628 0.4798 0.06798 0.27626 34 72 109 115 153 139 102 92 86 52 46 
10 1 50 5.8672 0.4814 0.067942 0.28236 0.4798 0.06798 0.28967 34 72 109 115 153 139 102 92 86 52 46 
10 1 75 5.8672 0.4814 0.067942 0.29024 0.4798 0.06798 0.29186 34 72 109 115 153 139 102 92 86 52 46 
10 1 100 5.8672 0.4814 0.067942 0.29548 0.4798 0.06798 0.29565 34 72 109 115 153 139 102 92 86 52 46 
10 1 250 5.8672 0.4814 0.067942 0.33152 0.4798 0.06798 0.33405 34 72 109 115 153 139 102 92 86 52 46 
10 1 500 5.8672 0.4814 0.067942 0.41332 0.4798 0.06798 0.41105 34 72 109 115 153 139 102 92 86 52 46 
10 2 1 5.8672 0.3898 0.030887 0.25382 0.3831 0.030555 0.25219 24 62 145 170 236 170 127 51 12 3 0 
10 2 2 5.8672 0.5351 0.044583 0.26141 0.5282 0.048333 0.25336 10 26 62 109 128 172 182 160 86 48 17 
10 2 3 5.8672 0.6068 0.050484 0.25162 0.5965 0.053391 0.2492 9 20 39 74 104 132 162 173 144 93 50 
10 2 4 5.8672 0.6402 0.052476 0.25676 0.6311 0.056239 0.25611 9 15 34 64 87 119 152 162 161 120 77 
10 2 5 5.8672 0.6606 0.053361 0.26331 0.6509 0.058077 0.26063 5 17 31 59 79 117 138 142 175 143 94 
10 2 8 5.8672 0.6838 0.055513 0.27501 0.6737 0.059238 0.27373 5 16 30 47 75 112 130 120 178 153 134 
10 2 10 5.8672 0.688 0.055672 0.28263 0.6774 0.059629 0.28205 4 17 27 50 73 108 129 123 172 154 143 
10 2 12 5.8672 0.6907 0.055639 0.2887 0.6785 0.059848 0.28716 4 16 27 50 73 105 128 123 172 155 147 
10 2 20 5.8672 0.6927 0.055913 0.30841 0.6791 0.059953 0.30467 4 16 27 47 75 106 127 121 169 155 153 
10 2 25 5.8672 0.6927 0.055913 0.30872 0.6791 0.059953 0.30568 4 16 27 47 75 106 127 121 169 155 153 
10 2 50 5.8672 0.6927 0.055913 0.31753 0.6791 0.059953 0.31673 4 16 27 47 75 106 127 121 169 155 153 
10 2 75 5.8672 0.6927 0.055913 0.3247 0.6791 0.059953 0.32159 4 16 27 47 75 106 127 121 169 155 153 
10 2 100 5.8672 0.6927 0.055913 0.33468 0.6791 0.059953 0.32962 4 16 27 47 75 106 127 121 169 155 153 
10 2 250 5.8672 0.6927 0.055913 0.36993 0.6791 0.059953 0.36623 4 16 27 47 75 106 127 121 169 155 153 
10 2 500 5.8672 0.6927 0.055913 0.42929 0.6791 0.059953 0.42877 4 16 27 47 75 106 127 121 169 155 153 
10 4 1 5.8672 0.4146 0.029817 0.2407 0.4049 0.027493 0.23994 11 50 138 145 223 209 143 61 17 3 0 
10 4 2 5.8672 0.5904 0.039828 0.24635 0.5842 0.041192 0.24744 3 15 41 78 96 146 207 201 124 72 17 
10 4 3 5.8672 0.6882 0.040501 0.2546 0.6786 0.041604 0.25157 2 9 10 45 68 95 161 186 192 153 79 
10 4 4 5.8672 0.7435 0.037956 0.26428 0.7361 0.039466 0.26392 1 5 10 30 39 70 132 156 223 194 140 
10 4 5 5.8672 0.7792 0.036384 0.27948 0.7732 0.03782 0.27592 1 3 9 24 25 63 96 152 205 216 206 
10 4 8 5.8672 0.832 0.032408 0.29492 0.8231 0.034511 0.28094 0 2 6 16 21 35 79 102 169 241 329 
10 4 10 5.8672 0.8461 0.030876 0.28578 0.8364 0.033248 0.28616 0 2 3 14 22 31 68 102 153 228 377 
10 4 12 5.8672 0.8519 0.030106 0.2994 0.8427 0.032379 0.29678 0 2 3 11 22 31 66 95 152 222 396 
10 4 20 5.8672 0.8628 0.028385 0.32745 0.8506 0.031972 0.3302 0 1 4 9 20 24 63 90 148 210 431 
10 4 25 5.8672 0.8637 0.028301 0.34756 0.8514 0.03183 0.34803 0 1 4 9 20 24 62 88 148 211 433 
10 4 50 5.8672 0.864 0.028272 0.38142 0.8519 0.031888 0.38017 0 1 4 9 20 24 62 87 147 213 433 
10 4 75 5.8672 0.864 0.028272 0.38652 0.8519 0.031888 0.38326 0 1 4 9 20 24 62 87 147 213 433 
10 4 100 5.8672 0.864 0.028272 0.40041 0.8519 0.031888 0.40148 0 1 4 9 20 24 62 87 147 213 433 
10 4 250 5.8672 0.864 0.028272 0.4431 0.8519 0.031888 0.4432 0 1 4 9 20 24 62 87 147 213 433 
10 4 500 5.8672 0.864 0.028272 0.51461 0.8519 0.031888 0.50406 0 1 4 9 20 24 62 87 147 213 433 
10 8 1 5.8672 0.4201 0.029215 0.24752 0.4089 0.027258 0.24347 8 46 129 157 212 223 137 66 19 3 0 
10 8 2 5.8672 0.6063 0.037568 0.25028 0.5963 0.038335 0.24831 1 13 34 63 94 146 207 207 137 80 18 
10 8 3 5.8672 0.7127 0.036205 0.25801 0.7008 0.037557 0.25423 1 4 11 29 57 86 146 201 199 179 87 
10 8 4 5.8672 0.7794 0.032208 0.26247 0.7688 0.031758 0.261 1 2 7 17 23 57 116 150 208 250 169 
10 8 5 5.8672 0.8199 0.029183 0.26594 0.8144 0.028221 0.26383 0 1 6 15 16 33 82 140 178 274 255 
10 8 8 5.8672 0.8917 0.020462 0.28318 0.8856 0.020053 0.28015 0 0 1 6 15 14 34 67 143 250 470 
10 8 10 5.8672 0.9153 0.016693 0.29062 0.9077 0.016828 0.28968 0 0 0 2 11 17 26 44 104 238 558 
10 8 12 5.8672 0.9279 0.014046 0.30075 0.92 0.014655 0.30052 0 0 0 2 5 16 19 39 93 218 608 
10 8 20 5.8672 0.9508 0.0093487 0.33969 0.9413 0.010795 0.33856 0 0 0 0 4 4 15 30 62 174 711 
10 8 25 5.8672 0.9541 0.0085517 0.37083 0.9444 0.010099 0.35921 0 0 0 0 3 2 16 27 61 164 727 
10 8 50 5.8672 0.9571 0.0080977 0.47339 0.9468 0.0097195 0.46552 0 0 0 0 3 2 15 25 52 162 741 
10 8 75 5.8672 0.9571 0.0080977 0.51388 0.9468 0.0097195 0.50978 0 0 0 0 3 2 15 25 52 162 741 
10 8 100 5.8672 0.9571 0.0080977 0.52766 0.9468 0.0097195 0.5256 0 0 0 0 3 2 15 25 52 162 741 
10 8 250 5.8672 0.9571 0.0080977 0.57976 0.9468 0.0097195 0.5724 0 0 0 0 3 2 15 25 52 162 741 
10 8 500 5.8672 0.9571 0.0080977 0.65457 0.9468 0.0097195 0.64772 0 0 0 0 3 2 15 25 52 162 741 
10 16 1 5.8672 0.4206 0.029085 0.25232 0.4104 0.026979 0.25188 8 44 129 160 210 223 138 66 19 3 0 
10 16 2 5.8672 0.6073 0.037454 0.25817 0.5993 0.037507 0.25668 1 12 36 61 88 155 203 210 134 81 19 
10 16 3 5.8672 0.7152 0.036225 0.2654 0.706 0.036941 0.26346 1 4 9 35 51 80 148 207 191 184 90 
10 16 4 5.8672 0.784 0.031415 0.26864 0.7761 0.03087 0.2681 1 1 5 19 23 57 105 147 216 252 174 
10 16 5 5.8672 0.8268 0.02825 0.27527 0.824 0.026731 0.27468 0 1 4 16 15 30 78 128 184 275 269 
10 16 8 5.8672 0.9036 0.017945 0.29128 0.9031 0.017178 0.2881 0 0 0 4 13 13 27 59 131 246 507 
10 16 10 5.8672 0.9304 0.01367 0.29814 0.9297 0.012601 0.2978 0 0 0 1 9 10 23 30 93 217 617 
10 16 12 5.8672 0.946 0.010174 0.30707 0.9439 0.010413 0.30519 0 0 0 0 3 10 13 32 65 194 683 
10 16 20 5.8672 0.9771 0.0041297 0.35029 0.9757 0.0039835 0.34613 0 0 0 0 1 1 5 13 24 111 845 
10 16 25 5.8672 0.983 0.0027337 0.37124 0.9815 0.0030708 0.37015 0 0 0 0 0 0 3 10 18 92 877 
10 16 50 5.8672 0.9901 0.0014735 0.48894 0.9886 0.0015516 0.49018 0 0 0 0 0 0 0 7 8 62 923 
10 16 75 5.8672 0.9907 0.0013449 0.60419 0.9892 0.0014048 0.60501 0 0 0 0 0 0 0 6 7 61 926 
10 16 100 5.8672 0.9908 0.0013367 0.70581 0.9892 0.0014048 0.70656 0 0 0 0 0 0 0 6 7 60 927 
10 16 250 5.8672 0.9908 0.0013367 0.82643 0.9892 0.0014048 0.82149 0 0 0 0 0 0 0 6 7 60 927 
10 16 500 5.8672 0.9908 0.0013367 0.92871 0.9892 0.0014048 0.91148 0 0 0 0 0 0 0 6 7 60 927 
10 32 1 5.8672 0.4209 0.029082 0.26604 0.4105 0.027007 0.26382 8 43 130 160 209 224 137 67 19 3 0 
10 32 2 5.8672 0.6075 0.037411 0.27224 0.5997 0.037407 0.26964 1 11 37 61 87 157 203 208 134 82 19 
10 32 3 5.8672 0.7158 0.036126 0.27629 0.7066 0.036933 0.27607 1 4 9 35 49 81 149 205 192 185 90 
10 32 4 5.8672 0.7844 0.031328 0.28445 0.7769 0.030587 0.28171 1 2 3 20 21 59 105 146 217 251 175 
10 32 5 5.8672 0.8276 0.027946 0.29088 0.825 0.026602 0.28433 0 1 3 17 14 29 79 130 179 279 269 
10 32 8 5.8672 0.9054 0.017709 0.30451 0.9048 0.016894 0.30241 0 0 0 3 13 14 28 55 128 244 515 
10 32 10 5.8672 0.9324 0.013243 0.31276 0.9319 0.011984 0.31178 0 0 0 0 10 10 21 27 95 211 626 
10 32 12 5.8672 0.9487 0.0097681 0.32348 0.9469 0.0097401 0.32149 0 0 0 0 3 9 14 26 66 184 698 
10 32 20 5.8672 0.9816 0.0034449 0.36207 0.9813 0.0030033 0.35978 0 0 0 0 1 0 5 10 22 84 878 
10 32 25 5.8672 0.9882 0.0020028 0.38708 0.9876 0.0020082 0.38442 0 0 0 0 0 0 3 6 12 64 915 
10 32 50 5.8672 0.9969 0.00044083 0.50737 0.9958 0.00060296 0.50752 0 0 0 0 0 0 0 1 4 20 975 
10 32 75 5.8672 0.998 0.00027628 0.62735 0.9983 0.00016728 0.62978 0 0 0 0 0 0 0 0 4 12 984 
10 32 100 5.8672 0.9983 0.00022734 0.75009 0.9985 0.0001479 0.75292 0 0 0 0 0 0 0 0 3 11 986 
10 32 250 5.8672 0.9985 0.00020796 1.3049 0.9985 0.0001479 1.3016 0 0 0 0 0 0 0 0 3 9 988 
10 32 500 5.8672 0.9985 0.00020796 1.428 0.9985 0.0001479 1.4219 0 0 0 0 0 0 0 0 3 9 988 
10 64 1 5.8672 0.4208 0.029076 0.28981 0.4106 0.026995 0.28746 8 43 130 160 210 223 137 67 19 3 0 
10 64 2 5.8672 0.6075 0.037411 0.29509 0.5998 0.037377 0.29527 1 11 37 61 87 157 203 208 134 82 19 
10 64 3 5.8672 0.7158 0.036126 0.29913 0.7067 0.036902 0.30056 1 4 9 35 49 81 149 205 192 185 90 
10 64 4 5.8672 0.7844 0.031328 0.30504 0.7771 0.030516 0.3038 1 2 3 20 21 59 105 146 217 251 175 
10 64 5 5.8672 0.8277 0.027971 0.31101 0.8252 0.026531 0.30852 0 1 3 17 14 29 79 130 179 278 270 
10 64 8 5.8672 0.9055 0.017818 0.34045 0.9051 0.016781 0.32608 0 0 0 4 12 14 28 55 127 244 516 
10 64 10 5.8672 0.9324 0.013284 0.34138 0.9321 0.011992 0.33812 0 0 0 0 10 10 22 26 94 212 626 
10 64 12 5.8672 0.9487 0.0099483 0.34503 0.9472 0.0096618 0.34567 0 0 0 0 4 8 16 24 64 185 699 
10 64 20 5.8672 0.9822 0.0032664 0.38756 0.9817 0.0029981 0.38455 0 0 0 0 1 0 4 11 18 87 879 
10 64 25 5.8672 0.989 0.0018208 0.40929 0.9882 0.0019427 0.40979 0 0 0 0 0 0 2 7 9 63 919 
10 64 50 5.8672 0.9979 0.0003059 0.53016 0.997 0.00049149 0.53351 0 0 0 0 0 0 0 1 2 14 983 
10 64 75 5.8672 0.9993 6.958e-05 0.65557 0.9995 4.98e-05 0.66688 0 0 0 0 0 0 0 0 0 7 993 
10 64 100 5.8672 0.9994 5.97e-05 0.78362 1 0 0.78187 0 0 0 0 0 0 0 0 0 6 994 
10 64 250 5.8672 0.9999 1e-05 1.5506 1 0 1.5693 0 0 0 0 0 0 0 0 0 1 999 
10 64 500 5.8672 0.9999 1e-05 2.3963 1 0 2.3585 0 0 0 0 0 0 0 0 0 1 999 
10 128 1 5.8672 0.4208 0.029076 0.33737 0.4106 0.026995 0.33437 8 43 130 160 210 223 137 67 19 3 0 
10 128 2 5.8672 0.6075 0.037411 0.34368 0.5998 0.037377 0.34145 1 11 37 61 87 157 203 208 134 82 19 
10 128 3 5.8672 0.7158 0.036126 0.34656 0.7067 0.036902 0.34645 1 4 9 35 49 81 149 205 192 185 90 
10 128 4 5.8672 0.7844 0.031328 0.35386 0.7771 0.030516 0.35402 1 2 3 20 21 59 105 146 217 251 175 
10 128 5 5.8672 0.8277 0.027971 0.35743 0.8252 0.026531 0.35516 0 1 3 17 14 29 79 130 179 278 270 
10 128 8 5.8672 0.9055 0.017818 0.37183 0.9051 0.016781 0.36903 0 0 0 4 12 14 28 55 127 244 516 
10 128 10 5.8672 0.9324 0.013284 0.38365 0.9321 0.011992 0.38021 0 0 0 0 10 10 22 26 94 212 626 
10 128 12 5.8672 0.9487 0.0099483 0.39034 0.9472 0.0096618 0.39003 0 0 0 0 4 8 16 24 64 185 699 
10 128 20 5.8672 0.9822 0.0032664 0.43042 0.9817 0.0029981 0.43927 0 0 0 0 1 0 4 11 18 87 879 
10 128 25 5.8672 0.989 0.0018208 0.45452 0.9882 0.0019427 0.45361 0 0 0 0 0 0 2 7 9 63 919 
10 128 50 5.8672 0.9979 0.0003059 0.57929 0.997 0.00049149 0.57621 0 0 0 0 0 0 0 1 2 14 983 
10 128 75 5.8672 0.9993 6.958e-05 0.70241 0.9995 4.98e-05 0.70261 0 0 0 0 0 0 0 0 0 7 993 
10 128 100 5.8672 0.9994 5.97e-05 0.82542 1 0 0.82983 0 0 0 0 0 0 0 0 0 6 994 
10 128 250 5.8672 1 0 1.5705 1 0 1.5747 0 0 0 0 0 0 0 0 0 0 1000 
10 128 500 5.8672 1 0 2.8385 1 0 2.8383 0 0 0 0 0 0 0 0 0 0 1000 
10 256 1 5.8672 0.4208 0.029076 0.42132 0.4106 0.026995 0.41986 8 43 130 160 210 223 137 67 19 3 0 
10 256 2 5.8672 0.6075 0.037411 0.42773 0.5998 0.037377 0.42976 1 11 37 61 87 157 203 208 134 82 19 
10 256 3 5.8672 0.7158 0.036126 0.43661 0.7067 0.036902 0.43353 1 4 9 35 49 81 149 205 192 185 90 
10 256 4 5.8672 0.7844 0.031328 0.44336 0.7771 0.030516 0.44107 1 2 3 20 21 59 105 146 217 251 175 
10 256 5 5.8672 0.8277 0.027971 0.44619 0.8252 0.026531 0.44607 0 1 3 17 14 29 79 130 179 278 270 
10 256 8 5.8672 0.9055 0.017818 0.45954 0.9051 0.016781 0.45824 0 0 0 4 12 14 28 55 127 244 516 
10 256 10 5.8672 0.9324 0.013284 0.46825 0.9321 0.011992 0.46784 0 0 0 0 10 10 22 26 94 212 626 
10 256 12 5.8672 0.9487 0.0099483 0.47969 0.9472 0.0096618 0.47769 0 0 0 0 4 8 16 24 64 185 699 
10 256 20 5.8672 0.9822 0.0032664 0.51542 0.9817 0.0029981 0.51624 0 0 0 0 1 0 4 11 18 87 879 
