	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	13	0.036	10	1	1	0.201153	0.3091	0.075082	0.033035	0	0.00095326	0.010225	0.021635	59.511	58000	0.2919	0.07578	0.031969	239	147	103	109	90	87	77	73	42	23	10
41	10	1	14	0.036	10	1	1	0.234847	0.2319	0.061114	0.024048	0	0.0010524	0.01021	0.012564	31.983	58000	0.2238	0.061695	0.023381	339	151	126	98	88	74	39	37	29	15	4
82	10	5	13	0.036	10	1	1	0.339463	0.7043	0.066138	0.10128	0	0.0028867	0.013068	0.085081	249.58	58000	0.6997	0.065275	0.10192	14	18	37	54	56	78	99	125	160	164	195
123	10	5	14	0.036	10	1	1	0.408534	0.6073	0.075112	0.065806	0	0.003328	0.012156	0.050095	138.54	58000	0.6088	0.07776	0.06513	30	40	57	76	88	91	130	122	141	128	97
164	10	10	13	0.036	10	1	1	0.448123	0.8545	0.034734	0.17067	0	0.0052266	0.017949	0.14723	433.27	58000	0.8408	0.038374	0.1731	1	2	14	10	25	31	46	83	137	233	418
205	10	10	14	0.036	10	1	1	0.52367	0.7767	0.052179	0.10633	0	0.0061679	0.01555	0.084386	247.03	58000	0.7666	0.050995	0.10602	8	10	19	25	46	56	79	105	167	215	270
246	10	15	13	0.036	10	1	1	0.489451	0.905	0.022457	0.22317	0	0.0077927	0.0215	0.19361	586.04	58000	0.8973	0.023847	0.22518	1	1	4	8	6	22	30	46	109	221	552
287	10	15	14	0.036	10	1	1	0.606343	0.8449	0.035449	0.14592	0	0.0093235	0.019082	0.11724	339.07	58000	0.843	0.035727	0.14074	2	2	10	16	21	38	56	81	146	246	382
328	10	20	13	0.036	10	1	1	0.518154	0.9297	0.017045	0.28073	0	0.009402	0.026004	0.24505	724.89	58000	0.929	0.014814	0.2833	2	0	1	1	11	15	15	39	86	178	652
369	10	20	14	0.036	10	1	1	0.649469	0.8883	0.02698	0.17886	0	0.01175	0.023105	0.14373	418.51	58000	0.8799	0.028054	0.17668	2	0	7	5	16	26	37	63	111	221	512
410	10	25	13	0.036	10	1	1	0.542917	0.9506	0.01021	0.32955	0	0.011149	0.031074	0.28702	843.8	58000	0.9459	0.010594	0.33455	0	1	1	2	2	4	11	31	50	194	704
451	10	25	14	0.036	10	1	1	0.591155	0.9117	0.021034	0.24191	0	0.015145	0.026005	0.20048	493.97	58000	0.9096	0.020028	0.24235	1	2	2	10	2	18	28	45	103	214	575
492	10	30	13	0.036	10	1	1	0.606888	0.9598	0.0091131	0.37789	0	0.014099	0.035585	0.32791	961.67	58000	0.9615	0.0077555	0.36858	0	2	0	0	3	5	13	15	45	154	763
533	10	30	14	0.036	10	1	1	0.756814	0.9315	0.014873	0.2363	0	0.013629	0.029288	0.19311	563.99	58000	0.9283	0.015565	0.23889	0	0	1	2	10	9	22	42	67	210	637
574	10	40	13	0.036	10	1	1	0.656674	0.9754	0.0048997	0.45954	0	0.019681	0.043213	0.39635	1160.0	58000	0.9703	0.0062942	0.45598	0	0	0	0	2	2	5	16	24	108	843
615	10	40	14	0.036	10	1	1	0.823244	0.9491	0.01053	0.29139	0	0.020502	0.034199	0.23641	691.34	58000	0.9486	0.010629	0.29483	0	0	0	4	3	6	11	27	65	178	706
656	10	50	13	0.036	10	1	1	0.74271	0.9794	0.0039196	0.5333	0	0.022401	0.05027	0.46032	1338.7	58000	0.9797	0.0030209	0.52158	0	0	0	1	1	1	3	8	26	100	860
697	10	50	14	0.036	10	1	1	0.975116	0.961	0.0078869	0.34643	0	0.029917	0.041068	0.27517	805.34	58000	0.9593	0.0083218	0.3438	0	0	1	1	1	6	6	21	52	148	764
738	10	60	13	0.036	10	1	1	1.21562	0.9853	0.0025965	0.58711	0	0.026924	0.056729	0.50316	1496.3	58000	0.9859	0.0024336	0.65959	0	0	0	0	0	2	2	6	17	77	896
779	10	60	14	0.036	10	1	1	1.55574	0.9707	0.0060976	0.49384	0	0.026938	0.15109	0.31544	905.4	58000	0.9694	0.0056293	0.45804	0	0	1	0	2	3	5	15	38	117	819
820	10	70	13	0.036	10	1	1	1.37688	0.9868	0.0023481	0.78055	0	0.031903	0.1645	0.5838	1635.5	58000	0.9871	0.0017854	0.73784	0	0	0	0	1	0	1	8	15	68	907
861	10	70	14	0.036	10	1	1	1.66517	0.9756	0.0052899	0.6022	0	0.033313	0.20257	0.36597	999.2	58000	0.9715	0.0050828	0.5312	0	0	1	0	3	2	2	14	25	108	845
902	10	80	13	0.036	10	1	1	1.37375	0.9906	0.0014731	0.93998	0	0.041414	0.21861	0.67959	1784.3	58000	0.9887	0.0017641	0.85276	0	0	0	0	0	2	1	0	5	70	922
943	10	80	14	0.036	10	1	1	1.81461	0.9792	0.0032907	0.63086	0	0.046336	0.20048	0.38369	1091.2	58000	0.9787	0.0040604	0.55151	0	0	0	0	1	1	1	10	21	121	845
984	10	90	13	0.036	10	1	1	1.49422	0.9902	0.0016256	1.0544	0	0.051768	0.23492	0.7673	1898.4	58000	0.9902	0.0016456	0.99345	0	0	0	0	0	2	0	2	11	60	925
1025	10	90	14	0.036	10	1	1	1.81084	0.9813	0.0033437	0.70393	0	0.048501	0.24752	0.40756	1168.2	58000	0.9795	0.0036534	0.60697	0	0	0	0	1	1	4	6	24	94	870
