	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.036	1	0.0186673	0.3723	0.071955	0.28467	906.26	0.3751	0.075706	0.27876	122	120	141	133	125	94	88	71	49	35	22
1	10	1	7	0.036	1	0.0264932	0.3091	0.066233	0.14624	453.14	0.2831	0.063027	0.14446	176	174	138	122	103	97	66	56	32	26	10
2	10	1	8	0.036	1	0.02721	0.2415	0.054402	0.081792	226.58	0.2348	0.050299	0.080705	254	197	156	103	104	66	51	30	22	11	6
3	10	1	9	0.036	1	0.0388929	0.1926	0.037843	0.04916	113.3	0.2045	0.047197	0.047396	298	215	178	110	83	44	40	24	7	1	0
4	10	1	10	0.036	1	0.0627912	0.151	0.027767	0.032205	56.66	0.1564	0.028447	0.030436	347	253	181	103	51	32	19	9	2	1	2
5	10	1	11	0.036	1	0.0782511	0.1116	0.019965	0.022937	28.347	0.1136	0.020576	0.02114	452	255	148	70	43	18	7	5	2	0	0
6	10	1	12	0.036	1	0.0983728	0.0753	0.011692	0.017493	14.17	0.0776	0.012531	0.015909	566	238	108	64	16	5	3	0	0	0	0
7	10	5	6	0.036	1	0.0281921	0.8067	0.047713	1.2991	3576.6	0.8008	0.048568	1.2888	2	12	16	22	27	63	66	91	149	211	341
12	10	5	7	0.036	1	0.0478043	0.7442	0.054821	0.68793	1888.2	0.7472	0.05803	0.68282	2	8	28	43	54	75	104	106	164	180	236
17	10	5	8	0.036	1	0.0670183	0.6642	0.070629	0.38172	976.16	0.6597	0.067974	0.36125	16	28	44	58	78	95	120	110	139	157	155
22	10	5	9	0.036	1	0.097173	0.575	0.071907	0.23457	507.8	0.5614	0.071261	0.22996	29	35	69	101	97	108	144	126	103	104	84
27	10	5	10	0.036	1	0.131426	0.4848	0.069018	0.11004	258.59	0.4739	0.07138	0.10641	40	77	101	114	132	123	121	109	86	63	34
32	10	5	11	0.036	1	0.125227	0.388	0.059596	0.073962	131.08	0.3836	0.063114	0.062049	68	130	129	143	146	125	98	73	42	41	5
37	10	5	12	0.036	1	0.149555	0.2995	0.046256	0.053166	66.499	0.2939	0.047861	0.043636	113	186	162	160	144	98	59	52	16	7	3
42	10	10	6	0.036	1	0.0293584	0.9277	0.01752	2.1178	5769.1	0.9194	0.021125	2.105	0	1	3	5	6	11	25	40	80	184	645
52	10	10	7	0.036	1	0.0470018	0.8916	0.026296	1.1516	3146.4	0.8907	0.029473	1.1467	0	1	7	5	17	26	33	67	108	203	533
62	10	10	8	0.036	1	0.048254	0.8237	0.040489	0.63168	1726.9	0.8205	0.042853	0.62798	0	9	11	17	23	50	71	98	141	227	353
72	10	10	9	0.036	1	0.0984976	0.7592	0.052868	0.35211	904.91	0.7588	0.055038	0.33668	4	10	21	30	61	68	79	112	173	196	246
82	10	10	10	0.036	1	0.132188	0.6589	0.062724	0.21441	472.57	0.658	0.065862	0.18435	9	19	42	64	93	92	124	149	130	145	133
92	10	10	11	0.036	1	0.167719	0.5565	0.066124	0.12292	242.88	0.5581	0.067182	0.093544	20	45	79	88	124	125	111	149	117	88	54
102	10	10	12	0.036	1	0.14996	0.4542	0.062245	0.064844	125.33	0.4446	0.060672	0.062787	42	83	112	131	138	141	113	88	88	53	11
112	10	25	6	0.036	1	0.0423774	0.9683	0.0091943	3.8271	9528.2	0.966	0.010835	2.9949	0	0	3	1	3	6	11	17	24	95	840
130	10	25	7	0.036	1	0.0510801	0.9502	0.014555	2.1776	5779.8	0.9502	0.014414	2.1502	0	1	4	3	4	12	16	22	49	124	765
148	10	25	8	0.036	1	0.0716265	0.9339	0.016537	1.4711	3300.5	0.9338	0.017035	1.2674	0	0	2	4	10	16	15	34	72	171	676
166	10	25	9	0.036	1	0.102275	0.9059	0.022217	0.69496	1822.1	0.8988	0.025284	0.67519	0	1	4	5	9	23	29	65	95	195	574
184	10	25	10	0.036	1	0.171762	0.843	0.036568	0.40202	980.3	0.8373	0.04082	0.37535	0	2	13	19	24	30	58	93	152	206	403
202	10	25	11	0.036	1	0.181236	0.7675	0.051465	0.21606	520.22	0.7639	0.052379	0.21018	2	13	18	35	46	58	89	117	159	208	255
220	10	25	12	0.036	1	0.23348	0.6695	0.058118	0.15271	275.01	0.6725	0.05635	0.12459	9	18	37	61	72	88	122	159	173	147	114
238	10	50	6	0.036	1	0.0414774	0.983	0.0047357	5.1668	13090.0	0.9814	0.00592	5.0644	0	0	1	0	2	4	7	5	11	65	905
256	10	50	7	0.036	1	0.0656671	0.9784	0.0061196	3.1744	8336.1	0.9785	0.006234	3.1097	0	1	0	0	3	7	4	8	22	70	885
274	10	50	8	0.036	1	0.0832998	0.9693	0.0083559	1.9208	4977.0	0.9688	0.0090756	1.8667	0	1	0	2	3	7	8	13	31	98	837
292	10	50	9	0.036	1	0.159484	0.9502	0.012933	1.1063	2881.7	0.9477	0.013188	1.0768	0	1	1	3	7	9	11	28	49	147	744
310	10	50	10	0.036	1	0.213521	0.9227	0.019254	0.6402	1608.1	0.9208	0.019567	0.61236	0	1	3	7	7	13	23	49	87	171	639
328	10	50	11	0.036	1	0.212969	0.8768	0.029691	0.41135	876.44	0.8679	0.032632	0.4103	3	2	5	11	14	22	47	68	132	217	479
346	10	50	12	0.036	1	0.241991	0.8088	0.042465	0.23096	476.36	0.8068	0.041695	0.20988	1	5	9	26	38	52	80	85	145	250	309
364	10	75	6	0.036	1	0.0779266	0.9822	0.0052684	5.9431	14905.0	0.9805	0.0063561	5.9279	0	0	1	0	2	7	4	7	17	52	910
382	10	75	7	0.036	1	0.106789	0.9812	0.0050917	3.9606	9969.7	0.9798	0.0060981	3.8888	0	0	1	0	2	5	5	8	16	67	896
400	10	75	8	0.036	1	0.139935	0.9775	0.0063101	2.4048	6288.7	0.9767	0.0065937	2.3935	0	0	1	2	1	5	9	6	21	76	879
418	10	75	9	0.036	1	0.214028	0.9663	0.0090834	1.4175	3711.9	0.9661	0.0094102	1.4026	0	1	1	1	2	8	11	18	27	109	822
436	10	75	10	0.036	1	0.370333	0.951	0.011991	0.83102	2091.7	0.9458	0.014177	0.80288	0	0	2	2	5	11	10	27	50	154	739
454	10	75	11	0.036	1	0.421226	0.9173	0.020171	0.50089	1177.3	0.9126	0.022223	0.47488	0	1	3	7	8	22	21	35	98	202	603
472	10	75	12	0.036	1	0.418667	0.8652	0.03124	0.31368	644.55	0.8602	0.03373	0.2853	0	3	7	12	18	34	48	68	137	233	440
490	10	100	6	0.036	1	0.0894719	0.985	0.0043794	6.6135	16450.0	0.9843	0.0048484	6.3937	0	0	1	0	2	4	5	6	9	54	919
