k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.0186673 0.3723 0.071955 0.28467 906.26 0.3751 0.075706 0.27876 122 120 141 133 125 94 88 71 49 35 22 
10 1 7 0.036 1 0.0264932 0.3091 0.066233 0.14624 453.14 0.2831 0.063027 0.14446 176 174 138 122 103 97 66 56 32 26 10 
10 1 8 0.036 1 0.02721 0.2415 0.054402 0.081792 226.58 0.2348 0.050299 0.080705 254 197 156 103 104 66 51 30 22 11 6 
10 1 9 0.036 1 0.0388929 0.1926 0.037843 0.04916 113.3 0.2045 0.047197 0.047396 298 215 178 110 83 44 40 24 7 1 0 
10 1 10 0.036 1 0.0627912 0.151 0.027767 0.032205 56.66 0.1564 0.028447 0.030436 347 253 181 103 51 32 19 9 2 1 2 
10 1 11 0.036 1 0.0782511 0.1116 0.019965 0.022937 28.347 0.1136 0.020576 0.02114 452 255 148 70 43 18 7 5 2 0 0 
10 1 12 0.036 1 0.0983728 0.0753 0.011692 0.017493 14.17 0.0776 0.012531 0.015909 566 238 108 64 16 5 3 0 0 0 0 
10 5 6 0.036 1 0.0281921 0.8067 0.047713 1.2991 3576.6 0.8008 0.048568 1.2888 2 12 16 22 27 63 66 91 149 211 341 
10 5 6 0.036 2 0.028192 0.5396 0.08842 0.28632 739 0.5496 0.088448 0.30905 53 77 71 93 107 98 102 107 97 107 88 
10 5 6 0.036 3 0.028192 0.2965 0.076674 0.089334 173.59 0.3097 0.081638 0.080604 233 164 148 87 84 90 60 49 31 33 21 
10 5 6 0.036 4 0.028192 0.124 0.035099 0.032172 37.306 0.1303 0.038731 0.030955 534 172 106 71 42 27 18 14 11 4 1 
10 5 6 0.036 5 0.028192 0.0254 0.0047596 0.019648 4.785 0.0288 0.0072979 0.019444 839 105 30 17 7 2 0 0 0 0 0 
10 5 7 0.036 1 0.0478043 0.7442 0.054821 0.68793 1888.2 0.7472 0.05803 0.68282 2 8 28 43 54 75 104 106 164 180 236 
10 5 7 0.036 2 0.047804 0.4455 0.085045 0.12776 304.54 0.4518 0.088405 0.12554 87 98 120 118 118 90 99 77 73 76 44 
10 5 7 0.036 3 0.047804 0.2159 0.056914 0.038939 61.044 0.2209 0.058332 0.036957 324 203 140 83 76 60 42 34 18 11 9 
10 5 7 0.036 4 0.047804 0.0769 0.019316 0.018749 10.734 0.0778 0.020408 0.017595 639 179 76 46 33 11 7 4 3 1 1 
10 5 7 0.036 5 0.047804 0.0127 0.0021308 0.014372 1.157 0.0154 0.0038066 0.013496 905 73 18 0 3 0 1 0 0 0 0 
10 5 8 0.036 1 0.0670183 0.6642 0.070629 0.38172 976.16 0.6597 0.067974 0.36125 16 28 44 58 78 95 120 110 139 157 155 
10 5 8 0.036 2 0.067018 0.3587 0.07522 0.065427 128.45 0.3599 0.080382 0.06234 127 150 154 119 110 80 82 62 60 34 22 
10 5 8 0.036 3 0.067018 0.1566 0.041278 0.022701 23.652 0.1602 0.039956 0.021725 419 214 139 82 43 36 28 18 11 6 4 
10 5 8 0.036 4 0.067018 0.0507 0.012572 0.01432 4.073 0.0516 0.01227 0.013804 735 151 52 27 20 9 2 1 1 1 1 
10 5 8 0.036 5 0.067018 0.0091 0.0021894 0.011965 0.454 0.0091 0.0015087 0.011426 938 48 7 5 0 1 0 0 0 1 0 
10 5 9 0.036 1 0.097173 0.575 0.071907 0.23457 507.8 0.5614 0.071261 0.22996 29 35 69 101 97 108 144 126 103 104 84 
10 5 9 0.036 2 0.097173 0.2639 0.060587 0.037526 49.709 0.2589 0.058539 0.035894 219 207 151 119 71 87 55 37 28 19 7 
10 5 9 0.036 3 0.097173 0.0991 0.024734 0.015957 7.629 0.093 0.021452 0.015238 569 192 99 57 31 25 14 7 6 0 0 
10 5 9 0.036 4 0.097173 0.0264 0.0058889 0.01198 1.174 0.0221 0.0036452 0.011498 850 88 31 19 4 7 1 0 0 0 0 
10 5 9 0.036 5 0.097173 0.0033 0.00047959 0.010333 0.109 0.003 0.00041141 0.010438 973 23 2 2 0 0 0 0 0 0 0 
10 5 10 0.036 1 0.131426 0.4848 0.069018 0.11004 258.59 0.4739 0.07138 0.10641 40 77 101 114 132 123 121 109 86 63 34 
10 5 10 0.036 2 0.13143 0.1904 0.04177 0.021733 21.109 0.1838 0.0429 0.020828 321 214 158 118 67 46 36 22 13 2 3 
10 5 10 0.036 3 0.13143 0.0602 0.012549 0.012817 3.053 0.0579 0.012911 0.011685 677 174 82 30 19 11 6 1 0 0 0 
10 5 10 0.036 4 0.13143 0.0136 0.001997 0.010816 0.438 0.0148 0.0026636 0.010289 897 77 20 5 1 0 0 0 0 0 0 
10 5 10 0.036 5 0.13143 0.0017 0.00016728 0.010184 0.039 0.0017 0.0001873 0.0096431 983 17 0 0 0 0 0 0 0 0 0 
10 5 11 0.036 1 0.125227 0.388 0.059596 0.073962 131.08 0.3836 0.063114 0.062049 68 130 129 143 146 125 98 73 42 41 5 
10 5 11 0.036 2 0.12523 0.1268 0.024947 0.016604 9.182 0.1259 0.026706 0.015772 439 232 142 81 60 20 16 7 3 0 0 
10 5 11 0.036 3 0.12523 0.0343 0.0057192 0.011491 1.232 0.0355 0.0067365 0.011141 776 144 53 18 6 3 0 0 0 0 0 
10 5 11 0.036 4 0.12523 0.0061 0.00079358 0.0098866 0.163 0.0068 0.0010148 0.0098919 949 42 8 1 0 0 0 0 0 0 0 
10 5 11 0.036 5 0.12523 0.0005 6.982e-05 0.010474 0.013 0.0008 9.9459e-05 0.0097712 996 3 1 0 0 0 0 0 0 0 0 
10 5 12 0.036 1 0.149555 0.2995 0.046256 0.053166 66.499 0.2939 0.047861 0.043636 113 186 162 160 144 98 59 52 16 7 3 
10 5 12 0.036 2 0.14955 0.0816 0.014296 0.013462 3.856 0.0812 0.014361 0.012586 538 270 104 45 23 14 3 1 2 0 0 
10 5 12 0.036 3 0.14955 0.0193 0.0027202 0.010827 0.455 0.0171 0.0025602 0.01027 852 114 25 7 2 0 0 0 0 0 0 
10 5 12 0.036 4 0.14955 0.0036 0.00050755 0.010522 0.058 0.004 0.0004044 0.010147 971 23 5 1 0 0 0 0 0 0 0 
10 5 12 0.036 5 0.14955 0.0002 1.998e-05 0.010349 0.005 0.0004 3.988e-05 0.010252 998 2 0 0 0 0 0 0 0 0 0 
10 10 6 0.036 1 0.0293584 0.9277 0.01752 2.1178 5769.1 0.9194 0.021125 2.105 0 1 3 5 6 11 25 40 80 184 645 
