	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	13	0.036	10	1	1	0.482768	0.3517	0.078195	0.034013	0	0.0022599	0.010743	0.020774	57.107	58000	0.3581	0.07575	0.032197	178	128	128	100	111	96	83	65	59	36	16
41	10	1	14	0.036	10	1	1	0.563175	0.2503	0.063163	0.026184	0	0.0024198	0.011057	0.012478	31.414	58000	0.27	0.065966	0.024364	289	177	127	96	84	76	70	33	21	21	6
82	10	5	13	0.036	10	1	1	0.809562	0.8145	0.037277	0.10779	0	0.011701	0.014804	0.081034	231.81	58000	0.8003	0.038909	0.10613	1	6	9	18	23	43	76	124	161	242	297
123	10	5	14	0.036	10	1	1	0.944177	0.7061	0.053887	0.084148	0	0.015027	0.012612	0.056282	132.15	58000	0.6926	0.060806	0.083883	4	12	22	56	65	89	111	149	159	179	154
164	10	10	13	0.036	10	1	1	1.09465	0.9258	0.01521	0.18014	0	0.024762	0.019841	0.13529	394.77	58000	0.9184	0.016438	0.17726	0	1	2	1	6	7	30	45	76	232	600
205	10	10	14	0.036	10	1	1	1.24787	0.8618	0.027809	0.13803	0	0.03677	0.017835	0.083168	230.97	58000	0.8526	0.028742	0.12712	2	1	2	11	12	31	52	98	144	243	404
246	10	15	13	0.036	10	1	1	1.16289	0.9609	0.0067279	0.24376	0	0.042046	0.023834	0.17761	521.45	58000	0.9576	0.00777	0.28974	0	0	0	0	3	3	6	21	43	185	739
287	10	15	14	0.036	10	1	1	1.445	0.9192	0.015827	0.21474	0	0.051646	0.047322	0.11552	310.71	58000	0.9163	0.01532	0.22069	0	0	2	2	4	18	22	46	105	228	573
328	10	20	13	0.036	10	1	1	1.4021	0.9773	0.0037184	0.3046	0	0.061124	0.026133	0.21707	633.65	58000	0.9741	0.0044436	0.33545	0	0	0	0	0	2	1	13	33	108	843
369	10	20	14	0.036	10	1	1	1.61615	0.9498	0.0092892	0.2885	0	0.075332	0.077664	0.13524	381.8	58000	0.9449	0.0099039	0.24555	0	0	1	1	2	7	8	20	82	184	695
410	10	25	13	0.036	10	1	1	1.58883	0.9853	0.0023763	0.4427	0	0.078635	0.099891	0.26389	731.6	58000	0.9852	0.002063	0.41679	0	0	0	0	0	1	2	5	19	81	892
451	10	25	14	0.036	10	1	1	1.79161	0.9671	0.0055131	0.34443	0	0.089721	0.094718	0.15972	444.83	58000	0.9629	0.0066202	0.30947	0	0	0	1	0	2	6	13	49	151	778
492	10	30	13	0.036	10	1	1	1.75844	0.989	0.0018008	0.5044	0	0.093253	0.11285	0.29801	820.71	58000	0.9877	0.0016404	0.47617	0	0	0	1	0	0	0	2	14	69	914
533	10	30	14	0.036	10	1	1	2.08257	0.9732	0.0055073	0.35965	0	0.10741	0.075398	0.17656	503.62	58000	0.9715	0.0044822	0.31532	0	0	1	1	1	2	5	13	24	130	823
574	10	40	13	0.036	10	1	1	2.03268	0.9941	0.00077597	0.58779	0	0.15246	0.073092	0.3619	976.87	58000	0.9936	0.00091996	0.57542	0	0	0	0	0	0	0	2	5	43	950
615	10	40	14	0.036	10	1	1	2.2817	0.9843	0.0027663	0.47286	0	0.17571	0.083222	0.21353	605.22	58000	0.9851	0.0022302	0.40684	0	0	0	0	0	2	4	4	16	87	887
656	10	50	13	0.036	10	1	1	2.80022	0.9968	0.00045021	0.64993	0	0.1875	0.061741	0.40034	1111.8	58000	0.9964	0.00040745	0.62188	0	0	0	0	0	0	0	2	1	24	973
697	10	50	14	0.036	10	1	1	3.26026	0.9893	0.0016972	0.57801	0	0.24094	0.0533	0.2834	700.4	58000	0.9884	0.001527	0.50449	0	0	0	0	0	1	1	3	12	65	918
738	10	60	13	0.036	10	1	1	3.92202	0.9972	0.00043259	1.0334	0	0.33566	0.18337	0.51389	1226.4	58000	0.9973	0.00038309	0.88653	0	0	0	0	0	0	0	2	2	18	978
779	10	60	14	0.036	10	1	1	4.79826	0.9908	0.0013167	0.71927	0	0.32909	0.11606	0.27371	778.51	58000	0.9926	0.0010263	0.60242	0	0	0	0	0	0	1	3	9	61	926
820	10	70	13	0.036	10	1	1	4.54279	0.998	0.00021622	1.079	0	0.33652	0.18805	0.55399	1337.3	58000	0.9983	0.0001873	1.0364	0	0	0	0	0	0	0	0	1	18	981
