	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.036	1	0.180015	0.5027	0.093316	0.31834	906.22	0.4884	0.087973	0.28126	67	85	110	99	97	85	98	111	80	73	95
1	10	1	7	0.036	1	0.203296	0.4053	0.076558	0.15029	453.13	0.39	0.075175	0.149	87	131	131	127	110	109	92	70	66	46	31
2	10	1	8	0.036	1	0.217241	0.3114	0.063433	0.083338	226.55	0.3243	0.062382	0.081615	166	162	153	129	100	99	78	49	34	19	11
3	10	1	9	0.036	1	0.249018	0.2623	0.052061	0.050481	113.28	0.2625	0.053297	0.048123	206	192	147	141	112	73	50	43	24	12	0
4	10	1	10	0.036	1	0.268954	0.1928	0.033882	0.032613	56.645	0.1966	0.036345	0.030661	266	234	177	134	94	46	26	13	6	3	1
5	10	1	11	0.036	1	0.292055	0.1454	0.023522	0.024782	28.32	0.141	0.025665	0.021697	333	272	189	106	48	30	15	4	2	0	1
6	10	1	12	0.036	1	0.327679	0.1053	0.016138	0.0188	14.142	0.0932	0.013267	0.016587	439	284	147	77	29	18	4	2	0	0	0
7	10	5	6	0.036	1	0.298977	0.9344	0.016353	1.2277	3344.8	0.9418	0.013266	1.2209	1	0	3	4	6	10	20	36	73	174	673
12	10	5	7	0.036	1	0.337624	0.8849	0.027009	0.67298	1795.5	0.8808	0.026318	0.65778	1	3	6	7	10	21	44	75	119	213	501
17	10	5	8	0.036	1	0.358241	0.8049	0.040266	0.35862	946.33	0.8004	0.042262	0.35981	0	4	10	17	43	52	89	98	165	218	304
22	10	5	9	0.036	1	0.37924	0.7175	0.052817	0.21011	491.83	0.7162	0.05233	0.19636	5	9	24	42	71	78	111	146	164	182	168
27	10	5	10	0.036	1	0.473083	0.6075	0.05635	0.11909	255.75	0.5935	0.057565	0.11176	5	27	54	75	109	114	144	164	140	103	65
32	10	5	11	0.036	1	0.478818	0.4858	0.052451	0.086184	130.98	0.4863	0.060002	0.069421	17	51	111	114	136	186	152	96	66	53	18
37	10	5	12	0.036	1	0.505866	0.3713	0.047514	0.046407	66.875	0.3689	0.04701	0.044562	62	107	149	167	164	140	103	52	38	15	3
42	10	10	6	0.036	1	0.346373	0.9898	0.0016576	1.9074	5126.0	0.9909	0.0014687	1.8914	0	0	0	0	0	1	0	4	15	55	925
52	10	10	7	0.036	1	0.375185	0.9727	0.0056904	1.1003	2932.1	0.9732	0.0049667	1.0944	0	0	1	0	2	1	8	12	33	114	829
62	10	10	8	0.036	1	0.411687	0.9444	0.01176	0.61267	1597.9	0.9439	0.011294	0.60222	0	0	1	1	5	11	11	32	68	180	691
72	10	10	9	0.036	1	0.46504	0.8888	0.022737	0.344	865.65	0.8902	0.021926	0.33693	0	0	1	9	9	24	41	86	102	241	487
82	10	10	10	0.036	1	0.529092	0.8096	0.037686	0.2012	458.41	0.7969	0.041582	0.20035	1	2	10	15	28	68	75	102	175	227	297
92	10	10	11	0.036	1	0.544656	0.7033	0.052071	0.11935	241.36	0.6919	0.051676	0.11881	3	5	30	50	68	98	125	134	162	178	147
102	10	10	12	0.036	1	0.590789	0.5781	0.056307	0.080171	125.47	0.5627	0.056535	0.078273	7	33	58	98	101	141	154	149	122	84	53
112	10	25	6	0.036	1	0.663431	0.9996	3.988e-05	3.1875	8331.7	0.9995	6.982e-05	3.1507	0	0	0	0	0	0	0	0	0	4	996
130	10	25	7	0.036	1	0.751713	0.9981	0.0003067	1.8765	4935.0	0.9982	0.00017694	1.9354	0	0	0	0	0	0	0	2	0	13	985
