k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.180015 0.5027 0.093316 0.31834 906.22 0.4884 0.087973 0.28126 67 85 110 99 97 85 98 111 80 73 95 
10 1 7 0.036 1 0.203296 0.4053 0.076558 0.15029 453.13 0.39 0.075175 0.149 87 131 131 127 110 109 92 70 66 46 31 
10 1 8 0.036 1 0.217241 0.3114 0.063433 0.083338 226.55 0.3243 0.062382 0.081615 166 162 153 129 100 99 78 49 34 19 11 
10 1 9 0.036 1 0.249018 0.2623 0.052061 0.050481 113.28 0.2625 0.053297 0.048123 206 192 147 141 112 73 50 43 24 12 0 
10 1 10 0.036 1 0.268954 0.1928 0.033882 0.032613 56.645 0.1966 0.036345 0.030661 266 234 177 134 94 46 26 13 6 3 1 
10 1 11 0.036 1 0.292055 0.1454 0.023522 0.024782 28.32 0.141 0.025665 0.021697 333 272 189 106 48 30 15 4 2 0 1 
10 1 12 0.036 1 0.327679 0.1053 0.016138 0.0188 14.142 0.0932 0.013267 0.016587 439 284 147 77 29 18 4 2 0 0 0 
10 5 6 0.036 1 0.298977 0.9344 0.016353 1.2277 3344.8 0.9418 0.013266 1.2209 1 0 3 4 6 10 20 36 73 174 673 
10 5 6 0.036 2 0.29898 0.7585 0.06239 0.34351 876.95 0.7619 0.062661 0.34666 5 30 16 38 44 69 70 121 141 167 299 
10 5 6 0.036 3 0.29898 0.4851 0.094883 0.11092 244.89 0.4935 0.093441 0.11037 74 100 105 98 111 104 81 71 89 82 85 
10 5 6 0.036 4 0.29898 0.2297 0.065373 0.041518 56.769 0.2243 0.06056 0.040207 325 202 106 101 80 53 38 38 24 21 12 
10 5 6 0.036 5 0.29898 0.0624 0.017564 0.022876 7.908 0.0549 0.012889 0.022604 707 153 57 37 18 11 10 2 2 1 2 
10 5 7 0.036 1 0.337624 0.8849 0.027009 0.67298 1795.5 0.8808 0.026318 0.65778 1 3 6 7 10 21 44 75 119 213 501 
10 5 7 0.036 2 0.33762 0.6431 0.080893 0.1538 366.97 0.6339 0.079921 0.15466 24 42 44 74 85 89 101 121 113 133 174 
10 5 7 0.036 3 0.33762 0.3569 0.085518 0.049988 84.533 0.3533 0.081391 0.048876 179 135 123 112 103 77 74 70 55 39 33 
10 5 7 0.036 4 0.33762 0.1406 0.039531 0.023077 16.711 0.1412 0.041224 0.022347 487 191 111 69 46 37 22 18 12 7 0 
10 5 7 0.036 5 0.33762 0.0298 0.0066987 0.016299 1.924 0.0313 0.0080784 0.015864 827 103 43 13 6 4 2 2 0 0 0 
10 5 8 0.036 1 0.358241 0.8049 0.040266 0.35862 946.33 0.8004 0.042262 0.35981 0 4 10 17 43 52 89 98 165 218 304 
10 5 8 0.036 2 0.35824 0.4934 0.081938 0.076538 152.47 0.4975 0.077882 0.07539 53 87 110 89 118 115 101 105 85 78 59 
10 5 8 0.036 3 0.35824 0.2276 0.057736 0.02853 28.905 0.2246 0.05537 0.026385 292 204 152 86 95 50 44 30 27 10 10 
10 5 8 0.036 4 0.35824 0.0738 0.020975 0.016882 4.699 0.0695 0.016716 0.016077 664 164 82 34 21 12 10 6 2 4 1 
10 5 8 0.036 5 0.35824 0.0133 0.0023955 0.013863 0.462 0.012 0.001978 0.013523 908 65 19 3 4 1 0 0 0 0 0 
10 5 9 0.036 1 0.37924 0.7175 0.052817 0.21011 491.83 0.7162 0.05233 0.19636 5 9 24 42 71 78 111 146 164 182 168 
