k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1e-07 7.15762 0.8678 0.035999 0.17071 0 0.0036489 0.016078 0.15076 431.18 58000 100 0.8575 0.037461 0.16864 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.375e-07 7.1576 0.8678 0.035999 0.1679 0 0.0025343 0.014898 0.15024 431.18 58000 100 0.8575 0.037461 0.16869 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.75e-07 7.1576 0.8678 0.035999 0.1676 0 0.0025381 0.014864 0.14997 431.18 58000 100 0.8575 0.037461 0.16877 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 2.5e-07 7.1576 0.8678 0.035999 0.16775 0 0.0025256 0.014877 0.15012 431.18 58000 100 0.8575 0.037461 0.16864 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 3.75e-07 7.1576 0.8678 0.035999 0.1673 0 0.0026043 0.014881 0.1496 431.18 58000 100 0.8575 0.037461 0.16796 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 5e-07 7.1576 0.8678 0.035999 0.17011 0 0.0025387 0.016348 0.15099 431.18 58000 100 0.8575 0.037461 0.17113 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 7.5e-07 7.1576 0.8678 0.035999 0.16759 0 0.002529 0.014853 0.14999 431.18 58000 100 0.8575 0.037461 0.16867 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1e-06 7.1576 0.8678 0.035999 0.16775 0 0.0025603 0.014922 0.15005 431.18 58000 100 0.8575 0.037461 0.16892 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.375e-06 7.1576 0.8678 0.035999 0.16761 0 0.002513 0.014831 0.15005 431.18 58000 100 0.8575 0.037461 0.16864 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.75e-06 7.1576 0.8678 0.035999 0.16769 0 0.0025441 0.014945 0.14996 431.18 58000 100 0.8575 0.037461 0.16859 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 2.5e-06 7.1576 0.8678 0.035999 0.16698 0 0.0026192 0.014843 0.14929 431.18 58000 100 0.8575 0.037461 0.16787 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 3.75e-06 7.1576 0.8678 0.035999 0.16794 0 0.0025629 0.014978 0.15018 431.18 58000 100 0.8575 0.037461 0.16797 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 5e-06 7.1576 0.8678 0.035999 0.16768 0 0.0025267 0.014861 0.15007 431.18 58000 100 0.8575 0.037461 0.16915 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 7.5e-06 7.1576 0.8678 0.035999 0.17044 0 0.0025506 0.016534 0.15114 431.18 58000 100 0.8575 0.037461 0.17155 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1e-05 7.1576 0.8678 0.035999 0.16805 0 0.0025392 0.014925 0.15037 431.18 58000 100 0.8575 0.037461 0.16864 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.375e-05 7.1576 0.8678 0.035999 0.16752 0 0.0025948 0.014899 0.1498 431.18 58000 100 0.8575 0.037461 0.16804 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 1.75e-05 7.1576 0.8678 0.035999 0.16765 0 0.0025478 0.014833 0.15005 431.18 58000 100 0.8575 0.037461 0.16908 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 2.5e-05 7.1576 0.8678 0.035999 0.1715 0 0.00324 0.015672 0.15237 431.18 58000 100 0.8575 0.037461 0.16793 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 3.75e-05 7.1576 0.8678 0.035999 0.16698 0 0.0027883 0.014941 0.14902 431.18 58000 100 0.8575 0.037461 0.16724 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 5e-05 7.1576 0.8678 0.035999 0.16726 0 0.0025311 0.014947 0.14957 431.18 58000 100 0.8575 0.037461 0.17224 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 7.5e-05 7.1576 0.8678 0.035999 0.16647 0 0.0025233 0.014942 0.14878 431.18 58000 100 0.8575 0.037461 0.16748 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 0.0001 7.1576 0.8678 0.035999 0.16917 0 0.0025187 0.016599 0.14984 431.18 58000 100 0.8575 0.037461 0.16994 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 0.0001375 7.1576 0.8678 0.035999 0.16651 0 0.0025124 0.014988 0.14879 431.18 58000 100 0.8575 0.037461 0.16732 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 0.000175 7.1576 0.8678 0.035999 0.16697 0 0.0025543 0.015044 0.14915 431.18 58000 100 0.8575 0.037461 0.16742 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 0.00025 7.1576 0.8678 0.035999 0.16656 0 0.0025366 0.014901 0.14889 431.18 58000 100 0.8575 0.037461 0.16674 6 5 6 10 16 34 45 71 120 200 487 
10 5 12 0.036 10 1 0.000375 7.1576 0.8675 0.03603 0.16627 0 0.0025132 0.014917 0.14862 429.98 58000 100 0.8575 0.037461 0.16692 6 5 6 10 16 34 46 70 121 200 486 
10 5 12 0.036 10 1 0.0005 7.1576 0.8641 0.036338 0.16124 0 0.0025794 0.014878 0.14357 417.75 58000 100 0.8553 0.03781 0.16327 6 5 6 10 17 34 51 69 123 207 472 
10 5 12 0.036 10 1 0.00075 7.1576 0.8499 0.038318 0.14673 0 0.0025149 0.01511 0.12888 369.67 58000 100 0.84 0.041101 0.1464 6 5 7 13 21 35 53 85 133 215 427 
10 5 12 0.036 10 1 0.001 7.1576 0.8312 0.042689 0.12733 0 0.0024509 0.014898 0.10968 315.96 58000 100 0.8208 0.045953 0.12857 7 4 10 20 27 34 67 89 140 215 387 
10 5 12 0.036 10 1 0.001375 7.1576 0.7867 0.053447 0.099178 0 0.0023637 0.014814 0.081699 233.13 58000 100 0.7788 0.056407 0.0999 9 10 14 30 49 42 81 96 162 191 316 
10 5 12 0.036 10 1 0.00175 7.1576 0.7516 0.060718 0.080861 0 0.0022538 0.014488 0.063814 179.78 58000 100 0.7465 0.063711 0.081679 14 13 23 38 54 52 85 107 175 182 257 
10 5 12 0.036 10 1 0.0025 7.1576 0.6901 0.071764 0.059554 0 0.0021337 0.013894 0.043218 118.37 58000 100 0.6859 0.075627 0.059899 20 25 38 60 56 76 103 113 156 171 182 
10 5 12 0.036 10 1 0.00375 7.1576 0.5877 0.085404 0.040103 0 0.0019542 0.013277 0.024581 63.776 58000 100 0.5821 0.086276 0.039441 47 59 59 74 73 107 101 119 131 136 94 
10 5 12 0.036 10 1 0.005 7.1576 0.5089 0.088179 0.031556 0 0.0018458 0.012956 0.016469 41.103 58000 100 0.4946 0.090782 0.031028 76 82 79 93 84 114 107 108 105 94 58 
10 5 12 0.036 10 1 0.0075 7.1576 0.3631 0.083952 0.022676 0 0.0018939 0.012339 0.0081065 18.451 58000 100 0.3531 0.07979 0.02247 170 139 128 84 106 95 79 69 68 36 26 
10 5 12 0.036 10 1 0.01 7.1576 0.2656 0.069326 0.018813 0 0.0018662 0.011752 0.0048465 9.882 58000 100 0.253 0.065136 0.018321 276 165 131 109 88 61 59 39 40 22 10 
10 5 13 0.036 10 1 1e-07 8.92554 0.7805 0.058228 0.11427 0 0.00408 0.014898 0.095085 249.43 58000 100 0.7759 0.059809 0.1101 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.375e-07 8.9255 0.7805 0.058228 0.11097 0 0.0029666 0.013473 0.094227 249.43 58000 100 0.7759 0.059809 0.11302 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 1.75e-07 8.9255 0.7805 0.058228 0.11304 0 0.0029885 0.013674 0.096083 249.43 58000 100 0.7759 0.059809 0.11021 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 2.5e-07 8.9255 0.7805 0.058228 0.10951 0 0.0029051 0.013241 0.093069 249.43 58000 100 0.7759 0.059809 0.11043 8 18 19 25 45 58 80 97 129 197 324 
10 5 13 0.036 10 1 3.75e-07 8.9255 0.7805 0.058228 0.10954 0 0.0029223 0.013361 0.092968 249.43 58000 100 0.7759 0.059809 0.10966 8 18 19 25 45 58 80 97 129 197 324 
