k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1 22.2967 0.8387 0.040393 0.12516 0 0.00711 0.018165 0.099654 277.46 58000 0.8389 0.037274 0.12157 4 8 9 20 18 33 63 88 130 240 387 
10 5 12 0.036 10 1 2 22.297 0.7069 0.069572 0.053107 0 0.0022275 0.013092 0.037471 98.602 58000 0.7085 0.065824 0.053051 22 20 35 47 62 69 77 125 171 180 192 
10 5 12 0.036 10 1 3 22.297 0.5926 0.08439 0.036152 0 0.0020364 0.012569 0.021261 52.86 58000 0.5902 0.081165 0.03565 50 51 62 70 71 91 113 128 148 116 100 
10 5 12 0.036 10 1 4 22.297 0.5017 0.085112 0.02937 0 0.002139 0.012975 0.013942 32.791 58000 0.498 0.0843 0.028906 72 90 84 80 88 117 116 126 99 68 60 
10 5 12 0.036 10 1 5 22.297 0.4262 0.084018 0.024851 0 0.0020132 0.012873 0.009638 21.823 58000 0.4184 0.084966 0.024193 124 101 98 93 118 113 102 100 65 43 43 
10 5 12 0.036 10 1 6 22.297 0.3591 0.080077 0.02152 0 0.0019038 0.012133 0.0071373 15.292 58000 0.3521 0.081537 0.020981 180 123 107 114 103 108 93 63 43 43 23 
10 5 12 0.036 10 1 7 22.297 0.3002 0.072232 0.019745 0 0.0018086 0.012251 0.0053441 10.93 58000 0.2931 0.073436 0.019076 233 154 108 124 94 96 61 55 37 23 15 
10 5 12 0.036 10 1 8 22.297 0.2474 0.064478 0.017352 0 0.0016161 0.011298 0.0041066 8.009 58000 0.2437 0.065746 0.01676 304 167 116 102 110 62 51 31 27 20 10 
10 5 12 0.036 10 1 9 22.297 0.2044 0.056377 0.015899 0 0.0015772 0.010768 0.0032366 5.984 58000 0.2007 0.055145 0.015322 372 178 115 98 80 55 35 27 20 12 8 
10 5 12 0.036 10 1 10 22.297 0.1716 0.048842 0.015282 0 0.0015229 0.010891 0.0025774 4.507 58000 0.1694 0.047952 0.014761 431 181 113 93 60 46 22 25 15 7 7 
10 5 12 0.036 10 1 11 22.297 0.1439 0.042625 0.013889 0 0.0014508 0.010197 0.0019518 3.428 58000 0.1435 0.040578 0.013501 495 171 113 79 51 29 18 22 11 4 7 
10 5 12 0.036 10 1 12 22.297 0.1198 0.036625 0.0132 0 0.0013984 0.0099999 0.0015251 2.679 58000 0.1169 0.033258 0.012898 557 166 99 63 46 16 20 18 6 3 6 
10 5 12 0.036 10 1 13 22.297 0.0997 0.030881 0.012736 0 0.001371 0.0098477 0.0012478 2.135 58000 0.0955 0.026937 0.01233 610 158 91 50 37 12 22 7 4 4 5 
10 5 12 0.036 10 1 14 22.297 0.0841 0.026684 0.012117 0 0.0013583 0.0095242 0.00099674 1.656 58000 0.0815 0.022871 0.012064 663 142 76 45 31 9 16 7 5 2 4 
