k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 13 0.036 10 1 1 0.201153 0.3091 0.075082 0.033035 0 0.00095326 0.010225 0.021635 59.511 58000 0.2919 0.07578 0.031969 239 147 103 109 90 87 77 73 42 23 10 
10 1 13 0.036 10 1 2 0.20115 0.1153 0.031948 0.015741 0 0.00087539 0.01007 0.0044966 8.781 58000 0.1103 0.031075 0.014669 561 155 107 64 51 22 22 7 4 5 2 
10 1 13 0.036 10 1 3 0.20115 0.046 0.013518 0.011114 0 0.00075774 0.0086985 0.001425 2.05 58000 0.0414 0.010136 0.010636 786 101 58 25 8 9 6 2 4 1 0 
10 1 13 0.036 10 1 4 0.20115 0.0174 0.0043015 0.010084 0 0.00041145 0.0089716 0.00041491 0.56 58000 0.0154 0.003126 0.0099672 903 58 18 13 1 5 2 0 0 0 0 
10 1 13 0.036 10 1 5 0.20115 0.0053 0.001103 0.0091892 0 0.00038963 0.0083951 0.00015939 0.135 58000 0.005 0.00091592 0.0094062 965 25 5 3 1 1 0 0 0 0 0 
10 1 13 0.036 10 1 6 0.20115 0.0009 0.00014934 0.0089166 0 0.00039078 0.0082753 6.3227e-05 0.027 58000 0.0014 0.0002583 0.00936 993 6 0 1 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 7 0.20115 0 0 0.0092266 0 0.0003846 0.00861 4.1812e-05 0.005 58000 0.0001 1e-05 0.0093324 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 8 0.20115 0 0 0.0088784 0 0.0004107 0.008248 3.8861e-05 0.001 58000 0 0 0.0093061 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 9 0.20115 0 0 0.0088761 0 0.00038129 0.0082815 3.3095e-05 0 58000 0 0 0.0092808 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 10 0.20115 0 0 0.009303 0 0.00040974 0.0086729 3.6372e-05 0 58000 0 0 0.0095976 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 11 0.20115 0 0 0.0084648 0 0.00039046 0.007869 3.1656e-05 0 58000 0 0 0.0087997 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 12 0.20115 0 0 0.0089369 0 0.00039039 0.008331 3.3993e-05 0 58000 0 0 0.0091697 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 13 0.20115 0 0 0.0086101 0 0.00038396 0.0080167 3.5159e-05 0 58000 0 0 0.0089747 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 14 0.20115 0 0 0.0089958 0 0.000415 0.0083555 3.7242e-05 0 58000 0 0 0.0091941 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 15 0.20115 0 0 0.0089808 0 0.00039405 0.0083603 3.3479e-05 0 58000 0 0 0.0089823 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 16 0.20115 0 0 0.008869 0 0.00040246 0.0082486 3.4377e-05 0 58000 0 0 0.0088835 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 17 0.20115 0 0 0.0086383 0 0.00038441 0.0080384 3.1326e-05 0 58000 0 0 0.0089087 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 18 0.20115 0 0 0.0086423 0 0.00041738 0.0080116 3.5776e-05 0 58000 0 0 0.0093191 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 19 0.20115 0 0 0.0087028 0 0.00036992 0.008111 2.9805e-05 0 58000 0 0 0.0092031 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 20 0.20115 0 0 0.0087835 0 0.00042091 0.0081491 3.7533e-05 0 58000 0 0 0.0093549 1000 0 0 0 0 0 0 0 0 0 0 
