k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 13 0.036 10 1 1 0.482768 0.3517 0.078195 0.034013 0 0.0022599 0.010743 0.020774 57.107 58000 0.3581 0.07575 0.032197 178 128 128 100 111 96 83 65 59 36 16 
10 1 13 0.036 10 1 2 0.48277 0.1516 0.039917 0.016826 0 0.0019141 0.0099951 0.0046241 9.947 58000 0.1468 0.037207 0.015749 459 181 115 88 63 34 26 17 10 6 1 
10 1 13 0.036 10 1 3 0.48277 0.0641 0.015957 0.012824 0 0.0016828 0.0092045 0.0016845 2.702 58000 0.0584 0.014404 0.011742 696 144 71 43 26 9 4 4 2 1 0 
10 1 13 0.036 10 1 4 0.48277 0.0257 0.0059955 0.010711 0 0.0013075 0.0085998 0.00059236 0.781 58000 0.022 0.0047808 0.010067 858 74 45 10 7 3 1 2 0 0 0 
10 1 13 0.036 10 1 5 0.48277 0.0098 0.002006 0.010212 0 0.0011277 0.0086749 0.00022357 0.218 58000 0.0072 0.0013095 0.0095156 936 44 12 4 2 2 0 0 0 0 0 
10 1 13 0.036 10 1 6 0.48277 0.0026 0.00037361 0.0097339 0 0.0011098 0.0083625 8.7438e-05 0.05 58000 0.0019 0.00028668 0.0093159 980 14 6 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 7 0.48277 0.0002 1.998e-05 0.0097131 0 0.0010951 0.0084051 4.1488e-05 0.005 58000 0.0003 2.994e-05 0.0092708 998 2 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 8 0.48277 0 0 0.0096099 0 0.001081 0.0083302 3.1319e-05 0 58000 0.0001 1e-05 0.0092296 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 9 0.48277 0 0 0.0096558 0 0.0010871 0.008363 3.2065e-05 0 58000 0 0 0.0092563 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 10 0.48277 0 0 0.0096701 0 0.0010811 0.0083873 3.1894e-05 0 58000 0 0 0.0092497 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 11 0.48277 0 0 0.0099202 0 0.0011276 0.0085822 3.3654e-05 0 58000 0 0 0.0094 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 12 0.48277 0 0 0.009551 0 0.0010854 0.008263 3.1572e-05 0 58000 0 0 0.0091021 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 13 0.48277 0 0 0.0099747 0 0.0011239 0.008639 3.7108e-05 0 58000 0 0 0.0092282 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 14 0.48277 0 0 0.0096364 0 0.0010809 0.0083395 3.5685e-05 0 58000 0 0 0.0092557 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 15 0.48277 0 0 0.0096541 0 0.0010757 0.0083745 3.7343e-05 0 58000 0 0 0.0092298 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 16 0.48277 0 0 0.0097403 0 0.0010953 0.0084413 3.1085e-05 0 58000 0 0 0.0092479 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 17 0.48277 0 0 0.009638 0 0.0010908 0.0083455 3.1784e-05 0 58000 0 0 0.0092468 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 18 0.48277 0 0 0.0096429 0 0.0010779 0.0083599 3.1364e-05 0 58000 0 0 0.0092535 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 19 0.48277 0 0 0.0096237 0 0.0010847 0.0083367 3.1428e-05 0 58000 0 0 0.0092591 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 20 0.48277 0 0 0.0096035 0 0.0010795 0.0083226 3.2467e-05 0 58000 0 0 0.0092483 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 22 0.48277 0 0 0.0097611 0 0.0011013 0.0084545 3.2168e-05 0 58000 0 0 0.0092873 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 25 0.48277 0 0 0.009695 0 0.001088 0.0084024 3.6236e-05 0 58000 0 0 0.0094676 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 30 0.48277 0 0 0.010689 0 0.0011696 0.0092645 5.0611e-05 0 58000 0 0 0.010445 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 35 0.48277 0 0 0.0098906 0 0.0011056 0.0085754 3.4682e-05 0 58000 0 0 0.0092363 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 40 0.48277 0 0 0.0098711 0 0.0010981 0.0085518 3.3336e-05 0 58000 0 0 0.0090998 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 50 0.48277 0 0 0.010131 0 0.0011346 0.0087857 3.3504e-05 0 58000 0 0 0.0092734 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 60 0.48277 0 0 0.0097134 0 0.0010883 0.0084124 3.1885e-05 0 58000 0 0 0.009248 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 70 0.48277 0 0 0.0098276 0 0.0011088 0.0085086 3.6079e-05 0 58000 0 0 0.0092975 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 80 0.48277 0 0 0.0095822 0 0.001081 0.0082985 3.2268e-05 0 58000 0 0 0.0091618 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 90 0.48277 0 0 0.0096669 0 0.0010939 0.0083644 3.18e-05 0 58000 0 0 0.0090925 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 100 0.48277 0 0 0.0097867 0 0.0010998 0.0084715 3.7404e-05 0 58000 0 0 0.0091204 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 125 0.48277 0 0 0.0098986 0 0.0011122 0.0085755 3.6382e-05 0 58000 0 0 0.0095886 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 150 0.48277 0 0 0.0098763 0 0.0011128 0.0085526 3.8381e-05 0 58000 0 0 0.0092449 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 200 0.48277 0 0 0.010034 0 0.001138 0.0086833 3.2668e-05 0 58000 0 0 0.0094097 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 300 0.48277 0 0 0.0097917 0 0.0011235 0.008451 4.2941e-05 0 58000 0 0 0.0091093 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 400 0.48277 0 0 0.0094368 0 0.0010703 0.008164 3.1321e-05 0 58000 0 0 0.0090916 1000 0 0 0 0 0 0 0 0 0 0 
