k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 13 0.036 10 1 1 0.177428 0.1928 0.054062 0.034004 0.00079058 0.00023128 0.0098602 0.022862 64.684 58000 0.1871 0.058322 0.032756 408 150 133 88 71 53 37 26 16 13 5 
10 1 13 0.036 10 1 2 0.17743 0.0437 0.011552 0.014012 0.00079771 0.0001957 0.0097852 0.002926 5.411 58000 0.0508 0.016196 0.01273 783 112 51 25 12 7 8 1 0 0 1 
10 1 13 0.036 10 1 3 0.17743 0.0114 0.0025526 0.010637 0.00063823 0.00018911 0.0090337 0.00054147 0.715 58000 0.0154 0.0044473 0.0097642 927 49 15 6 1 1 0 0 1 0 0 
10 1 13 0.036 10 1 4 0.17743 0.0023 0.00034506 0.0099661 0.00050688 0.00017853 0.0089265 0.00013394 0.121 58000 0.0043 0.00081232 0.0091753 980 19 0 0 1 0 0 0 0 0 0 
10 1 13 0.036 10 1 5 0.17743 0.0002 1.998e-05 0.0096745 0.00049486 0.00017691 0.0087498 5.0266e-05 0.016 58000 0.0012 0.00015872 0.009026 998 2 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 6 0.17743 0 0 0.0095865 0.00050008 0.00017439 0.0086687 3.7287e-05 0.002 58000 0 0 0.0089986 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 7 0.17743 0 0 0.0095739 0.00049514 0.00017518 0.008667 3.6237e-05 0.001 58000 0 0 0.0089836 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 8 0.17743 0 0 0.0097777 0.00049554 0.00017452 0.0088741 3.2002e-05 0 58000 0 0 0.0089923 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 9 0.17743 0 0 0.0098001 0.00050766 0.000177 0.0088727 3.4295e-05 0 58000 0 0 0.008997 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 10 0.17743 0 0 0.0096543 0.00050163 0.00017691 0.0087198 3.4109e-05 0 58000 0 0 0.0089915 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 11 0.17743 0 0 0.0096854 0.00050598 0.00017814 0.0087565 3.3442e-05 0 58000 0 0 0.0089747 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 12 0.17743 0 0 0.0097849 0.00050721 0.00017881 0.0088638 3.3821e-05 0 58000 0 0 0.0089784 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 13 0.17743 0 0 0.0096143 0.00048877 0.00017443 0.0086843 3.6166e-05 0 58000 0 0 0.0088042 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 14 0.17743 0 0 0.0097197 0.00049542 0.00017568 0.0088154 3.2243e-05 0 58000 0 0 0.0089911 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 15 0.17743 0 0 0.010259 0.00052495 0.00018489 0.0092873 3.3468e-05 0 58000 0 0 0.0090368 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 16 0.17743 0 0 0.0098593 0.00051134 0.00017917 0.0089266 3.393e-05 0 58000 0 0 0.0091027 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 17 0.17743 0 0 0.009841 0.00049674 0.00018105 0.008897 3.237e-05 0 58000 0 0 0.0089873 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 18 0.17743 0 0 0.0097115 0.00049488 0.00017518 0.0087886 3.2132e-05 0 58000 0 0 0.008985 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 19 0.17743 0 0 0.010079 0.00051593 0.00018454 0.0091071 3.3349e-05 0 58000 0 0 0.0089989 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 20 0.17743 0 0 0.0097731 0.0004932 0.00018161 0.0088588 3.1298e-05 0 58000 0 0 0.0089829 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 22 0.17743 0 0 0.0096102 0.00049346 0.00017455 0.0086975 3.2736e-05 0 58000 0 0 0.0090333 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 25 0.17743 0 0 0.0096136 0.00049338 0.00017538 0.0087054 3.1621e-05 0 58000 0 0 0.0089747 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 30 0.17743 0 0 0.0095688 0.00049012 0.00017386 0.0086584 3.1738e-05 0 58000 0 0 0.0089762 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 35 0.17743 0 0 0.0097983 0.00049446 0.00017691 0.0088909 3.1691e-05 0 58000 0 0 0.0089795 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 40 0.17743 0 0 0.0097321 0.00049323 0.00017619 0.0088214 3.3046e-05 0 58000 0 0 0.0089841 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 50 0.17743 0 0 0.0096964 0.00049949 0.00017946 0.0087735 3.1588e-05 0 58000 0 0 0.0089942 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 60 0.17743 0 0 0.0097487 0.00050186 0.00019492 0.0088067 3.1718e-05 0 58000 0 0 0.0090057 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 70 0.17743 0 0 0.0098169 0.00049189 0.00017526 0.008904 3.1711e-05 0 58000 0 0 0.0090014 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 80 0.17743 0 0 0.0097252 0.00050093 0.00018791 0.008792 3.1469e-05 0 58000 0 0 0.0090409 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 90 0.17743 0 0 0.0096222 0.00049562 0.00017416 0.0087232 3.2092e-05 0 58000 0 0 0.0089887 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 100 0.17743 0 0 0.0095767 0.00049609 0.00017386 0.0086615 3.131e-05 0 58000 0 0 0.0089922 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 125 0.17743 0 0 0.0095633 0.00049303 0.00017832 0.0086573 3.1689e-05 0 58000 0 0 0.009285 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 150 0.17743 0 0 0.0095556 0.00048961 0.00017497 0.0086592 3.0864e-05 0 58000 0 0 0.008982 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 200 0.17743 0 0 0.0098314 0.00051687 0.00017684 0.0088935 3.2185e-05 0 58000 0 0 0.0089899 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 300 0.17743 0 0 0.0095731 0.00049209 0.0001749 0.0086671 3.1284e-05 0 58000 0 0 0.0089752 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 400 0.17743 0 0 0.0097645 0.00049146 0.00017505 0.0088463 3.2215e-05 0 58000 0 0 0.0089827 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 10 1 500 0.17743 0 0 0.0096644 0.00049413 0.00017582 0.0087518 3.2304e-05 0 58000 0 0 0.0089703 1000 0 0 0 0 0 0 0 0 0 0 
