	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	13	0.036	10	1	1	0.177428	0.1928	0.054062	0.034004	0.00079058	0.00023128	0.0098602	0.022862	64.684	58000	0.1871	0.058322	0.032756	408	150	133	88	71	53	37	26	16	13	5
41	10	1	14	0.036	10	1	1	0.14247	0.1356	0.041274	0.02562	0.00088463	0.00028066	0.010602	0.013599	33.963	58000	0.1267	0.040418	0.024242	553	118	119	63	51	30	32	13	15	6	0
82	10	5	13	0.036	10	1	1	0.260167	0.5867	0.082776	0.11693	0.0020089	0.0015062	0.01259	0.10043	296.43	58000	0.5759	0.081711	0.11809	53	49	56	68	68	113	143	113	117	120	100
123	10	5	14	0.036	10	1	1	0.351781	0.436	0.084689	0.074258	0.0024085	0.0015679	0.01202	0.057945	159.42	58000	0.4412	0.084147	0.072639	98	114	113	92	118	104	92	86	85	62	36
164	10	10	13	0.036	10	1	1	0.318327	0.7645	0.053864	0.20843	0.0036286	0.0032818	0.016974	0.18424	556.56	58000	0.7408	0.061937	0.20914	10	13	13	30	49	57	91	115	178	180	264
205	10	10	14	0.036	10	1	1	0.372526	0.6511	0.073232	0.12445	0.0038146	0.0034737	0.015183	0.10169	300.36	58000	0.6379	0.074608	0.12426	18	40	37	64	87	97	91	136	141	144	145
246	10	15	13	0.036	10	1	1	0.420767	0.8447	0.038711	0.34136	0.0051776	0.0046914	0.020468	0.31068	793.78	58000	0.8383	0.038862	0.34388	1	5	15	16	25	29	51	89	144	212	413
287	10	15	14	0.036	10	1	1	0.447426	0.7353	0.062346	0.17396	0.0053783	0.0052425	0.017709	0.1453	434.82	58000	0.7342	0.062753	0.17298	13	22	25	30	56	66	90	132	151	185	230
328	10	20	13	0.036	10	1	1	0.414683	0.8932	0.02638	0.37815	0.0066485	0.0065495	0.025449	0.33921	1014.8	58000	0.8856	0.028601	0.38093	0	2	4	12	13	19	37	66	113	189	545
369	10	20	14	0.036	10	1	1	0.529797	0.8105	0.045245	0.22039	0.0070204	0.0079227	0.021354	0.18379	555.02	58000	0.8102	0.043539	0.22142	4	7	13	21	26	55	87	93	130	223	341
410	10	25	13	0.036	10	1	1	0.438052	0.9234	0.016809	0.44083	0.0077567	0.0081321	0.028172	0.39649	1208.4	58000	0.9179	0.018068	0.44407	0	0	3	4	6	9	26	51	93	190	618
451	10	25	14	0.036	10	1	1	0.455341	0.8467	0.036646	0.30519	0.0089313	0.0088331	0.02322	0.2639	671.71	58000	0.8473	0.03715	0.30699	1	2	18	12	16	33	67	86	136	218	411
492	10	30	13	0.036	10	1	1	0.470489	0.9382	0.013314	0.51154	0.0092106	0.010137	0.033005	0.4589	1396.9	58000	0.9389	0.01325	0.51993	0	1	1	1	2	11	21	42	70	177	674
