	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.036	1	0.0418497	0.2899	0.064312	0.28259	0.00062103	0.00010459	0.010784	0.27082	906.25	0.2821	0.058568	0.27711	193	182	155	115	102	81	61	48	32	19	12
1	10	1	7	0.036	1	0.0386917	0.2168	0.052991	0.14777	0.00059759	9.4834e-05	0.0097399	0.13708	453.12	0.2131	0.045944	0.14633	308	194	157	100	72	62	43	26	25	8	5
2	10	1	8	0.036	1	0.0448605	0.1537	0.03358	0.082685	0.00065898	0.00012071	0.0093309	0.072315	226.56	0.156	0.033558	0.081689	383	240	143	93	56	43	21	7	8	6	0
3	10	1	9	0.036	1	0.0442372	0.1169	0.021826	0.049056	0.00072182	0.00012538	0.0090595	0.038909	113.27	0.1112	0.021596	0.048115	437	268	142	67	44	21	15	3	3	0	0
4	10	1	10	0.036	1	0.044525	0.0822	0.012876	0.03193	0.00072883	0.00014781	0.0093617	0.021449	56.607	0.0836	0.014846	0.031075	525	268	117	61	16	8	3	1	1	0	0
5	10	1	11	0.036	1	0.0761303	0.0697	0.010322	0.030553	0.00097076	0.00025817	0.014328	0.014615	28.314	0.0662	0.011089	0.027337	562	278	97	37	20	4	0	2	0	0	0
6	10	1	12	0.036	1	0.0571144	0.037	0.0052362	0.017376	0.00079122	0.00017305	0.0093385	0.0067458	14.178	0.0389	0.0046414	0.016587	733	192	56	14	2	2	1	0	0	0	0
7	10	5	6	0.036	1	0.0600543	0.7551	0.052787	1.4815	0.0014021	0.00021691	0.023268	1.4562	4132.8	0.7486	0.048166	1.4786	3	9	23	29	65	66	91	120	158	191	245
12	10	5	7	0.036	1	0.060429	0.6697	0.065237	0.75534	0.0014317	0.00026004	0.015992	0.73728	2109.1	0.6831	0.056901	0.75575	14	17	36	64	81	101	117	136	133	141	160
17	10	5	8	0.036	1	0.0833072	0.5575	0.068833	0.47356	0.0016081	0.00035202	0.01269	0.45855	1079.1	0.5395	0.071201	0.46788	24	47	74	91	118	131	109	135	122	85	64
