k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.0418497 0.2899 0.064312 0.28259 0.00062103 0.00010459 0.010784 0.27082 906.25 0.2821 0.058568 0.27711 193 182 155 115 102 81 61 48 32 19 12 
10 1 7 0.036 1 0.0386917 0.2168 0.052991 0.14777 0.00059759 9.4834e-05 0.0097399 0.13708 453.12 0.2131 0.045944 0.14633 308 194 157 100 72 62 43 26 25 8 5 
10 1 8 0.036 1 0.0448605 0.1537 0.03358 0.082685 0.00065898 0.00012071 0.0093309 0.072315 226.56 0.156 0.033558 0.081689 383 240 143 93 56 43 21 7 8 6 0 
10 1 9 0.036 1 0.0442372 0.1169 0.021826 0.049056 0.00072182 0.00012538 0.0090595 0.038909 113.27 0.1112 0.021596 0.048115 437 268 142 67 44 21 15 3 3 0 0 
10 1 10 0.036 1 0.044525 0.0822 0.012876 0.03193 0.00072883 0.00014781 0.0093617 0.021449 56.607 0.0836 0.014846 0.031075 525 268 117 61 16 8 3 1 1 0 0 
10 1 11 0.036 1 0.0761303 0.0697 0.010322 0.030553 0.00097076 0.00025817 0.014328 0.014615 28.314 0.0662 0.011089 0.027337 562 278 97 37 20 4 0 2 0 0 0 
10 1 12 0.036 1 0.0571144 0.037 0.0052362 0.017376 0.00079122 0.00017305 0.0093385 0.0067458 14.178 0.0389 0.0046414 0.016587 733 192 56 14 2 2 1 0 0 0 0 
10 5 6 0.036 1 0.0600543 0.7551 0.052787 1.4815 0.0014021 0.00021691 0.023268 1.4562 4132.8 0.7486 0.048166 1.4786 3 9 23 29 65 66 91 120 158 191 245 
10 5 6 0.036 2 0.060054 0.4023 0.076441 0.1493 0.0015434 0.00017443 0.020221 0.12703 358.17 0.3898 0.071728 0.15102 104 109 133 123 133 98 88 73 59 54 26 
10 5 6 0.036 3 0.060054 0.1445 0.035345 0.033928 0.0011813 0.00015739 0.01719 0.01504 36.781 0.1497 0.038318 0.033404 430 231 131 60 59 45 19 10 9 5 1 
10 5 6 0.036 4 0.060054 0.035 0.0072022 0.020539 0.0012289 0.00015975 0.016778 0.0019984 3.312 0.0341 0.0070142 0.019659 786 134 50 18 6 1 4 0 0 1 0 
10 5 6 0.036 5 0.060054 0.0044 0.00070134 0.01811 0.00097068 0.00015291 0.016448 0.00021915 0.169 0.0031 0.00034073 0.017719 965 30 2 2 1 0 0 0 0 0 0 
10 5 7 0.036 1 0.060429 0.6697 0.065237 0.75534 0.0014317 0.00026004 0.015992 0.73728 2109.1 0.6831 0.056901 0.75575 14 17 36 64 81 101 117 136 133 141 160 
10 5 7 0.036 2 0.060429 0.3095 0.068068 0.069337 0.0013161 0.00021326 0.014366 0.053119 141.35 0.3203 0.066685 0.069766 186 164 145 119 98 79 82 53 43 20 11 
10 5 7 0.036 3 0.060429 0.1022 0.023999 0.02129 0.0013173 0.0001961 0.012933 0.0064577 13.736 0.1041 0.025038 0.020606 548 208 86 78 32 21 18 6 2 1 0 
10 5 7 0.036 4 0.060429 0.0219 0.003614 0.015187 0.0012902 0.00020437 0.012443 0.00092036 1.326 0.0195 0.0036734 0.014802 848 105 33 10 2 2 0 0 0 0 0 
10 5 7 0.036 5 0.060429 0.0024 0.00031455 0.013634 0.00098565 0.00021 0.01205 0.00011495 0.078 0.0019 0.00036676 0.013653 980 16 4 0 0 0 0 0 0 0 0 
10 5 8 0.036 1 0.0833072 0.5575 0.068833 0.47356 0.0016081 0.00035202 0.01269 0.45855 1079.1 0.5395 0.071201 0.46788 24 47 74 91 118 131 109 135 122 85 64 
10 5 8 0.036 2 0.083307 0.1999 0.043493 0.03815 0.001604 0.00026834 0.011485 0.024467 49.608 0.1889 0.041268 0.036736 291 227 167 109 82 43 35 20 18 6 2 
10 5 8 0.036 3 0.083307 0.0539 0.011456 0.015712 0.0016776 0.00023614 0.010795 0.0026359 3.783 0.0522 0.010886 0.014826 702 173 65 26 20 10 1 2 1 0 0 
10 5 8 0.036 4 0.083307 0.0095 0.0015213 0.013227 0.0013084 0.00027696 0.011032 0.00032534 0.308 0.0093 0.001525 0.012722 928 56 11 4 0 1 0 0 0 0 0 
10 5 8 0.036 5 0.083307 0.0006 5.97e-05 0.012255 0.001107 0.00018713 0.010641 5.4778e-05 0.013 0.0012 0.00011868 0.01202 994 6 0 0 0 0 0 0 0 0 0 
10 5 9 0.036 1 0.074565 0.4483 0.063641 0.20746 0.0015777 0.00037328 0.010666 0.19452 547.38 0.4438 0.062764 0.20742 43 98 121 114 135 123 124 105 80 43 14 
10 5 9 0.036 2 0.074565 0.1252 0.02471 0.021329 0.0015415 0.00031981 0.010385 0.0087109 17.857 0.122 0.0242 0.020804 445 228 139 89 54 23 11 7 3 1 0 
10 5 9 0.036 3 0.074565 0.0234 0.0034559 0.012991 0.0015421 0.00031588 0.0097977 0.0010068 1.093 0.0243 0.0040836 0.012418 825 134 28 9 3 1 0 0 0 0 0 
10 5 9 0.036 4 0.074565 0.003 0.00035135 0.011545 0.0012472 0.00031523 0.0096139 0.00010982 0.068 0.0035 0.00043819 0.011345 973 24 3 0 0 0 0 0 0 0 0 
10 5 9 0.036 5 0.074565 0.0002 1.998e-05 0.011254 0.0012258 0.00029567 0.0094303 3.9295e-05 0.003 0.0002 1.998e-05 0.011395 998 2 0 0 0 0 0 0 0 0 0 
10 5 10 0.036 1 0.0716888 0.3639 0.054541 0.14428 0.0026333 0.00069598 0.016952 0.12345 275.7 0.3487 0.055554 0.11457 64 141 180 134 131 115 96 78 40 15 6 
10 5 10 0.036 2 0.071689 0.0819 0.015618 0.017062 0.0016666 0.00038064 0.010321 0.0043008 7.116 0.0772 0.016517 0.01621 581 202 112 53 36 11 3 0 1 1 0 
10 5 10 0.036 3 0.071689 0.0127 0.0021909 0.011969 0.0015688 0.00035878 0.0093115 0.00042069 0.362 0.0134 0.0020225 0.011509 905 74 15 4 1 0 0 1 0 0 0 
10 5 10 0.036 4 0.071689 0.0016 0.00019764 0.010616 0.001291 0.00035643 0.0086552 6.956e-05 0.027 0.0016 0.0001576 0.010769 986 12 2 0 0 0 0 0 0 0 0 
10 5 10 0.036 5 0.071689 0.0001 1e-05 0.010908 0.0013039 0.00035663 0.0089407 3.6054e-05 0.001 0.0003 2.994e-05 0.01069 999 1 0 0 0 0 0 0 0 0 0 
10 5 11 0.036 1 0.0729319 0.258 0.041477 0.067015 0.0018421 0.00061386 0.0097987 0.054436 138.95 0.2578 0.040099 0.06608 170 165 222 159 98 83 60 24 13 5 1 
10 5 11 0.036 2 0.072932 0.0439 0.0069097 0.014524 0.0017788 0.00043905 0.0099432 0.0019909 2.469 0.0439 0.0068496 0.013091 710 190 67 23 6 2 2 0 0 0 0 
10 5 11 0.036 3 0.072932 0.0054 0.00063147 0.011761 0.001472 0.00043043 0.0093918 0.000183 0.113 0.0058 0.00062699 0.011307 952 42 6 0 0 0 0 0 0 0 0 
10 5 11 0.036 4 0.072932 0.0005 4.98e-05 0.011414 0.0014342 0.00042007 0.0092212 5.7272e-05 0.005 0.0008 7.9439e-05 0.011467 995 5 0 0 0 0 0 0 0 0 0 
10 5 11 0.036 5 0.072932 0 0 0.011305 0.0014313 0.00045263 0.0091075 4.1854e-05 0 0 0 0.011236 1000 0 0 0 0 0 0 0 0 0 0 
10 5 12 0.036 1 0.0791957 0.1935 0.028937 0.043047 0.0019893 0.00074763 0.009844 0.030137 69.787 0.1784 0.023957 0.041691 219 254 222 132 87 46 26 8 3 3 0 
10 5 12 0.036 2 0.079196 0.0239 0.0034623 0.014784 0.0022031 0.00059811 0.010333 0.0012588 0.981 0.0241 0.0033726 0.012481 817 144 28 7 3 0 1 0 0 0 0 
10 5 12 0.036 3 0.079196 0.0022 0.00025542 0.010944 0.001566 0.00047763 0.008532 0.0001007 0.042 0.0026 0.00029353 0.010884 980 18 2 0 0 0 0 0 0 0 0 
10 5 12 0.036 4 0.079196 0.0001 1e-05 0.011604 0.0015459 0.00054677 0.0092126 4.4959e-05 0.001 0.0001 1e-05 0.011086 999 1 0 0 0 0 0 0 0 0 0 
10 5 12 0.036 5 0.079196 0 0 0.011623 0.0015638 0.00046683 0.0092952 4.7347e-05 0 0 0 0.011006 1000 0 0 0 0 0 0 0 0 0 0 
10 10 6 0.036 1 0.0634579 0.9227 0.016251 2.7342 0.0027109 0.00049731 0.052934 2.6777 7439.5 0.9195 0.016927 2.6974 0 0 4 2 6 9 21 55 99 199 605 
10 10 6 0.036 2 0.063458 0.7472 0.060873 0.47915 0.0022953 0.00032859 0.035976 0.44027 1258.5 0.7452 0.061258 0.47975 5 21 25 33 48 83 94 120 124 171 276 
10 10 6 0.036 3 0.063458 0.5226 0.088818 0.12854 0.0019078 0.00031117 0.02772 0.098346 275.19 0.5181 0.093676 0.13197 50 87 85 89 118 112 97 82 96 94 90 
10 10 6 0.036 4 0.063458 0.3161 0.07961 0.056141 0.0022396 0.00031255 0.026632 0.02666 67.615 0.3121 0.083347 0.054139 196 179 127 122 93 55 68 54 46 39 21 
10 10 6 0.036 5 0.063458 0.1527 0.042936 0.035362 0.0019027 0.00030452 0.025443 0.0073953 16.653 0.1641 0.046928 0.034592 458 196 115 68 60 39 21 19 17 3 4 
10 10 6 0.036 6 0.063458 0.0646 0.017865 0.029855 0.0019339 0.00031938 0.025152 0.0021348 3.94 0.0709 0.017921 0.029104 705 142 64 38 20 20 6 0 1 2 2 
10 10 6 0.036 7 0.063458 0.0244 0.0052098 0.02838 0.001723 0.00031045 0.025403 0.00063263 0.89 0.0234 0.0058983 0.027493 848 104 22 17 4 2 2 1 0 0 0 
10 10 6 0.036 8 0.063458 0.0076 0.0011434 0.027195 0.0015879 0.00032387 0.024792 0.0002051 0.183 0.0079 0.001389 0.02724 942 43 13 1 1 0 0 0 0 0 0 
10 10 6 0.036 9 0.063458 0.0011 0.00012892 0.026744 0.0015762 0.00032761 0.024505 6.5508e-05 0.024 0.0023 0.00044516 0.027031 990 9 1 0 0 0 0 0 0 0 0 
10 10 6 0.036 10 0.063458 0.0001 1e-05 0.026727 0.0015732 0.00032424 0.024521 4.1607e-05 0.002 0.0001 1e-05 0.026965 999 1 0 0 0 0 0 0 0 0 0 
10 10 7 0.036 1 0.0593369 0.8678 0.027791 1.4039 0.0023028 0.00057338 0.025342 1.3753 3930.5 0.8646 0.030377 1.3977 0 1 5 8 14 34 53 78 155 207 445 
10 10 7 0.036 2 0.059337 0.6282 0.078964 0.19863 0.0030968 0.00042257 0.023843 0.17101 483.97 0.6307 0.080428 0.19853 17 42 67 79 65 114 100 116 122 129 149 
10 10 7 0.036 3 0.059337 0.38 0.084605 0.05547 0.0021331 0.00039411 0.017817 0.034871 90.748 0.392 0.08404 0.056173 146 129 126 111 108 92 78 66 67 42 35 
10 10 7 0.036 4 0.059337 0.2004 0.055796 0.028848 0.002135 0.00037057 0.017017 0.0090189 20.107 0.2015 0.053421 0.02871 359 201 131 94 63 47 33 29 24 11 8 
10 10 7 0.036 5 0.059337 0.0854 0.02319 0.022862 0.0023737 0.00037839 0.017141 0.0026547 4.674 0.0875 0.023237 0.02267 619 184 84 42 30 15 13 5 4 4 0 
10 10 7 0.036 6 0.059337 0.0313 0.0072776 0.019848 0.0020422 0.00039329 0.016345 0.0007654 1.059 0.0335 0.0077355 0.019336 826 104 31 22 8 6 2 1 0 0 0 
10 10 7 0.036 7 0.059337 0.009 0.0016607 0.019278 0.0018358 0.00040131 0.016525 0.00021559 0.202 0.0088 0.0015641 0.018817 938 44 11 5 1 1 0 0 0 0 0 
10 10 7 0.036 8 0.059337 0.002 0.00025626 0.018739 0.0018128 0.00038701 0.016184 8.0178e-05 0.031 0.002 0.00027628 0.018662 983 14 3 0 0 0 0 0 0 0 0 
10 10 7 0.036 9 0.059337 0.0005 4.98e-05 0.018689 0.0018257 0.00036957 0.016175 4.9002e-05 0.006 0.0003 2.994e-05 0.018728 995 5 0 0 0 0 0 0 0 0 0 
10 10 7 0.036 10 0.059337 0.0001 1e-05 0.018762 0.001813 0.00037959 0.016253 4.0296e-05 0.001 0 0 0.018393 999 1 0 0 0 0 0 0 0 0 0 
10 10 8 0.036 1 0.0867421 0.7784 0.045359 0.73782 0.0025983 0.00085809 0.017376 0.71671 2035.4 0.7772 0.045406 0.73322 1 4 10 34 43 66 107 108 159 194 274 
10 10 8 0.036 2 0.086742 0.4786 0.082404 0.089974 0.0024054 0.00055235 0.015658 0.071097 192.03 0.4817 0.082017 0.089697 62 104 92 107 103 119 103 104 80 76 50 
10 10 8 0.036 3 0.086742 0.2405 0.058929 0.029876 0.0023409 0.00050749 0.013335 0.013406 30.567 0.2424 0.059642 0.029169 278 195 138 101 87 76 49 30 24 13 9 
10 10 8 0.036 4 0.086742 0.1064 0.026405 0.019445 0.0024173 0.00053555 0.012763 0.0034067 5.977 0.1038 0.02419 0.018458 544 192 114 61 40 23 7 12 4 2 1 
10 10 8 0.036 5 0.086742 0.0388 0.0087833 0.016448 0.0022569 0.00053044 0.012402 0.00095629 1.285 0.0368 0.0079337 0.015758 778 132 54 19 5 5 3 4 0 0 0 
