k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 25 0.0390026 0.7528 0.072925 0.11955 0.7625 0.070114 0.11495
10 1 50 0.039003 0.7528 0.072925 0.11571 0.7625 0.070114 0.11522
10 1 100 0.039003 0.7528 0.072925 0.11561 0.7625 0.070114 0.11464
10 1 200 0.039003 0.7528 0.072925 0.11528 0.7625 0.070114 0.11505
10 1 400 0.039003 0.7591 0.071589 0.11759 0.7673 0.068749 0.11648
10 1 1000 0.039003 0.9309 0.028143 0.2529 0.9407 0.023197 0.26807
10 1 2000 0.039003 0.9705 0.010891 0.54801 0.9755 0.01012 0.51111
10 1 4000 0.039003 0.9868 0.0033091 0.9071 0.9898 0.003079 0.91131
10 1 10000 0.039003 1 0 2.3674 1 0 2.3521
10 1 20000 0.039003 1 0 2.3703 1 0 2.4244
10 1 40000 0.039003 1 0 2.3362 1 0 2.4014
10 1 100000 0.039003 1 0 2.2985 1 0 2.2906
10 1 200000 0.039003 1 0 2.2847 1 0 2.2863
10 1 400000 0.039003 1 0 2.2837 1 0 2.2857
10 5 25 0.0760674 0.8833 0.041092 0.11463 0.8988 0.033973 0.1146
10 5 50 0.076067 0.8833 0.041092 0.11508 0.8988 0.033973 0.11455
10 5 100 0.076067 0.8833 0.041092 0.11561 0.8988 0.033973 0.11495
10 5 200 0.076067 0.8833 0.041092 0.11477 0.8988 0.033973 0.11444
10 5 400 0.076067 0.8859 0.039791 0.11631 0.8999 0.033363 0.11555
10 5 1000 0.076067 0.9481 0.018675 0.1879 0.953 0.016788 0.18657
10 5 2000 0.076067 0.9724 0.010349 0.25654 0.9777 0.0091419 0.25891
10 5 4000 0.076067 0.9923 0.0022329 0.43202 0.9904 0.0042521 0.42781
10 5 10000 0.076067 0.9989 0.00012892 1.0636 0.9981 0.00062702 1.0503
10 5 20000 0.076067 0.9999 1e-05 2.0079 0.9997 4.996e-05 2.0109
10 5 40000 0.076067 1 0 3.3099 1 0 3.3053
10 5 100000 0.076067 1 0 3.7749 1 0 3.7742
10 5 200000 0.076067 1 0 3.8002 1 0 3.7765
10 5 400000 0.076067 1 0 3.7749 1 0 3.7736
10 10 25 0.124786 0.8975 0.038963 0.12724 0.9111 0.03286 0.12721
10 10 50 0.12479 0.8975 0.038963 0.12787 0.9111 0.03286 0.12706
10 10 100 0.12479 0.8975 0.038963 0.12744 0.9111 0.03286 0.12696
10 10 200 0.12479 0.8975 0.038963 0.12721 0.9111 0.03286 0.12697
10 10 400 0.12479 0.8983 0.038606 0.12795 0.9127 0.03162 0.12801
10 10 1000 0.12479 0.9388 0.022917 0.19091 0.9497 0.017257 0.19005
10 10 2000 0.12479 0.9638 0.014044 0.27071 0.9729 0.010126 0.26724
10 10 4000 0.12479 0.9823 0.0059026 0.39648 0.9879 0.0041878 0.39101
10 10 10000 0.12479 0.9963 0.00081713 0.80549 0.9961 0.001196 0.80626
10 10 20000 0.12479 0.9988 0.00015872 1.6285 0.9985 0.00032808 1.625
10 10 40000 0.12479 0.9999 1e-05 3.0646 0.9997 4.996e-05 3.0494
10 10 100000 0.12479 1 0 5.9667 1 0 5.9748
10 10 200000 0.12479 1 0 5.965 1 0 5.9747
10 10 400000 0.12479 1 0 5.9703 1 0 5.9949
10 25 25 0.287892 0.8971 0.043625 0.1367 0.9108 0.039383 0.13749
10 25 50 0.28789 0.8971 0.043625 0.13729 0.9108 0.039383 0.13744
10 25 100 0.28789 0.8971 0.043625 0.13694 0.9108 0.039383 0.13738
10 25 200 0.28789 0.8971 0.043625 0.13715 0.9108 0.039383 0.13733
10 25 400 0.28789 0.8979 0.043129 0.13729 0.9119 0.038567 0.13796
10 25 1000 0.28789 0.9271 0.029265 0.19682 0.9389 0.025642 0.19979
10 25 2000 0.28789 0.9499 0.01968 0.25769 0.9619 0.014473 0.25332
10 25 4000 0.28789 0.9661 0.012433 0.36505 0.9739 0.0095784 0.36037
10 25 10000 0.28789 0.9849 0.0044064 0.6466 0.9892 0.0034468 0.63995
10 25 20000 0.28789 0.9958 0.00096332 1.1588 0.9956 0.0012018 1.1559
10 25 40000 0.28789 0.9988 0.00015872 2.3759 0.9984 0.00037782 2.36
10 25 100000 0.28789 0.9999 1e-05 5.6204 0.9997 4.996e-05 5.6171
10 25 200000 0.28789 1 0 10.279 1 0 10.601
10 25 400000 0.28789 1 0 12.482 1 0 12.467
10 50 25 0.543514 0.8995 0.044534 0.15731 0.9158 0.038349 0.15879
10 50 50 0.54351 0.8995 0.044534 0.15788 0.9158 0.038349 0.15876
10 50 100 0.54351 0.8995 0.044534 0.15773 0.9158 0.038349 0.15894
10 50 200 0.54351 0.8995 0.044534 0.15793 0.9158 0.038349 0.15882
10 50 400 0.54351 0.9022 0.042458 0.16171 0.9162 0.038016 0.15997
10 50 1000 0.54351 0.9296 0.029153 0.21907 0.9429 0.024814 0.21834
10 50 2000 0.54351 0.9456 0.022503 0.27248 0.9587 0.017061 0.27012
10 50 4000 0.54351 0.96 0.015495 0.37363 0.9722 0.010578 0.37076
10 50 10000 0.54351 0.9774 0.007737 0.63278 0.9829 0.0060036 0.62328
10 50 20000 0.54351 0.9876 0.0033896 1.0344 0.9918 0.0022951 1.024
10 50 40000 0.54351 0.998 0.00035636 1.9235 0.9961 0.00099579 1.9119
