k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 5 8 0.036 10 1 1 4.86774 0.9265 0.018266 0.067084 0 0.0023491 0.0058635 0.058655 413.94 10000 0.9194 0.023687 0.0635
10 5 8 0.036 10 1 2 4.8677 0.8524 0.034549 0.03887 0 0.0010835 0.0058454 0.031657 221.77 10000 0.8386 0.042613 0.038213
10 5 8 0.036 10 1 3 4.8677 0.7864 0.043779 0.028168 0 0.0009974 0.0050722 0.021822 147.53 10000 0.7711 0.050866 0.027692
10 5 8 0.036 10 1 4 4.8677 0.7258 0.050465 0.02218 0 0.00094752 0.0044753 0.016489 106.97 10000 0.7099 0.057369 0.021784
10 5 8 0.036 10 1 5 4.8677 0.6668 0.058556 0.018438 0 0.00093785 0.0041932 0.013042 81.213 10000 0.6485 0.06196 0.017909
10 5 8 0.036 10 1 6 4.8677 0.6141 0.063274 0.015588 0 0.00090013 0.0038993 0.010531 63.655 10000 0.5927 0.06374 0.01517
10 5 8 0.036 10 1 7 4.8677 0.5597 0.065812 0.013564 0 0.00087924 0.0037017 0.0087276 51.04 10000 0.5396 0.066298 0.013077
10 5 8 0.036 10 1 8 4.8677 0.5044 0.068109 0.011974 0 0.00082663 0.0035752 0.0073163 41.482 10000 0.488 0.068304 0.011424
10 5 8 0.036 10 1 9 4.8677 0.4521 0.068464 0.010667 0 0.00079371 0.0033975 0.006222 34.09 10000 0.4401 0.066989 0.010171
10 5 8 0.036 10 1 10 4.8677 0.4034 0.064653 0.0097586 0 0.00077194 0.0033576 0.005368 28.281 10000 0.394 0.064188 0.0091793
10 5 8 0.036 10 1 11 4.8677 0.3628 0.061818 0.0089076 0 0.00074034 0.0032277 0.004669 23.606 10000 0.3544 0.059941 0.0083755
10 5 8 0.036 10 1 12 4.8677 0.3313 0.06007 0.0083105 0 0.00070591 0.0032003 0.0041133 19.814 10000 0.3259 0.056836 0.0077302
10 5 8 0.036 10 1 13 4.8677 0.3024 0.056991 0.0077781 0 0.00069661 0.0031429 0.0036499 16.73 10000 0.2948 0.052926 0.0071747
10 5 8 0.036 10 1 14 4.8677 0.2741 0.052932 0.0072244 0 0.00067415 0.0030351 0.0032278 14.366 10000 0.2687 0.050641 0.0067563
10 5 8 0.036 10 1 15 4.8677 0.2521 0.051807 0.0068824 0 0.00065861 0.0030258 0.0029061 12.334 10000 0.2446 0.047438 0.006366
10 5 8 0.036 10 1 16 4.8677 0.2332 0.049627 0.0065021 0 0.00064785 0.0029164 0.0026519 10.774 10000 0.2208 0.043971 0.0059916
10 5 8 0.036 10 1 17 4.8677 0.2124 0.045272 0.0061984 0 0.0006386 0.0028703 0.002405 9.303 10000 0.1991 0.039709 0.0057129
10 5 8 0.036 10 1 18 4.8677 0.1888 0.041076 0.0059516 0 0.00062848 0.0028462 0.0021987 8.016 10000 0.1786 0.036779 0.0054348
10 5 8 0.036 10 1 19 4.8677 0.1669 0.036971 0.0057345 0 0.00063326 0.0027885 0.0020237 6.924 10000 0.1618 0.033815 0.0051986
10 5 8 0.036 10 1 20 4.8677 0.1504 0.033553 0.0056462 0 0.0006291 0.0028366 0.0019087 6.109 10000 0.1449 0.029984 0.0050059
10 5 8 0.036 10 1 22 4.8677 0.1204 0.026811 0.0050246 0 0.0006034 0.0026225 0.0015429 4.655 10000 0.1193 0.025283 0.0046204
10 5 8 0.036 10 1 25 4.8677 0.0865 0.018987 0.0045069 0 0.00058377 0.0025542 0.0012145 3.15 10000 0.084 0.01616 0.0043464
10 5 8 0.036 10 1 30 4.8677 0.0486 0.0090271 0.0039791 0 0.00055547 0.002437 0.00073909 1.53 10000 0.0445 0.0074972 0.0036763
10 5 8 0.036 10 1 35 4.8677 0.0307 0.0047723 0.00372 0 0.00054426 0.002414 0.00052975 0.861 10000 0.0253 0.0034534 0.0034092
10 5 8 0.036 10 1 40 4.8677 0.0178 0.0023655 0.0034257 0 0.00054653 0.0023144 0.00034696 0.458 10000 0.0143 0.0018073 0.0031754
10 5 8 0.036 10 1 50 4.8677 0.0037 0.00041673 0.0032014 0 0.00052695 0.0023523 0.00012832 0.09 10000 0.0036 0.00038743 0.0029334
10 5 8 0.036 10 1 60 4.8677 0.0016 0.0001576 0.0030156 0 0.00050598 0.0022657 6.4788e-05 0.025 10000 0.0018 0.00019696 0.002866
10 5 8 0.036 10 1 70 4.8677 0.0002 1.998e-05 0.0030186 0 0.00050131 0.0023006 3.6437e-05 0.005 10000 0.0001 1e-05 0.0028239
10 5 8 0.036 10 1 80 4.8677 0 0 0.0030746 0 0.00051536 0.0023467 2.913e-05 0 10000 0 0 0.0028081
10 5 8 0.036 10 1 90 4.8677 0 0 0.0030575 0 0.0005077 0.0023375 2.9179e-05 0 10000 0 0 0.002807
10 5 8 0.036 10 1 100 4.8677 0 0 0.0030747 0 0.00051052 0.0023527 2.8998e-05 0 10000 0 0 0.0028123
10 5 8 0.036 10 1 125 4.8677 0 0 0.0029697 0 0.00049763 0.0022669 2.8452e-05 0 10000 0 0 0.0028097
10 5 8 0.036 10 1 150 4.8677 0 0 0.0030614 0 0.00051667 0.0023333 2.8851e-05 0 10000 0 0 0.0028043
10 5 8 0.036 10 1 175 4.8677 0 0 0.002988 0 0.00050419 0.0022797 2.8007e-05 0 10000 0 0 0.0028084
10 5 8 0.036 10 1 200 4.8677 0 0 0.0030665 0 0.00052007 0.002334 2.8851e-05 0 10000 0 0 0.0028103
10 5 8 0.036 10 1 250 4.8677 0 0 0.0030723 0 0.00051016 0.0023505 2.8537e-05 0 10000 0 0 0.0028098
