k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 5 8 0.036 10 1 1 4.58209 0.9878 0.0024336 0.027701 0 0.0021948 0.0039484 0.021314 118.63 10000 0.9776 0.0063846 0.026391
10 5 8 0.036 10 1 2 4.5821 0.9772 0.0043245 0.019064 0 0.0014918 0.0038893 0.01347 77.186 10000 0.967 0.0092002 0.018633
10 5 8 0.036 10 1 3 4.5821 0.9665 0.0070148 0.016424 0 0.0014722 0.0036297 0.011111 60.656 10000 0.9548 0.012029 0.015654
10 5 8 0.036 10 1 4 4.5821 0.9573 0.0091158 0.015001 0 0.0014229 0.003533 0.0098351 51.266 10000 0.9444 0.015144 0.014423
10 5 8 0.036 10 1 5 4.5821 0.9475 0.011165 0.013602 0 0.0014014 0.0034272 0.0085741 44.947 10000 0.9354 0.018065 0.013227
10 5 8 0.036 10 1 6 4.5821 0.9368 0.01388 0.012561 0 0.0013765 0.0032428 0.0077418 40.399 10000 0.925 0.021236 0.012438
10 5 8 0.036 10 1 7 4.5821 0.9251 0.016697 0.01196 0 0.0013538 0.0032421 0.0071661 36.728 10000 0.9131 0.024703 0.011603
10 5 8 0.036 10 1 8 4.5821 0.915 0.019114 0.011356 0 0.001388 0.0031834 0.006528 33.752 10000 0.9034 0.027256 0.011152
10 5 8 0.036 10 1 9 4.5821 0.9047 0.021409 0.011186 0 0.0013747 0.0031991 0.0063382 31.434 10000 0.8939 0.029062 0.010831
10 5 8 0.036 10 1 10 4.5821 0.8963 0.0236 0.01071 0 0.0013151 0.0031797 0.0059981 29.362 10000 0.8853 0.031405 0.010283
10 5 8 0.036 10 1 11 4.5821 0.8879 0.025909 0.010259 0 0.0012917 0.0030837 0.0056822 27.691 10000 0.8772 0.033474 0.01004
10 5 8 0.036 10 1 12 4.5821 0.8795 0.027577 0.010114 0 0.0013076 0.0031022 0.005498 26.162 10000 0.8693 0.035363 0.0099038
10 5 8 0.036 10 1 13 4.5821 0.8701 0.030366 0.0096991 0 0.0012768 0.003 0.0052186 24.791 10000 0.8617 0.03698 0.0096112
10 5 8 0.036 10 1 14 4.5821 0.8614 0.032382 0.0097016 0 0.0013241 0.0030401 0.0051256 23.559 10000 0.8529 0.039231 0.0093717
10 5 8 0.036 10 1 15 4.5821 0.8504 0.034895 0.0094999 0 0.0012843 0.0030123 0.0049804 22.448 10000 0.8456 0.040761 0.0090585
10 5 8 0.036 10 1 16 4.5821 0.8409 0.036914 0.0091278 0 0.0012852 0.002972 0.0046452 21.397 10000 0.836 0.043708 0.0089591
10 5 8 0.036 10 1 17 4.5821 0.8316 0.03822 0.009054 0 0.0013019 0.0029661 0.0045381 20.449 10000 0.827 0.045957 0.0088216
10 5 8 0.036 10 1 18 4.5821 0.8236 0.040163 0.0090361 0 0.0013128 0.0029834 0.0045003 19.67 10000 0.8198 0.047556 0.0086021
10 5 8 0.036 10 1 19 4.5821 0.8154 0.041484 0.0088974 0 0.0012802 0.0030144 0.0043693 18.901 10000 0.8119 0.049498 0.0085473
10 5 8 0.036 10 1 20 4.5821 0.8047 0.044532 0.0088912 0 0.0012904 0.0030112 0.0043526 18.231 10000 0.8031 0.050731 0.0085309
10 5 8 0.036 10 1 22 4.5821 0.7891 0.047959 0.008546 0 0.0012723 0.002998 0.0040396 16.972 10000 0.7884 0.053599 0.0081375
10 5 8 0.036 10 1 25 4.5821 0.7627 0.052571 0.0081644 0 0.0012384 0.0029144 0.003775 15.368 10000 0.7622 0.05897 0.0077444
10 5 8 0.036 10 1 30 4.5821 0.7211 0.059144 0.0077857 0 0.0012355 0.00282 0.0034849 13.216 10000 0.722 0.064581 0.0073761
10 5 8 0.036 10 1 35 4.5821 0.682 0.066523 0.0074036 0 0.0012331 0.0028596 0.0030842 11.432 10000 0.6822 0.068171 0.0069158
10 5 8 0.036 10 1 40 4.5821 0.6421 0.069687 0.0069388 0 0.0012217 0.0027128 0.0027771 10.059 10000 0.6465 0.071159 0.0067838
10 5 8 0.036 10 1 50 4.5821 0.5665 0.075423 0.0064074 0 0.0011794 0.0026126 0.002392 7.875 10000 0.5653 0.075541 0.0061174
10 5 8 0.036 10 1 60 4.5821 0.4967 0.076015 0.0059491 0 0.0011702 0.0025127 0.0020002 6.315 10000 0.4945 0.075635 0.0057689
10 5 8 0.036 10 1 70 4.5821 0.4257 0.072682 0.0056496 0 0.0011648 0.002478 0.0018112 5.078 10000 0.4244 0.073378 0.0053316
10 5 8 0.036 10 1 80 4.5821 0.3634 0.068569 0.0055194 0 0.0011789 0.0025072 0.0016239 4.118 10000 0.3593 0.067301 0.0051341
10 5 8 0.036 10 1 90 4.5821 0.2981 0.061308 0.0052102 0 0.0011718 0.002454 0.0013939 3.258 10000 0.2971 0.061223 0.0049801
10 5 8 0.036 10 1 100 4.5821 0.2358 0.050969 0.0049462 0 0.0011504 0.0023383 0.0011563 2.497 10000 0.2378 0.053184 0.0046767
10 5 8 0.036 10 1 125 4.5821 0.1038 0.025591 0.0041411 0 0.0010995 0.0022722 0.00060215 1.057 10000 0.1086 0.027253 0.0039252
10 5 8 0.036 10 1 150 4.5821 0.0236 0.005929 0.0036518 0 0.0011067 0.0021718 0.00020184 0.236 10000 0.0259 0.0070863 0.003559
10 5 8 0.036 10 1 175 4.5821 0.0004 9.994e-05 0.0035424 0 0.0011252 0.0021833 5.1932e-05 0.004 10000 0.001 0.0001992 0.0032614
10 5 8 0.036 10 1 200 4.5821 0 0 0.0033577 0 0.0011176 0.0020511 3.0338e-05 0 10000 0 0 0.003126
10 5 8 0.036 10 1 250 4.5821 0 0 0.003243 0 0.0010361 0.0020182 3.026e-05 0 10000 0 0 0.0032227
10 5 8 0.036 10 1 300 4.5821 0 0 0.0033184 0 0.0010905 0.0020364 3.0522e-05 0 10000 0 0 0.0032714
10 5 8 0.036 10 1 350 4.5821 0 0 0.0034068 0 0.0011184 0.0020781 3.0844e-05 0 10000 0 0 0.0032
10 5 8 0.036 10 1 400 4.5821 0 0 0.0032581 0 0.00105 0.0020207 2.9731e-05 0 10000 0 0 0.003196
10 5 8 0.036 10 1 500 4.5821 0 0 0.0033642 0 0.0010563 0.002086 3.3935e-05 0 10000 0 0 0.0031669
10 5 8 0.036 10 1 750 4.5821 0 0 0.0032683 0 0.001108 0.0019754 2.9468e-05 0 10000 0 0 0.0033012
10 5 8 0.036 10 1 1000 4.5821 0 0 0.0033205 0 0.0010709 0.0020618 3.0128e-05 0 10000 0 0 0.0032449
10 5 8 0.036 10 1 1500 4.5821 0 0 0.0033935 0 0.0011085 0.002058 3.4446e-05 0 10000 0 0 0.0032837
10 5 8 0.036 10 1 2000 4.5821 0 0 0.0033662 0 0.0010678 0.0021042 3.042e-05 0 10000 0 0 0.003167
10 5 9 0.036 10 1 1 4.75904 0.9791 0.0040973 0.022375 0 0.0025554 0.0036816 0.015917 85.579 10000 0.9709 0.0068901 0.021482
10 5 9 0.036 10 1 2 4.759 0.9616 0.0079334 0.014639 0 0.0015995 0.0032475 0.0095952 54.266 10000 0.9488 0.013472 0.014433
10 5 9 0.036 10 1 3 4.759 0.9427 0.011899 0.012744 0 0.0015016 0.0031562 0.0078821 42.045 10000 0.9299 0.018655 0.012354
10 5 9 0.036 10 1 4 4.759 0.9266 0.015828 0.011899 0 0.0015722 0.0031548 0.0069677 35.176 10000 0.912 0.023039 0.011557
10 5 9 0.036 10 1 5 4.759 0.9112 0.019975 0.011216 0 0.0016306 0.0030531 0.0063077 30.545 10000 0.8959 0.027581 0.010704
10 5 9 0.036 10 1 6 4.759 0.8962 0.023349 0.010287 0 0.0015181 0.0029313 0.0056359 27.243 10000 0.882 0.030647 0.0099333
10 5 9 0.036 10 1 7 4.759 0.8821 0.026016 0.0097137 0 0.0014587 0.0028847 0.0051602 24.588 10000 0.8657 0.034048 0.0091687
10 5 9 0.036 10 1 8 4.759 0.8654 0.029452 0.0093525 0 0.0014451 0.0028907 0.0047945 22.424 10000 0.8493 0.037437 0.0087989
10 5 9 0.036 10 1 9 4.759 0.8499 0.032472 0.0089368 0 0.0014325 0.0028094 0.0044683 20.692 10000 0.8354 0.040187 0.008546
10 5 9 0.036 10 1 10 4.759 0.8333 0.035997 0.0089818 0 0.0014632 0.0029051 0.0043758 19.18 10000 0.8214 0.043365 0.0084845
10 5 9 0.036 10 1 11 4.759 0.8203 0.038336 0.0087759 0 0.0014549 0.0028787 0.0041885 17.915 10000 0.8075 0.04616 0.0084138
10 5 9 0.036 10 1 12 4.759 0.8042 0.040963 0.0086195 0 0.001445 0.0028658 0.0040577 16.76 10000 0.7915 0.049407 0.0084817
10 5 9 0.036 10 1 13 4.759 0.788 0.0443 0.0085683 0 0.0014646 0.0029377 0.0038871 15.716 10000 0.7776 0.05187 0.008213
10 5 9 0.036 10 1 14 4.759 0.7729 0.047363 0.0083834 0 0.0014609 0.0028793 0.003774 14.804 10000 0.7612 0.054369 0.0078447
10 5 9 0.036 10 1 15 4.759 0.7569 0.049582 0.0083184 0 0.001479 0.0028736 0.0037276 13.961 10000 0.7438 0.057759 0.0077573
10 5 9 0.036 10 1 16 4.759 0.74 0.052372 0.0078824 0 0.001417 0.0028014 0.0034166 13.213 10000 0.7289 0.059634 0.0076143
10 5 9 0.036 10 1 17 4.759 0.7255 0.054154 0.007912 0 0.0014415 0.0027825 0.0034474 12.527 10000 0.7152 0.06081 0.0073836
10 5 9 0.036 10 1 18 4.759 0.7109 0.056187 0.0078343 0 0.0014197 0.0028074 0.0033515 11.93 10000 0.7009 0.062492 0.0072763
10 5 9 0.036 10 1 19 4.759 0.6973 0.05758 0.0073199 0 0.0013645 0.0027077 0.0030054 11.381 10000 0.6851 0.063692 0.0073172
10 5 9 0.036 10 1 20 4.759 0.6837 0.058903 0.0073072 0 0.0013919 0.0026896 0.0029881 10.845 10000 0.6696 0.064661 0.0069436
10 5 9 0.036 10 1 22 4.759 0.6532 0.060791 0.007176 0 0.0014086 0.0026916 0.0028238 9.797 10000 0.6379 0.066961 0.0067928
10 5 9 0.036 10 1 25 4.759 0.6105 0.063263 0.0068618 0 0.0013671 0.0026573 0.0026109 8.629 10000 0.5952 0.068465 0.00666
10 5 9 0.036 10 1 30 4.759 0.5393 0.066972 0.0065037 0 0.0013673 0.0025677 0.0023436 6.97 10000 0.5257 0.07082 0.006368
10 5 9 0.036 10 1 35 4.759 0.469 0.068187 0.0062262 0 0.0014203 0.0025233 0.0020125 5.666 10000 0.4596 0.070258 0.0059558
10 5 9 0.036 10 1 40 4.759 0.4002 0.067327 0.0057262 0 0.001331 0.0023582 0.0017752 4.58 10000 0.3954 0.067486 0.0055871
10 5 9 0.036 10 1 50 4.759 0.2668 0.055794 0.0053103 0 0.0013432 0.0024014 0.0013259 2.851 10000 0.2712 0.055246 0.0049193
10 5 9 0.036 10 1 60 4.759 0.1548 0.036994 0.0047883 0 0.0014098 0.0022235 0.00088423 1.591 10000 0.1527 0.03691 0.0043483
10 5 9 0.036 10 1 70 4.759 0.0619 0.016635 0.0097122 0 0.0030829 0.0051686 0.00094803 0.631 10000 0.0597 0.014961 0.0078984
10 5 9 0.036 10 1 80 4.759 0.0136 0.003919 0.006463 0 0.0021326 0.003715 0.00025326 0.137 10000 0.0125 0.0029767 0.0058741
10 5 9 0.036 10 1 90 4.759 0.0007 0.00010962 0.0053132 0 0.0018021 0.0031037 7.9253e-05 0.007 10000 0.0001 1e-05 0.0049152
10 5 9 0.036 10 1 100 4.759 0 0 0.0049556 0 0.0016656 0.0029459 6.4237e-05 0 10000 0 0 0.0046683
10 5 9 0.036 10 1 125 4.759 0 0 0.0047432 0 0.0015989 0.0028229 5.5318e-05 0 10000 0 0 0.0044621
10 5 9 0.036 10 1 150 4.759 0 0 0.0045106 0 0.0015587 0.0026388 5.6088e-05 0 10000 0 0 0.0041142
10 5 9 0.036 10 1 175 4.759 0 0 0.0041789 0 0.0014436 0.0024573 4.4498e-05 0 10000 0 0 0.0039192
10 5 9 0.036 10 1 200 4.759 0 0 0.0035875 0 0.0012845 0.0020769 3.7852e-05 0 10000 0 0 0.0033214
10 5 9 0.036 10 1 250 4.759 0 0 0.0035238 0 0.0012638 0.0020356 4.0374e-05 0 10000 0 0 0.0033545
10 5 9 0.036 10 1 300 4.759 0 0 0.0036588 0 0.0012722 0.0021413 3.5061e-05 0 10000 0 0 0.0034561
10 5 9 0.036 10 1 350 4.759 0 0 0.0036594 0 0.0012767 0.0021598 3.7985e-05 0 10000 0 0 0.0033092
10 5 9 0.036 10 1 400 4.759 0 0 0.0035418 0 0.0012425 0.0020496 5.5882e-05 0 10000 0 0 0.0034117
10 5 9 0.036 10 1 500 4.759 0 0 0.0035802 0 0.0012329 0.0021242 3.9324e-05 0 10000 0 0 0.0034292
10 5 9 0.036 10 1 750 4.759 0 0 0.0036758 0 0.0013257 0.0021123 3.7646e-05 0 10000 0 0 0.0034457
10 5 9 0.036 10 1 1000 4.759 0 0 0.0036522 0 0.0013099 0.0021107 4.1528e-05 0 10000 0 0 0.0032993
10 5 9 0.036 10 1 1500 4.759 0 0 0.0035678 0 0.0012682 0.002077 3.5251e-05 0 10000 0 0 0.0034741
10 5 9 0.036 10 1 2000 4.759 0 0 0.0036378 0 0.0013322 0.0020772 3.8541e-05 0 10000 0 0 0.0034305
10 5 10 0.036 10 1 1 5.66598 0.9634 0.0066871 0.020312 0 0.003977 0.0036925 0.012416 60.403 10000 0.9541 0.011375 0.01683
10 5 10 0.036 10 1 2 5.666 0.9327 0.013174 0.012441 0 0.0017446 0.0031135 0.0073768 37.414 10000 0.9204 0.018222 0.012112
10 5 10 0.036 10 1 3 5.666 0.9027 0.019542 0.010901 0 0.0016673 0.0030032 0.0060203 28.714 10000 0.8899 0.025734 0.010505
10 5 10 0.036 10 1 4 5.666 0.8727 0.025871 0.0099973 0 0.0016882 0.0029196 0.0051734 23.67 10000 0.8632 0.032258 0.0095751
10 5 10 0.036 10 1 5 5.666 0.8469 0.030321 0.0093607 0 0.0015818 0.0028984 0.0046462 20.304 10000 0.8368 0.037203 0.0088757
10 5 10 0.036 10 1 6 5.666 0.8168 0.037055 0.0088685 0 0.001592 0.0028582 0.0041841 17.701 10000 0.8109 0.042013 0.008451
10 5 10 0.036 10 1 7 5.666 0.7882 0.042123 0.0085007 0 0.001592 0.0028141 0.003845 15.713 10000 0.7827 0.047038 0.0083335
10 5 10 0.036 10 1 8 5.666 0.7626 0.046588 0.0082258 0 0.0016292 0.0028126 0.0035522 14.048 10000 0.7577 0.051192 0.0079685
10 5 10 0.036 10 1 9 5.666 0.7369 0.049598 0.0078355 0 0.0015653 0.0027368 0.0033125 12.686 10000 0.7282 0.053418 0.0075532
10 5 10 0.036 10 1 10 5.666 0.7078 0.053232 0.0076064 0 0.0015809 0.0026804 0.0031173 11.53 10000 0.7002 0.057818 0.0073446
10 5 10 0.036 10 1 11 5.666 0.6839 0.057128 0.0075566 0 0.0015951 0.0026719 0.003054 10.564 10000 0.6754 0.060655 0.0070288
10 5 10 0.036 10 1 12 5.666 0.658 0.058715 0.0072725 0 0.0015589 0.00262 0.0027971 9.721 10000 0.6491 0.061701 0.0067954
10 5 10 0.036 10 1 13 5.666 0.6305 0.06038 0.0070147 0 0.0015816 0.0025274 0.0026215 8.938 10000 0.6202 0.063455 0.0067246
10 5 10 0.036 10 1 14 5.666 0.604 0.063387 0.006917 0 0.0015497 0.0025185 0.0025643 8.265 10000 0.5984 0.064222 0.0065584
10 5 10 0.036 10 1 15 5.666 0.5772 0.064685 0.0066849 0 0.0015004 0.0024793 0.0024196 7.658 10000 0.5734 0.06716 0.0063531
10 5 10 0.036 10 1 16 5.666 0.5517 0.065503 0.006506 0 0.0014921 0.0024864 0.0022538 7.097 10000 0.5467 0.068037 0.006239
10 5 10 0.036 10 1 17 5.666 0.523 0.066317 0.0062895 0 0.0014718 0.0023623 0.0021614 6.576 10000 0.522 0.067864 0.0061453
10 5 10 0.036 10 1 18 5.666 0.4967 0.068347 0.0061528 0 0.0014547 0.0023698 0.0020691 6.095 10000 0.4968 0.068318 0.0059598
10 5 10 0.036 10 1 19 5.666 0.4688 0.069316 0.0059649 0 0.0014754 0.00231 0.0019815 5.615 10000 0.4723 0.06773 0.0058362
10 5 10 0.036 10 1 20 5.666 0.4452 0.070167 0.0060284 0 0.0015368 0.0023934 0.0019018 5.218 10000 0.4464 0.067014 0.0057734
10 5 10 0.036 10 1 22 5.666 0.3942 0.068034 0.0056527 0 0.0014887 0.0022561 0.0017139 4.433 10000 0.3936 0.065825 0.0055236
10 5 10 0.036 10 1 25 5.666 0.3174 0.061619 0.005361 0 0.0015074 0.0022155 0.0014592 3.428 10000 0.3145 0.06 0.0051074
10 5 10 0.036 10 1 30 5.666 0.1907 0.043067 0.0048043 0 0.0014373 0.0020868 0.00099659 1.987 10000 0.1942 0.046213 0.0045104
10 5 10 0.036 10 1 35 5.666 0.0868 0.022849 0.0041138 0 0.0014054 0.002004 0.00053123 0.889 10000 0.089 0.024764 0.0038775
10 5 10 0.036 10 1 40 5.666 0.0221 0.0062679 0.003626 0 0.0013874 0.0018884 0.00019208 0.227 10000 0.022 0.0065826 0.0034908
10 5 10 0.036 10 1 50 5.666 0.0003 9e-05 0.0033687 0 0.0013823 0.0017976 3.3648e-05 0.003 10000 0 0 0.0033872
10 5 10 0.036 10 1 60 5.666 0 0 0.0036141 0 0.0015065 0.0019025 3.1414e-05 0 10000 0 0 0.0033279
10 5 10 0.036 10 1 70 5.666 0 0 0.0035253 0 0.0014804 0.0018542 3.012e-05 0 10000 0 0 0.0031845
10 5 10 0.036 10 1 80 5.666 0 0 0.0033558 0 0.001403 0.0017695 2.9771e-05 0 10000 0 0 0.0031134
10 5 10 0.036 10 1 90 5.666 0 0 0.0033409 0 0.001382 0.0017774 2.9059e-05 0 10000 0 0 0.0034758
10 5 10 0.036 10 1 100 5.666 0 0 0.0034549 0 0.0013974 0.0018706 3.0114e-05 0 10000 0 0 0.0034786
10 5 10 0.036 10 1 125 5.666 0 0 0.0035861 0 0.0014341 0.0019611 3.0871e-05 0 10000 0 0 0.0032853
10 5 10 0.036 10 1 150 5.666 0 0 0.00344 0 0.0014034 0.0018516 2.9823e-05 0 10000 0 0 0.0032136
10 5 10 0.036 10 1 175 5.666 0 0 0.0033431 0 0.0013806 0.0017813 2.9411e-05 0 10000 0 0 0.003377
10 5 10 0.036 10 1 200 5.666 0 0 0.0033235 0 0.0013755 0.0017646 2.9147e-05 0 10000 0 0 0.0035892
10 5 10 0.036 10 1 250 5.666 0 0 0.0036084 0 0.0014978 0.0019056 3.0808e-05 0 10000 0 0 0.0032512
10 5 10 0.036 10 1 300 5.666 0 0 0.0034813 0 0.0013831 0.0019111 2.9922e-05 0 10000 0 0 0.0032051
10 5 10 0.036 10 1 350 5.666 0 0 0.0034591 0 0.0014235 0.0018145 4.6829e-05 0 10000 0 0 0.0033682
10 5 10 0.036 10 1 400 5.666 0 0 0.0033225 0 0.0013419 0.0017815 4.591e-05 0 10000 0 0 0.0036022
10 5 10 0.036 10 1 500 5.666 0 0 0.0035113 0 0.0014292 0.0018433 4.1204e-05 0 10000 0 0 0.0033572
10 5 10 0.036 10 1 750 5.666 0 0 0.0035874 0 0.0014302 0.0019382 3.1385e-05 0 10000 0 0 0.0032165
10 5 10 0.036 10 1 1000 5.666 0 0 0.0034236 0 0.0013763 0.0018596 3.016e-05 0 10000 0 0 0.0031558
10 5 10 0.036 10 1 1500 5.666 0 0 0.00336 0 0.0013599 0.001817 2.9404e-05 0 10000 0 0 0.0033087
10 5 10 0.036 10 1 2000 5.666 0 0 0.0033402 0 0.0013441 0.0018027 2.9684e-05 0 10000 0 0 0.0034204
10 5 11 0.036 10 1 1 6.37775 0.9341 0.012279 0.018271 0 0.0043825 0.003815 0.0098484 44.988 10000 0.9275 0.016851 0.015461
10 5 11 0.036 10 1 2 6.3778 0.8851 0.022791 0.011272 0 0.0020313 0.0030721 0.0059455 26.969 10000 0.8762 0.029163 0.010793
