k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.0167114 0.1904 0.037125 0.042557 0.0007584 0.00011799 0.0041402 0.037167 156.14 0.1683 0.032858 0.035251
10 1 7 0.036 1 0.0174493 0.1204 0.015219 0.029764 0.00082051 0.00018007 0.003068 0.025233 78.257 0.1172 0.0159 0.024725
10 1 8 0.036 1 0.0178536 0.0753 0.012292 0.016355 0.00081501 0.00016822 0.0024882 0.012485 39.121 0.0758 0.013228 0.014561
10 1 9 0.036 1 0.0178928 0.0591 0.0087059 0.012767 0.00094613 0.00021483 0.0027362 0.0084192 19.858 0.0623 0.010739 0.011083
10 1 10 0.036 1 0.0130762 0.0263 0.0028412 0.0059891 0.00069729 0.00014046 0.0015535 0.00333 9.841 0.0266 0.0029154 0.0048206
10 1 11 0.036 1 0.0172907 0.0172 0.0017459 0.0080733 0.0010329 0.00025374 0.0027501 0.0035587 4.885 0.0198 0.0019299 0.0071182
10 1 12 0.036 1 0.0144358 0.0259 0.0022214 0.0046565 0.00078403 0.00016934 0.0016805 0.0016769 2.529 0.0238 0.0021958 0.0038158
10 5 6 0.036 1 0.0130123 0.5554 0.040291 0.10524 0.0012326 0.00018323 0.0030746 0.10045 736.56 0.5467 0.045795 0.10358
10 5 6 0.036 2 0.013012 0.1682 0.023753 0.012482 0.0011848 0.00015433 0.0031038 0.0077046 42.534 0.17 0.025666 0.012044
10 5 6 0.036 3 0.013012 0.0339 0.0046054 0.0047733 0.0009034 0.0001271 0.0023435 0.0010568 2.668 0.0285 0.0040418 0.0043308
10 5 6 0.036 4 0.013012 0.0027 0.00026297 0.0037292 0.00085874 0.00011593 0.0023348 0.00015838 0.155 0.0027 0.00030301 0.003544
10 5 6 0.036 5 0.013012 0.0001 1e-05 0.0034262 0.00081224 0.00011596 0.0021828 3.5422e-05 0.003 0.0001 1e-05 0.0034322
10 5 7 0.036 1 0.015867 0.5138 0.048198 0.086601 0.0018248 0.0002947 0.0037423 0.080268 364.49 0.5191 0.043729 0.056742
10 5 7 0.036 2 0.015867 0.1595 0.028698 0.008561 0.0011163 0.00015594 0.0023426 0.0046366 23.674 0.1626 0.026468 0.0082246
10 5 7 0.036 3 0.015867 0.032 0.0062623 0.0042563 0.00094951 0.00013682 0.0020159 0.00081183 2.009 0.0321 0.005365 0.0038775
10 5 7 0.036 4 0.015867 0.0044 0.00058122 0.0032433 0.00086165 0.00013521 0.0018362 0.00013709 0.151 0.0042 0.00046282 0.0032432
10 5 7 0.036 5 0.015867 0.0005 4.98e-05 0.0030821 0.00086141 0.00013237 0.0017974 4.0172e-05 0.008 0.0003 2.994e-05 0.0031876
10 5 8 0.036 1 0.0199979 0.3336 0.037348 0.04775 0.0020256 0.00040308 0.0029118 0.041949 188.56 0.3481 0.037894 0.03597
10 5 8 0.036 2 0.019998 0.0617 0.0085316 0.005602 0.0011971 0.00017407 0.0019341 0.001928 6.486 0.0687 0.0089993 0.0051519
10 5 8 0.036 3 0.019998 0.0083 0.00094205 0.0037398 0.0011121 0.00016703 0.0018733 0.00028466 0.3 0.007 0.00071171 0.0033909
10 5 8 0.036 4 0.019998 0.0006 5.97e-05 0.0031681 0.0010348 0.00015706 0.0016736 4.6531e-05 0.013 0.0004 3.988e-05 0.0032461
10 5 8 0.036 5 0.019998 0 0 0.0030885 0.0010453 0.00017538 0.0016133 3.0925e-05 0 0 0 0.0033747
10 5 9 0.036 1 0.0213439 0.2256 0.024649 0.036599 0.0029511 0.00060039 0.0033417 0.029143 95.771 0.2279 0.024756 0.029814
10 5 9 0.036 2 0.021344 0.0278 0.0033705 0.006855 0.0019349 0.00029628 0.0025955 0.0015249 2.236 0.0304 0.0038197 0.006196
10 5 9 0.036 3 0.021344 0.0013 0.00014846 0.0043897 0.001572 0.0002439 0.0020849 0.00011997 0.06 0.0021 0.0002058 0.0043485
10 5 9 0.036 4 0.021344 0.0001 1e-05 0.0041867 0.0015374 0.00024568 0.0020161 4.7314e-05 0.003 0 0 0.0045103
10 5 9 0.036 5 0.021344 0 0 0.0029921 0.0011503 0.0001794 0.0014181 2.988e-05 0 0 0 0.0033009
10 5 10 0.036 1 0.0186132 0.1809 0.020846 0.01353 0.0016611 0.00036747 0.0017643 0.0094425 47.818 0.1773 0.019955 0.012373
10 5 10 0.036 2 0.018613 0.0197 0.0022442 0.0041074 0.0013616 0.00021657 0.0016675 0.00053843 0.767 0.0181 0.0021646 0.0039076
10 5 10 0.036 3 0.018613 0.0018 0.00017694 0.0032201 0.0012418 0.00020584 0.0014322 6.9505e-05 0.035 0.0014 0.00013818 0.003341
10 5 10 0.036 4 0.018613 0.0002 1.998e-05 0.0030737 0.0012053 0.00020444 0.0014179 3.4753e-05 0.003 0.0001 1e-05 0.0033108
10 5 10 0.036 5 0.018613 0 0 0.0030722 0.0012096 0.00020368 0.001418 2.9412e-05 0 0 0 0.0033101
10 5 11 0.036 1 0.0223242 0.1093 0.013857 0.019451 0.0037325 0.00079014 0.0032961 0.010984 23.961 0.1055 0.012272 0.016384
10 5 11 0.036 2 0.022324 0.0074 0.00074599 0.007142 0.0026178 0.00045172 0.0030185 0.00048869 0.273 0.0062 0.00068224 0.0065513
10 5 11 0.036 3 0.022324 0.0004 3.988e-05 0.0054264 0.0023024 0.00039509 0.0023135 6.1592e-05 0.005 0.0002 1.998e-05 0.0056891
10 5 11 0.036 4 0.022324 0 0 0.0051477 0.0022457 0.00038436 0.0021204 5.1904e-05 0 0 0 0.0057457
10 5 11 0.036 5 0.022324 0 0 0.0047738 0.0020273 0.00036814 0.0020013 4.9289e-05 0 0 0 0.0053721
10 5 12 0.036 1 0.0247097 0.0617 0.0073905 0.014948 0.0037792 0.00088985 0.0031116 0.006652 11.849 0.0634 0.0069274 0.012635
10 5 12 0.036 2 0.02471 0.0027 0.00026297 0.0068007 0.0026279 0.00060564 0.0028658 0.00020333 0.084 0.0027 0.00030301 0.0059754
10 5 12 0.036 3 0.02471 0 0 0.0054383 0.002384 0.00049901 0.0021525 5.0718e-05 0 0 0 0.0057366
10 5 12 0.036 4 0.02471 0 0 0.0049873 0.0021973 0.00045816 0.0019623 4.5787e-05 0 0 0 0.0052698
10 5 12 0.036 5 0.02471 0 0 0.0045499 0.0019922 0.00042064 0.0017996 4.1787e-05 0 0 0 0.0049417
10 10 6 0.036 1 0.0175943 0.8157 0.033737 0.20945 0.0020295 0.00033254 0.0064169 0.20041 1338.8 0.8249 0.02992 0.18569
10 10 6 0.036 2 0.017594 0.5298 0.073566 0.035925 0.0018618 0.00030199 0.0061153 0.027325 184.66 0.5203 0.072671 0.035247
10 10 6 0.036 3 0.017594 0.2749 0.06008 0.011501 0.0016046 0.00023273 0.003519 0.0058481 31.475 0.2694 0.058222 0.010952
10 10 6 0.036 4 0.017594 0.1176 0.028539 0.006923 0.0014684 0.0002081 0.003141 0.0017415 6.092 0.114 0.02625 0.006414
10 10 6 0.036 5 0.017594 0.0391 0.0076689 0.005892 0.001504 0.00021894 0.003268 0.00057945 1.175 0.0388 0.007402 0.0053855
10 10 6 0.036 6 0.017594 0.012 0.0015776 0.0052165 0.0014322 0.00021829 0.0030954 0.00019896 0.221 0.0109 0.0013125 0.0049886
10 10 6 0.036 7 0.017594 0.0023 0.00024495 0.0047138 0.0013403 0.00020995 0.0028339 6.9738e-05 0.035 0.0042 0.00052288 0.0046985
10 10 6 0.036 8 0.017594 0.0008 7.9439e-05 0.0047529 0.0014135 0.00023181 0.0028459 4.479e-05 0.008 0.0008 7.9439e-05 0.0046385
10 10 6 0.036 9 0.017594 0 0 0.004893 0.0014037 0.00021148 0.0030044 2.9505e-05 0 0.0002 1.998e-05 0.0048846
10 10 6 0.036 10 0.017594 0 0 0.0049775 0.0014135 0.00021486 0.0030682 2.9913e-05 0 0 0 0.0049217
10 10 7 0.036 1 0.0184111 0.6758 0.040175 0.12934 0.0028675 0.00049605 0.0045359 0.12113 701.26 0.6732 0.042024 0.099907
10 10 7 0.036 2 0.018411 0.3372 0.052749 0.017555 0.0021226 0.00035699 0.0034485 0.011303 69.152 0.3375 0.049533 0.017145
10 10 7 0.036 3 0.018411 0.1368 0.026652 0.007496 0.0018891 0.00025255 0.0025813 0.0024111 9.323 0.1265 0.02273 0.0069602
10 10 7 0.036 4 0.018411 0.0406 0.0076793 0.0056619 0.0018615 0.00025043 0.0025233 0.00070178 1.397 0.0373 0.0063451 0.0052417
10 10 7 0.036 5 0.018411 0.0099 0.0014334 0.0049519 0.0018763 0.00024893 0.0023711 0.00018776 0.217 0.0081 0.0011055 0.0046658
10 10 7 0.036 6 0.018411 0.0018 0.00021698 0.0046799 0.0018129 0.00024137 0.0023033 6.4034e-05 0.032 0.0019 0.0002066 0.0046031
10 10 7 0.036 7 0.018411 0.0001 1e-05 0.0045513 0.0018429 0.00024352 0.002223 3.1756e-05 0.001 0.0003 2.994e-05 0.0046675
10 10 7 0.036 8 0.018411 0 0 0.0046127 0.0018172 0.00023958 0.0022804 2.914e-05 0 0 0 0.0046562
10 10 7 0.036 9 0.018411 0 0 0.0046677 0.0018241 0.00024356 0.0023247 2.9794e-05 0 0 0 0.0046645
10 10 7 0.036 10 0.018411 0 0 0.0044276 0.0017386 0.00024342 0.002173 2.9409e-05 0 0 0 0.0045152
10 10 8 0.036 1 0.0231686 0.5819 0.049712 0.09211 0.0038247 0.00075347 0.0042954 0.082838 357.4 0.5863 0.051013 0.058301
10 10 8 0.036 2 0.023169 0.2352 0.041823 0.01085 0.0021456 0.00039131 0.0025776 0.005458 28.969 0.2429 0.042652 0.010461
10 10 8 0.036 3 0.023169 0.0765 0.014292 0.0062002 0.0019878 0.00033958 0.0022112 0.0013039 3.47 0.0824 0.014965 0.0056048
10 10 8 0.036 4 0.023169 0.0213 0.0028992 0.0051876 0.0020947 0.00031714 0.0021095 0.00035695 0.474 0.0222 0.0031103 0.0048089
10 10 8 0.036 5 0.023169 0.0049 0.00054654 0.0044197 0.0018661 0.00029545 0.0018921 0.00010858 0.076 0.0061 0.00069348 0.0043673
10 10 8 0.036 6 0.023169 0.0009 8.9279e-05 0.0044642 0.001984 0.00030414 0.0018916 4.6598e-05 0.011 0.0016 0.00019764 0.0044134
10 10 8 0.036 7 0.023169 0.0001 1e-05 0.0044291 0.001973 0.00030298 0.0018985 3.3513e-05 0.001 0.0002 1.998e-05 0.0045001
10 10 8 0.036 8 0.023169 0.0001 1e-05 0.004446 0.0019401 0.00029351 0.0019319 3.2651e-05 0.001 0 0 0.0045298
10 10 8 0.036 9 0.023169 0 0 0.0046895 0.0020317 0.00031755 0.0020497 3.1622e-05 0 0 0 0.0045449
10 10 8 0.036 10 0.023169 0 0 0.0046555 0.0020363 0.00031078 0.0020125 3.1402e-05 0 0 0 0.0045793
10 10 9 0.036 1 0.0182556 0.3874 0.035937 0.037263 0.002915 0.00072073 0.0024331 0.030945 186.42 0.386 0.034078 0.036196
10 10 9 0.036 2 0.018256 0.0942 0.011238 0.0075741 0.0023687 0.00044097 0.0021692 0.0022191 7.605 0.095 0.012387 0.0069396
10 10 9 0.036 3 0.018256 0.0168 0.0018196 0.0051315 0.0021831 0.00036551 0.0018858 0.00039563 0.483 0.0184 0.0022437 0.0047745
10 10 9 0.036 4 0.018256 0.0022 0.00021538 0.0045029 0.0020834 0.00034514 0.0017242 7.7119e-05 0.042 0.003 0.00033133 0.0043931
10 10 9 0.036 5 0.018256 0.0001 1e-05 0.0043134 0.0021021 0.00033945 0.0016207 3.5612e-05 0.003 0.0005 4.98e-05 0.0043378
10 10 9 0.036 6 0.018256 0 0 0.0042728 0.0020972 0.00033493 0.0016026 2.9541e-05 0 0 0 0.0043326
10 10 9 0.036 7 0.018256 0 0 0.0042633 0.0020847 0.00033465 0.0016067 2.9528e-05 0 0 0 0.0043363
10 10 9 0.036 8 0.018256 0 0 0.0043122 0.0020927 0.00033931 0.0016344 3.5686e-05 0 0 0 0.0043311
10 10 9 0.036 9 0.018256 0 0 0.0042768 0.0021057 0.00033595 0.0015977 2.9872e-05 0 0 0 0.0043038
10 10 9 0.036 10 0.018256 0 0 0.0042607 0.0020846 0.00033913 0.0016002 2.9775e-05 0 0 0 0.0042979
10 10 10 0.036 1 0.022513 0.2837 0.030655 0.039299 0.0054809 0.0013041 0.0035943 0.028473 94.18 0.2907 0.030014 0.031312
10 10 10 0.036 2 0.022513 0.0494 0.0065862 0.0092713 0.0037486 0.00061332 0.0026748 0.0017159 2.849 0.0516 0.0060635 0.0082873
10 10 10 0.036 3 0.022513 0.0076 0.000763 0.0051933 0.0025901 0.00040475 0.0017082 0.00019849 0.162 0.0072 0.00070887 0.0047816
10 10 10 0.036 4 0.022513 0.0011 0.0001089 0.0047543 0.0024839 0.00039961 0.0016092 4.8961e-05 0.014 0.0012 0.00011868 0.0046696
10 10 10 0.036 5 0.022513 0.0003 2.994e-05 0.0046428 0.0023976 0.00041254 0.0015868 3.5731e-05 0.003 0 0 0.0045518
10 10 10 0.036 6 0.022513 0 0 0.0046604 0.002457 0.00038982 0.0015759 2.9585e-05 0 0 0 0.004654
10 10 10 0.036 7 0.022513 0 0 0.0047348 0.0025111 0.00039189 0.0015905 2.9661e-05 0 0 0 0.0046544
10 10 10 0.036 8 0.022513 0 0 0.0046441 0.0025059 0.0003986 0.0014953 3.1926e-05 0 0 0 0.0046483
10 10 10 0.036 9 0.022513 0 0 0.0048858 0.0025676 0.00042422 0.0016475 3.0653e-05 0 0 0 0.0046409
10 10 10 0.036 10 0.022513 0 0 0.0046211 0.0024917 0.00039908 0.0014896 2.9563e-05 0 0 0 0.0046596
10 10 11 0.036 1 0.0216593 0.2022 0.020135 0.015524 0.0032066 0.00093811 0.0018148 0.0093111 47.519 0.2056 0.019728 0.014235
10 10 11 0.036 2 0.021659 0.026 0.0028068 0.0063303 0.002979 0.00052168 0.0017922 0.00068729 0.999 0.0282 0.0031279 0.0057418
10 10 11 0.036 3 0.021659 0.0032 0.00031007 0.0050808 0.0027241 0.00049538 0.0015561 9.0586e-05 0.051 0.0027 0.00032303 0.0048035
10 10 11 0.036 4 0.021659 0.0003 2.994e-05 0.004684 0.0025473 0.00050485 0.0013864 3.5577e-05 0.003 0.0001 1e-05 0.0046129
10 10 11 0.036 5 0.021659 0 0 0.0049171 0.0026363 0.00052119 0.0015141 3.0662e-05 0 0 0 0.0045787
10 10 11 0.036 6 0.021659 0 0 0.0048252 0.0025833 0.00049748 0.0015047 2.9606e-05 0 0 0 0.004601
10 10 11 0.036 7 0.021659 0 0 0.0048969 0.0026847 0.0005001 0.0014736 2.9549e-05 0 0 0 0.0047078
10 10 11 0.036 8 0.021659 0 0 0.0048036 0.002588 0.00049545 0.0014806 2.9774e-05 0 0 0 0.0045998
10 10 11 0.036 9 0.021659 0 0 0.0049083 0.0026097 0.00051454 0.0015355 3.028e-05 0 0 0 0.0045741
10 10 11 0.036 10 0.021659 0 0 0.0048085 0.002566 0.00049737 0.0014841 3.0044e-05 0 0 0 0.0045992
10 10 12 0.036 1 0.0245214 0.1309 0.014289 0.018843 0.0054797 0.0014184 0.0027049 0.0088126 23.839 0.1308 0.014025 0.016246
10 10 12 0.036 2 0.024521 0.0132 0.0013471 0.008498 0.0041865 0.00087518 0.0025072 0.00048806 0.351 0.0136 0.0013164 0.0074801
10 10 12 0.036 3 0.024521 0.0015 0.0001479 0.0060501 0.0033101 0.00066723 0.0017345 6.5503e-05 0.02 0.0014 0.00013818 0.0051631
10 10 12 0.036 4 0.024521 0.0004 3.988e-05 0.0050962 0.0027866 0.00059863 0.0014626 3.6499e-05 0.004 0.0002 1.998e-05 0.0050844
10 10 12 0.036 5 0.024521 0 0 0.0055362 0.0030665 0.0006389 0.0015623 3.2241e-05 0 0 0 0.0051027
10 10 12 0.036 6 0.024521 0 0 0.0052036 0.0027869 0.00061699 0.0015388 3.0426e-05 0 0 0 0.0048652
10 10 12 0.036 7 0.024521 0 0 0.0053831 0.0029271 0.00066083 0.0015411 3.1737e-05 0 0 0 0.00492
10 10 12 0.036 8 0.024521 0 0 0.00545 0.0029291 0.00068162 0.0015725 3.2294e-05 0 0 0 0.0049402
10 10 12 0.036 9 0.024521 0 0 0.005054 0.0027282 0.00061313 0.001473 3.0275e-05 0 0 0 0.0048115
10 10 12 0.036 10 0.024521 0 0 0.0052627 0.0028499 0.00064479 0.0015175 3.1571e-05 0 0 0 0.0048832
10 25 6 0.036 1 0.0207877 0.977 0.0028939 0.38547 0.004303 0.00063047 0.016918 0.36328 2726.6 0.9794 0.0030987 0.38261
10 25 6 0.036 2 0.020788 0.9044 0.015796 0.12176 0.0039983 0.00064274 0.01348 0.10327 770.15 0.9109 0.017589 0.12162
10 25 6 0.036 3 0.020788 0.7633 0.041845 0.051782 0.0042133 0.0006747 0.0093652 0.037177 254.78 0.7835 0.042781 0.051882
10 25 6 0.036 4 0.020788 0.592 0.065061 0.026546 0.0038602 0.00061602 0.007051 0.014666 93.122 0.6086 0.063369 0.025996
10 25 6 0.036 5 0.020788 0.4168 0.069748 0.017525 0.0036746 0.00055178 0.0063074 0.0066804 36.172 0.4271 0.067964 0.016817
10 25 6 0.036 6 0.020788 0.2703 0.057465 0.013363 0.0034997 0.00046406 0.0058444 0.0032177 14.429 0.2749 0.055736 0.012783
10 25 6 0.036 7 0.020788 0.1633 0.03688 0.011687 0.003499 0.00043192 0.0056601 0.0017445 5.934 0.1627 0.037476 0.011277
10 25 6 0.036 8 0.020788 0.0921 0.020808 0.010601 0.0034581 0.0004065 0.0054781 0.00095079 2.429 0.089 0.019919 0.010195
10 25 6 0.036 9 0.020788 0.0489 0.0094883 0.01003 0.003446 0.00040263 0.0053532 0.00054287 0.994 0.0465 0.0098176 0.009684
10 25 6 0.036 10 0.020788 0.0265 0.004272 0.0097408 0.0034579 0.00039312 0.0053091 0.00030843 0.414 0.026 0.0045886 0.0094011
10 25 6 0.036 11 0.020788 0.0145 0.0020018 0.0097382 0.003564 0.00040587 0.0052913 0.00019434 0.192 0.0151 0.0023043 0.0092802
10 25 6 0.036 12 0.020788 0.0074 0.00086611 0.0093004 0.0034262 0.00038954 0.0051297 0.00011754 0.086 0.009 0.0011401 0.0092095
10 25 6 0.036 13 0.020788 0.0036 0.00042747 0.0093434 0.003458 0.00038911 0.0051936 7.8152e-05 0.041 0.0057 0.00061813 0.0092248
10 25 6 0.036 14 0.020788 0.002 0.00023624 0.0095388 0.0035775 0.00039956 0.0052629 5.8627e-05 0.021 0.0027 0.00030301 0.0091354
10 25 6 0.036 15 0.020788 0.0009 8.9279e-05 0.009161 0.0034142 0.00038691 0.005093 4.7911e-05 0.009 0.0011 0.00012892 0.0091364
10 25 6 0.036 16 0.020788 0.0004 3.988e-05 0.0094453 0.0034935 0.00038831 0.0052685 3.7429e-05 0.004 0.0001 1e-05 0.0090809
10 25 6 0.036 17 0.020788 0.0001 1e-05 0.0093684 0.0034547 0.00037819 0.0052403 3.437e-05 0.001 0.0001 1e-05 0.0091035
10 25 6 0.036 20 0.020788 0 0 0.0092596 0.0034224 0.00037337 0.0051753 3.0193e-05 0 0 0 0.0091127
10 25 7 0.036 1 0.0209179 0.9304 0.0093452 0.25438 0.0054952 0.0010327 0.010131 0.23737 1539.2 0.9338 0.010488 0.21419
10 25 7 0.036 2 0.020918 0.7751 0.032563 0.054629 0.0043935 0.00089685 0.0073732 0.041625 300.13 0.7753 0.036436 0.054395
10 25 7 0.036 3 0.020918 0.5613 0.051984 0.0239 0.0046354 0.00085238 0.0055405 0.012523 78.283 0.576 0.0558 0.023807
10 25 7 0.036 4 0.020918 0.3654 0.050473 0.01528 0.0047478 0.00064981 0.0048191 0.0047111 23.661 0.3845 0.053243 0.014795
10 25 7 0.036 5 0.020918 0.2115 0.035273 0.011915 0.0042642 0.00055543 0.0046269 0.0021418 7.583 0.2298 0.035688 0.011442
10 25 7 0.036 6 0.020918 0.1182 0.019268 0.0099424 0.0040076 0.00053042 0.0040003 0.0010873 2.679 0.1229 0.018224 0.0094298
10 25 7 0.036 7 0.020918 0.0599 0.0083904 0.0091082 0.0039506 0.00049871 0.0037716 0.00057899 0.965 0.0651 0.0086807 0.0088304
10 25 7 0.036 8 0.020918 0.0297 0.0035715 0.009597 0.0042122 0.00048809 0.00429 0.0003208 0.378 0.0329 0.0039515 0.0093084
10 25 7 0.036 9 0.020918 0.0127 0.0014902 0.008499 0.0039374 0.00048061 0.0036441 0.00017134 0.148 0.0142 0.0013597 0.0083992
10 25 7 0.036 10 0.020918 0.0061 0.0006134 0.008483 0.0039846 0.00048321 0.0036492 0.00010518 0.068 0.0063 0.00061092 0.0082429
10 25 7 0.036 11 0.020918 0.0031 0.00032071 0.0092465 0.0042859 0.00050944 0.0041543 7.2287e-05 0.033 0.0025 0.00024399 0.0089303
10 25 7 0.036 12 0.020918 0.0018 0.00017694 0.0082638 0.0039729 0.00047826 0.0035355 5.4344e-05 0.018 0.0012 0.00011868 0.0081896
10 25 7 0.036 13 0.020918 0.001 9.9099e-05 0.0083272 0.0039478 0.0004743 0.0035981 4.4229e-05 0.01 0.0004 3.988e-05 0.008168
10 25 7 0.036 14 0.020918 0.0006 5.97e-05 0.0085767 0.0040347 0.00050191 0.0037343 4.0499e-05 0.006 0.0001 1e-05 0.0081704
10 25 7 0.036 15 0.020918 0.0003 2.994e-05 0.0090199 0.0041443 0.00046992 0.0041144 3.4454e-05 0.003 0 0 0.0088834
10 25 7 0.036 16 0.020918 0.0002 1.998e-05 0.0092247 0.0042251 0.000479 0.004204 3.4389e-05 0.002 0 0 0.0088625
10 25 7 0.036 17 0.020918 0 0 0.0085202 0.0040467 0.00048227 0.0037016 3.0501e-05 0 0 0 0.008244
10 25 7 0.036 20 0.020918 0 0 0.0084387 0.0040117 0.00049224 0.0036534 2.9694e-05 0 0 0 0.0082004
10 25 8 0.036 1 0.023945 0.8475 0.021956 0.13395 0.0056296 0.001231 0.0056706 0.12111 822.07 0.8533 0.021671 0.12113
10 25 8 0.036 2 0.023945 0.5935 0.050618 0.030056 0.0054465 0.0010957 0.0049674 0.018174 116.99 0.6041 0.049002 0.02959
10 25 8 0.036 3 0.023945 0.3575 0.050835 0.015489 0.0050485 0.00091947 0.0039156 0.0052333 26.669 0.3628 0.051468 0.014916
10 25 8 0.036 4 0.023945 0.1868 0.0344 0.011571 0.004823 0.00074548 0.0035689 0.0020681 7.392 0.1932 0.032326 0.011023
10 25 8 0.036 5 0.023945 0.0869 0.015694 0.0099805 0.004688 0.00066399 0.0033619 0.00093816 2.172 0.0928 0.015804 0.0096378
10 25 8 0.036 6 0.023945 0.0396 0.0063382 0.0092473 0.0046909 0.00061618 0.0032078 0.00045399 0.727 0.0423 0.0069477 0.0090034
10 25 8 0.036 7 0.023945 0.0183 0.0023575 0.0084902 0.004448 0.00061814 0.0028914 0.00024174 0.265 0.0172 0.0025667 0.0082622
10 25 8 0.036 8 0.023945 0.0071 0.00078037 0.0083982 0.0045027 0.00060479 0.002911 0.00012245 0.085 0.0066 0.00079724 0.0081412
10 25 8 0.036 9 0.023945 0.0025 0.00028403 0.0086768 0.0047303 0.00059405 0.0030582 6.5104e-05 0.028 0.0022 0.00029546 0.0085076
10 25 8 0.036 10 0.023945 0.0008 7.9439e-05 0.0085181 0.0046604 0.00058689 0.0030022 4.3915e-05 0.009 0.0006 5.97e-05 0.0084937
10 25 8 0.036 11 0.023945 0.0005 4.98e-05 0.0082154 0.0045233 0.00060037 0.0028206 5.2002e-05 0.006 0.0002 1.998e-05 0.0080731
10 25 8 0.036 12 0.023945 0.0004 3.988e-05 0.0083135 0.0045561 0.00060263 0.0028841 3.8258e-05 0.004 0.0001 1e-05 0.0079944
10 25 8 0.036 13 0.023945 0.0001 1e-05 0.0086296 0.0046585 0.00059503 0.0030888 3.2683e-05 0.001 0.0001 1e-05 0.0084727
