k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4 100 10 0.107378 0.8477 0.032247 0.018923 0.831 0.04106 0.018033
10 4 100 20 0.10738 0.9453 0.014332 0.026505 0.9382 0.0197 0.02621
10 4 100 40 0.10738 0.981 0.0057047 0.041287 0.9777 0.0099627 0.040992
10 4 100 60 0.10738 0.9885 0.0038416 0.055538 0.9871 0.0068504 0.055172
10 4 100 80 0.10738 0.9915 0.0035013 0.070144 0.9923 0.0036544 0.069393
10 4 100 100 0.10738 0.9936 0.0026217 0.085748 0.9929 0.0035832 0.085016
10 4 100 120 0.10738 0.9957 0.0013729 0.10176 0.9945 0.0023421 0.10138
10 4 100 200 0.10738 0.9966 0.0012297 0.17264 0.9966 0.00054899 0.17139
10 4 100 400 0.10738 0.9974 0.0011544 0.41155 0.9975 0.00032407 0.40083
10 4 100 600 0.10738 0.9986 0.00013818 0.65083 0.9976 0.00031455 0.70698
10 4 100 800 0.10738 0.9987 0.00012844 1.0256 0.9976 0.00031455 1.049
10 4 100 1000 0.10738 0.9987 0.00012844 1.49 0.9976 0.00031455 1.4137
10 4 100 1200 0.10738 0.9988 0.00011868 1.8469 0.9976 0.00031455 2.0475
10 4 100 1500 0.10738 0.9988 0.00011868 2.6608 0.9976 0.00031455 2.8422
10 4 100 2000 0.10738 0.9988 0.00011868 4.614 0.9976 0.00031455 4.6502
10 4 500 10 0.199362 0.8446 0.032223 0.019166 0.8282 0.041686 0.018434
10 4 500 20 0.19936 0.945 0.01469 0.027901 0.9317 0.02443 0.027142
10 4 500 40 0.19936 0.9809 0.0070122 0.042813 0.9806 0.0086323 0.042407
10 4 500 60 0.19936 0.9936 0.00067972 0.057787 0.99 0.0056056 0.057681
10 4 500 80 0.19936 0.9962 0.00038595 0.073054 0.9944 0.0026313 0.073098
10 4 500 100 0.19936 0.9978 0.00021538 0.090232 0.9978 0.00035552 0.088943
10 4 500 120 0.19936 0.9983 0.00016728 0.10696 0.998 0.00033634 0.10526
10 4 500 200 0.19936 0.999 9.9099e-05 0.1824 0.9988 0.00025882 0.17952
10 4 500 400 0.19936 0.9995 4.98e-05 0.4255 0.9997 2.994e-05 0.40529
10 4 500 600 0.19936 0.9995 4.98e-05 0.67769 0.9998 1.998e-05 0.74473
10 4 500 800 0.19936 0.9995 4.98e-05 1.0553 0.9998 1.998e-05 1.0643
10 4 500 1000 0.19936 0.9995 4.98e-05 1.5321 0.9998 1.998e-05 1.5184
10 4 500 1200 0.19936 0.9996 3.988e-05 1.9463 0.9998 1.998e-05 2.1249
10 4 500 1500 0.19936 0.9996 3.988e-05 2.7742 0.9998 1.998e-05 2.9153
10 4 500 2000 0.19936 0.9996 3.988e-05 4.7668 0.9998 1.998e-05 4.8615
10 8 100 10 0.0831696 0.9279 0.012524 0.025573 0.9312 0.011238 0.024609
10 8 100 20 0.08317 0.9849 0.0027447 0.035929 0.9862 0.0024921 0.035277
10 8 100 40 0.08317 0.9975 0.00030405 0.0543 0.9982 0.000237 0.053111
10 8 100 60 0.08317 0.9994 5.97e-05 0.071226 0.9993 8.96e-05 0.069656
10 8 100 80 0.08317 0.9996 3.988e-05 0.086506 0.9995 6.982e-05 0.085574
10 8 100 100 0.08317 0.9996 3.988e-05 0.10301 0.9998 1.998e-05 0.10239
10 8 100 120 0.08317 0.9996 3.988e-05 0.11984 0.9998 1.998e-05 0.11822
10 8 100 200 0.08317 0.9996 3.988e-05 0.20005 0.9999 1e-05 0.1954
10 8 100 400 0.08317 0.9997 2.994e-05 0.43607 0.9999 1e-05 0.41518
10 8 100 600 0.08317 0.9997 2.994e-05 0.70417 0.9999 1e-05 0.7535
10 8 100 800 0.08317 0.9997 2.994e-05 1.0738 0.9999 1e-05 1.1159
10 8 100 1000 0.08317 0.9997 2.994e-05 1.594 0.9999 1e-05 1.5332
10 8 100 1200 0.08317 0.9997 2.994e-05 2.0832 0.9999 1e-05 2.1446
10 8 100 1500 0.08317 0.9997 2.994e-05 2.8806 0.9999 1e-05 2.9392
10 8 100 2000 0.08317 0.9997 2.994e-05 4.7403 0.9999 1e-05 4.8745
10 8 500 10 0.196434 0.9261 0.012641 0.026469 0.9262 0.011865 0.025669
10 8 500 20 0.19643 0.9866 0.0017021 0.038565 0.9852 0.0025835 0.038011
10 8 500 40 0.19643 0.9981 0.00022662 0.05958 0.9988 0.0001387 0.057901
10 8 500 60 0.19643 0.9997 2.994e-05 0.077293 0.9997 2.994e-05 0.076837
10 8 500 80 0.19643 1 0 0.094701 1 0 0.093542
10 8 500 100 0.19643 1 0 0.11427 1 0 0.11339
10 8 500 120 0.19643 1 0 0.13155 1 0 0.13107
10 8 500 200 0.19643 1 0 0.21042 1 0 0.20627
10 8 500 400 0.19643 1 0 0.44072 1 0 0.43766
10 8 500 600 0.19643 1 0 0.8027 1 0 0.80054
10 8 500 800 0.19643 1 0 1.2369 1 0 1.1438
10 8 500 1000 0.19643 1 0 1.65 1 0 1.5987
10 8 500 1200 0.19643 1 0 2.2694 1 0 2.1182
10 8 500 1500 0.19643 1 0 3.2053 1 0 3.2399
10 8 500 2000 0.19643 1 0 5.1861 1 0 5.0183
10 12 100 10 0.0963713 0.9469 0.0092797 0.027567 0.944 0.011516 0.026732
10 12 100 20 0.096371 0.9897 0.0021861 0.038769 0.9889 0.0028096 0.040281
10 12 100 40 0.096371 0.9995 4.98e-05 0.059643 0.9986 0.00021826 0.057767
10 12 100 60 0.096371 0.9999 1e-05 0.076262 0.9995 6.982e-05 0.075053
10 12 100 80 0.096371 0.9999 1e-05 0.09303 0.9995 6.982e-05 0.092535
10 12 100 100 0.096371 1 0 0.10952 0.9996 5.99e-05 0.10973
10 12 100 120 0.096371 1 0 0.12708 0.9999 1e-05 0.12583
10 12 100 200 0.096371 1 0 0.20697 0.9999 1e-05 0.20639
10 12 100 400 0.096371 1 0 0.44586 0.9999 1e-05 0.4268
10 12 100 600 0.096371 1 0 0.7825 0.9999 1e-05 0.80315
10 12 100 800 0.096371 1 0 1.1389 0.9999 1e-05 1.1043
10 12 100 1000 0.096371 1 0 1.6548 0.9999 1e-05 1.5419
10 12 100 1200 0.096371 1 0 2.2544 1 0 2.0774
10 12 100 1500 0.096371 1 0 3.0957 1 0 3.1489
10 12 100 2000 0.096371 1 0 4.9489 1 0 4.8191
10 12 500 10 0.206354 0.9488 0.0070456 0.029114 0.9474 0.0074807 0.028398
10 12 500 20 0.20635 0.9917 0.00084195 0.042118 0.992 0.0011972 0.04165
10 12 500 40 0.20635 0.9996 3.988e-05 0.063933 0.9996 3.988e-05 0.063316
10 12 500 60 0.20635 1 0 0.085209 0.9999 1e-05 0.08446
10 12 500 80 0.20635 1 0 0.1025 0.9999 1e-05 0.10184
10 12 500 100 0.20635 1 0 0.1223 0.9999 1e-05 0.12116
10 12 500 120 0.20635 1 0 0.14151 1 0 0.14052
10 12 500 200 0.20635 1 0 0.22616 1 0 0.22538
10 12 500 400 0.20635 1 0 0.45673 1 0 0.46413
10 12 500 600 0.20635 1 0 0.80261 1 0 0.80952
10 12 500 800 0.20635 1 0 1.1662 1 0 1.2547
10 12 500 1000 0.20635 1 0 1.6475 1 0 1.7384
10 12 500 1200 0.20635 1 0 2.3169 1 0 2.2631
10 12 500 1500 0.20635 1 0 3.178 1 0 3.4325
10 12 500 2000 0.20635 1 0 5.1272 1 0 5.5375
10 16 100 10 0.0860564 0.9533 0.0087779 0.044262 0.949 0.0095886 0.032256
10 16 100 20 0.086056 0.9923 0.0017525 0.043042 0.9921 0.0028504 0.042649
10 16 100 40 0.086056 0.9982 0.0010979 0.063426 0.999 0.00013914 0.062458
10 16 100 60 0.086056 0.9988 0.0010196 0.082343 0.9997 2.994e-05 0.081314
10 16 100 80 0.086056 0.9996 0.00016 0.099998 0.9999 1e-05 0.098996
10 16 100 100 0.086056 0.9999 1e-05 0.11698 0.9999 1e-05 0.117
10 16 100 120 0.086056 1 0 0.1343 0.9999 1e-05 0.13438
10 16 100 200 0.086056 1 0 0.21859 1 0 0.2183
10 16 100 400 0.086056 1 0 0.46841 1 0 0.46571
10 16 100 600 0.086056 1 0 0.75473 1 0 0.78068
10 16 100 800 0.086056 1 0 1.1148 1 0 1.1979
10 16 100 1000 0.086056 1 0 1.6247 1 0 1.6461
10 16 100 1200 0.086056 1 0 2.2374 1 0 2.1913
10 16 100 1500 0.086056 1 0 2.9902 1 0 3.2102
10 16 100 2000 0.086056 1 0 4.9382 1 0 5.2035
10 16 500 10 0.209116 0.9579 0.0052829 0.033565 0.9558 0.0063527 0.032676
10 16 500 20 0.20912 0.9931 0.00072311 0.04717 0.9952 0.00049746 0.04651
10 16 500 40 0.20912 0.9994 5.97e-05 0.070218 0.9996 3.988e-05 0.069487
10 16 500 60 0.20912 0.9998 1.998e-05 0.090982 0.9999 1e-05 0.089821
10 16 500 80 0.20912 0.9999 1e-05 0.11068 1 0 0.11006
10 16 500 100 0.20912 1 0 0.13125 1 0 0.12864
10 16 500 120 0.20912 1 0 0.14852 1 0 0.1479
10 16 500 200 0.20912 1 0 0.23082 1 0 0.23488
10 16 500 400 0.20912 1 0 0.47027 1 0 0.49827
10 16 500 600 0.20912 1 0 0.82816 1 0 0.80184
10 16 500 800 0.20912 1 0 1.211 1 0 1.2215
10 16 500 1000 0.20912 1 0 1.6794 1 0 1.7394
10 16 500 1200 0.20912 1 0 2.2995 1 0 2.2551
10 16 500 1500 0.20912 1 0 3.2465 1 0 3.356
10 16 500 2000 0.20912 1 0 5.2161 1 0 5.4891
10 24 100 10 0.0926157 0.962 0.0055415 0.031701 0.9567 0.0070822 0.030737
10 24 100 20 0.092616 0.9943 0.00071823 0.04362 0.9938 0.00078234 0.04304
