k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 1 0.918692 0.3832 0.032991 0.08646 0.3946 0.032243 0.085917
10 1 2 0.91869 0.4739 0.05128 0.090689 0.4912 0.051975 0.090442
10 1 3 0.91869 0.4958 0.05798 0.090082 0.513 0.057909 0.093263
10 1 4 0.91869 0.5014 0.059998 0.091323 0.5198 0.060228 0.090539
10 1 5 0.91869 0.502 0.060116 0.09222 0.5204 0.060504 0.091435
10 1 8 0.91869 0.502 0.060116 0.093258 0.5204 0.060504 0.09475
10 1 10 0.91869 0.502 0.060116 0.096336 0.5204 0.060504 0.09541
10 1 12 0.91869 0.502 0.060116 0.094403 0.5204 0.060504 0.093612
10 1 20 0.91869 0.502 0.060116 0.09537 0.5204 0.060504 0.0948
10 1 25 0.91869 0.502 0.060116 0.099812 0.5204 0.060504 0.10008
10 1 50 0.91869 0.502 0.060116 0.10251 0.5204 0.060504 0.10181
10 1 75 0.91869 0.502 0.060116 0.10724 0.5204 0.060504 0.10645
10 1 100 0.91869 0.502 0.060116 0.1151 0.5204 0.060504 0.11211
10 1 250 0.91869 0.502 0.060116 0.14224 0.5204 0.060504 0.14201
10 1 500 0.91869 0.502 0.060116 0.19858 0.5204 0.060504 0.19725
10 2 1 0.91869 0.4613 0.029302 0.087197 0.4657 0.028362 0.086249
10 2 2 0.91869 0.6205 0.04059 0.090063 0.6297 0.039407 0.088947
10 2 3 0.91869 0.6833 0.043615 0.09517 0.6924 0.041724 0.094013
10 2 4 0.91869 0.71 0.045345 0.094141 0.7167 0.043455 0.093168
10 2 5 0.91869 0.7205 0.045796 0.095937 0.728 0.04446 0.095085
10 2 8 0.91869 0.726 0.04573 0.099861 0.7339 0.044746 0.10146
10 2 10 0.91869 0.7261 0.045654 0.10204 0.7341 0.044692 0.10072
10 2 12 0.91869 0.7261 0.045654 0.10231 0.7341 0.044692 0.10148
10 2 20 0.91869 0.7261 0.045654 0.10432 0.7341 0.044692 0.10353
10 2 25 0.91869 0.7261 0.045654 0.10694 0.7341 0.044692 0.10576
10 2 50 0.91869 0.7261 0.045654 0.11295 0.7341 0.044692 0.11211
10 2 75 0.91869 0.7261 0.045654 0.11716 0.7341 0.044692 0.11629
10 2 100 0.91869 0.7261 0.045654 0.12613 0.7341 0.044692 0.12509
10 2 250 0.91869 0.7261 0.045654 0.15862 0.7341 0.044692 0.15619
10 2 500 0.91869 0.7261 0.045654 0.20896 0.7341 0.044692 0.20766
10 4 1 0.91869 0.4922 0.028047 0.088404 0.4944 0.027256 0.087613
10 4 2 0.91869 0.6957 0.035167 0.090972 0.6995 0.032883 0.09018
10 4 3 0.91869 0.7943 0.030488 0.093806 0.7971 0.02825 0.092798
10 4 4 0.91869 0.8414 0.025732 0.095987 0.8438 0.023805 0.095027
10 4 5 0.91869 0.8676 0.022633 0.098353 0.8712 0.021152 0.097932
10 4 8 0.91869 0.8928 0.019007 0.10538 0.8979 0.018564 0.10441
10 4 10 0.91869 0.8967 0.018498 0.10891 0.9023 0.018103 0.10781
10 4 12 0.91869 0.8984 0.018376 0.11219 0.9036 0.017905 0.11136
10 4 20 0.91869 0.8988 0.018317 0.11917 0.9042 0.01794 0.11835
10 4 25 0.91869 0.8988 0.018317 0.12232 0.9042 0.01794 0.12085
10 4 50 0.91869 0.8988 0.018317 0.13015 0.9042 0.01794 0.12938
10 4 75 0.91869 0.8988 0.018317 0.13429 0.9042 0.01794 0.13326
10 4 100 0.91869 0.8988 0.018317 0.14225 0.9042 0.01794 0.14143
10 4 250 0.91869 0.8988 0.018317 0.17533 0.9042 0.01794 0.17418
10 4 500 0.91869 0.8988 0.018317 0.23155 0.9042 0.01794 0.22991
10 8 1 0.91869 0.4997 0.027417 0.090664 0.5007 0.026916 0.090114
10 8 2 0.91869 0.715 0.033609 0.093667 0.7158 0.032143 0.092504
10 8 3 0.91869 0.8296 0.02619 0.096212 0.8241 0.025094 0.095002
10 8 4 0.91869 0.887 0.020191 0.098801 0.8813 0.018559 0.10003
10 8 5 0.91869 0.9204 0.014438 0.10139 0.9164 0.013645 0.10054
10 8 8 0.91869 0.9647 0.00605 0.10831 0.9599 0.0069289 0.11147
10 8 10 0.91869 0.9726 0.0045538 0.11336 0.9696 0.0053812 0.11232
10 8 12 0.91869 0.9779 0.0036052 0.11785 0.9749 0.0043644 0.11701
10 8 20 0.91869 0.9836 0.0026937 0.1348 0.9799 0.0037698 0.13261
10 8 25 0.91869 0.984 0.0025866 0.14226 0.9801 0.0037377 0.14094
10 8 50 0.91869 0.984 0.0025866 0.16185 0.9801 0.0037377 0.15808
10 8 75 0.91869 0.984 0.0025866 0.16336 0.9801 0.0037377 0.16246
