k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.0096677 0.2943 0.047685 0.023011 125 0.3002 0.046066 0.020903
10 1 7 0.036 1 0.0103042 0.2865 0.046414 0.013683 62.529 0.3039 0.051026 0.0116
10 1 8 0.036 1 0.0121923 0.1999 0.034885 0.0085651 31.257 0.1953 0.033341 0.0068859
10 1 9 0.036 1 0.0178778 0.1512 0.022521 0.007649 15.627 0.1486 0.026004 0.006066
10 1 10 0.036 1 0.0167967 0.0983 0.01266 0.0044779 7.836 0.1033 0.013152 0.0033291
10 1 11 0.036 1 0.0205226 0.0649 0.0074254 0.0037187 3.923 0.0657 0.0072007 0.0026732
10 1 12 0.036 1 0.0251826 0.0416 0.0036531 0.0032886 1.963 0.0375 0.0036074 0.002415
10 5 6 0.036 1 0.00613893 0.8261 0.035805 0.069169 476.16 0.8331 0.035069 0.066852
10 5 6 0.036 2 0.0061389 0.5417 0.075146 0.022007 114.19 0.5481 0.072969 0.020545
10 5 6 0.036 3 0.0061389 0.2631 0.053642 0.0084933 28.285 0.2745 0.055635 0.0074432
10 5 6 0.036 4 0.0061389 0.0886 0.018208 0.0045375 5.735 0.0967 0.020199 0.0037103
10 5 6 0.036 5 0.0061389 0.0136 0.0018569 0.0029478 0.63 0.0158 0.0024328 0.0026028
10 5 7 0.036 1 0.0118691 0.7314 0.049984 0.037685 243.29 0.738 0.050767 0.03511
10 5 7 0.036 2 0.011869 0.4343 0.067301 0.01235 52.856 0.4383 0.070574 0.010937
10 5 7 0.036 3 0.011869 0.2054 0.03891 0.0055922 13.216 0.208 0.043279 0.0046693
10 5 7 0.036 4 0.011869 0.0681 0.011744 0.0033898 2.853 0.0712 0.014005 0.0027782
10 5 7 0.036 5 0.011869 0.0118 0.0014822 0.0024617 0.363 0.0132 0.0017475 0.0020828
10 5 8 0.036 1 0.0207993 0.5792 0.054942 0.035746 131.56 0.5934 0.055392 0.028606
10 5 8 0.036 2 0.020799 0.262 0.0439 0.0068574 20.116 0.2723 0.048451 0.005871
10 5 8 0.036 3 0.020799 0.0918 0.015829 0.003738 3.782 0.1052 0.020033 0.0029581
10 5 8 0.036 4 0.020799 0.0219 0.0029734 0.0026848 0.637 0.0277 0.0045673 0.0021354
10 5 8 0.036 5 0.020799 0.0019 0.00018658 0.002295 0.054 0.0042 0.00048284 0.0019272
10 5 9 0.036 1 0.0241051 0.4703 0.050599 0.014854 68.861 0.4757 0.057217 0.013102
10 5 9 0.036 2 0.024105 0.1654 0.025949 0.0046342 7.915 0.1696 0.031007 0.0037918
10 5 9 0.036 3 0.024105 0.0437 0.0067871 0.0027366 1.179 0.0504 0.0090889 0.0022172
10 5 9 0.036 4 0.024105 0.0101 0.0014094 0.0021013 0.181 0.0103 0.0014654 0.0017442
10 5 9 0.036 5 0.024105 0.0008 9.9459e-05 0.0019823 0.013 0.0013 0.00012844 0.0015983
10 5 10 0.036 1 0.0270176 0.3441 0.038384 0.014915 35.629 0.3656 0.042699 0.011928
10 5 10 0.036 2 0.027018 0.0935 0.012881 0.0051555 3.11 0.102 0.014631 0.0039688
10 5 10 0.036 3 0.027018 0.0212 0.0023729 0.0031577 0.413 0.023 0.0028138 0.0025832
10 5 10 0.036 4 0.027018 0.0037 0.00035667 0.001984 0.053 0.0033 0.00035947 0.0018465
10 5 10 0.036 5 0.027018 0.0001 1e-05 0.0020467 0.001 0.0004 3.988e-05 0.0017113
10 5 11 0.036 1 0.0381883 0.245 0.026902 0.0073133 18.269 0.2495 0.028428 0.0055238
10 5 11 0.036 2 0.038188 0.0482 0.0057025 0.0030668 1.19 0.0527 0.0062389 0.0023996
10 5 11 0.036 3 0.038188 0.0083 0.00094205 0.0020179 0.121 0.0107 0.0011567 0.0018327
10 5 11 0.036 4 0.038188 0.0007 6.958e-05 0.0018881 0.012 0.0016 0.00017762 0.0016195
10 5 11 0.036 5 0.038188 0.0001 1e-05 0.0020087 0.002 0.0001 1e-05 0.0016873
10 5 12 0.036 1 0.0435827 0.1644 0.016329 0.0056366 9.378 0.1667 0.017599 0.0040985
10 5 12 0.036 2 0.043583 0.0219 0.0021325 0.0026263 0.43 0.0225 0.0023461 0.002061
10 5 12 0.036 3 0.043583 0.0028 0.00027243 0.0019907 0.031 0.0031 0.00030069 0.0017354
10 5 12 0.036 4 0.043583 0.0004 3.988e-05 0.0019715 0.004 0.0002 1.998e-05 0.0017049
10 5 12 0.036 5 0.043583 0 0 0.0020617 0 0 0 0.0018061
10 10 6 0.036 1 0.0115557 0.9412 0.012395 0.14098 753.34 0.9421 0.01289 0.10351
10 10 6 0.036 2 0.011556 0.8269 0.04339 0.045627 280.04 0.822 0.048645 0.043852
10 10 6 0.036 3 0.011556 0.6709 0.07662 0.023614 122.74 0.6679 0.08048 0.022059
10 10 6 0.036 4 0.011556 0.483 0.08878 0.013588 55.35 0.4931 0.093996 0.012307
10 10 6 0.036 5 0.011556 0.32 0.072533 0.0085387 24.325 0.332 0.076533 0.0076053
10 10 6 0.036 6 0.011556 0.1826 0.043341 0.0060028 9.814 0.1943 0.047605 0.0052562
10 10 6 0.036 7 0.011556 0.0846 0.018601 0.0046701 3.337 0.0931 0.021083 0.0040631
10 10 6 0.036 8 0.011556 0.0294 0.005361 0.0039473 0.858 0.0356 0.0067594 0.0035035
10 10 6 0.036 9 0.011556 0.0073 0.0010778 0.0033861 0.176 0.0097 0.0012772 0.0032292
10 10 6 0.036 10 0.011556 0.0007 6.958e-05 0.0033492 0.016 0.0013 0.00014846 0.0031901
10 10 7 0.036 1 0.0173006 0.8779 0.025387 0.089912 425.68 0.8804 0.02424 0.061014
10 10 7 0.036 2 0.017301 0.6857 0.065191 0.023994 124.03 0.6851 0.064773 0.022709
10 10 7 0.036 3 0.017301 0.485 0.080756 0.01206 46.022 0.4931 0.083466 0.010822
10 10 7 0.036 4 0.017301 0.3118 0.067288 0.0073963 18.297 0.3202 0.069501 0.0063671
10 10 7 0.036 5 0.017301 0.1779 0.041443 0.0051908 7.174 0.1843 0.043707 0.0044237
10 10 7 0.036 6 0.017301 0.09 0.02038 0.0040524 2.679 0.0948 0.021174 0.0034417
10 10 7 0.036 7 0.017301 0.0393 0.0082938 0.0032813 0.927 0.04 0.0087287 0.002878
10 10 7 0.036 8 0.017301 0.0151 0.0028248 0.0030405 0.27 0.0161 0.0029537 0.0027312
10 10 7 0.036 9 0.017301 0.0038 0.00058615 0.0029574 0.058 0.0046 0.0006595 0.0026254
10 10 7 0.036 10 0.017301 0.0005 4.98e-05 0.0028517 0.006 0.0005 4.98e-05 0.0025286
10 10 8 0.036 1 0.0302427 0.7876 0.041488 0.065153 224.43 0.7969 0.0396 0.049011
10 10 8 0.036 2 0.030243 0.5462 0.070356 0.018206 56.601 0.5523 0.072067 0.015771
10 10 8 0.036 3 0.030243 0.3394 0.062911 0.010212 19.583 0.3504 0.065746 0.0089731
10 10 8 0.036 4 0.030243 0.1925 0.039633 0.0067135 7.396 0.2017 0.043611 0.0054248
10 10 8 0.036 5 0.030243 0.098 0.019255 0.0050975 2.822 0.1075 0.023317 0.0041429
10 10 8 0.036 6 0.030243 0.0457 0.0084099 0.0042902 1.076 0.0507 0.0090686 0.003501
10 10 8 0.036 7 0.030243 0.0188 0.0029295 0.0035501 0.347 0.021 0.0033023 0.0031214
10 10 8 0.036 8 0.030243 0.0061 0.0007135 0.0032837 0.1 0.0064 0.00079984 0.0028579
10 10 8 0.036 9 0.030243 0.0012 0.00011868 0.0031182 0.018 0.0017 0.00016728 0.0027169
10 10 8 0.036 10 0.030243 0.0001 1e-05 0.0031209 0.002 0.0002 1.998e-05 0.0027099
10 10 9 0.036 1 0.0387967 0.6612 0.049264 0.030645 121.68 0.6763 0.050899 0.022952
10 10 9 0.036 2 0.038797 0.3855 0.055075 0.0082469 24.116 0.3928 0.062511 0.0070676
10 10 9 0.036 3 0.038797 0.2026 0.03669 0.0047688 7.182 0.2151 0.042545 0.0040166
10 10 9 0.036 4 0.038797 0.0991 0.017927 0.003706 2.372 0.1121 0.023567 0.0030881
10 10 9 0.036 5 0.038797 0.0435 0.0070048 0.0029926 0.799 0.0539 0.010635 0.0025719
10 10 9 0.036 6 0.038797 0.0177 0.0025993 0.002577 0.258 0.021 0.0034224 0.0022009
10 10 9 0.036 7 0.038797 0.0045 0.00049024 0.0024471 0.063 0.0077 0.0009917 0.0020853
10 10 9 0.036 8 0.038797 0.0011 0.0001089 0.0023634 0.012 0.0019 0.0002066 0.0020065
10 10 9 0.036 9 0.038797 0 0 0.002426 0 0.0001 1e-05 0.0020259
10 10 9 0.036 10 0.038797 0 0 0.002518 0 0 0 0.0021494
10 10 10 0.036 1 0.0327766 0.5367 0.048832 0.015772 64.637 0.5319 0.052465 0.014005
10 10 10 0.036 2 0.032777 0.2449 0.033988 0.0058308 10.102 0.2495 0.039059 0.0048314
10 10 10 0.036 3 0.032777 0.1041 0.01657 0.0040054 2.519 0.1077 0.017448 0.0032083
10 10 10 0.036 4 0.032777 0.0381 0.0050234 0.0032278 0.684 0.0431 0.0064588 0.0027509
10 10 10 0.036 5 0.032777 0.0128 0.0013575 0.0028397 0.2 0.0166 0.0024068 0.002465
10 10 10 0.036 6 0.032777 0.0038 0.00042599 0.002745 0.055 0.0062 0.00080236 0.0023484
10 10 10 0.036 7 0.032777 0.0009 0.0001093 0.0027398 0.013 0.0022 0.00029546 0.0021993
10 10 10 0.036 8 0.032777 0.0001 1e-05 0.0027192 0.001 0.0004 5.99e-05 0.0022771
10 10 10 0.036 9 0.032777 0 0 0.0026647 0 0 0 0.0021934
10 10 10 0.036 10 0.032777 0 0 0.0026848 0 0 0 0.0022954
10 10 11 0.036 1 0.0400786 0.3902 0.041405 0.010756 33.912 0.4036 0.040588 0.0086583
10 10 11 0.036 2 0.040079 0.1394 0.019107 0.0045678 4.069 0.1481 0.020417 0.0035689
10 10 11 0.036 3 0.040079 0.0469 0.0055559 0.0032122 0.888 0.0491 0.0063856 0.0025115
10 10 11 0.036 4 0.040079 0.0159 0.0017589 0.0025538 0.235 0.0134 0.0014819 0.0021189
10 10 11 0.036 5 0.040079 0.0051 0.00058457 0.0023515 0.061 0.0042 0.00046282 0.0020309
10 10 11 0.036 6 0.040079 0.0012 0.0001387 0.0023697 0.014 0.0006 5.97e-05 0.0019619
10 10 11 0.036 7 0.040079 0.0001 1e-05 0.0024386 0.001 0.0002 1.998e-05 0.0020229
10 10 11 0.036 8 0.040079 0.0001 1e-05 0.0023083 0.001 0 0 0.0019762
10 10 11 0.036 9 0.040079 0.0001 1e-05 0.0023269 0.001 0 0 0.0020524
10 10 11 0.036 10 0.040079 0 0 0.0024116 0 0 0 0.0021622
10 10 12 0.036 1 0.0459829 0.2755 0.027377 0.0080604 17.827 0.2861 0.031428 0.0061979
10 10 12 0.036 2 0.045983 0.0651 0.0074194 0.0039261 1.541 0.0765 0.009247 0.003126
10 10 12 0.036 3 0.045983 0.0177 0.0019386 0.0028894 0.269 0.0205 0.0021719 0.0024039
10 10 12 0.036 4 0.045983 0.0051 0.00048447 0.0026486 0.057 0.0055 0.00052027 0.0022095
10 10 12 0.036 5 0.045983 0.0011 0.0001089 0.0024421 0.011 0.0015 0.0001479 0.0021316
10 10 12 0.036 6 0.045983 0.0004 3.988e-05 0.002419 0.004 0 0 0.0020888
10 10 12 0.036 7 0.045983 0.0001 1e-05 0.0024404 0.001 0 0 0.0021377
10 10 12 0.036 8 0.045983 0 0 0.0025545 0 0 0 0.0022292
10 10 12 0.036 9 0.045983 0 0 0.0024141 0 0 0 0.0022137
10 10 12 0.036 10 0.045983 0 0 0.0023648 0 0 0 0.0021166
10 25 6 0.036 1 0.0102685 0.9857 0.0040896 0.17391 1183.3 0.9873 0.0025713 0.16903
10 25 6 0.036 2 0.010268 0.9635 0.0087865 0.10185 647.82 0.9634 0.0085089 0.098987
10 25 6 0.036 3 0.010268 0.9244 0.018823 0.068465 407.11 0.9237 0.020128 0.066511
10 25 6 0.036 4 0.010268 0.876 0.033578 0.049 271.77 0.8704 0.036701 0.04653
10 25 6 0.036 5 0.010268 0.8127 0.052221 0.038087 187.08 0.8058 0.056343 0.036166
10 25 6 0.036 6 0.010268 0.7395 0.07024 0.0286 130.6 0.7348 0.077306 0.027183
10 25 6 0.036 7 0.010268 0.663 0.086317 0.022837 92.07 0.6654 0.090033 0.021817
10 25 6 0.036 8 0.010268 0.588 0.097293 0.020013 64.984 0.592 0.097273 0.018927
10 25 6 0.036 9 0.010268 0.5087 0.097111 0.01703 45.665 0.5121 0.099823 0.016068
10 25 6 0.036 10 0.010268 0.4277 0.093837 0.014417 31.913 0.4305 0.093914 0.013322
10 25 6 0.036 11 0.010268 0.3449 0.083077 0.011389 21.994 0.3539 0.08475 0.010959
10 25 6 0.036 12 0.010268 0.2791 0.068261 0.010008 14.928 0.283 0.072223 0.0097622
10 25 6 0.036 13 0.010268 0.2168 0.054312 0.0091058 9.907 0.2229 0.058424 0.0089424
