k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.0352451 0.4691 0.079855 0.026952 125 0.4452 0.078095 0.020074
10 1 7 0.036 1 0.0449659 0.3557 0.061349 0.019686 62.489 0.371 0.061741 0.016201
10 1 8 0.036 1 0.0508914 0.2422 0.037477 0.010767 31.277 0.2448 0.039693 0.0070407
10 1 9 0.036 1 0.0336009 0.1695 0.025085 0.0063354 15.594 0.1807 0.025383 0.0048083
10 1 10 0.036 1 0.0387 0.1126 0.014235 0.0049088 7.812 0.1118 0.014415 0.0035754
10 1 11 0.036 1 0.0447759 0.0692 0.0068983 0.004193 3.875 0.0723 0.0074301 0.0032096
10 1 12 0.036 1 0.0561963 0.0424 0.003746 0.0039505 1.965 0.0409 0.0037009 0.0030096
10 5 6 0.036 1 0.045132 0.9205 0.016787 0.069699 437.55 0.921 0.016516 0.067611
10 5 6 0.036 2 0.045132 0.7028 0.063896 0.028384 136.64 0.7162 0.060698 0.026224
10 5 6 0.036 3 0.045132 0.4176 0.077308 0.012816 40.522 0.4254 0.076231 0.011299
10 5 6 0.036 4 0.045132 0.1643 0.038314 0.0067559 9.081 0.1703 0.040108 0.0058889
10 5 6 0.036 5 0.045132 0.0356 0.00738 0.0046509 1.202 0.0366 0.0081286 0.0039948
10 5 7 0.036 1 0.0519765 0.8414 0.030637 0.052769 238.76 0.8496 0.026526 0.040453
10 5 7 0.036 2 0.051977 0.5487 0.07213 0.016592 56.812 0.5588 0.072195 0.0149
10 5 7 0.036 3 0.051977 0.2575 0.055639 0.0084341 13.803 0.2733 0.056353 0.0070465
10 5 7 0.036 4 0.051977 0.0852 0.019881 0.0053638 2.746 0.089 0.019519 0.0047342
10 5 7 0.036 5 0.051977 0.0139 0.0023191 0.004225 0.32 0.0152 0.0021511 0.0038404
10 5 8 0.036 1 0.0505383 0.7167 0.046217 0.027123 128.19 0.7163 0.042727 0.025235
10 5 8 0.036 2 0.050538 0.3722 0.062269 0.010172 22.813 0.3633 0.059743 0.0087852
10 5 8 0.036 3 0.050538 0.1358 0.029007 0.0061236 4.483 0.1312 0.026633 0.0051796
10 5 8 0.036 4 0.050538 0.0326 0.005803 0.0047576 0.679 0.0324 0.0060363 0.0040577
10 5 8 0.036 5 0.050538 0.0031 0.00036075 0.0040676 0.056 0.0047 0.0005885 0.0035758
10 5 9 0.036 1 0.0628595 0.5806 0.048452 0.017597 67.857 0.5747 0.050841 0.016348
10 5 9 0.036 2 0.062859 0.2282 0.035861 0.007239 8.833 0.2172 0.033498 0.0062869
10 5 9 0.036 3 0.062859 0.0592 0.0099653 0.0051726 1.322 0.0567 0.0085036 0.0043866
10 5 9 0.036 4 0.062859 0.0102 0.0015175 0.0044342 0.164 0.0106 0.001369 0.0037727
10 5 9 0.036 5 0.062859 0.0008 7.9439e-05 0.0041365 0.008 0.001 9.9099e-05 0.0036051
10 5 10 0.036 1 0.0745292 0.4189 0.040113 0.017223 35.45 0.4186 0.042757 0.014184
10 5 10 0.036 2 0.074529 0.107 0.013665 0.0066341 3.231 0.1182 0.015765 0.0058949
10 5 10 0.036 3 0.074529 0.0185 0.00227 0.0049523 0.356 0.0204 0.0024062 0.0045214
10 5 10 0.036 4 0.074529 0.0019 0.0002066 0.0044479 0.028 0.0026 0.00029353 0.0041251
10 5 10 0.036 5 0.074529 0.0001 1e-05 0.0046993 0.001 0.0003 2.994e-05 0.0041809
10 5 11 0.036 1 0.0895341 0.2932 0.029884 0.012444 18.126 0.2932 0.029243 0.010419
10 5 11 0.036 2 0.089534 0.0553 0.0067787 0.0065775 1.238 0.0574 0.0064917 0.0055513
10 5 11 0.036 3 0.089534 0.0082 0.0010338 0.0051523 0.111 0.0077 0.00081152 0.0046515
10 5 11 0.036 4 0.089534 0.0008 7.9439e-05 0.0051853 0.01 0.0005 4.98e-05 0.0046073
10 5 11 0.036 5 0.089534 0.0001 1e-05 0.0049793 0.001 0 0 0.0044432
10 5 12 0.036 1 0.0873526 0.1766 0.016048 0.0094095 9.39 0.1834 0.0158 0.0078366
10 5 12 0.036 2 0.087353 0.0203 0.00208 0.0060264 0.367 0.0244 0.0026273 0.0053245
10 5 12 0.036 3 0.087353 0.0021 0.00022582 0.0052307 0.028 0.0018 0.00017694 0.0048415
10 5 12 0.036 4 0.087353 0.0001 1e-05 0.0055905 0.001 0.0001 1e-05 0.0048028
10 5 12 0.036 5 0.087353 0 0 0.0054808 0 0 0 0.0048428
10 10 6 0.036 1 0.0534946 0.9875 0.0018356 0.10736 645.59 0.9864 0.0022173 0.10504
10 10 6 0.036 2 0.053495 0.9396 0.012825 0.057163 298.34 0.9369 0.014022 0.054992
10 10 6 0.036 3 0.053495 0.8426 0.041287 0.035427 156.55 0.8423 0.040781 0.033446
10 10 6 0.036 4 0.053495 0.6997 0.074184 0.024122 81.436 0.6992 0.074414 0.022455
10 10 6 0.036 5 0.053495 0.5247 0.09055 0.016867 40.153 0.5272 0.10014 0.015173
10 10 6 0.036 6 0.053495 0.3382 0.078059 0.012365 17.974 0.3489 0.086085 0.011063
10 10 6 0.036 7 0.053495 0.1859 0.046698 0.0095299 7.092 0.1924 0.049972 0.0089736
10 10 6 0.036 8 0.053495 0.0769 0.017514 0.0074622 2.264 0.083 0.01891 0.0071221
10 10 6 0.036 9 0.053495 0.0235 0.0041819 0.0068412 0.538 0.024 0.0042883 0.006316
10 10 6 0.036 10 0.053495 0.0038 0.00046603 0.0064805 0.064 0.0041 0.00053372 0.0061577
10 10 7 0.036 1 0.0609165 0.9578 0.0075267 0.074588 380.64 0.957 0.0078989 0.065959
