k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.0174571 0.3942 0.04345 0.014852 0 0.00052507 0.0024105 0.011587 40.706 8000 0.4011 0.048978 0.013293
10 1 7 0.036 1 1 2 0.017457 0.193 0.023895 0.0070745 0 0.00022892 0.0025417 0.0038658 11.634 8000 0.2053 0.028771 0.0065871
10 1 7 0.036 1 1 3 0.017457 0.1033 0.012291 0.0050214 0 0.0002063 0.0021953 0.0022022 4.838 8000 0.1142 0.014853 0.0039718
10 1 7 0.036 1 1 4 0.017457 0.0628 0.0075437 0.0031034 0 0.000169 0.0014335 0.0012046 2.324 8000 0.067 0.0077988 0.002776
10 1 7 0.036 1 1 5 0.017457 0.0385 0.0039917 0.0026708 0 0.0001694 0.0013933 0.00086695 1.299 8000 0.0441 0.0047499 0.0024543
10 1 7 0.036 1 1 6 0.017457 0.0222 0.0021093 0.0023072 0 0.0001663 0.0013115 0.00058529 0.715 8000 0.0251 0.0023423 0.0022037
10 1 7 0.036 1 1 7 0.017457 0.0142 0.0013397 0.0022055 0 0.00017138 0.0013814 0.00046658 0.419 8000 0.0159 0.0015187 0.0020056
10 1 7 0.036 1 1 8 0.017457 0.0101 0.001009 0.0020602 0 0.00019462 0.0013898 0.00025674 0.243 8000 0.0095 0.00088063 0.0018027
10 1 7 0.036 1 1 9 0.017457 0.0064 0.00063968 0.0017451 0 0.00016935 0.0012207 0.00017641 0.155 8000 0.006 0.00058458 0.0018229
10 1 7 0.036 1 1 10 0.017457 0.0047 0.00044836 0.0018272 0 0.0001768 0.0013367 0.00012613 0.096 8000 0.0039 0.00037517 0.0018082
10 1 7 0.036 1 1 11 0.017457 0.0028 0.00027243 0.0016412 0 0.00016963 0.0012235 8.1737e-05 0.054 8000 0.0029 0.00028187 0.0016565
10 1 7 0.036 1 1 12 0.017457 0.0004 3.988e-05 0.0016019 0 0.00017104 0.0012228 4.4861e-05 0.01 8000 0.0007 6.958e-05 0.0016095
10 1 7 0.036 1 1 13 0.017457 0.0004 3.988e-05 0.0017011 0 0.00017789 0.0012838 4.8397e-05 0.01 8000 0.0007 6.958e-05 0.0016553
10 1 7 0.036 1 1 14 0.017457 0 0 0.0018022 0 0.00017699 0.0013802 3.0591e-05 0 8000 0 0 0.0016224
10 1 7 0.036 1 1 15 0.017457 0 0 0.0017947 0 0.0001881 0.0013568 3.3791e-05 0 8000 0 0 0.0017054
10 1 7 0.036 1 1 16 0.017457 0 0 0.001758 0 0.00017424 0.0013504 3.4223e-05 0 8000 0 0 0.001589
10 1 7 0.036 1 1 17 0.017457 0 0 0.0016811 0 0.00017126 0.0012893 3.0083e-05 0 8000 0 0 0.0016266
10 1 7 0.036 1 1 18 0.017457 0 0 0.0018182 0 0.00018438 0.001386 4.6339e-05 0 8000 0 0 0.001653
10 1 7 0.036 1 1 19 0.017457 0 0 0.0016995 0 0.00017139 0.0013062 2.9859e-05 0 8000 0 0 0.00164
10 1 7 0.036 1 1 20 0.017457 0 0 0.0017938 0 0.00018864 0.0013737 3.5253e-05 0 8000 0 0 0.0016101
10 1 7 0.036 1 1 22 0.017457 0 0 0.0018022 0 0.00017934 0.0013905 3.1298e-05 0 8000 0 0 0.0016921
10 1 7 0.036 1 1 25 0.017457 0 0 0.0017034 0 0.0001711 0.0013077 2.9994e-05 0 8000 0 0 0.0016536
10 1 7 0.036 1 1 30 0.017457 0 0 0.0018007 0 0.00017684 0.0013737 3.4139e-05 0 8000 0 0 0.0016295
10 1 7 0.036 1 1 35 0.017457 0 0 0.0017062 0 0.00017265 0.0013075 3.4504e-05 0 8000 0 0 0.0016064
10 1 7 0.036 1 1 40 0.017457 0 0 0.0018097 0 0.0001911 0.0013716 3.1994e-05 0 8000 0 0 0.0016683
10 1 7 0.036 1 1 50 0.017457 0 0 0.0018026 0 0.00017569 0.0013979 3.2267e-05 0 8000 0 0 0.0016233
10 1 7 0.036 1 1 60 0.017457 0 0 0.0017107 0 0.00017417 0.0013133 3.2378e-05 0 8000 0 0 0.0015996
10 1 7 0.036 1 1 70 0.017457 0 0 0.0017722 0 0.00018026 0.0013609 3.4733e-05 0 8000 0 0 0.001605
10 1 7 0.036 1 1 80 0.017457 0 0 0.0016981 0 0.00017169 0.0013054 3.019e-05 0 8000 0 0 0.0016281
