k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.04869 0.4634 0.042703 0.014401 0 0.0011327 0.0024399 0.010547 36.223 8000 0.4625 0.044869 0.012597
10 1 7 0.036 1 1 2 0.04869 0.2707 0.030082 0.0076619 0 0.00078964 0.0025602 0.0040069 12.55 8000 0.27 0.031752 0.0067059
10 1 7 0.036 1 1 3 0.04869 0.1697 0.020432 0.0044206 0 0.00049791 0.0017641 0.0019133 5.841 8000 0.167 0.020491 0.0038275
10 1 7 0.036 1 1 4 0.04869 0.1121 0.012336 0.0035273 0 0.00048548 0.0014913 0.0013403 3.227 8000 0.1137 0.013436 0.0032227
10 1 7 0.036 1 1 5 0.04869 0.0683 0.0074526 0.0030082 0 0.00046232 0.0013582 0.0009784 1.794 8000 0.0732 0.0085503 0.0028261
10 1 7 0.036 1 1 6 0.04869 0.0436 0.0045035 0.0028055 0 0.00047525 0.0013797 0.00075822 1.067 8000 0.0477 0.0054001 0.0026091
10 1 7 0.036 1 1 7 0.04869 0.0257 0.0026522 0.0023559 0 0.00044717 0.0012617 0.00046994 0.589 8000 0.028 0.002979 0.0022364
10 1 7 0.036 1 1 8 0.04869 0.0163 0.0015859 0.0021739 0 0.0004431 0.0012348 0.00031983 0.34 8000 0.0174 0.0018191 0.0020549
10 1 7 0.036 1 1 9 0.04869 0.0121 0.0011848 0.0021163 0 0.00044304 0.0012522 0.00025041 0.261 8000 0.0138 0.0014911 0.0019992
10 1 7 0.036 1 1 10 0.04869 0.0089 0.00087166 0.0020271 0 0.00047052 0.0011971 0.00018891 0.176 8000 0.0111 0.001248 0.0019197
10 1 7 0.036 1 1 11 0.04869 0.005 0.00047548 0.0021038 0 0.00048888 0.001297 0.00012118 0.093 8000 0.0058 0.00054691 0.0019774
10 1 7 0.036 1 1 12 0.04869 0.0048 0.00045742 0.0019365 0 0.00043779 0.0012332 0.00011186 0.089 8000 0.0049 0.00046646 0.0018125
10 1 7 0.036 1 1 13 0.04869 0.0034 0.00032877 0.0019094 0 0.00044186 0.0012271 8.8376e-05 0.062 8000 0.0035 0.00033809 0.0017808
10 1 7 0.036 1 1 14 0.04869 0.0026 0.00025349 0.0020605 0 0.00047443 0.0013377 8.5584e-05 0.053 8000 0.0027 0.00026297 0.0018792
10 1 7 0.036 1 1 15 0.04869 0.0016 0.0001576 0.0020201 0 0.00048409 0.0013173 6.2532e-05 0.028 8000 0.0017 0.00016728 0.00179
10 1 7 0.036 1 1 16 0.04869 0.0015 0.0001479 0.0019537 0 0.00044841 0.0012882 5.2037e-05 0.019 8000 0.0013 0.00012844 0.0017603
10 1 7 0.036 1 1 17 0.04869 0.0015 0.0001479 0.0018663 0 0.00043742 0.0012308 5.0899e-05 0.019 8000 0.0013 0.00012844 0.0017506
10 1 7 0.036 1 1 18 0.04869 0.0015 0.0001479 0.0019991 0 0.00046286 0.0013102 5.34e-05 0.019 8000 0.0013 0.00012844 0.0017404
10 1 7 0.036 1 1 19 0.04869 0.0015 0.0001479 0.00197 0 0.0004518 0.0013121 5.2561e-05 0.019 8000 0.0013 0.00012844 0.0018322
10 1 7 0.036 1 1 20 0.04869 0.0015 0.0001479 0.0018798 0 0.0004385 0.0012426 5.0283e-05 0.019 8000 0.0013 0.00012844 0.0017546
10 1 7 0.036 1 1 22 0.04869 0 0 0.0019928 0 0.00049293 0.0013105 3.1599e-05 0 8000 0 0 0.0018047
10 1 7 0.036 1 1 25 0.04869 0 0 0.001951 0 0.00045543 0.0013098 3.1117e-05 0 8000 0 0 0.0017129
10 1 7 0.036 1 1 30 0.04869 0 0 0.0018302 0 0.00043561 0.0012161 2.9607e-05 0 8000 0 0 0.0017111
10 1 7 0.036 1 1 35 0.04869 0 0 0.0019505 0 0.0004467 0.0013222 3.0512e-05 0 8000 0 0 0.0017125
10 1 7 0.036 1 1 40 0.04869 0 0 0.0018352 0 0.00043573 0.0012248 2.9724e-05 0 8000 0 0 0.0017099
10 1 7 0.036 1 1 50 0.04869 0 0 0.0018958 0 0.00044859 0.0012672 3.0484e-05 0 8000 0 0 0.0017267
10 1 7 0.036 1 1 60 0.04869 0 0 0.0020008 0 0.0004746 0.0013383 3.178e-05 0 8000 0 0 0.0018798
10 1 7 0.036 1 1 70 0.04869 0 0 0.0019744 0 0.00047223 0.0013157 3.1582e-05 0 8000 0 0 0.0018783
10 1 7 0.036 1 1 80 0.04869 0 0 0.0019408 0 0.00045594 0.0013003 3.0916e-05 0 8000 0 0 0.0018481
10 1 7 0.036 1 1 90 0.04869 0 0 0.0019209 0 0.0004508 0.0012887 3.0608e-05 0 8000 0 0 0.0017409
10 1 7 0.036 1 1 100 0.04869 0 0 0.0018816 0 0.00044829 0.0012544 2.9855e-05 0 8000 0 0 0.0017886
10 1 7 0.036 1 1 125 0.04869 0 0 0.0018895 0 0.00044277 0.0012635 3.0165e-05 0 8000 0 0 0.0017418
10 1 7 0.036 1 1 150 0.04869 0 0 0.0019772 0 0.00045887 0.0013281 3.166e-05 0 8000 0 0 0.0017908
10 1 7 0.036 1 1 200 0.04869 0 0 0.0018228 0 0.00043538 0.0012129 2.8997e-05 0 8000 0 0 0.001793
10 1 9 0.036 1 1 1 0.0538281 0.2587 0.023788 0.0066147 0 0.0011283 0.0015343 0.0036809 11.991 8000 0.2648 0.022383 0.0054496
10 1 9 0.036 1 1 2 0.053828 0.0951 0.0088548 0.0037002 0 0.00073584 0.0015347 0.0012211 2.592 8000 0.0947 0.0079899 0.0033211
