k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.0129286 0.2949 0.03568 0.012249 0.00061946 0.00012483 0.0017595 0.0094741 47.673 8000 0.3136 0.041717 0.011043
10 1 7 0.036 1 1 2 0.012929 0.1148 0.014996 0.0052616 0.00031098 9.4709e-05 0.001848 0.0026258 9.907 8000 0.124 0.017161 0.0047947
10 1 7 0.036 1 1 3 0.012929 0.0466 0.0057542 0.0037863 0.000318 9.2417e-05 0.0016425 0.0013588 2.909 8000 0.0515 0.0064042 0.0031631
10 1 7 0.036 1 1 4 0.012929 0.0209 0.0027559 0.0027579 0.00030933 8.6092e-05 0.0013449 0.00073188 1.105 8000 0.0274 0.0030523 0.0025325
10 1 7 0.036 1 1 5 0.012929 0.01 0.0010611 0.0023466 0.00030006 8.5414e-05 0.0012727 0.00042223 0.49 8000 0.0149 0.0017297 0.0022024
10 1 7 0.036 1 1 6 0.012929 0.006 0.00066466 0.0023534 0.00032254 9.8565e-05 0.001371 0.0002759 0.251 8000 0.0082 0.00085361 0.0021518
10 1 7 0.036 1 1 7 0.012929 0.0024 0.00023447 0.0018338 0.00029882 8.1307e-05 0.0011494 0.00011599 0.089 8000 0.0041 0.00039358 0.0018883
10 1 7 0.036 1 1 8 0.012929 0.001 9.9099e-05 0.0018198 0.00030912 8.364e-05 0.0011649 6.8524e-05 0.036 8000 0.0015 0.0001479 0.0017799
10 1 7 0.036 1 1 9 0.012929 0.0005 4.98e-05 0.0018445 0.00031058 8.4859e-05 0.0012115 4.8896e-05 0.016 8000 0.0005 4.98e-05 0.0017545
10 1 7 0.036 1 1 10 0.012929 0.0001 1e-05 0.0020076 0.00032732 9.9528e-05 0.001317 4.0182e-05 0.008 8000 0.0001 1e-05 0.0018736
10 1 7 0.036 1 1 11 0.012929 0.0001 1e-05 0.0019778 0.00031323 8.574e-05 0.0013175 4.005e-05 0.008 8000 0.0001 1e-05 0.0018042
10 1 7 0.036 1 1 12 0.012929 0 0 0.0019242 0.00031794 8.4149e-05 0.0012856 2.9308e-05 0 8000 0 0 0.00182
10 1 7 0.036 1 1 13 0.012929 0 0 0.0019862 0.00032334 8.545e-05 0.0012938 2.9908e-05 0 8000 0 0 0.0018555
10 1 7 0.036 1 1 14 0.012929 0 0 0.0017802 0.00030419 8.3069e-05 0.0011763 2.8837e-05 0 8000 0 0 0.0017274
10 1 7 0.036 1 1 15 0.012929 0 0 0.0017982 0.00030724 8.4242e-05 0.0011824 2.8893e-05 0 8000 0 0 0.0017435
10 1 7 0.036 1 1 16 0.012929 0 0 0.0017377 0.0002995 8.1691e-05 0.0011499 2.8394e-05 0 8000 0 0 0.0017457
10 1 7 0.036 1 1 17 0.012929 0 0 0.0018684 0.00032756 9.0207e-05 0.0012294 2.9502e-05 0 8000 0 0 0.0017452
10 1 7 0.036 1 1 18 0.012929 0 0 0.001742 0.00029986 8.1455e-05 0.0011547 2.8319e-05 0 8000 0 0 0.0017443
10 1 7 0.036 1 1 19 0.012929 0 0 0.0018154 0.00031111 9.7047e-05 0.0011809 2.8842e-05 0 8000 0 0 0.0017576
10 1 7 0.036 1 1 20 0.012929 0 0 0.0017475 0.0003019 8.1131e-05 0.0011451 2.7829e-05 0 8000 0 0 0.0017478
10 1 7 0.036 1 1 22 0.012929 0 0 0.0018876 0.00032651 9.9346e-05 0.0012192 2.9692e-05 0 8000 0 0 0.001748
10 1 7 0.036 1 1 25 0.012929 0 0 0.0017796 0.00030347 8.5334e-05 0.001168 2.919e-05 0 8000 0 0 0.0017316
10 1 7 0.036 1 1 30 0.012929 0 0 0.0017273 0.00029914 8.1426e-05 0.0011396 2.8489e-05 0 8000 0 0 0.0017308
10 1 7 0.036 1 1 35 0.012929 0 0 0.0018314 0.00031882 8.614e-05 0.0012058 3.0048e-05 0 8000 0 0 0.0018293
10 1 7 0.036 1 1 40 0.012929 0 0 0.0017576 0.00030157 9.321e-05 0.0011394 2.8016e-05 0 8000 0 0 0.0017554
10 1 7 0.036 1 1 50 0.012929 0 0 0.0017446 0.00030593 8.3977e-05 0.0011354 2.8215e-05 0 8000 0 0 0.0017476
10 1 7 0.036 1 1 60 0.012929 0 0 0.0018819 0.00031957 8.7385e-05 0.0012525 3.0324e-05 0 8000 0 0 0.0018176
10 1 7 0.036 1 1 70 0.012929 0 0 0.0017769 0.00031413 8.2856e-05 0.0011682 2.8787e-05 0 8000 0 0 0.0017343
10 1 7 0.036 1 1 80 0.012929 0 0 0.0018855 0.00033683 8.762e-05 0.0012238 3.0249e-05 0 8000 0 0 0.0018763
10 1 7 0.036 1 1 90 0.012929 0 0 0.0017974 0.00030802 9.6805e-05 0.0011632 3.346e-05 0 8000 0 0 0.0017496
10 1 7 0.036 1 1 100 0.012929 0 0 0.001899 0.00033051 0.00010272 0.0012225 2.9718e-05 0 8000 0 0 0.0018588
