k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 25 0.648458 0.217 0.047639 0.27543 0.2025 0.042326 0.27297 247 245 168 114 92 40 34 30 12 11 7 
10 1 50 0.64846 0.217 0.047639 0.27948 0.2025 0.042326 0.34728 247 245 168 114 92 40 34 30 12 11 7 
10 1 100 0.64846 0.217 0.047639 0.33286 0.2025 0.042326 0.28182 247 245 168 114 92 40 34 30 12 11 7 
10 1 200 0.64846 0.217 0.047639 0.28126 0.2025 0.042326 0.312 247 245 168 114 92 40 34 30 12 11 7 
10 1 400 0.64846 0.217 0.047639 0.3324 0.2025 0.042326 0.2805 247 245 168 114 92 40 34 30 12 11 7 
10 1 1000 0.64846 0.3561 0.065789 0.56919 0.332 0.062579 0.59338 89 149 164 156 133 98 62 60 33 22 34 
10 1 2000 0.64846 0.4741 0.07055 1.0291 0.4588 0.06785 0.99176 34 71 119 142 147 108 119 86 66 46 62 
10 1 4000 0.64846 0.6142 0.064323 1.9082 0.6101 0.059748 1.8259 4 25 62 78 113 130 130 128 113 93 124 
10 1 10000 0.64846 0.8016 0.040057 4.4556 0.8148 0.033915 5.1358 0 0 9 27 35 58 93 109 168 188 313 
10 1 20000 0.64846 0.9212 0.015486 12.093 0.9278 0.011779 9.4923 0 0 1 1 5 13 24 65 97 193 601 
10 1 40000 0.64846 0.9871 0.0018655 16.433 0.9892 0.0014048 16.341 0 0 0 0 0 0 0 5 22 70 903 
10 1 100000 0.64846 0.9999 1e-05 36.503 1 0 36.856 0 0 0 0 0 0 0 0 0 1 999 
10 1 200000 0.64846 0.9999 1e-05 36.467 1 0 36.938 0 0 0 0 0 0 0 0 0 1 999 
10 1 400000 0.64846 0.9999 1e-05 36.366 1 0 37.002 0 0 0 0 0 0 0 0 0 1 999 
10 5 25 1.86178 0.2858 0.057436 0.32188 0.2762 0.054428 0.34625 148 214 166 139 108 78 56 37 24 14 16 
10 5 50 1.8618 0.2858 0.057436 0.29443 0.2762 0.054428 0.32248 148 214 166 139 108 78 56 37 24 14 16 
10 5 100 1.8618 0.2858 0.057436 0.3006 0.2762 0.054428 0.34643 148 214 166 139 108 78 56 37 24 14 16 
10 5 200 1.8618 0.2858 0.057436 0.30097 0.2762 0.054428 0.30554 148 214 166 139 108 78 56 37 24 14 16 
10 5 400 1.8618 0.2869 0.058096 0.32782 0.2768 0.054837 0.296 148 214 164 141 108 75 56 38 25 15 16 
10 5 1000 1.8618 0.4083 0.067669 0.60652 0.3991 0.064354 0.55758 56 122 140 157 122 116 91 67 61 41 27 
10 5 2000 1.8618 0.5068 0.071445 0.90797 0.5016 0.065423 0.9115 25 67 101 125 139 111 120 89 93 74 56 
10 5 4000 1.8618 0.6436 0.062602 1.5668 0.6399 0.057375 1.5195 2 21 46 74 108 113 125 129 121 127 134 
10 5 10000 1.8618 0.8232 0.033255 4.5422 0.8276 0.033632 4.4408 0 1 3 13 26 53 85 113 178 188 340 
10 5 20000 1.8618 0.918 0.015091 6.2213 0.9268 0.012414 5.8864 0 0 0 3 4 12 24 63 104 222 568 
10 5 40000 1.8618 0.9718 0.004269 10.213 0.9758 0.003658 10.184 0 0 0 0 0 1 2 17 39 140 801 
10 5 100000 1.8618 0.9951 0.00078678 20.285 0.9967 0.00047959 20.18 0 0 0 0 0 0 1 1 7 28 963 
10 5 200000 1.8618 0.9992 7.9439e-05 32.195 0.9991 0.00014934 31.761 0 0 0 0 0 0 0 0 0 8 992 
10 5 400000 1.8618 0.9999 1e-05 50.154 1 0 49.949 0 0 0 0 0 0 0 0 0 1 999 
10 10 25 3.50506 0.3131 0.059498 0.33231 0.3041 0.059192 0.30942 113 191 181 141 112 95 59 42 29 18 19 
10 10 50 3.5051 0.3131 0.059498 0.33991 0.3041 0.059192 0.31495 113 191 181 141 112 95 59 42 29 18 19 
10 10 100 3.5051 0.3131 0.059498 0.30352 0.3041 0.059192 0.3596 113 191 181 141 112 95 59 42 29 18 19 
10 10 200 3.5051 0.3131 0.059498 0.30317 0.3041 0.059192 0.31226 113 191 181 141 112 95 59 42 29 18 19 
10 10 400 3.5051 0.3138 0.05995 0.30797 0.3046 0.059438 0.31072 113 191 180 142 112 94 58 42 30 19 19 
10 10 1000 3.5051 0.4368 0.069155 0.59434 0.4245 0.065255 0.56716 46 102 138 133 127 128 103 76 68 41 38 
10 10 2000 3.5051 0.5277 0.068912 0.90301 0.5279 0.061914 0.85511 13 59 98 118 126 129 116 114 85 75 67 
10 10 4000 3.5051 0.6513 0.060899 1.4076 0.6544 0.055576 1.4524 2 12 56 77 85 106 133 134 136 126 133 
10 10 10000 3.5051 0.8104 0.037129 2.9525 0.8151 0.033355 2.9366 0 1 9 15 29 62 88 125 143 213 315 
10 10 20000 3.5051 0.9049 0.018565 6.7187 0.9138 0.016186 5.8984 0 0 1 4 5 20 33 64 127 207 539 
10 10 40000 3.5051 0.9641 0.0068681 10.148 0.9697 0.0048568 10.129 0 0 0 1 0 4 12 15 50 139 779 
10 10 100000 3.5051 0.9912 0.001404 19.68 0.9943 0.00087839 19.618 0 0 0 0 0 0 1 4 12 48 935 
10 10 200000 3.5051 0.9977 0.00040512 31.529 0.9976 0.00037461 31.193 0 0 0 0 0 0 1 0 3 13 983 
10 10 400000 3.5051 0.9997 2.994e-05 48.138 0.9995 0.00010986 48.066 0 0 0 0 0 0 0 0 0 3 997 
10 25 25 8.31883 0.3524 0.063778 0.3396 0.3379 0.061435 0.33319 90 156 157 156 127 104 73 56 28 26 27 
10 25 50 8.3188 0.3524 0.063778 0.33146 0.3379 0.061435 0.33123 90 156 157 156 127 104 73 56 28 26 27 
10 25 100 8.3188 0.3524 0.063778 0.33209 0.3379 0.061435 0.36378 90 156 157 156 127 104 73 56 28 26 27 
