k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 4 100 10 2.52606 0.196 0.051395 0.058191 0.1869 0.046665 0.057813 340 220 144 93 59 44 44 18 20 13 5 
10 4 100 20 2.5261 0.3141 0.070702 0.092403 0.3168 0.071429 0.092137 163 172 160 141 96 65 62 52 39 31 19 
10 4 100 40 2.5261 0.4626 0.0785 0.16233 0.4622 0.080452 0.16508 52 101 110 120 135 121 90 83 74 53 61 
10 4 100 60 2.5261 0.5434 0.075072 0.23063 0.5401 0.073656 0.22972 26 58 79 110 124 112 119 106 99 86 81 
10 4 100 80 2.5261 0.5918 0.070323 0.33083 0.588 0.069165 0.30547 15 36 66 94 109 106 139 126 103 98 108 
10 4 100 100 2.5261 0.624 0.066631 0.42056 0.6283 0.064474 0.37431 13 26 53 77 96 113 132 137 122 109 122 
10 4 100 120 2.5261 0.651 0.063162 0.43577 0.6559 0.060225 0.47054 8 20 55 54 87 108 131 149 128 123 137 
10 4 100 200 2.5261 0.7201 0.051738 0.73254 0.7234 0.050703 0.76707 3 9 18 48 62 88 122 143 160 159 188 
10 4 100 400 2.5261 0.7904 0.037505 1.3626 0.7928 0.037426 1.3606 1 3 7 20 33 54 100 146 180 197 259 
10 4 100 600 2.5261 0.8216 0.031425 2.1212 0.8207 0.032534 2.1225 0 2 4 12 18 54 76 129 180 221 304 
10 4 100 800 2.5261 0.8381 0.027806 3.0426 0.8369 0.029378 2.9966 0 2 1 10 16 32 79 123 177 228 332 
10 4 100 1000 2.5261 0.8483 0.025943 4.001 0.8491 0.026906 3.9974 0 2 1 8 13 28 68 121 174 234 351 
10 4 100 1200 2.5261 0.8564 0.024423 5.115 0.8573 0.025052 5.1035 0 2 0 6 13 28 57 118 164 248 364 
10 4 100 1500 2.5261 0.8661 0.022984 7.0567 0.8664 0.023214 7.175 0 2 0 5 12 21 54 108 160 249 389 
10 4 100 2000 2.5261 0.8747 0.021011 10.813 0.8766 0.020773 11.049 0 0 1 5 9 20 47 100 158 252 408 
10 4 500 10 8.66956 0.1997 0.05016 0.084447 0.2033 0.046506 0.069356 329 218 145 93 71 44 46 21 18 11 4 
10 4 500 20 8.6696 0.3386 0.073003 0.11683 0.3417 0.071142 0.11293 139 160 160 127 109 79 68 58 43 34 23 
10 4 500 40 8.6696 0.5019 0.079085 0.18947 0.4996 0.078378 0.18533 42 72 100 127 113 123 106 93 76 76 72 
10 4 500 60 8.6696 0.595 0.070205 0.26768 0.5919 0.070655 0.2681 19 44 50 75 119 120 136 120 108 105 104 
10 4 500 80 8.6696 0.6511 0.064603 0.39353 0.6534 0.064613 0.34256 7 32 36 66 87 107 132 136 133 122 142 
10 4 500 100 8.6696 0.687 0.05909 0.41429 0.6969 0.05946 0.41628 7 20 21 53 81 105 118 148 132 150 165 
10 4 500 120 8.6696 0.7166 0.053698 0.47804 0.7251 0.053654 0.47051 3 14 20 45 62 88 122 151 142 166 187 
10 4 500 200 8.6696 0.7908 0.040456 0.78444 0.7997 0.039189 0.77291 1 3 9 29 35 50 82 158 158 202 273 
10 4 500 400 8.6696 0.8638 0.024114 1.7131 0.8684 0.024506 1.5549 0 1 3 6 13 23 47 107 177 231 392 
10 4 500 600 8.6696 0.8916 0.019008 2.5205 0.8935 0.019247 2.4295 0 1 2 2 11 10 33 79 161 238 463 
10 4 500 800 8.6696 0.909 0.015174 3.2446 0.9096 0.015824 3.2152 0 0 0 3 3 15 25 53 150 237 514 
10 4 500 1000 8.6696 0.918 0.013469 4.3266 0.9197 0.014096 4.3041 0 0 0 3 1 11 25 43 132 245 540 
10 4 500 1200 8.6696 0.9226 0.012262 5.6107 0.9269 0.012479 5.4689 0 0 0 3 0 9 15 50 132 234 557 
10 4 500 1500 8.6696 0.9315 0.010668 7.6059 0.9333 0.011152 7.3781 0 0 0 2 0 9 11 36 119 236 587 
10 4 500 2000 8.6696 0.9396 0.0092611 11.582 0.9395 0.0098196 11.484 0 0 0 2 0 6 10 27 100 239 616 
10 8 100 10 4.54939 0.3521 0.068104 0.10167 0.3477 0.06574 0.10013 113 133 172 152 117 91 65 56 47 33 21 
10 8 100 20 4.5494 0.5256 0.073098 0.16593 0.5193 0.070768 0.16783 31 49 95 126 113 120 135 90 92 79 70 
10 8 100 40 4.5494 0.6855 0.054574 0.29428 0.6901 0.054026 0.3365 2 12 25 48 104 97 121 156 145 130 160 
10 8 100 60 4.5494 0.7612 0.042217 0.41527 0.7651 0.042795 0.46434 0 3 11 25 48 88 107 133 184 175 226 
10 8 100 80 4.5494 0.8039 0.034029 0.53618 0.8132 0.033279 0.5202 0 1 5 17 30 53 84 144 193 194 279 
10 8 100 100 4.5494 0.8345 0.028668 0.69372 0.8387 0.028601 0.65 0 0 2 9 24 38 73 120 191 208 335 
10 8 100 120 4.5494 0.8564 0.024664 0.73896 0.8609 0.024245 0.80468 0 0 1 7 14 36 55 92 194 231 370 
10 8 100 200 4.5494 0.9042 0.015678 1.2484 0.907 0.015787 1.1446 0 0 0 3 3 16 28 63 138 262 487 
10 8 100 400 4.5494 0.9449 0.0087628 2.1808 0.9477 0.0076624 2.126 0 0 0 0 0 6 14 29 83 212 656 
10 8 100 600 4.5494 0.9568 0.0067205 3.2937 0.9622 0.0055367 3.189 0 0 0 0 0 3 9 21 66 186 715 
10 8 100 800 4.5494 0.9647 0.005129 4.3694 0.9691 0.0043195 4.395 0 0 0 0 0 2 5 13 53 178 749 
10 8 100 1000 4.5494 0.9697 0.0044363 5.6834 0.9731 0.00365 5.8062 0 0 0 0 0 1 4 13 43 157 782 
10 8 100 1200 4.5494 0.974 0.0036877 8.1787 0.977 0.002994 8.1 0 0 0 0 0 1 2 10 36 145 806 
10 8 100 1500 4.5494 0.9765 0.003221 10.625 0.9791 0.0026558 10.178 0 0 0 0 0 1 1 9 28 143 818 
10 8 100 2000 4.5494 0.9797 0.0025805 13.271 0.9827 0.0022329 13.166 0 0 0 0 0 0 1 4 30 127 838 
10 8 500 10 15.0738 0.3603 0.065559 0.12471 0.37 0.063744 0.13363 99 131 154 165 133 104 60 47 53 36 18 
10 8 500 20 15.074 0.5574 0.067092 0.21077 0.5551 0.065479 0.19351 22 39 69 93 131 145 142 97 96 90 76 
10 8 500 40 15.074 0.7255 0.048889 0.40311 0.7294 0.047103 0.36513 1 13 14 29 61 99 136 151 149 147 200 
10 8 500 60 15.074 0.8076 0.034597 0.52712 0.8055 0.034554 0.49103 0 5 6 7 27 60 95 128 163 230 279 
10 8 500 80 15.074 0.8494 0.026806 0.63698 0.8546 0.024223 0.79735 0 2 2 6 13 39 62 116 161 239 360 
10 8 500 100 15.074 0.8794 0.021037 1.0628 0.8856 0.018751 1.016 0 1 1 3 9 21 44 90 169 225 437 
10 8 500 120 15.074 0.8997 0.016967 1.3027 0.9064 0.015434 0.83229 0 0 1 1 7 17 29 67 150 244 484 
10 8 500 200 15.074 0.9418 0.0089617 1.287 0.9454 0.0085274 1.2538 0 0 0 0 2 6 10 30 86 238 628 
10 8 500 400 15.074 0.974 0.0036877 2.3447 0.9772 0.0030032 2.2664 0 0 0 0 0 1 1 14 30 149 805 
10 8 500 600 15.074 0.98 0.0027828 3.4118 0.9861 0.0017786 3.3602 0 0 0 0 0 1 1 9 16 132 841 
10 8 500 800 15.074 0.9847 0.0023382 4.5154 0.9895 0.0013411 4.5164 0 0 0 0 0 1 1 8 12 96 882 
10 8 500 1000 15.074 0.9865 0.0019497 5.843 0.9916 0.0010705 5.9146 0 0 0 0 0 1 0 6 11 90 892 
10 8 500 1200 15.074 0.9878 0.001793 7.1721 0.9921 0.00096856 7.1829 0 0 0 0 0 1 0 5 11 80 903 
10 8 500 1500 15.074 0.9899 0.0014695 9.6573 0.9929 0.00086045 9.4728 0 0 0 0 0 1 0 2 12 66 919 
10 8 500 2000 15.074 0.9921 0.0011287 14.995 0.9948 0.00063359 16.366 0 0 0 0 0 0 1 2 8 53 936 
10 12 100 10 5.76706 0.3991 0.071941 0.13656 0.4077 0.063835 0.13782 69 139 141 140 124 103 79 75 57 46 27 
10 12 100 20 5.7671 0.5931 0.067069 0.22999 0.5914 0.062228 0.22983 12 25 70 95 121 124 106 133 109 112 93 
10 12 100 40 5.7671 0.7524 0.04618 0.43988 0.7573 0.042509 0.49912 1 5 18 26 43 96 114 138 156 175 228 
10 12 100 60 5.7671 0.827 0.031342 0.61391 0.8318 0.030199 0.61675 0 1 3 8 24 52 81 123 174 196 338 
10 12 100 80 5.7671 0.8647 0.024629 0.7036 0.8703 0.023632 0.69853 0 0 1 5 15 36 56 87 154 247 399 
10 12 100 100 5.7671 0.8915 0.019037 0.83738 0.8969 0.018859 0.83974 0 0 0 4 6 24 36 74 145 245 466 
10 12 100 120 5.7671 0.9103 0.015099 1.0013 0.9136 0.015771 1.0602 0 0 0 2 4 14 28 51 145 234 522 
10 12 100 200 5.7671 0.9464 0.0087358 1.6025 0.9502 0.0074874 1.4516 0 0 0 1 3 2 9 28 88 205 664 
10 12 100 400 5.7671 0.9751 0.0037137 2.6991 0.9758 0.0031175 2.6705 0 0 0 0 1 1 3 6 31 146 812 
10 12 100 600 5.7671 0.9831 0.0025069 3.9507 0.982 0.0022583 3.9928 0 0 0 0 1 0 1 3 25 100 870 
10 12 100 800 5.7671 0.9884 0.0016271 5.4604 0.9863 0.001664 5.347 0 0 0 0 1 0 0 1 12 83 903 
10 12 100 1000 5.7671 0.9906 0.001353 6.6962 0.988 0.0014575 6.6891 0 0 0 0 1 0 0 0 10 68 921 
