k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 1 13.0306 0.094 0.014078 0.35966 0.0897 0.012556 0.35832 462 298 141 64 19 10 2 2 2 0 0 
10 1 2 13.031 0.127 0.022734 0.38838 0.1226 0.019609 0.39728 385 289 161 86 38 16 13 8 2 1 1 
10 1 3 13.031 0.1473 0.027901 0.39523 0.141 0.024564 0.39608 351 260 187 98 41 30 15 9 4 4 1 
10 1 4 13.031 0.1599 0.031013 0.38093 0.1527 0.028341 0.37701 333 249 181 115 49 31 20 12 4 4 2 
10 1 5 13.031 0.1671 0.033561 0.38209 0.1601 0.030849 0.38027 326 243 181 111 60 30 22 14 7 3 3 
10 1 8 13.031 0.1785 0.038746 0.39552 0.1697 0.034667 0.3951 320 234 174 114 58 42 23 15 8 8 4 
10 1 10 13.031 0.1827 0.040411 0.40313 0.1725 0.03643 0.40537 316 233 172 114 57 46 23 17 9 9 4 
10 1 12 13.031 0.1853 0.041555 0.41618 0.1741 0.037256 0.41286 315 231 172 110 59 48 23 20 9 8 5 
10 1 20 13.031 0.1874 0.043305 0.42395 0.1765 0.038837 0.43623 315 230 172 110 57 48 21 21 11 9 6 
10 1 25 13.031 0.1875 0.043337 0.42949 0.1768 0.039121 0.42673 315 230 172 109 58 48 21 21 11 9 6 
10 1 50 13.031 0.1875 0.043337 0.43608 0.1768 0.039121 0.43533 315 230 172 109 58 48 21 21 11 9 6 
10 1 75 13.031 0.1875 0.043337 0.47781 0.1768 0.039121 0.4581 315 230 172 109 58 48 21 21 11 9 6 
10 1 100 13.031 0.1875 0.043337 0.45378 0.1768 0.039121 0.45064 315 230 172 109 58 48 21 21 11 9 6 
10 1 250 13.031 0.1875 0.043337 0.48522 0.1768 0.039121 0.48525 315 230 172 109 58 48 21 21 11 9 6 
10 1 500 13.031 0.1875 0.043337 0.54802 0.1768 0.039121 0.59341 315 230 172 109 58 48 21 21 11 9 6 
10 2 1 13.031 0.1148 0.016337 0.37227 0.1101 0.014382 0.37981 382 311 172 83 32 10 6 2 2 0 0 
10 2 2 13.031 0.1634 0.025806 0.38925 0.1589 0.023384 0.38767 275 286 198 119 68 25 15 8 3 2 1 
10 2 3 13.031 0.191 0.031951 0.39348 0.192 0.029005 0.38293 233 260 210 135 76 40 24 8 7 5 2 
10 2 4 13.031 0.2131 0.036635 0.39179 0.2141 0.033405 0.39095 204 247 199 156 78 53 30 16 8 5 4 
10 2 5 13.031 0.2308 0.040472 0.40431 0.231 0.036656 0.39236 188 229 193 162 94 53 41 17 12 5 6 
10 2 8 13.031 0.2627 0.047526 0.42632 0.2568 0.043257 0.41276 162 198 192 165 95 84 41 27 17 11 8 
