	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0323	50	1	1	2.29758	0.7477	0.048223	2.4371	0	0.0119	0.12929	2.2955	4344.4	100000	0.7419	0.049103	2.4504	7	6	11	24	63	74	122	140	150	187	216
27	10	10	14	0.0323	50	1	1	2.40893	0.6276	0.064923	1.2638	0	0.0098871	0.10008	1.1535	2437.4	100000	0.631	0.068267	1.2946	6	25	44	78	108	145	130	103	116	107	138
54	10	10	15	0.0323	50	1	1	2.51259	0.4932	0.07655	0.70233	0	0.013026	0.089021	0.59998	1323.5	100000	0.4972	0.073826	0.67657	30	80	102	135	141	114	108	78	74	57	81
81	10	15	13	0.0323	50	1	1	2.48691	0.8158	0.037388	3.3728	0	0.016944	0.16742	3.188	5944.5	100000	0.8267	0.036634	3.3376	1	4	7	16	25	56	75	118	183	178	337
108	10	15	14	0.0323	50	1	1	2.52574	0.7234	0.050823	1.8408	0	0.014656	0.14718	1.6786	3422.6	100000	0.7132	0.056722	1.9128	5	8	18	36	65	81	134	156	151	147	199
135	10	15	15	0.0323	50	1	1	2.44351	0.5945	0.06979	1.1822	0	0.021662	0.12956	1.0306	1898.1	100000	0.592	0.067564	1.0996	13	34	50	99	133	122	123	114	97	90	125
162	10	20	13	0.0323	50	1	1	2.59398	0.8707	0.025277	3.9469	0	0.01843	0.26684	3.6612	7388.7	100000	0.8604	0.029742	3.91	1	1	3	6	13	31	38	89	161	234	423
189	10	20	14	0.0323	50	1	1	2.93361	0.7746	0.044359	2.3556	0	0.019532	0.17006	2.1656	4323.2	100000	0.7766	0.043976	2.258	2	5	12	27	43	63	101	140	155	197	255
216	10	20	15	0.0323	50	1	1	3.01427	0.6636	0.056632	1.3629	0	0.024904	0.13801	1.1996	2421.2	100000	0.6613	0.060433	1.3084	4	15	27	61	92	125	144	145	119	120	148
243	10	30	13	0.0323	50	1	1	3.59382	0.9094	0.01837	5.559	0	0.029615	0.26824	5.2605	9799.7	100000	0.9137	0.015738	5.4072	1	0	2	5	1	17	30	63	115	215	551
270	10	30	14	0.0323	50	1	1	3.86261	0.8449	0.030825	3.216	0	0.030355	0.20203	2.9832	5902.2	100000	0.8473	0.030243	3.162	3	2	3	7	20	31	66	123	154	214	377
297	10	30	15	0.0323	50	1	1	4.10969	0.7517	0.048566	1.7557	0	0.027147	0.099864	1.6283	3391.9	100000	0.7472	0.049181	1.7452	3	9	18	32	47	61	122	140	165	179	224
324	10	40	13	0.0323	50	1	1	4.45331	0.9354	0.01274	6.6472	0	0.040168	0.41797	6.1879	11812.0	100000	0.9352	0.011773	6.3908	0	1	1	1	5	10	12	32	94	210	634
351	10	40	14	0.0323	50	1	1	4.9133	0.8842	0.023154	4.3321	0	0.039836	0.32418	3.9673	7257.3	100000	0.8851	0.024192	4.0782	0	2	3	4	7	22	47	88	137	210	480
378	10	40	15	0.0323	50	1	1	5.02015	0.8064	0.036956	2.3798	0	0.035496	0.13594	2.2078	4254.7	100000	0.8065	0.038266	2.3093	1	2	3	23	33	50	90	117	182	200	299
405	10	50	13	0.0323	50	1	1	7.08798	0.9552	0.0082012	7.9212	0	0.048503	0.50391	7.3655	13560.0	100000	0.9534	0.0078163	7.0335	0	0	0	0	2	5	12	22	68	161	730
432	10	50	14	0.0323	50	1	1	7.07954	0.9122	0.015427	4.7043	0	0.048719	0.25191	4.4029	8488.9	100000	0.904	0.018342	4.7743	0	0	2	2	5	6	27	66	124	234	534
459	10	50	15	0.0323	50	1	1	7.14466	0.8433	0.031787	2.8116	0	0.047509	0.17303	2.5905	5049.9	100000	0.8384	0.030536	2.6968	0	3	3	13	22	32	69	120	143	211	384
