	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0323	1	0.0303771	0.1217	0.027366	0.66231	1562.5	0.1209	0.025359	0.70691	429	284	138	64	34	21	11	6	5	4	4
1	10	1	7	0.0323	1	0.0374139	0.0842	0.016627	0.34114	781.25	0.0821	0.016606	0.33795	538	261	117	37	28	8	3	2	3	2	1
2	10	1	8	0.0323	1	0.0735782	0.0625	0.013237	0.18994	390.62	0.0527	0.008321	0.17696	634	227	87	25	11	7	3	0	3	2	1
3	10	1	9	0.0323	1	0.0650616	0.0449	0.0092432	0.10422	195.31	0.0393	0.0084139	0.10198	724	181	60	16	7	6	2	2	2	0	0
4	10	1	10	0.0323	1	0.0878429	0.0281	0.0054058	0.064138	97.65	0.0245	0.0030728	0.061385	810	135	37	11	3	1	1	0	2	0	0
5	10	1	11	0.0323	1	0.133952	0.0183	0.0030982	0.043999	48.829	0.0158	0.0023527	0.042187	863	106	24	4	1	1	0	0	1	0	0
6	10	1	12	0.0323	1	0.168426	0.0146	0.0022691	0.033433	24.415	0.011	0.0018208	0.031458	888	88	19	2	1	2	0	0	0	0	0
7	10	5	6	0.0323	1	0.0498934	0.4118	0.060021	3.5256	7057.1	0.407	0.056107	3.4946	37	91	142	199	152	122	96	49	37	37	38
12	10	5	7	0.0323	1	0.0692065	0.3122	0.053705	1.8663	3664.3	0.3006	0.051571	1.8569	89	182	201	173	117	86	57	32	26	23	14
17	10	5	8	0.0323	1	0.0766221	0.2243	0.044824	0.91339	1868.3	0.2185	0.040628	0.97047	172	296	199	120	82	49	27	21	13	7	14
22	10	5	9	0.0323	1	0.151566	0.1538	0.032018	0.5824	949.52	0.1627	0.03165	0.82635	325	306	164	93	39	23	18	17	11	1	3
27	10	5	10	0.0323	1	0.148954	0.1125	0.023077	0.26089	480.0	0.1093	0.020644	0.25009	427	309	150	42	28	16	13	4	7	4	0
32	10	5	11	0.0323	1	0.248949	0.0771	0.01424	0.15907	241.29	0.0758	0.013828	0.13821	548	283	95	38	17	9	4	2	3	1	0
37	10	5	12	0.0323	1	0.241621	0.0516	0.0091065	0.095443	121.03	0.0482	0.0089457	0.093592	676	212	65	29	9	6	1	1	1	0	0
42	10	10	6	0.0323	1	0.0629829	0.5774	0.055805	6.5565	12624.0	0.5933	0.055581	6.3671	2	21	60	102	129	164	151	116	107	63	85
52	10	10	7	0.0323	1	0.0689756	0.4793	0.059501	3.4459	6868.4	0.4742	0.062837	3.415	12	60	112	151	164	146	111	89	65	39	51
62	10	10	8	0.0323	1	0.117209	0.3569	0.058131	1.8399	3590.4	0.3509	0.055815	1.8337	67	126	192	179	136	113	57	44	37	23	26
72	10	10	9	0.0323	1	0.108353	0.2621	0.047341	0.89638	1832.8	0.2601	0.048166	0.95898	143	208	217	174	85	57	49	31	15	9	12
82	10	10	10	0.0323	1	0.200685	0.1814	0.034288	0.48691	936.61	0.1823	0.036994	0.4732	254	297	187	103	72	36	18	15	11	5	2
92	10	10	11	0.0323	1	0.270884	0.137	0.02886	0.30292	475.1	0.1306	0.025349	0.30014	386	279	148	91	37	19	18	13	4	2	3
102	10	10	12	0.0323	1	0.333552	0.0914	0.018184	0.16867	239.59	0.086	0.01626	0.14169	511	285	92	61	25	8	10	5	1	1	1
112	10	25	6	0.0323	1	0.0767143	0.8217	0.027647	12.514	24760.0	0.8115	0.031209	12.451	0	0	0	7	22	46	92	131	197	217	288
130	10	25	7	0.0323	1	0.104033	0.699	0.045204	7.4206	14378.0	0.6994	0.045966	7.2734	1	5	10	35	95	114	144	154	152	148	142
148	10	25	8	0.0323	1	0.119254	0.5828	0.057101	4.0874	7978.6	0.5796	0.058703	3.9312	6	19	50	113	119	161	148	116	111	69	88
