k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0323 1 0.0303771 0.1217 0.027366 0.66231 1562.5 0.1209 0.025359 0.70691 429 284 138 64 34 21 11 6 5 4 4 
10 1 7 0.0323 1 0.0374139 0.0842 0.016627 0.34114 781.25 0.0821 0.016606 0.33795 538 261 117 37 28 8 3 2 3 2 1 
10 1 8 0.0323 1 0.0735782 0.0625 0.013237 0.18994 390.62 0.0527 0.008321 0.17696 634 227 87 25 11 7 3 0 3 2 1 
10 1 9 0.0323 1 0.0650616 0.0449 0.0092432 0.10422 195.31 0.0393 0.0084139 0.10198 724 181 60 16 7 6 2 2 2 0 0 
10 1 10 0.0323 1 0.0878429 0.0281 0.0054058 0.064138 97.65 0.0245 0.0030728 0.061385 810 135 37 11 3 1 1 0 2 0 0 
10 1 11 0.0323 1 0.133952 0.0183 0.0030982 0.043999 48.829 0.0158 0.0023527 0.042187 863 106 24 4 1 1 0 0 1 0 0 
10 1 12 0.0323 1 0.168426 0.0146 0.0022691 0.033433 24.415 0.011 0.0018208 0.031458 888 88 19 2 1 2 0 0 0 0 0 
10 5 6 0.0323 1 0.0498934 0.4118 0.060021 3.5256 7057.1 0.407 0.056107 3.4946 37 91 142 199 152 122 96 49 37 37 38 
10 5 6 0.0323 2 0.049893 0.1389 0.039797 0.36672 675.6 0.1362 0.033363 0.35912 436 263 125 62 29 26 21 13 7 9 9 
10 5 6 0.0323 3 0.049893 0.0476 0.016711 0.071618 69.996 0.0403 0.010496 0.068029 782 123 39 23 8 7 4 5 4 2 3 
10 5 6 0.0323 4 0.049893 0.0155 0.0054152 0.038994 8.717 0.0119 0.0031115 0.037328 922 50 12 4 3 4 1 3 0 0 1 
10 5 6 0.0323 5 0.049893 0.0043 0.0013128 0.035225 1.033 0.0033 0.0010001 0.033417 974 19 4 1 0 1 0 0 1 0 0 
10 5 7 0.0323 1 0.0692065 0.3122 0.053705 1.8663 3664.3 0.3006 0.051571 1.8569 89 182 201 173 117 86 57 32 26 23 14 
10 5 7 0.0323 2 0.069206 0.0875 0.024418 0.14992 220.26 0.0815 0.02217 0.14832 578 247 75 39 12 21 9 6 7 4 2 
10 5 7 0.0323 3 0.069206 0.0287 0.0093156 0.037773 18.648 0.0229 0.0072328 0.036284 862 75 33 8 7 7 2 3 2 0 1 
10 5 7 0.0323 4 0.069206 0.01 0.0033433 0.028224 2.572 0.0066 0.0018783 0.027331 945 36 11 2 2 2 0 0 1 0 1 
10 5 7 0.0323 5 0.069206 0.0031 0.0011616 0.027226 0.425 0.0019 0.00038678 0.026998 984 11 2 1 0 1 0 0 1 0 0 
10 5 8 0.0323 1 0.0766221 0.2243 0.044824 0.91339 1868.3 0.2185 0.040628 0.97047 172 296 199 120 82 49 27 21 13 7 14 
10 5 8 0.0323 2 0.076622 0.0519 0.015492 0.067908 78.433 0.0467 0.01108 0.06423 737 163 43 20 14 5 7 6 1 3 1 
10 5 8 0.0323 3 0.076622 0.0144 0.0031558 0.027481 5.592 0.0112 0.0023769 0.025874 906 66 18 4 3 2 0 0 1 0 0 
10 5 8 0.0323 4 0.076622 0.0049 0.0011872 0.023388 0.731 0.0028 0.00051267 0.022501 968 23 6 1 1 0 0 1 0 0 0 
10 5 8 0.0323 5 0.076622 0.0017 0.00022734 0.022986 0.08 0.0007 0.00012964 0.022113 986 11 3 0 0 0 0 0 0 0 0 
10 5 9 0.0323 1 0.151566 0.1538 0.032018 0.5824 949.52 0.1627 0.03165 0.82635 325 306 164 93 39 23 18 17 11 1 3 
10 5 9 0.0323 2 0.15157 0.0281 0.0071676 0.043375 25.487 0.028 0.0071031 0.039369 842 99 28 15 8 4 2 1 0 0 1 
10 5 9 0.0323 3 0.15157 0.0079 0.0020496 0.02339 1.356 0.0059 0.0011964 0.022485 950 36 8 3 1 0 1 0 1 0 0 
10 5 9 0.0323 4 0.15157 0.0035 0.00081857 0.021654 0.165 0.0021 0.00044604 0.021068 979 13 5 1 1 1 0 0 0 0 0 
10 5 9 0.0323 5 0.15157 0.0009 0.0001093 0.021393 0.009 0.0009 0.00016936 0.021415 992 7 1 0 0 0 0 0 0 0 0 
10 5 10 0.0323 1 0.148954 0.1125 0.023077 0.26089 480 0.1093 0.020644 0.25009 427 309 150 42 28 16 13 4 7 4 0 
10 5 10 0.0323 2 0.14895 0.0184 0.0041055 0.028276 7.868 0.016 0.0036276 0.028528 885 80 19 4 8 3 0 1 0 0 0 
10 5 10 0.0323 3 0.14895 0.0054 0.001112 0.023366 0.376 0.003 0.00043143 0.022263 963 27 6 3 0 0 1 0 0 0 0 
10 5 10 0.0323 4 0.14895 0.0024 0.00061485 0.021617 0.047 0.0012 0.00017874 0.021532 985 10 4 0 0 0 1 0 0 0 0 
10 5 10 0.0323 5 0.14895 0.0009 0.0001093 0.020834 0.009 0.0008 0.0001395 0.0206 992 7 1 0 0 0 0 0 0 0 0 
10 5 11 0.0323 1 0.248949 0.0771 0.01424 0.15907 241.29 0.0758 0.013828 0.13821 548 283 95 38 17 9 4 2 3 1 0 
10 5 11 0.0323 2 0.24895 0.0115 0.0025403 0.024363 2.714 0.0089 0.0014923 0.022929 927 50 14 3 3 2 1 0 0 0 0 
10 5 11 0.0323 3 0.24895 0.0032 0.00049025 0.021449 0.102 0.002 0.00025626 0.020706 975 20 3 2 0 0 0 0 0 0 0 
10 5 11 0.0323 4 0.24895 0.0015 0.00018794 0.020757 0.016 0.001 0.00015916 0.020623 987 11 2 0 0 0 0 0 0 0 0 
10 5 11 0.0323 5 0.24895 0.0012 0.00015872 0.020645 0.012 0.0008 0.0001395 0.020495 990 8 2 0 0 0 0 0 0 0 0 
10 5 12 0.0323 1 0.241621 0.0516 0.0091065 0.095443 121.03 0.0482 0.0089457 0.093592 676 212 65 29 9 6 1 1 1 0 0 
10 5 12 0.0323 2 0.24162 0.0063 0.0010514 0.022146 1.043 0.0061 0.0016544 0.02109 951 41 5 0 3 0 0 0 0 0 0 
10 5 12 0.0323 3 0.24162 0.0025 0.00040415 0.020611 0.058 0.002 0.00031632 0.020198 980 17 2 0 1 0 0 0 0 0 0 
10 5 12 0.0323 4 0.24162 0.0011 0.00012892 0.020051 0.013 0.0009 0.00014934 0.02013 990 9 1 0 0 0 0 0 0 0 0 
10 5 12 0.0323 5 0.24162 0.0009 0.0001093 0.020188 0.009 0.0007 0.00012964 0.02016 992 7 1 0 0 0 0 0 0 0 0 
10 10 6 0.0323 1 0.0629829 0.5774 0.055805 6.5565 12624 0.5933 0.055581 6.3671 2 21 60 102 129 164 151 116 107 63 85 
10 10 6 0.0323 2 0.062983 0.304 0.063948 1.2041 2339.9 0.3147 0.068783 1.2574 116 223 174 139 127 55 51 36 27 25 27 
10 10 6 0.0323 3 0.062983 0.1571 0.047978 0.30766 492.72 0.1606 0.049637 0.30862 396 283 118 72 28 29 18 17 13 12 14 
10 10 6 0.0323 4 0.062983 0.0814 0.029564 0.11564 118.09 0.0827 0.028479 0.11512 666 173 64 29 13 19 12 4 7 7 6 
10 10 6 0.0323 5 0.062983 0.0431 0.01801 0.067425 33.167 0.0415 0.014622 0.066291 820 102 28 12 15 2 5 4 3 5 4 
10 10 6 0.0323 6 0.062983 0.0244 0.010535 0.056349 10.943 0.0212 0.007438 0.055596 903 52 12 9 9 4 4 2 1 1 3 
10 10 6 0.0323 7 0.062983 0.0134 0.0057862 0.05254 3.959 0.0106 0.0037914 0.051888 943 27 16 6 1 2 1 1 0 0 3 
10 10 6 0.0323 8 0.062983 0.0077 0.0035943 0.050421 1.605 0.0052 0.0016146 0.049807 963 23 9 1 1 0 0 0 0 1 2 
10 10 6 0.0323 9 0.062983 0.0047 0.0019499 0.050235 0.754 0.0028 0.00057273 0.049526 976 18 2 1 0 0 0 2 1 0 0 
10 10 6 0.0323 10 0.062983 0.0017 0.00024736 0.049888 0.196 0.0012 0.0002388 0.04951 987 9 4 0 0 0 0 0 0 0 0 
10 10 7 0.0323 1 0.0689756 0.4793 0.059501 3.4459 6868.4 0.4742 0.062837 3.415 12 60 112 151 164 146 111 89 65 39 51 
10 10 7 0.0323 2 0.068976 0.2044 0.051092 0.41848 783.86 0.2031 0.052353 0.40886 273 252 184 106 58 39 26 20 12 13 17 
10 10 7 0.0323 3 0.068976 0.0897 0.031195 0.10122 121.45 0.0905 0.028408 0.096861 629 187 77 33 19 18 11 5 7 6 8 
10 10 7 0.0323 4 0.068976 0.0438 0.016959 0.04968 26.184 0.0405 0.013844 0.047071 811 107 29 16 11 7 7 2 4 2 4 
10 10 7 0.0323 5 0.068976 0.0221 0.009371 0.039088 7.862 0.0194 0.0059896 0.037482 909 48 16 6 10 2 2 1 1 4 1 
10 10 7 0.0323 6 0.068976 0.013 0.0054765 0.035789 3.031 0.0087 0.0022165 0.034953 947 25 11 7 4 1 0 2 1 1 1 
10 10 7 0.0323 7 0.068976 0.0068 0.0023561 0.034741 1.151 0.0041 0.00079398 0.034233 967 16 10 3 2 1 0 0 0 0 1 
10 10 7 0.0323 8 0.068976 0.0035 0.0011989 0.034378 0.38 0.0017 0.0002874 0.034067 980 12 7 0 0 0 0 0 0 1 0 
10 10 7 0.0323 9 0.068976 0.0024 0.00083508 0.034372 0.154 0.001 0.00015916 0.033962 985 12 2 0 0 0 0 0 1 0 0 
10 10 7 0.0323 10 0.068976 0.0011 0.00012892 0.034503 0.023 0.0007 0.00012964 0.033981 990 9 1 0 0 0 0 0 0 0 0 
10 10 8 0.0323 1 0.117209 0.3569 0.058131 1.8399 3590.4 0.3509 0.055815 1.8337 67 126 192 179 136 113 57 44 37 23 26 
10 10 8 0.0323 2 0.11721 0.1239 0.036255 0.16779 272.2 0.12 0.031391 0.16286 480 249 124 48 27 23 15 10 9 7 8 
10 10 8 0.0323 3 0.11721 0.0517 0.017194 0.048214 33.88 0.0456 0.013534 0.045549 767 127 44 21 10 11 5 9 4 1 1 
10 10 8 0.0323 4 0.11721 0.0244 0.0080527 0.032062 6.723 0.0185 0.0054332 0.030292 885 63 22 10 9 2 6 1 1 0 1 
10 10 8 0.0323 5 0.11721 0.0119 0.0034518 0.02822 1.896 0.0092 0.0022176 0.027385 933 42 15 4 2 1 1 0 2 0 0 
10 10 8 0.0323 6 0.11721 0.0063 0.001652 0.026713 0.628 0.0052 0.0011741 0.02602 962 24 10 1 2 0 0 0 1 0 0 
10 10 8 0.0323 7 0.11721 0.0034 0.00088933 0.026818 0.223 0.0022 0.00035552 0.026475 978 16 4 1 0 0 0 1 0 0 0 
10 10 8 0.0323 8 0.11721 0.0018 0.00049726 0.026766 0.109 0.0014 0.00021826 0.026431 988 10 1 0 0 0 1 0 0 0 0 
10 10 8 0.0323 9 0.11721 0.0015 0.00046822 0.026902 0.065 0.001 0.00015916 0.026434 991 7 1 0 0 0 1 0 0 0 0 
10 10 8 0.0323 10 0.11721 0.0009 0.0001093 0.027619 0.011 0.0007 0.00012964 0.027226 992 7 1 0 0 0 0 0 0 0 0 
10 10 9 0.0323 1 0.108353 0.2621 0.047341 0.89638 1832.8 0.2601 0.048166 0.95898 143 208 217 174 85 57 49 31 15 9 12 
10 10 9 0.0323 2 0.10835 0.0821 0.022152 0.090088 106.08 0.0734 0.019912 0.081301 605 210 95 34 19 14 5 9 3 4 2 
10 10 9 0.0323 3 0.10835 0.0285 0.0081459 0.032565 11.105 0.024 0.0063103 0.029939 853 86 28 14 8 2 6 1 2 0 0 
10 10 9 0.0323 4 0.10835 0.0124 0.0032895 0.026015 2.073 0.0099 0.0021742 0.024771 933 40 10 10 4 1 1 1 0 0 0 
10 10 9 0.0323 5 0.10835 0.0065 0.0014492 0.023736 0.592 0.0049 0.0011271 0.023486 959 27 9 2 2 0 1 0 0 0 0 
10 10 9 0.0323 6 0.10835 0.0033 0.00059971 0.023581 0.206 0.0026 0.00049373 0.023345 977 16 5 1 1 0 0 0 0 0 0 
10 10 9 0.0323 7 0.10835 0.0023 0.00034506 0.023507 0.114 0.0013 0.00020852 0.023254 982 14 3 1 0 0 0 0 0 0 0 
10 10 9 0.0323 8 0.10835 0.0014 0.00017822 0.023413 0.059 0.001 0.00015916 0.023269 988 10 2 0 0 0 0 0 0 0 0 
10 10 9 0.0323 9 0.10835 0.0011 0.00012892 0.023121 0.014 0.0007 0.00012964 0.022783 990 9 1 0 0 0 0 0 0 0 0 
10 10 9 0.0323 10 0.10835 0.0009 0.0001093 0.023431 0.009 0.0006 0.00011976 0.022773 992 7 1 0 0 0 0 0 0 0 0 
10 10 10 0.0323 1 0.200685 0.1814 0.034288 0.48691 936.61 0.1823 0.036994 0.4732 254 297 187 103 72 36 18 15 11 5 2 
10 10 10 0.0323 2 0.20069 0.0462 0.011057 0.045979 36.293 0.0423 0.011152 0.044216 738 167 45 27 11 3 2 4 2 1 0 
10 10 10 0.0323 3 0.20069 0.0161 0.0043551 0.030432 3.023 0.0145 0.0034032 0.027181 908 59 20 3 4 1 3 2 0 0 0 
10 10 10 0.0323 4 0.20069 0.0074 0.0018671 0.022498 0.44 0.0061 0.001174 0.021702 954 32 8 3 1 0 1 1 0 0 0 
10 10 10 0.0323 5 0.20069 0.0042 0.00076312 0.021555 0.1 0.0025 0.00038413 0.021776 969 24 5 1 0 1 0 0 0 0 0 
10 10 10 0.0323 6 0.20069 0.0021 0.0003059 0.021644 0.027 0.002 0.00025626 0.02168 983 14 2 1 0 0 0 0 0 0 0 
10 10 10 0.0323 7 0.20069 0.0016 0.0002577 0.021785 0.018 0.0015 0.00020796 0.021649 988 9 2 1 0 0 0 0 0 0 0 
10 10 10 0.0323 8 0.20069 0.0012 0.0001387 0.021472 0.013 0.001 0.00015916 0.021627 989 10 1 0 0 0 0 0 0 0 0 
10 10 10 0.0323 9 0.20069 0.0009 0.0001093 0.021492 0.009 0.0007 0.00012964 0.021648 992 7 1 0 0 0 0 0 0 0 0 
10 10 10 0.0323 10 0.20069 0.0004 3.988e-05 0.021505 0.004 0.0007 0.00012964 0.021633 996 4 0 0 0 0 0 0 0 0 0 
