	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0323	50	1	1	3.28907	0.7154	0.052856	2.4544	0	0.049048	0.13651	2.2684	4685.5	100000	0.7249	0.048579	2.4396	1	8	25	49	61	97	127	132	162	142	196
27	10	10	14	0.0323	50	1	1	3.62274	0.5835	0.064582	1.3508	0	0.05459	0.058315	1.2375	2579.9	100000	0.5827	0.067618	1.339	7	34	66	86	134	130	148	105	111	76	103
54	10	10	15	0.0323	50	1	1	4.23681	0.4483	0.073791	0.7478	0	0.058054	0.045469	0.64391	1375.3	100000	0.4435	0.071689	0.73424	40	89	136	159	138	111	91	69	62	37	68
81	10	15	13	0.0323	50	1	1	3.56595	0.7974	0.037611	3.5497	0	0.088339	0.15092	3.3099	6568.2	100000	0.8015	0.034963	3.5592	0	2	7	15	39	60	104	116	178	193	286
108	10	15	14	0.0323	50	1	1	4.17528	0.6751	0.056086	2.034	0	0.095268	0.076045	1.8623	3691.3	100000	0.6777	0.055168	2.131	7	10	28	55	89	99	156	148	136	111	161
135	10	15	15	0.0323	50	1	1	4.35592	0.5309	0.071126	1.1342	0	0.10506	0.075614	0.95309	2001.0	100000	0.5445	0.068979	1.1051	19	60	72	130	139	121	124	114	68	62	91
162	10	20	13	0.0323	50	1	1	4.38103	0.8437	0.028769	4.7398	0	0.13568	0.26731	4.3362	8220.6	100000	0.847	0.02898	4.3894	0	2	4	7	19	27	78	121	160	220	362
189	10	20	14	0.0323	50	1	1	4.87565	0.751	0.045585	2.5049	0	0.1271	0.13997	2.2374	4683.6	100000	0.7589	0.041763	2.6207	4	4	11	24	60	78	117	148	170	156	228
216	10	20	15	0.0323	50	1	1	5.55482	0.6074	0.063989	1.4804	0	0.16425	0.079318	1.2365	2588.0	100000	0.6175	0.062546	1.3989	10	19	54	92	122	118	142	130	110	79	124
243	10	30	13	0.0323	50	1	1	5.94367	0.9066	0.017174	6.4319	0	0.23502	0.36341	5.8321	11091.0	100000	0.9131	0.014233	6.0923	1	0	0	3	4	12	37	62	131	223	527
270	10	30	14	0.0323	50	1	1	6.71766	0.821	0.032151	3.5544	0	0.19267	0.14125	3.22	6526.5	100000	0.8275	0.032106	3.6456	1	1	4	8	29	47	81	126	183	206	314
297	10	30	15	0.0323	50	1	1	7.07898	0.7063	0.052963	2.1096	0	0.20072	0.095881	1.8126	3681.1	100000	0.7222	0.048476	2.2829	2	12	27	41	60	101	134	165	142	126	190
324	10	40	13	0.0323	50	1	1	8.4202	0.9363	0.010503	7.9158	0	0.29067	0.39587	7.2282	13527.0	100000	0.9366	0.010571	7.2455	0	0	0	0	1	9	14	37	109	201	629
351	10	40	14	0.0323	50	1	1	8.65961	0.8735	0.024172	4.6919	0	0.30839	0.21509	4.1677	8166.8	100000	0.8734	0.023756	4.526	0	3	4	1	13	23	44	95	160	225	432
378	10	40	15	0.0323	50	1	1	10.1899	0.7714	0.043866	2.6739	0	0.28295	0.12695	2.2636	4678.5	100000	0.7695	0.041461	2.8187	1	3	14	22	48	71	112	131	159	181	258
405	10	50	13	0.0323	50	1	1	11.2738	0.9548	0.0072242	9.341	0	0.37522	0.46436	8.5003	15740.0	100000	0.9509	0.0079872	8.245	0	0	0	1	0	3	11	20	60	206	699
432	10	50	14	0.0323	50	1	1	12.2268	0.9066	0.016453	5.8033	0	0.41386	0.2918	5.0968	9631.5	100000	0.9035	0.015633	5.5772	1	0	1	2	4	14	24	70	122	258	504
459	10	50	15	0.0323	50	1	1	12.4233	0.8234	0.032585	3.4209	0	0.39982	0.1593	2.8612	5605.8	100000	0.8226	0.032061	3.5327	2	2	2	12	22	44	80	137	173	199	327
486	10	75	13	0.0323	50	1	1	16.7801	0.9741	0.003763	11.78	0	0.53738	0.71089	10.53	20259.0	100000	0.9754	0.003118	10.881	0	0	0	0	0	3	1	8	32	152	804
513	10	75	14	0.0323	50	1	1	18.9156	0.9402	0.0098939	7.9713	0	0.62787	0.47781	6.8644	12802.0	100000	0.9433	0.0083034	7.9838	0	0	0	2	2	5	16	26	78	249	622
540	10	75	15	0.0323	50	1	1	19.8268	0.8814	0.020294	4.6848	0	0.62572	0.27012	3.7883	7684.5	100000	0.8833	0.019771	4.6681	0	0	1	3	9	17	48	92	164	222	444
567	10	100	13	0.0323	50	1	1	21.0095	0.9847	0.0018978	14.72	0	0.88046	0.80601	13.032	23862.0	100000	0.9833	0.0021933	13.923	0	0	0	0	0	0	1	2	18	107	872
594	10	100	14	0.0323	50	1	1	22.56	0.964	0.0055095	10.622	0	1.1871	0.65167	8.7825	15509.0	100000	0.9625	0.0055693	9.2642	0	0	0	0	1	1	4	18	57	165	754
621	10	100	15	0.0323	50	1	1	25.302	0.9137	0.015518	6.387	0	0.8939	0.49996	4.9923	9496.6	100000	0.919	0.014073	6.1095	1	0	1	0	2	12	33	62	109	237	543
648	10	125	13	0.0323	50	1	1	27.7321	0.9879	0.0017053	15.572	0	0.90402	1.0663	13.599	26910.0	100000	0.9901	0.0012532	14.798	0	0	0	0	0	0	1	5	11	80	903
675	10	125	14	0.0323	50	1	1	29.5905	0.9729	0.0042598	11.289	0	1.1143	0.72803	9.4449	17800.0	100000	0.9754	0.0030779	11.02	0	0	0	0	1	1	3	10	41	136	808
702	10	125	15	0.0323	50	1	1	31.5929	0.9344	0.011828	7.6466	0	1.2212	0.49774	5.9267	11126.0	100000	0.9389	0.0094863	7.3719	1	0	0	1	2	8	15	39	95	220	619
729	10	150	13	0.0323	50	1	1	30.3127	0.9916	0.0010905	17.89	0	1.074	1.1804	15.633	29464.0	100000	0.9924	0.0010233	16.377	0	0	0	0	0	0	0	2	10	58	930
756	10	150	14	0.0323	50	1	1	33.2754	0.9793	0.0031246	12.581	0	1.2543	0.90161	10.424	19811.0	100000	0.9804	0.0027586	11.667	0	0	0	0	0	2	3	5	21	128	841
783	10	150	15	0.0323	50	1	1	35.0168	0.949	0.0081471	9.752	0	1.8994	0.76395	7.0875	12608.0	100000	0.9527	0.0075803	9.346	0	0	0	1	1	3	10	23	87	199	676
810	10	200	13	0.0323	50	1	1	41.947	0.9955	0.00051026	21.836	0	1.8128	1.4642	18.557	33857.0	100000	0.9965	0.00037813	20.495	0	0	0	0	0	0	0	0	4	37	959
837	10	200	14	0.0323	50	1	1	43.5735	0.9868	0.0020478	15.304	0	1.7466	1.1954	12.36	23392.0	100000	0.9901	0.0011932	13.871	0	0	0	0	0	0	4	3	12	83	898
864	10	200	15	0.0323	50	1	1	47.0119	0.9659	0.0052524	10.953	0	1.9236	0.95808	8.0697	15167.0	100000	0.9677	0.0051519	10.456	0	0	0	0	0	0	8	18	48	159	767
891	10	250	13	0.0323	50	1	1	51.0622	0.9975	0.00026401	23.116	0	1.5262	1.6045	19.983	37325.0	100000	0.998	0.0001962	23.058	0	0	0	0	0	0	0	0	1	23	976
918	10	250	14	0.0323	50	1	1	55.8751	0.9908	0.0012766	17.384	0	1.9955	1.3769	14.01	26279.0	100000	0.9928	0.00088905	16.068	0	0	0	0	0	0	0	5	7	63	925
945	10	250	15	0.0323	50	1	1	57.9659	0.9768	0.0036054	14.157	0	3.219	1.1162	9.8204	17431.0	100000	0.9799	0.0028889	13.251	0	0	0	1	0	1	2	8	24	140	824
972	10	300	13	0.0323	50	1	1	59.3832	0.998	0.00023624	26.85	0	2.6532	2.0622	22.133	40257.0	100000	0.9985	0.00016792	24.804	0	0	0	0	0	0	0	0	2	16	982
999	10	300	14	0.0323	50	1	1	67.0091	0.9946	0.00065149	19.128	0	2.5809	1.6614	14.884	28867.0	100000	0.9953	0.00052844	17.83	0	0	0	0	0	0	0	0	7	40	953
1026	10	300	15	0.0323	50	1	1	75.6314	0.9812	0.002469	14.919	0	3.1776	1.2735	10.465	19416.0	100000	0.9851	0.00203	13.713	0	0	0	0	0	0	1	3	32	111	853
