	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0323	1	0.377951	0.0975	0.020664	0.66634	1562.5	0.0944	0.017867	0.71576	483	294	124	46	22	8	10	5	3	2	3
1	10	1	7	0.0323	1	0.427731	0.0618	0.010291	0.3382	781.26	0.0654	0.0097526	0.33399	612	249	92	23	12	7	2	3	0	0	0
2	10	1	8	0.0323	1	0.476757	0.0461	0.007172	0.18531	390.6	0.0426	0.0078331	0.18161	685	222	60	23	4	3	2	1	0	0	0
3	10	1	9	0.0323	1	0.518731	0.0269	0.0040905	0.10459	195.32	0.0238	0.0031567	0.10309	801	153	31	9	3	3	0	0	0	0	0
4	10	1	10	0.0323	1	0.551994	0.0194	0.0027464	0.063703	97.648	0.0198	0.0035115	0.062449	850	118	23	6	3	0	0	0	0	0	0
5	10	1	11	0.0323	1	0.611944	0.0135	0.0020098	0.044022	48.816	0.0124	0.0012875	0.042294	895	84	14	6	0	1	0	0	0	0	0
6	10	1	12	0.0323	1	0.641364	0.0091	0.0013085	0.034074	24.42	0.0094	0.0012729	0.032648	925	64	8	2	0	1	0	0	0	0	0
7	10	5	6	0.0323	1	0.584759	0.3679	0.05059	3.7458	7435.4	0.3766	0.051204	3.65	48	122	166	183	162	116	91	44	33	20	15
12	10	5	7	0.0323	1	0.608792	0.2683	0.044009	1.959	3794.2	0.2635	0.039818	1.9353	131	186	224	176	117	68	40	20	15	17	6
17	10	5	8	0.0323	1	0.719712	0.1787	0.028865	0.98013	1919.8	0.1831	0.034058	0.97011	219	322	200	125	62	32	17	10	8	4	1
22	10	5	9	0.0323	1	0.743281	0.131	0.024263	0.50188	966.0	0.1247	0.021141	0.52122	361	307	175	81	33	13	12	8	6	3	1
27	10	5	10	0.0323	1	0.854372	0.0833	0.015627	0.26157	485.19	0.0815	0.013361	0.30042	537	272	96	53	22	7	8	2	2	1	0
32	10	5	11	0.0323	1	0.861851	0.0582	0.0094622	0.16601	243.19	0.0556	0.0090777	0.14577	623	255	74	30	9	4	2	3	0	0	0
37	10	5	12	0.0323	1	0.93626	0.0389	0.0054022	0.1117	121.73	0.0382	0.0064072	0.089188	717	204	64	8	3	3	1	0	0	0	0
42	10	10	6	0.0323	1	0.679707	0.5929	0.055956	7.4442	13996.0	0.5886	0.051381	6.6273	3	26	51	75	132	161	150	123	113	82	84
52	10	10	7	0.0323	1	0.764976	0.4407	0.054948	3.7455	7316.2	0.4508	0.056256	3.6785	17	78	127	175	163	135	121	74	42	37	31
62	10	10	8	0.0323	1	0.844555	0.3224	0.048146	1.9982	3759.8	0.3181	0.04775	1.9379	65	157	206	191	149	94	59	24	17	22	16
72	10	10	9	0.0323	1	0.902274	0.2333	0.03888	1.0178	1907.8	0.2246	0.039434	0.97953	162	239	216	159	96	51	33	20	11	10	3
82	10	10	10	0.0323	1	0.951721	0.1699	0.030875	0.98237	962.61	0.1607	0.030156	0.52814	286	253	218	117	67	19	11	11	12	3	3
92	10	10	11	0.0323	1	1.05252	0.1033	0.019178	0.30673	484.13	0.1022	0.018714	0.30168	465	283	131	61	23	19	11	4	3	0	0
102	10	10	12	0.0323	1	1.1479	0.0728	0.014214	0.19424	242.66	0.0732	0.013135	0.16651	583	248	104	28	18	9	5	1	3	0	1
112	10	25	6	0.0323	1	1.16008	0.8645	0.02027	14.878	29769.0	0.8592	0.022618	14.173	0	0	0	2	10	18	55	121	188	232	374
130	10	25	7	0.0323	1	1.41529	0.7361	0.037785	8.4152	16652.0	0.7314	0.039494	9.1601	0	0	10	21	48	105	144	174	173	155	170
148	10	25	8	0.0323	1	1.41948	0.571	0.054493	4.8406	8878.1	0.5662	0.054752	4.5233	3	24	61	97	136	159	154	126	103	66	71
166	10	25	9	0.0323	1	1.49167	0.427	0.058329	2.5339	4605.5	0.4401	0.05766	2.4291	26	88	138	162	182	141	79	70	37	43	34
184	10	25	10	0.0323	1	1.72297	0.3203	0.055373	1.5031	2356.6	0.3127	0.052761	1.3854	72	194	198	173	118	83	53	41	25	28	15
202	10	25	11	0.0323	1	1.80703	0.2217	0.043743	0.7619	1193.7	0.2203	0.038196	0.77428	199	252	219	119	79	46	33	22	14	10	7
220	10	25	12	0.0323	1	1.82237	0.1656	0.031909	0.49588	601.7	0.1576	0.030132	0.48876	300	289	174	99	56	38	20	9	11	3	1
