k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0323 1 0.377951 0.0975 0.020664 0.66634 1562.5 0.0944 0.017867 0.71576 483 294 124 46 22 8 10 5 3 2 3 
10 1 7 0.0323 1 0.427731 0.0618 0.010291 0.3382 781.26 0.0654 0.0097526 0.33399 612 249 92 23 12 7 2 3 0 0 0 
10 1 8 0.0323 1 0.476757 0.0461 0.007172 0.18531 390.6 0.0426 0.0078331 0.18161 685 222 60 23 4 3 2 1 0 0 0 
10 1 9 0.0323 1 0.518731 0.0269 0.0040905 0.10459 195.32 0.0238 0.0031567 0.10309 801 153 31 9 3 3 0 0 0 0 0 
10 1 10 0.0323 1 0.551994 0.0194 0.0027464 0.063703 97.648 0.0198 0.0035115 0.062449 850 118 23 6 3 0 0 0 0 0 0 
10 1 11 0.0323 1 0.611944 0.0135 0.0020098 0.044022 48.816 0.0124 0.0012875 0.042294 895 84 14 6 0 1 0 0 0 0 0 
10 1 12 0.0323 1 0.641364 0.0091 0.0013085 0.034074 24.42 0.0094 0.0012729 0.032648 925 64 8 2 0 1 0 0 0 0 0 
10 5 6 0.0323 1 0.584759 0.3679 0.05059 3.7458 7435.4 0.3766 0.051204 3.65 48 122 166 183 162 116 91 44 33 20 15 
10 5 6 0.0323 2 0.58476 0.086 0.020885 0.22018 360.58 0.0861 0.019696 0.21744 549 268 98 34 16 12 8 7 3 1 4 
10 5 6 0.0323 3 0.58476 0.0166 0.0037282 0.046475 15.788 0.0169 0.0033678 0.045962 900 64 19 10 3 2 2 0 0 0 0 
10 5 6 0.0323 4 0.58476 0.0032 0.00049025 0.036695 0.74 0.0034 0.00076921 0.03702 974 22 3 0 1 0 0 0 0 0 0 
10 5 6 0.0323 5 0.58476 0.0009 0.0001093 0.035875 0.03 0.0014 0.00021826 0.036492 992 7 1 0 0 0 0 0 0 0 0 
10 5 7 0.0323 1 0.608792 0.2683 0.044009 1.959 3794.2 0.2635 0.039818 1.9353 131 186 224 176 117 68 40 20 15 17 6 
10 5 7 0.0323 2 0.60879 0.0496 0.013493 0.08983 108.12 0.0487 0.01131 0.087514 735 169 48 15 9 4 12 6 2 0 0 
