k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 12 0.0323 10 1 1e-07 13.5872 0.8061 0.033546 3.1694 0 0.020262 0.14442 3.0043 5592.7 100000 100 0.8152 0.030239 2.914 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.375e-07 13.587 0.8061 0.033546 2.7398 0 0.015944 0.15489 2.5685 5592.7 100000 100 0.8152 0.030239 2.6884 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.75e-07 13.587 0.8061 0.033546 2.695 0 0.016131 0.13008 2.5483 5592.7 100000 100 0.8152 0.030239 2.6435 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 2.5e-07 13.587 0.8061 0.033546 2.6199 0 0.016212 0.10874 2.4945 5592.7 100000 100 0.8152 0.030239 2.6265 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 3.75e-07 13.587 0.8061 0.033546 2.6336 0 0.016014 0.10425 2.5129 5592.7 100000 100 0.8152 0.030239 2.6154 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 5e-07 13.587 0.8061 0.033546 2.6238 0 0.014128 0.10962 2.4995 5592.7 100000 100 0.8152 0.030239 2.644 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 7.5e-07 13.587 0.8061 0.033546 2.6473 0 0.014373 0.094524 2.5379 5592.7 100000 100 0.8152 0.030239 2.6236 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1e-06 13.587 0.8061 0.033546 2.6202 0 0.01588 0.10197 2.5018 5592.7 100000 100 0.8152 0.030239 2.5953 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.375e-06 13.587 0.8061 0.033546 2.6217 0 0.01386 0.10635 2.501 5592.7 100000 100 0.8152 0.030239 2.6232 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.75e-06 13.587 0.8061 0.033546 2.6056 0 0.01395 0.08817 2.503 5592.7 100000 100 0.8152 0.030239 2.5908 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 2.5e-06 13.587 0.8061 0.033546 2.6946 0 0.015315 0.12616 2.5526 5592.7 100000 100 0.8152 0.030239 2.6137 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 3.75e-06 13.587 0.8061 0.033546 2.5942 0 0.014818 0.088708 2.4902 5592.7 100000 100 0.8152 0.030239 2.5964 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 5e-06 13.587 0.8061 0.033546 2.618 0 0.013891 0.097002 2.5066 5592.7 100000 100 0.8152 0.030239 2.5979 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 7.5e-06 13.587 0.8061 0.033546 2.5951 0 0.013796 0.085167 2.4956 5592.7 100000 100 0.8152 0.030239 2.6235 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1e-05 13.587 0.8061 0.033546 2.6572 0 0.013919 0.11003 2.5327 5592.7 100000 100 0.8152 0.030239 2.6115 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.375e-05 13.587 0.8061 0.033546 2.6246 0 0.013897 0.095573 2.5145 5592.7 100000 100 0.8152 0.030239 2.5879 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 1.75e-05 13.587 0.8061 0.033546 2.6398 0 0.014892 0.096818 2.5276 5592.7 100000 100 0.8152 0.030239 2.6075 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 2.5e-05 13.587 0.8061 0.033546 2.6012 0 0.014972 0.08998 2.4957 5592.7 100000 100 0.8152 0.030239 2.5847 1 1 4 22 21 53 78 139 201 212 268 
10 30 12 0.0323 10 1 3.75e-05 13.587 0.806 0.033558 2.608 0 0.013889 0.097291 2.4963 5591.3 100000 100 0.8152 0.030239 2.6003 1 1 4 22 21 53 78 140 200 212 268 
10 30 12 0.0323 10 1 5e-05 13.587 0.8049 0.0337 2.5843 0 0.013743 0.093517 2.4766 5562.8 100000 100 0.8144 0.030563 2.5932 1 1 4 22 23 51 81 137 204 210 266 
10 30 12 0.0323 10 1 7.5e-05 13.587 0.7907 0.035399 2.3732 0 0.013269 0.081346 2.278 5134.6 100000 100 0.7982 0.032569 2.3706 1 2 8 21 27 50 95 152 199 208 237 
10 30 12 0.0323 10 1 0.0001 13.587 0.752 0.041798 1.8988 0 0.012235 0.0749 1.8112 4127.5 100000 100 0.7636 0.039134 1.9065 2 6 12 26 41 70 126 157 193 171 196 
10 30 12 0.0323 10 1 0.0001375 13.587 0.6911 0.052623 1.1944 0 0.011687 0.068325 1.114 2639.5 100000 100 0.704 0.050775 1.1964 3 12 24 46 66 129 133 136 164 128 159 
10 30 12 0.0323 10 1 0.000175 13.587 0.6481 0.059456 0.77362 0 0.011152 0.065188 0.69683 1733.3 100000 100 0.661 0.057256 0.82637 5 21 37 64 87 140 134 133 133 113 133 
