k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 30 12 0.0323 10 1 1 57.1295 0.7792 0.038846 2.0546 0 0.029185 0.1019 1.9231 3816.8 100000 0.7824 0.037408 2.0914 1 3 9 18 41 65 99 151 179 195 239 
10 30 12 0.0323 10 1 2 57.129 0.6125 0.067942 0.49397 0 0.02151 0.1243 0.3478 860.92 100000 0.6058 0.068655 0.44783 11 25 62 85 96 135 132 123 97 107 127 
10 30 12 0.0323 10 1 3 57.129 0.4895 0.081922 0.18465 0 0.014036 0.047819 0.12247 333.23 100000 0.486 0.076741 0.20041 44 77 114 122 142 104 99 78 66 72 82 
10 30 12 0.0323 10 1 4 57.129 0.3954 0.086826 0.12299 0 0.012782 0.045612 0.064324 166.55 100000 0.3909 0.080848 0.11807 99 140 153 123 123 73 70 61 51 43 64 
10 30 12 0.0323 10 1 5 57.129 0.3325 0.084578 0.091762 0 0.012002 0.044202 0.035304 96.525 100000 0.317 0.077929 0.090069 168 165 159 125 99 58 56 51 34 34 51 
10 30 12 0.0323 10 1 6 57.129 0.2815 0.08181 0.078489 0 0.011398 0.043423 0.023398 61.427 100000 0.268 0.073489 0.076874 232 200 162 103 65 57 50 34 20 31 46 
10 30 12 0.0323 10 1 7 57.129 0.2426 0.076842 0.070467 0 0.01103 0.043021 0.016122 41.804 100000 0.2232 0.06781 0.069362 299 217 137 85 73 44 38 22 17 30 38 
10 30 12 0.0323 10 1 8 57.129 0.2129 0.071615 0.083764 0 0.012189 0.055029 0.016231 29.907 100000 0.1939 0.063316 0.07586 348 232 127 71 61 43 24 18 16 27 33 
10 30 12 0.0323 10 1 9 57.129 0.185 0.067763 0.062814 0 0.010414 0.042323 0.0097547 22.308 100000 0.1684 0.059061 0.061366 422 217 107 74 43 38 15 14 12 29 29 
10 30 12 0.0323 10 1 10 57.129 0.1647 0.063628 0.059783 0 0.01011 0.041443 0.0078939 17.129 100000 0.1504 0.054534 0.058693 467 217 102 63 28 33 14 11 15 21 29 
10 30 12 0.0323 10 1 11 57.129 0.1478 0.059334 0.058426 0 0.0099351 0.041545 0.006608 13.57 100000 0.1341 0.049677 0.057547 511 211 90 52 33 20 11 12 15 21 24 
10 30 12 0.0323 10 1 12 57.129 0.1327 0.054555 0.056967 0 0.0097886 0.041231 0.0056181 10.83 100000 0.1209 0.046239 0.056185 546 206 86 47 26 9 15 13 9 24 19 
10 30 12 0.0323 10 1 13 57.129 0.1209 0.051585 0.05584 0 0.0096782 0.041023 0.0048127 8.885 100000 0.107 0.042173 0.055125 586 194 72 46 19 5 16 16 7 22 17 
10 30 12 0.0323 10 1 14 57.129 0.1104 0.048661 0.054862 0 0.0095647 0.040793 0.0041767 7.375 100000 0.0951 0.037844 0.070271 622 182 62 39 15 11 11 15 9 17 17 
10 30 12 0.0323 10 1 15 57.129 0.1002 0.045746 0.062764 0 0.0096099 0.049101 0.003734 6.239 100000 0.0867 0.035649 0.055771 659 165 60 28 11 12 12 13 9 16 15 
10 30 12 0.0323 10 1 16 57.129 0.0939 0.043136 0.053578 0 0.0094421 0.040534 0.0032847 5.358 100000 0.0791 0.032766 0.052893 677 159 56 25 11 10 16 7 11 14 14 
10 30 12 0.0323 10 1 17 57.129 0.0853 0.040374 0.053056 0 0.0093852 0.040422 0.0029311 4.596 100000 0.0723 0.030773 0.05234 708 147 48 17 15 9 12 9 10 11 14 
10 30 12 0.0323 10 1 18 57.129 0.0802 0.038346 0.052549 0 0.0093058 0.040303 0.0026366 4.021 100000 0.0663 0.028663 0.051939 727 139 40 17 14 12 9 9 11 9 13 
10 30 12 0.0323 10 1 19 57.129 0.0749 0.036236 0.052051 0 0.0092877 0.040073 0.0023946 3.503 100000 0.0625 0.027291 0.051404 745 136 29 14 15 14 8 8 11 9 11 
10 30 12 0.0323 10 1 20 57.129 0.0704 0.034138 0.051789 0 0.0092376 0.040115 0.0021465 3.076 100000 0.0567 0.02486 0.051118 761 129 22 14 16 14 9 7 11 6 11 
10 30 12 0.0323 10 1 22 57.129 0.0621 0.031285 0.051134 0 0.0091996 0.039875 0.0017754 2.449 100000 0.049 0.022201 0.050486 793 106 26 12 14 11 3 9 10 5 11 
10 30 12 0.0323 10 1 25 57.129 0.0535 0.028256 0.0505 0 0.0091451 0.039703 0.0013789 1.825 100000 0.0419 0.019414 0.049942 829 83 22 14 10 6 4 9 8 5 10 
10 30 12 0.0323 10 1 30 57.129 0.0413 0.022847 0.049848 0 0.0090814 0.039561 0.00094103 1.181 100000 0.0301 0.014899 0.049622 877 51 22 9 7 4 3 8 10 1 8 
10 30 12 0.0323 10 1 40 57.129 0.0227 0.011106 0.049116 0 0.0090866 0.039287 0.00049649 0.55 100000 0.0168 0.0084662 0.051231 926 32 11 6 4 7 4 3 5 1 1 
10 30 12 0.0323 10 1 50 57.129 0.0148 0.0073683 0.049363 0 0.0090143 0.039632 0.00046861 0.312 100000 0.0108 0.0058492 0.048941 956 17 2 6 6 4 3 3 2 0 1 
10 30 12 0.0323 10 1 60 57.129 0.0106 0.0052929 0.048693 0 0.0090125 0.039213 0.0002298 0.201 100000 0.0076 0.0045868 0.048269 970 8 4 5 4 2 4 1 1 0 1 
10 30 12 0.0323 10 1 70 57.129 0.0077 0.0035142 0.048586 0 0.008984 0.039191 0.00017416 0.132 100000 0.0054 0.0034743 0.048312 976 8 3 3 4 1 3 1 1 0 0 
10 30 12 0.0323 10 1 80 57.129 0.005 0.0021171 0.04908 0 0.0090559 0.039653 0.00013607 0.081 100000 0.0035 0.0026004 0.048217 984 3 5 2 3 1 1 0 1 0 0 
10 30 12 0.0323 10 1 90 57.129 0.0038 0.0015871 0.048599 0 0.00896 0.03929 0.00011022 0.061 100000 0.0028 0.0022144 0.048212 987 4 2 3 2 1 0 0 1 0 0 
10 30 12 0.0323 10 1 100 57.129 0.003 0.0011321 0.048947 0 0.0090767 0.039541 9.3677e-05 0.042 100000 0.0017 0.0012083 0.048122 989 3 3 2 2 0 0 1 0 0 0 
10 30 12 0.0323 10 1 125 57.129 0.0006 9.974e-05 0.04807 0 0.0089661 0.03881 6.1222e-05 0.01 100000 0.0013 0.0010894 0.047672 996 2 2 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 150 57.129 0.0006 9.974e-05 0.04839 0 0.0089864 0.039117 5.4479e-05 0.006 100000 0 0 0.048085 996 2 2 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 175 57.129 0.0001 1e-05 0.048425 0 0.0090031 0.039131 4.4914e-05 0.001 100000 0 0 0.048106 999 1 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 200 57.129 0 0 0.048323 0 0.0089334 0.039123 3.8304e-05 0 100000 0 0 0.048131 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 250 57.129 0 0 0.047886 0 0.0089155 0.038703 3.828e-05 0 100000 0 0 0.053691 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 300 57.129 0 0 0.059353 0 0.0099938 0.049079 4.3502e-05 0 100000 0 0 0.053175 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 400 57.129 0 0 0.048412 0 0.0089685 0.039168 4.5204e-05 0 100000 0 0 0.048108 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 500 57.129 0 0 0.048282 0 0.0089621 0.039049 3.9004e-05 0 100000 0 0 0.047837 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 750 57.129 0 0 0.048422 0 0.0089628 0.03919 3.8274e-05 0 100000 0 0 0.048817 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 1000 57.129 0 0 0.048377 0 0.0089711 0.039136 3.8212e-05 0 100000 0 0 0.048082 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 1250 57.129 0 0 0.048273 0 0.0089412 0.039062 3.8766e-05 0 100000 0 0 0.048088 1000 0 0 0 0 0 0 0 0 0 0 
10 30 12 0.0323 10 1 1500 57.129 0 0 0.048291 0 0.0089348 0.039085 3.8455e-05 0 100000 0 0 0.048086 1000 0 0 0 0 0 0 0 0 0 0 
