k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0323 50 1 1 2.29758 0.7477 0.048223 2.4371 0 0.0119 0.12929 2.2955 4344.4 100000 0.7419 0.049103 2.4504 7 6 11 24 63 74 122 140 150 187 216 
10 10 13 0.0323 50 1 2 2.2976 0.5598 0.071576 0.47309 0 0.0059132 0.071234 0.39557 987.24 100000 0.54 0.077778 0.45759 21 45 73 95 123 143 128 113 77 80 102 
10 10 13 0.0323 50 1 3 2.2976 0.4161 0.082613 0.18408 0 0.0041839 0.05149 0.12805 357.23 100000 0.4019 0.08367 0.19295 82 103 151 131 148 105 67 54 43 38 78 
10 10 13 0.0323 50 1 4 2.2976 0.3216 0.081175 0.10599 0 0.0037117 0.043345 0.058608 162.76 100000 0.3023 0.080365 0.099401 162 169 174 140 102 53 49 32 38 26 55 
10 10 13 0.0323 50 1 5 2.2976 0.2494 0.077457 0.074736 0 0.0034289 0.040564 0.030405 85.584 100000 0.236 0.071996 0.072954 262 226 165 107 56 34 38 23 16 24 49 
10 10 13 0.0323 50 1 6 2.2976 0.1993 0.07062 0.061051 0 0.0032505 0.039549 0.017891 49.84 100000 0.1876 0.06361 0.06008 370 239 132 72 39 30 28 17 14 21 38 
10 10 13 0.0323 50 1 7 2.2976 0.1598 0.063167 0.054402 0 0.0030814 0.039086 0.011819 31.212 100000 0.1521 0.055391 0.053517 476 224 99 52 31 30 15 12 12 14 35 
10 10 13 0.0323 50 1 8 2.2976 0.1308 0.056047 0.062003 0 0.0039263 0.045214 0.012447 20.82 100000 0.1249 0.048438 0.056105 552 218 74 39 22 20 14 8 12 9 32 
10 10 13 0.0323 50 1 9 2.2976 0.109 0.05057 0.048032 0 0.002932 0.038517 0.0062591 14.498 100000 0.1005 0.04023 0.047161 639 171 59 29 23 17 7 9 9 10 27 
10 10 13 0.0323 50 1 10 2.2976 0.095 0.045961 0.046456 0 0.0029748 0.03826 0.0049004 10.615 100000 0.0835 0.034692 0.04589 687 146 53 30 16 13 6 8 7 9 25 
10 10 13 0.0323 50 1 11 2.2976 0.0796 0.038362 0.044524 0 0.0029958 0.037391 0.003837 7.906 100000 0.0697 0.029822 0.044243 732 122 55 19 17 7 7 8 9 6 18 
10 10 13 0.0323 50 1 12 2.2976 0.0674 0.033291 0.04299 0 0.0031205 0.036514 0.0030674 6.059 100000 0.0602 0.026302 0.042716 765 116 45 17 11 5 5 5 9 9 13 
10 10 13 0.0323 50 1 13 2.2976 0.0581 0.030345 0.042894 0 0.0031407 0.037016 0.0024654 4.69 100000 0.0502 0.022502 0.042654 801 106 28 13 9 6 5 5 7 7 13 
10 10 13 0.0323 50 1 14 2.2976 0.0508 0.027487 0.042396 0 0.0031691 0.036919 0.0020485 3.773 100000 0.0438 0.019821 0.042144 834 85 21 14 6 6 5 6 6 5 12 
10 10 13 0.0323 50 1 15 2.2976 0.0437 0.023864 0.041807 0 0.0032028 0.036694 0.0016633 3.07 100000 0.0372 0.016973 0.048928 856 75 19 8 9 4 3 6 5 6 9 
10 10 13 0.0323 50 1 16 2.2976 0.0381 0.02152 0.052131 0 0.003251 0.047266 0.001377 2.5 100000 0.0314 0.013888 0.046809 880 62 11 10 6 5 3 5 5 5 8 
10 10 13 0.0323 50 1 17 2.2976 0.033 0.01881 0.041236 0 0.003232 0.036609 0.0011626 2.074 100000 0.0266 0.012205 0.041182 896 54 8 12 3 3 5 4 2 7 6 
10 10 13 0.0323 50 1 18 2.2976 0.0295 0.017017 0.041013 0 0.0032824 0.036524 0.0009792 1.725 100000 0.0224 0.010248 0.040199 911 43 8 9 3 6 3 3 3 6 5 
10 10 13 0.0323 50 1 19 2.2976 0.0267 0.015513 0.040742 0 0.0032414 0.036431 0.00084802 1.464 100000 0.0196 0.009205 0.04075 920 39 8 5 3 6 5 1 3 6 4 
10 10 13 0.0323 50 1 20 2.2976 0.0236 0.013356 0.040617 0 0.003256 0.036386 0.00075077 1.252 100000 0.0166 0.0080925 0.040553 928 34 7 6 6 2 5 1 4 3 4 
10 10 13 0.0323 50 1 22 2.2976 0.0184 0.010332 0.040363 0 0.0032576 0.036323 0.0005684 0.903 100000 0.0128 0.0066028 0.040395 945 24 6 6 3 4 1 2 5 2 2 
10 10 13 0.0323 50 1 25 2.2976 0.0136 0.0073224 0.041828 0 0.0032745 0.037956 0.00038733 0.59 100000 0.0092 0.0051405 0.039406 961 12 7 5 5 1 2 2 2 2 1 
10 10 13 0.0323 50 1 30 2.2976 0.0081 0.0043688 0.039995 0 0.0032778 0.036272 0.00023392 0.309 100000 0.0051 0.0031271 0.039956 977 7 4 4 1 1 1 2 2 1 0 
10 10 13 0.0323 50 1 35 2.2976 0.0055 0.0030228 0.039858 0 0.0032864 0.036196 0.00016997 0.181 100000 0.0015 0.00042818 0.039845 984 5 4 1 2 0 0 2 1 1 0 
10 10 13 0.0323 50 1 40 2.2976 0.0034 0.00159 0.03975 0 0.0032827 0.036147 0.00011727 0.092 100000 0.0008 0.0003397 0.03974 991 1 2 1 2 1 1 1 0 0 0 
10 10 13 0.0323 50 1 50 2.2976 0.0009 0.00028948 0.039654 0 0.0032816 0.036103 6.3293e-05 0.026 100000 0 0 0.03967 997 0 1 1 1 0 0 0 0 0 0 
10 10 13 0.0323 50 1 60 2.2976 0.0006 0.00019984 0.039614 0 0.0032937 0.03607 5.0293e-05 0.01 100000 0 0 0.043879 998 0 1 0 1 0 0 0 0 0 0 
10 10 14 0.0323 50 1 1 2.40893 0.6276 0.064923 1.2638 0 0.0098871 0.10008 1.1535 2437.4 100000 0.631 0.068267 1.2946 6 25 44 78 108 145 130 103 116 107 138 
10 10 14 0.0323 50 1 2 2.4089 0.3998 0.086466 0.20319 0 0.0058757 0.036326 0.1606 396.56 100000 0.3958 0.083005 0.22787 98 126 144 148 109 98 73 49 44 29 82 
10 10 14 0.0323 50 1 3 2.4089 0.266 0.082687 0.082906 0 0.0057398 0.031716 0.045113 114.02 100000 0.2595 0.073603 0.079127 260 204 157 99 75 48 29 26 22 27 53 
10 10 14 0.0323 50 1 4 2.4089 0.1866 0.06931 0.053749 0 0.0040467 0.031158 0.018163 44.722 100000 0.1747 0.059569 0.051934 409 235 117 54 50 25 24 12 21 16 37 
10 10 14 0.0323 50 1 5 2.4089 0.1375 0.058783 0.044466 0 0.0036269 0.03091 0.009504 21.232 100000 0.1225 0.047271 0.0429 549 209 71 41 26 23 12 10 19 12 28 
10 10 14 0.0323 50 1 6 2.4089 0.1039 0.050866 0.044213 0 0.0058723 0.032083 0.0058617 11.804 100000 0.0887 0.036659 0.047037 672 152 54 23 17 15 10 7 17 8 25 
10 10 14 0.0323 50 1 7 2.4089 0.0821 0.043994 0.043714 0 0.0034659 0.036033 0.0039155 7.264 100000 0.0654 0.029492 0.036652 753 117 33 15 13 11 10 7 13 7 21 
10 10 14 0.0323 50 1 8 2.4089 0.0659 0.037325 0.036224 0 0.0034738 0.029716 0.0027559 4.793 100000 0.0512 0.024723 0.035329 814 82 22 11 14 10 10 5 7 7 18 
10 10 14 0.0323 50 1 9 2.4089 0.0529 0.031783 0.035179 0 0.0035043 0.029425 0.0019983 3.388 100000 0.0393 0.020186 0.034381 859 60 14 8 12 9 6 5 6 5 16 
10 10 14 0.0323 50 1 10 2.4089 0.0435 0.026444 0.034012 0 0.0035031 0.028744 0.0015195 2.489 100000 0.0309 0.016992 0.033753 886 46 10 10 9 8 7 2 4 5 13 
10 10 14 0.0323 50 1 11 2.4089 0.0353 0.021505 0.033513 0 0.0035429 0.028603 0.0011331 1.795 100000 0.025 0.013368 0.033438 910 34 9 4 9 11 3 2 4 6 8 
10 10 14 0.0323 50 1 12 2.4089 0.0292 0.017605 0.03307 0 0.0035118 0.028454 0.00087969 1.356 100000 0.0209 0.011765 0.033075 926 22 11 9 6 8 1 3 4 2 8 
10 10 14 0.0323 50 1 13 2.4089 0.0246 0.014329 0.032187 0 0.0034989 0.027786 0.00067685 1.02 100000 0.0178 0.010273 0.032165 934 21 10 9 5 6 1 3 4 1 6 
