k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0323 50 1 1 3.28907 0.7154 0.052856 2.4544 0 0.049048 0.13651 2.2684 4685.5 100000 0.7249 0.048579 2.4396 1 8 25 49 61 97 127 132 162 142 196 
10 10 13 0.0323 50 1 2 3.2891 0.5006 0.082362 0.45417 0 0.031077 0.075211 0.34755 888.71 100000 0.5026 0.079212 0.52233 41 76 115 112 124 107 107 98 68 59 93 
10 10 13 0.0323 50 1 3 3.2891 0.3509 0.083483 0.21785 0 0.024618 0.045617 0.14732 275.97 100000 0.3558 0.078965 0.17961 132 171 148 133 108 78 72 33 27 38 60 
10 10 13 0.0323 50 1 4 3.2891 0.2546 0.075194 0.0993 0 0.020088 0.04163 0.03734 111.66 100000 0.252 0.071347 0.097188 254 223 157 96 77 48 35 27 14 28 41 
10 10 13 0.0323 50 1 5 3.2891 0.1882 0.064205 0.077361 0 0.017952 0.040648 0.018508 53.368 100000 0.1829 0.059297 0.082818 384 237 126 72 50 32 18 18 15 17 31 
10 10 13 0.0323 50 1 6 3.2891 0.1457 0.056558 0.075684 0 0.017159 0.04712 0.011112 28.929 100000 0.1325 0.047942 0.075378 507 209 99 57 25 22 14 15 13 14 25 
10 10 13 0.0323 50 1 7 3.2891 0.114 0.047552 0.078496 0 0.017011 0.053923 0.0072694 17.257 100000 0.1028 0.040573 0.077428 603 183 73 38 23 17 11 14 7 10 21 
10 10 13 0.0323 50 1 8 3.2891 0.0886 0.039409 0.060924 0 0.016057 0.03958 0.0049895 10.885 100000 0.0794 0.032869 0.06021 684 157 52 28 17 11 12 8 7 6 18 
10 10 13 0.0323 50 1 9 3.2891 0.068 0.031928 0.058992 0 0.015807 0.039369 0.0035333 7.308 100000 0.0626 0.026648 0.058131 757 121 43 22 9 6 9 8 6 7 12 
10 10 13 0.0323 50 1 10 3.2891 0.0559 0.027333 0.06406 0 0.015649 0.045461 0.002679 5.213 100000 0.0505 0.022963 0.064537 797 109 32 14 6 7 8 6 6 3 12 
10 10 13 0.0323 50 1 11 3.2891 0.0456 0.021762 0.058409 0 0.015504 0.040578 0.0020699 3.853 100000 0.0402 0.018823 0.055714 833 91 22 13 4 7 9 7 4 4 6 
10 10 13 0.0323 50 1 12 3.2891 0.0359 0.016418 0.0555 0 0.015213 0.038465 0.0015774 2.841 100000 0.0322 0.015098 0.054843 865 72 17 12 7 7 6 5 3 1 5 
10 10 13 0.0323 50 1 13 3.2891 0.0297 0.013501 0.069461 0 0.015515 0.052427 0.0012854 2.172 100000 0.026 0.012757 0.06825 889 56 17 6 11 8 3 3 2 0 5 
10 10 13 0.0323 50 1 14 3.2891 0.0249 0.011802 0.054503 0 0.014978 0.038313 0.0009838 1.691 100000 0.0218 0.011196 0.053886 908 48 11 7 8 7 2 3 1 0 5 
10 10 13 0.0323 50 1 15 3.2891 0.0209 0.010203 0.074392 0 0.01563 0.057674 0.00084993 1.356 100000 0.0187 0.0091695 0.070418 925 34 15 4 10 3 1 2 1 0 5 
10 10 13 0.0323 50 1 16 3.2891 0.0171 0.0087063 0.06875 0 0.015432 0.052427 0.00067327 1.08 100000 0.0157 0.0071707 0.067404 938 31 9 6 7 0 2 1 1 1 4 
10 10 13 0.0323 50 1 17 3.2891 0.0154 0.0080509 0.053671 0 0.014898 0.037976 0.00057951 0.912 100000 0.013 0.0056366 0.053171 945 25 12 6 3 0 3 0 1 1 4 
10 10 13 0.0323 50 1 18 3.2891 0.0132 0.0073932 0.053279 0 0.014868 0.037723 0.00047618 0.759 100000 0.0096 0.0044323 0.053027 956 18 11 5 2 0 2 0 1 1 4 
10 10 13 0.0323 50 1 19 3.2891 0.0111 0.0060128 0.053218 0 0.014878 0.037711 0.00041194 0.624 100000 0.0081 0.0039283 0.0529 964 12 11 4 2 1 1 0 2 0 3 
10 10 13 0.0323 50 1 20 3.2891 0.0095 0.0054452 0.053274 0 0.014875 0.037843 0.00034677 0.509 100000 0.0071 0.003403 0.053011 969 13 7 3 2 1 0 0 2 0 3 
10 10 13 0.0323 50 1 22 3.2891 0.0075 0.0049187 0.053613 0 0.014964 0.03817 0.00026603 0.367 100000 0.005 0.0024975 0.061619 980 8 2 3 1 1 0 1 1 0 3 
10 10 13 0.0323 50 1 25 3.2891 0.006 0.0041081 0.055168 0 0.015165 0.039536 0.00025881 0.249 100000 0.0029 0.0017233 0.05276 986 5 1 2 0 1 0 2 1 0 2 
10 10 13 0.0323 50 1 30 3.2891 0.0036 0.001929 0.066444 0 0.015076 0.051042 0.00012274 0.114 100000 0.001 0.00033934 0.066236 991 1 3 0 2 0 1 1 1 0 0 
10 10 13 0.0323 50 1 35 3.2891 0.0021 0.00098658 0.052506 0 0.014706 0.03751 8.4894e-05 0.054 100000 0.0005 0.00016992 0.053493 994 1 2 0 1 1 0 1 0 0 0 
10 10 13 0.0323 50 1 40 3.2891 0.0012 0.0005391 0.053705 0 0.015026 0.038393 7.327e-05 0.028 100000 0 0 0.052804 996 2 0 0 1 0 1 0 0 0 0 
10 10 13 0.0323 50 1 50 3.2891 0.0002 1.998e-05 0.052563 0 0.01472 0.037585 5.2425e-05 0.003 100000 0 0 0.05226 998 2 0 0 0 0 0 0 0 0 0 
10 10 13 0.0323 50 1 60 3.2891 0 0 0.052659 0 0.014785 0.037625 4.2508e-05 0 100000 0 0 0.052327 1000 0 0 0 0 0 0 0 0 0 0 
10 10 14 0.0323 50 1 1 3.62274 0.5835 0.064582 1.3508 0 0.05459 0.058315 1.2375 2579.9 100000 0.5827 0.067618 1.339 7 34 66 86 134 130 148 105 111 76 103 
10 10 14 0.0323 50 1 2 3.6227 0.3311 0.078521 0.25676 0 0.053036 0.043847 0.15958 334.8 100000 0.3404 0.074823 0.21369 131 193 160 139 106 63 53 47 28 29 51 
10 10 14 0.0323 50 1 3 3.6227 0.1987 0.064052 0.11112 0 0.025721 0.034476 0.050636 79.721 100000 0.2002 0.060761 0.09678 345 249 130 87 53 32 31 8 16 15 34 
10 10 14 0.0323 50 1 4 3.6227 0.1286 0.051914 0.067221 0 0.021792 0.033799 0.011309 26.944 100000 0.1214 0.043666 0.066429 546 214 76 54 29 14 9 8 14 10 26 
10 10 14 0.0323 50 1 5 3.6227 0.0881 0.039528 0.059614 0 0.020254 0.03348 0.0055526 11.518 100000 0.0797 0.032591 0.058969 683 154 65 26 11 11 6 9 10 9 16 
10 10 14 0.0323 50 1 6 3.6227 0.0617 0.031054 0.077031 0 0.022301 0.05074 0.0036807 5.992 100000 0.0543 0.025227 0.067304 782 116 37 10 8 8 8 4 8 5 14 
10 10 14 0.0323 50 1 7 3.6227 0.0474 0.025319 0.053443 0 0.018835 0.03212 0.0022163 3.619 100000 0.0384 0.019505 0.052438 843 78 26 9 6 6 8 3 7 2 12 
