k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 10 13 0.0323 50 1 1 1.89231 0.7075 0.051265 2.381 0.0056544 0.0047011 0.15143 2.2187 4686.3 100000 0.7152 0.050479 2.2731 2 11 13 51 70 102 130 149 158 132 182 
10 10 13 0.0323 50 1 2 1.8923 0.4903 0.077834 0.39378 0.0050177 0.0028026 0.064841 0.32072 884.92 100000 0.5031 0.076457 0.39078 34 79 112 123 125 149 99 71 64 57 87 
10 10 13 0.0323 50 1 3 1.8923 0.3364 0.081036 0.15142 0.0037298 0.0021335 0.055537 0.089687 274.75 100000 0.3487 0.077776 0.14088 135 177 168 133 107 75 54 33 26 34 58 
10 10 13 0.0323 50 1 4 1.8923 0.2394 0.073922 0.082844 0.0036238 0.001684 0.041669 0.035571 111.74 100000 0.249 0.069068 0.081406 298 192 169 103 61 41 30 23 24 17 42 
10 10 13 0.0323 50 1 5 1.8923 0.177 0.063795 0.064214 0.0036308 0.0014804 0.040934 0.01784 53.96 100000 0.1797 0.058877 0.062896 420 215 136 76 32 25 18 13 17 13 35 
10 10 13 0.0323 50 1 6 1.8923 0.133 0.054205 0.056426 0.00365 0.0013748 0.040631 0.010404 29.501 100000 0.1341 0.048255 0.05514 540 202 103 44 18 17 16 10 11 11 28 
10 10 13 0.0323 50 1 7 1.8923 0.1023 0.04547 0.052634 0.0036421 0.0013253 0.04044 0.0068443 17.787 100000 0.0985 0.038246 0.05119 643 172 66 28 19 15 7 8 12 10 20 
10 10 13 0.0323 50 1 8 1.8923 0.0827 0.03939 0.049831 0.0036497 0.0013173 0.039719 0.0047715 11.453 100000 0.0773 0.031466 0.048791 719 139 44 21 16 8 10 11 8 8 16 
10 10 13 0.0323 50 1 9 1.8923 0.0666 0.032977 0.04833 0.0036907 0.0012941 0.039456 0.0035426 7.849 100000 0.0624 0.027053 0.048064 772 114 37 16 10 8 13 5 3 7 15 
10 10 13 0.0323 50 1 10 1.8923 0.0552 0.027801 0.051057 0.0036951 0.0030879 0.040344 0.0035632 5.649 100000 0.0481 0.020717 0.049107 808 98 29 15 9 10 6 3 2 8 12 
10 10 13 0.0323 50 1 11 1.8923 0.0453 0.023101 0.047473 0.0037257 0.0012766 0.039837 0.0023187 4.153 100000 0.0388 0.017392 0.045322 846 75 24 15 5 6 7 6 1 7 8 
10 10 13 0.0323 50 1 12 1.8923 0.0385 0.020128 0.045393 0.0037043 0.001279 0.038564 0.0015485 3.105 100000 0.0305 0.013814 0.044527 871 62 22 9 6 5 6 4 2 7 6 
10 10 13 0.0323 50 1 13 1.8923 0.0322 0.017 0.058841 0.0040713 0.0012956 0.051937 0.0012439 2.392 100000 0.0246 0.011286 0.057747 894 48 18 10 7 3 4 3 2 6 5 
10 10 13 0.0323 50 1 14 1.8923 0.0266 0.013966 0.057995 0.0040586 0.001282 0.05139 0.00098656 1.875 100000 0.0212 0.0097403 0.05736 908 44 18 5 6 4 3 1 2 4 5 
10 10 13 0.0323 50 1 15 1.8923 0.0227 0.012147 0.043912 0.0037397 0.0012898 0.037811 0.00080115 1.503 100000 0.0178 0.0082314 0.043339 921 38 16 5 5 2 1 2 3 2 5 
10 10 13 0.0323 50 1 16 1.8923 0.0193 0.010888 0.043585 0.0036987 0.0012946 0.037678 0.00064606 1.203 100000 0.0143 0.0067723 0.043052 933 34 14 4 1 1 1 4 1 2 5 
10 10 13 0.0323 50 1 17 1.8923 0.0163 0.0093336 0.043656 0.0038886 0.0013078 0.037628 0.00054327 0.991 100000 0.0112 0.0052999 0.042932 944 29 11 2 2 1 2 1 2 2 4 
10 10 13 0.0323 50 1 18 1.8923 0.0137 0.0074898 0.043297 0.0037126 0.0012989 0.037564 0.00046118 0.816 100000 0.0091 0.0041313 0.043351 952 25 8 2 3 2 1 1 2 1 3 
10 10 13 0.0323 50 1 19 1.8923 0.0121 0.0069906 0.04322 0.0036989 0.0013009 0.037564 0.00039729 0.693 100000 0.0073 0.0035002 0.042885 960 22 3 3 2 3 1 0 2 1 3 
10 10 13 0.0323 50 1 20 1.8923 0.0109 0.0066578 0.043159 0.0037292 0.001304 0.037529 0.0003381 0.58 100000 0.0064 0.0032022 0.042559 967 17 1 5 1 2 1 0 2 1 3 
10 10 13 0.0323 50 1 22 1.8923 0.0078 0.0046238 0.042917 0.0037163 0.0012892 0.037406 0.0002482 0.388 100000 0.0046 0.0025614 0.042575 976 10 4 4 0 1 1 0 1 1 2 
10 10 13 0.0323 50 1 25 1.8923 0.0057 0.003521 0.043019 0.0037419 0.0012905 0.037562 0.00017022 0.23 100000 0.0033 0.0021413 0.042376 984 7 2 1 1 1 0 0 2 2 0 
10 10 13 0.0323 50 1 30 1.8923 0.0038 0.0025881 0.049191 0.0042982 0.0013406 0.043175 0.00012372 0.113 100000 0.0014 0.00063868 0.046854 992 2 1 1 0 0 1 0 2 1 0 
10 10 13 0.0323 50 1 35 1.8923 0.0023 0.0015262 0.045247 0.0041556 0.001312 0.039434 8.7617e-05 0.051 100000 0.001 0.00035936 0.042355 996 0 0 1 1 0 0 0 2 0 0 
10 10 13 0.0323 50 1 40 1.8923 0.0014 0.00069874 0.042611 0.0037146 0.0012934 0.037294 5.827e-05 0.028 100000 0.0002 1.998e-05 0.042348 996 1 1 0 1 0 0 1 0 0 0 
10 10 13 0.0323 50 1 50 1.8923 0.0002 1.998e-05 0.042427 0.0036834 0.0012781 0.037174 4.1325e-05 0.002 100000 0 0 0.043308 998 2 0 0 0 0 0 0 0 0 0 
10 10 13 0.0323 50 1 60 1.8923 0 0 0.042756 0.0037314 0.001289 0.03745 3.5243e-05 0 100000 0 0 0.042167 1000 0 0 0 0 0 0 0 0 0 0 
10 10 14 0.0323 50 1 1 1.87905 0.5778 0.067895 1.3174 0.0054562 0.0051313 0.10598 1.2004 2583.3 100000 0.5793 0.065167 1.2462 21 43 52 79 109 169 137 118 84 87 101 
10 10 14 0.0323 50 1 2 1.8791 0.329 0.080459 0.17316 0.0052625 0.0029047 0.047413 0.11727 331.52 100000 0.3297 0.076765 0.16765 157 168 149 149 110 71 39 46 30 24 57 
10 10 14 0.0323 50 1 3 1.8791 0.2003 0.066536 0.069933 0.0040993 0.0020545 0.036084 0.027416 78.656 100000 0.197 0.063294 0.065457 349 250 125 83 54 36 19 18 15 12 39 
10 10 14 0.0323 50 1 4 1.8791 0.1275 0.052446 0.047494 0.0040328 0.0016891 0.031278 0.010137 26.516 100000 0.1202 0.045598 0.046428 548 222 68 54 26 15 6 15 9 7 30 
10 10 14 0.0323 50 1 5 1.8791 0.0882 0.040281 0.041748 0.0040408 0.0015146 0.030796 0.0050477 11.626 100000 0.0755 0.032422 0.040789 686 156 56 25 19 8 8 7 9 6 20 
10 10 14 0.0323 50 1 6 1.8791 0.062 0.031187 0.039707 0.0041657 0.0014593 0.030712 0.0030412 6.131 100000 0.0527 0.024717 0.038702 779 123 25 20 9 7 5 6 4 8 14 
10 10 14 0.0323 50 1 7 1.8791 0.0473 0.026039 0.038231 0.0041727 0.0014438 0.03035 0.0019425 3.698 100000 0.0372 0.018435 0.037235 845 80 20 11 8 6 5 3 4 5 13 
10 10 14 0.0323 50 1 8 1.8791 0.0364 0.020976 0.036472 0.0040909 0.0013824 0.029426 0.0012862 2.425 100000 0.0284 0.015449 0.035426 888 54 15 5 9 5 5 3 3 1 12 
10 10 14 0.0323 50 1 9 1.8791 0.0294 0.017994 0.035578 0.0041338 0.0013912 0.028824 0.00093699 1.745 100000 0.0205 0.011822 0.035139 916 36 14 4 6 4 3 2 3 2 10 
10 10 14 0.0323 50 1 10 1.8791 0.0241 0.015645 0.037344 0.0041644 0.0031102 0.028927 0.00086785 1.328 100000 0.0159 0.0095868 0.037088 932 33 8 3 4 2 3 2 2 1 10 
10 10 14 0.0323 50 1 11 1.8791 0.0173 0.010681 0.035752 0.00412 0.0013862 0.029224 0.00075013 0.931 100000 0.011 0.0058849 0.034641 951 23 2 6 4 3 0 3 1 2 5 
10 10 14 0.0323 50 1 12 1.8791 0.0141 0.0092805 0.034599 0.0041772 0.0013774 0.028385 0.00038949 0.642 100000 0.0081 0.0043888 0.03445 962 17 3 5 2 0 0 4 1 1 5 
