	k	n_trees	depth	sparsity	k_build	b	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	n_train	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	10	13	0.0323	50	1	1	1.89231	0.7075	0.051265	2.381	0.0056544	0.0047011	0.15143	2.2187	4686.3	100000	0.7152	0.050479	2.2731	2	11	13	51	70	102	130	149	158	132	182
27	10	10	14	0.0323	50	1	1	1.87905	0.5778	0.067895	1.3174	0.0054562	0.0051313	0.10598	1.2004	2583.3	100000	0.5793	0.065167	1.2462	21	43	52	79	109	169	137	118	84	87	101
54	10	10	15	0.0323	50	1	1	2.10615	0.4443	0.076384	0.73264	0.0054154	0.0053132	0.073264	0.64829	1378.6	100000	0.4385	0.073922	0.71042	49	98	149	121	135	117	91	80	50	47	63
81	10	15	13	0.0323	50	1	1	2.10694	0.8011	0.036866	3.5548	0.013443	0.0088393	0.15884	3.373	6560.8	100000	0.8044	0.033734	3.8047	1	1	7	20	32	50	93	140	170	200	286
108	10	15	14	0.0323	50	1	1	2.10379	0.6778	0.055803	1.8774	0.0072783	0.0074155	0.12006	1.7422	3690.7	100000	0.6826	0.05271	1.7295	6	5	40	39	86	131	133	152	124	117	167
135	10	15	15	0.0323	50	1	1	2.27056	0.5413	0.072917	1.299	0.011216	0.0074539	0.07018	1.2097	2001.0	100000	0.5376	0.068435	0.89084	13	53	97	104	140	135	112	86	96	63	101
162	10	20	13	0.0323	50	1	1	2.35439	0.8465	0.028536	4.1626	0.01134	0.010947	0.26015	3.8795	8215.9	100000	0.8489	0.027606	4.1054	1	1	3	6	20	35	73	100	157	249	355
189	10	20	14	0.0323	50	1	1	2.44316	0.7298	0.047319	2.5531	0.01449	0.010608	0.14791	2.3796	4716.1	100000	0.7459	0.043887	2.0978	2	10	10	29	60	99	138	155	141	155	201
216	10	20	15	0.0323	50	1	1	2.41212	0.6078	0.066626	1.539	0.015329	0.010264	0.096485	1.4165	2596.6	100000	0.6268	0.061944	1.1607	12	34	50	82	96	140	140	129	105	89	123
243	10	30	13	0.0323	50	1	1	2.89522	0.9058	0.016383	5.7742	0.019593	0.019627	0.40848	5.3254	11088.0	100000	0.91	0.014935	5.7289	0	0	0	2	6	17	28	66	123	251	507
270	10	30	14	0.0323	50	1	1	3.1994	0.8178	0.031795	3.2816	0.015786	0.017949	0.20418	3.0431	6571.0	100000	0.8202	0.032805	3.2953	0	1	3	9	32	46	82	144	164	216	303
297	10	30	15	0.0323	50	1	1	3.37881	0.6942	0.056022	1.8325	0.013646	0.020684	0.095346	1.7024	3694.8	100000	0.7062	0.051353	1.7615	7	9	25	48	81	108	120	142	157	125	178
324	10	40	13	0.0323	50	1	1	4.35108	0.9348	0.01108	7.0576	0.027958	0.026107	0.3759	6.6263	13533.0	100000	0.9371	0.010304	7.412	0	0	0	1	2	6	18	44	89	221	619
351	10	40	14	0.0323	50	1	1	4.57088	0.8768	0.021403	4.2503	0.022755	0.029415	0.32292	3.8744	8132.0	100000	0.8772	0.021321	4.103	0	0	1	6	8	23	43	96	162	235	426
378	10	40	15	0.0323	50	1	1	4.27673	0.7731	0.042889	2.341	0.017972	0.023846	0.12541	2.1733	4667.2	100000	0.7751	0.041532	2.3456	3	2	11	22	40	85	89	156	153	184	255
405	10	50	13	0.0323	50	1	1	6.00329	0.9546	0.0068857	8.2744	0.035972	0.033076	0.46057	7.7433	15745.0	100000	0.9546	0.0069057	8.1866	0	0	0	0	1	3	4	26	73	193	700
432	10	50	14	0.0323	50	1	1	5.93265	0.9001	0.017568	4.8884	0.029779	0.034492	0.2848	4.5383	9634.4	100000	0.907	0.016487	4.8925	0	1	2	2	6	9	31	77	146	232	494
459	10	50	15	0.0323	50	1	1	5.6826	0.814	0.033958	2.9009	0.024274	0.036441	0.1904	2.6493	5612.9	100000	0.8171	0.034632	2.8846	0	1	9	8	24	63	80	130	180	194	311
486	10	75	13	0.0323	50	1	1	10.2179	0.9744	0.0041288	10.493	0.045965	0.052483	0.60605	9.7872	20196.0	100000	0.9756	0.0034681	10.473	0	0	1	0	0	1	1	11	34	138	814
513	10	75	14	0.0323	50	1	1	11.6592	0.9398	0.0093053	6.9235	0.044995	0.057851	0.45308	6.3665	12886.0	100000	0.9413	0.0080724	6.7297	0	0	1	0	0	6	11	33	92	237	620
540	10	75	15	0.0323	50	1	1	11.228	0.878	0.021898	4.6618	0.043224	0.062149	0.2884	4.2673	7693.4	100000	0.8868	0.021487	4.5662	0	0	2	4	8	24	52	88	152	232	438
567	10	100	13	0.0323	50	1	1	14.8377	0.9842	0.0021725	12.323	0.057156	0.073435	0.71296	11.478	23820.0	100000	0.9856	0.0020147	12.255	0	0	0	0	0	0	2	3	21	99	875
594	10	100	14	0.0323	50	1	1	16.4828	0.9629	0.0055591	8.0458	0.063809	0.077974	0.50087	7.402	15397.0	100000	0.9629	0.0057393	9.3453	0	0	0	1	1	0	4	16	53	188	737
621	10	100	15	0.0323	50	1	1	14.6256	0.9149	0.013742	5.9989	0.061804	0.089402	0.38476	5.4619	9469.7	100000	0.9147	0.013908	5.8786	0	0	0	0	1	8	41	53	123	236	538
648	10	125	13	0.0323	50	1	1	20.7337	0.9896	0.0013732	15.85	0.07012	0.081875	1.1731	14.523	26834.0	100000	0.9902	0.0011651	14.892	0	0	0	0	0	0	1	2	10	74	913
675	10	125	14	0.0323	50	1	1	22.6394	0.9728	0.0041843	9.8214	0.074443	0.091826	0.82418	8.8292	17835.0	100000	0.9742	0.0035779	9.5762	0	0	1	0	0	0	4	7	37	153	798
702	10	125	15	0.0323	50	1	1	20.0703	0.9348	0.01088	5.9768	0.07293	0.11117	0.4769	5.3148	11154.0	100000	0.9372	0.010106	5.921	0	1	0	1	1	5	12	46	98	223	613
729	10	150	13	0.0323	50	1	1	24.614	0.992	0.0013373	16.361	0.080687	0.095638	1.2201	14.963	29479.0	100000	0.993	0.00085185	15.892	0	0	0	0	1	1	0	0	5	59	934
756	10	150	14	0.0323	50	1	1	26.6813	0.9787	0.0029192	10.875	0.084341	0.10523	0.92064	9.7631	19885.0	100000	0.9806	0.0025662	10.548	0	0	0	0	0	0	1	7	35	118	839
783	10	150	15	0.0323	50	1	1	23.0295	0.9461	0.0083932	7.3083	0.095099	0.13606	0.67696	6.3989	12672.0	100000	0.9513	0.0074057	7.0169	0	0	0	1	1	5	6	29	86	218	654
810	10	200	13	0.0323	50	1	1	32.0822	0.9948	0.00073369	20.367	0.10954	0.14325	1.5277	18.584	33805.0	100000	0.9972	0.00029245	18.367	0	0	0	0	0	0	1	1	3	39	956
837	10	200	14	0.0323	50	1	1	36.9289	0.9882	0.0015823	13.523	0.10871	0.15004	1.0821	12.18	23268.0	100000	0.9886	0.0014715	13.029	0	0	0	0	0	1	0	1	14	82	902
864	10	200	15	0.0323	50	1	1	30.5198	0.9658	0.0049753	9.5836	0.11717	0.18933	0.93754	8.338	15161.0	100000	0.9693	0.004492	7.702	0	0	0	0	0	0	7	12	58	162	761
891	10	250	13	0.0323	50	1	1	45.8418	0.9964	0.00044749	20.507	0.12893	0.1511	1.7889	18.436	37382.0	100000	0.9976	0.00023447	20.416	0	0	0	0	0	0	0	1	2	29	968
918	10	250	14	0.0323	50	1	1	48.0556	0.9912	0.0017643	14.597	0.13334	0.2009	1.3451	12.916	26311.0	100000	0.9935	0.00070846	14.386	0	0	0	2	0	0	0	1	3	65	929
945	10	250	15	0.0323	50	1	1	38.2196	0.9749	0.0037638	10.37	0.14893	0.23362	1.1287	8.8574	17467.0	100000	0.9805	0.0025323	9.9113	0	0	0	0	1	0	1	13	34	134	817
972	10	300	13	0.0323	50	1	1	53.2675	0.9981	0.00026666	24.643	0.15047	0.19234	2.1502	22.148	40431.0	100000	0.9987	0.00012844	23.366	0	0	0	0	0	0	0	1	1	14	984
999	10	300	14	0.0323	50	1	1	56.6244	0.994	0.00074474	16.382	0.16045	0.22839	1.5913	14.4	28752.0	100000	0.9949	0.00052451	16.01	0	0	0	0	0	0	0	0	9	42	949
1026	10	300	15	0.0323	50	1	1	48.0594	0.9839	0.002173	13.052	0.18109	0.29239	1.3562	11.22	19448.0	100000	0.9866	0.0017622	11.667	0	0	0	0	0	0	1	4	23	99	873
