	k	n_trees	depth	sparsity	v	build_time	recall	var_recall	query_time	projection_time	traversal_time	vote_time	exact_time	cs_size	val_recall	val_var_recall	val_query_time	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10
0	10	1	6	0.0323	1	0.0682965	0.097	0.016608	0.64587	0.00074408	0.00011796	0.021141	0.62357	1562.5	0.0884	0.015181	0.68912	468	296	128	57	28	12	8	0	0	3	0
1	10	1	7	0.0323	1	0.0750141	0.063	0.010702	0.33361	0.00081471	0.00012357	0.018461	0.31391	781.23	0.0614	0.0093794	0.33517	616	245	75	37	16	7	3	1	0	0	0
2	10	1	8	0.0323	1	0.0772359	0.0437	0.0066069	0.17817	0.0009349	9.6148e-05	0.017343	0.15954	390.64	0.0416	0.0063958	0.17836	698	216	54	20	8	3	1	0	0	0	0
3	10	1	9	0.0323	1	0.0825627	0.0319	0.0055379	0.10317	0.000838	0.00014003	0.016936	0.084995	195.34	0.0381	0.0077461	0.10154	775	169	34	16	2	1	1	1	1	0	0
4	10	1	10	0.0323	1	0.0851672	0.016	0.0022062	0.064525	0.00085867	0.00017087	0.016983	0.046253	97.638	0.0192	0.0032546	0.063897	873	102	19	4	2	0	0	0	0	0	0
5	10	1	11	0.0323	1	0.0932395	0.0127	0.0016904	0.043859	0.00089236	0.00016469	0.016985	0.025563	48.824	0.0105	0.0013411	0.04258	897	83	17	2	1	0	0	0	0	0	0
6	10	1	12	0.0323	1	0.0990229	0.0091	0.0010683	0.033445	0.00089261	0.00018151	0.01784	0.014274	24.436	0.0074	0.00086611	0.032182	920	70	9	1	0	0	0	0	0	0	0
7	10	5	6	0.0323	1	0.0937153	0.3951	0.050617	3.714	0.0027746	0.00034598	0.05885	3.6514	7397.1	0.3805	0.051561	3.603	29	99	171	160	175	136	100	55	32	21	22
12	10	5	7	0.0323	1	0.100119	0.2714	0.041804	1.8777	0.0017253	0.00033279	0.033977	1.8412	3793.4	0.2713	0.042409	1.8766	104	207	229	170	119	82	30	25	14	14	6
17	10	5	8	0.0323	1	0.107783	0.1818	0.029859	0.93527	0.00168	0.00047644	0.024444	0.90827	1921.8	0.1698	0.028156	1.0162	233	284	217	126	59	42	18	7	8	5	1
22	10	5	9	0.0323	1	0.113155	0.1236	0.022245	0.578	0.00184	0.00067687	0.020198	0.55493	966.82	0.1189	0.021214	0.6586	381	323	141	74	36	22	14	4	2	3	0
27	10	5	10	0.0323	1	0.138448	0.0957	0.016168	0.26547	0.0021232	0.00077551	0.020477	0.24172	485.06	0.093	0.015807	0.25513	464	317	111	57	28	9	9	4	1	0	0
32	10	5	11	0.0323	1	0.132029	0.0602	0.0099259	0.1417	0.0019879	0.00085347	0.017385	0.12114	243.04	0.0588	0.0090716	0.14132	627	235	86	26	16	8	1	1	0	0	0
37	10	5	12	0.0323	1	0.144956	0.0362	0.0051948	0.099991	0.0029143	0.0011429	0.023096	0.072388	121.78	0.0355	0.0050748	0.084295	741	187	50	14	7	1	0	0	0	0	0
42	10	10	6	0.0323	1	0.0888383	0.5861	0.052249	7.1528	0.0060229	0.00065135	0.12023	7.0252	14018.0	0.5797	0.053091	6.987	4	19	44	86	147	156	149	148	101	70	76
52	10	10	7	0.0323	1	0.097209	0.446	0.05588	3.7047	0.0039183	0.00079545	0.060645	3.639	7313.0	0.4308	0.054786	3.6691	17	65	126	181	177	148	93	61	57	39	36
62	10	10	8	0.0323	1	0.132545	0.3126	0.04901	1.8674	0.0029282	0.00092212	0.03769	1.8256	3757.9	0.3047	0.048757	1.839	70	185	197	195	136	74	53	30	28	24	8
72	10	10	9	0.0323	1	0.115844	0.2235	0.037936	0.93721	0.0029395	0.0010585	0.025579	0.90734	1908.5	0.2257	0.039069	1.0159	181	237	220	158	86	47	30	18	11	9	3
82	10	10	10	0.0323	1	0.17226	0.1685	0.029027	0.47912	0.0031424	0.0016979	0.021479	0.45253	962.2	0.1665	0.030178	0.48678	253	324	195	93	60	36	17	10	8	4	0
92	10	10	11	0.0323	1	0.123236	0.1193	0.024242	0.25967	0.0031984	0.0021063	0.019167	0.23489	484.0	0.1094	0.020192	0.25847	425	291	135	65	36	20	10	13	4	0	1
102	10	10	12	0.0323	1	0.169809	0.0706	0.012568	0.19127	0.005318	0.0021982	0.024318	0.15904	242.82	0.0659	0.011779	0.1688	583	255	98	29	20	6	5	4	0	0	0
112	10	25	6	0.0323	1	0.102033	0.8433	0.023779	15.249	0.011184	0.0020129	0.30937	14.925	30069.0	0.8546	0.02068	14.961	0	0	2	2	14	33	63	143	187	233	323
130	10	25	7	0.0323	1	0.133172	0.7303	0.041353	8.2809	0.011221	0.0030305	0.17334	8.0923	16617.0	0.7249	0.041812	8.156	0	3	6	34	60	101	132	165	167	162	170
148	10	25	8	0.0323	1	0.153632	0.5954	0.053592	4.5162	0.008746	0.0037898	0.097483	4.4056	8843.2	0.5766	0.055348	4.4684	3	12	50	87	134	160	159	129	94	84	88
166	10	25	9	0.0323	1	0.172252	0.4489	0.06108	2.2947	0.0068036	0.0044523	0.049938	2.2331	4609.3	0.4255	0.059179	2.2717	25	76	133	155	155	137	112	71	61	30	45
184	10	25	10	0.0323	1	0.155103	0.3239	0.052091	1.6328	0.00737	0.003934	0.031802	1.5893	2358.4	0.3123	0.052932	1.2247	68	165	218	177	125	91	55	39	24	23	15
202	10	25	11	0.0323	1	0.213059	0.2188	0.04337	0.62159	0.0076225	0.0052982	0.028248	0.5801	1195.0	0.2123	0.038717	0.66525	201	277	173	150	73	39	34	17	23	9	4
220	10	25	12	0.0323	1	0.169919	0.1656	0.032689	0.40646	0.0099949	0.0064648	0.026137	0.36355	601.41	0.1599	0.029532	0.38399	292	300	182	89	62	31	15	8	13	8	0
238	10	50	6	0.0323	1	0.191376	0.9729	0.0036392	22.401	0.028166	0.0042888	0.58119	21.786	48032.0	0.968	0.0047007	21.396	0	0	0	0	0	0	2	9	44	148	797
256	10	50	7	0.0323	1	0.164366	0.9026	0.014688	14.485	0.020444	0.0063176	0.33378	14.124	29006.0	0.9023	0.014459	14.263	0	0	0	0	1	15	31	73	151	248	481
274	10	50	8	0.0323	1	0.188946	0.7835	0.034592	8.4346	0.021218	0.0081545	0.1864	8.2179	16362.0	0.7796	0.034318	8.2072	0	0	3	19	34	70	109	154	180	196	235
292	10	50	9	0.0323	1	0.207325	0.6557	0.051879	4.4647	0.018451	0.0090166	0.11326	4.3235	8725.1	0.6382	0.051552	4.3621	2	11	18	60	115	138	142	153	131	91	139
