k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.0323 1 0.0682965 0.097 0.016608 0.64587 0.00074408 0.00011796 0.021141 0.62357 1562.5 0.0884 0.015181 0.68912 468 296 128 57 28 12 8 0 0 3 0 
10 1 7 0.0323 1 0.0750141 0.063 0.010702 0.33361 0.00081471 0.00012357 0.018461 0.31391 781.23 0.0614 0.0093794 0.33517 616 245 75 37 16 7 3 1 0 0 0 
10 1 8 0.0323 1 0.0772359 0.0437 0.0066069 0.17817 0.0009349 9.6148e-05 0.017343 0.15954 390.64 0.0416 0.0063958 0.17836 698 216 54 20 8 3 1 0 0 0 0 
10 1 9 0.0323 1 0.0825627 0.0319 0.0055379 0.10317 0.000838 0.00014003 0.016936 0.084995 195.34 0.0381 0.0077461 0.10154 775 169 34 16 2 1 1 1 1 0 0 
10 1 10 0.0323 1 0.0851672 0.016 0.0022062 0.064525 0.00085867 0.00017087 0.016983 0.046253 97.638 0.0192 0.0032546 0.063897 873 102 19 4 2 0 0 0 0 0 0 
10 1 11 0.0323 1 0.0932395 0.0127 0.0016904 0.043859 0.00089236 0.00016469 0.016985 0.025563 48.824 0.0105 0.0013411 0.04258 897 83 17 2 1 0 0 0 0 0 0 
10 1 12 0.0323 1 0.0990229 0.0091 0.0010683 0.033445 0.00089261 0.00018151 0.01784 0.014274 24.436 0.0074 0.00086611 0.032182 920 70 9 1 0 0 0 0 0 0 0 
10 5 6 0.0323 1 0.0937153 0.3951 0.050617 3.714 0.0027746 0.00034598 0.05885 3.6514 7397.1 0.3805 0.051561 3.603 29 99 171 160 175 136 100 55 32 21 22 
10 5 6 0.0323 2 0.093715 0.0987 0.023091 0.22999 0.002523 0.00019839 0.040509 0.1864 393.76 0.0967 0.023082 0.22687 521 265 85 57 30 18 5 12 6 1 0 
10 5 6 0.0323 3 0.093715 0.0217 0.0045437 0.047184 0.0014039 0.00017305 0.033588 0.011619 20.304 0.0211 0.0049097 0.045002 866 89 22 14 3 6 0 0 0 0 0 
10 5 6 0.0323 4 0.093715 0.0048 0.00077774 0.035501 0.0014662 0.00018508 0.032564 0.00093114 1.153 0.0043 0.00073224 0.034854 964 27 7 1 1 0 0 0 0 0 0 
10 5 6 0.0323 5 0.093715 0.0013 0.00014846 0.034611 0.001041 0.00018962 0.032938 9.6719e-05 0.047 0.001 0.00015916 0.033568 988 11 1 0 0 0 0 0 0 0 0 
10 5 7 0.0323 1 0.100119 0.2714 0.041804 1.8777 0.0017253 0.00033279 0.033977 1.8412 3793.4 0.2713 0.042409 1.8766 104 207 229 170 119 82 30 25 14 14 6 
10 5 7 0.0323 2 0.10012 0.0463 0.011578 0.08714 0.0025651 0.00022309 0.027977 0.056051 108.84 0.0537 0.012839 0.085795 735 176 44 19 9 7 6 1 1 0 2 
10 5 7 0.0323 3 0.10012 0.0091 0.0027299 0.030644 0.0015848 0.0002208 0.025586 0.0028686 3.709 0.0078 0.0013805 0.0294 943 42 10 1 1 1 0 1 0 0 1 
10 5 7 0.0323 4 0.10012 0.0028 0.00091307 0.027592 0.0013931 0.00022754 0.025422 0.00019725 0.27 0.002 0.00031632 0.027257 983 12 4 0 0 0 0 0 1 0 0 
