k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample label_recall val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1e-07 7.15026 0.8065 0.054823 0.21543 0 0.0035988 0.016233 0.19538 519.47 58000 100 100 0.8057 0.053591 0.21334 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 1.375e-07 7.1503 0.8065 0.054823 0.22501 0 0.0027354 0.017647 0.20423 519.47 58000 100 100 0.8057 0.053591 0.2124 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 1.75e-07 7.1503 0.8065 0.054823 0.21233 0 0.0027843 0.015147 0.19408 519.47 58000 100 100 0.8057 0.053591 0.21305 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 2.5e-07 7.1503 0.8065 0.054823 0.21227 0 0.0027645 0.015096 0.19411 519.47 58000 100 100 0.8057 0.053591 0.21254 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 3.75e-07 7.1503 0.8065 0.054823 0.21618 0 0.0025966 0.017167 0.1961 519.47 58000 100 100 0.8057 0.053591 0.21637 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 5e-07 7.1503 0.8065 0.054823 0.21392 0 0.0026097 0.015219 0.19578 519.47 58000 100 100 0.8057 0.053591 0.21319 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 7.5e-07 7.1503 0.8065 0.054823 0.21381 0 0.0026824 0.015893 0.19492 519.47 58000 100 100 0.8057 0.053591 0.21239 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 1e-06 7.1503 0.8065 0.054823 0.21311 0 0.002625 0.01514 0.19504 519.47 58000 100 100 0.8057 0.053591 0.21325 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 1.375e-06 7.1503 0.8065 0.054823 0.21274 0 0.0026926 0.015156 0.19457 519.47 58000 100 100 0.8057 0.053591 0.21248 11 15 18 20 31 42 65 93 130 211 364 
10 5 12 0.036 10 1 1.75e-06 7.1503 0.8065 0.054823 0.21229 0 0.0027758 0.01521 0.194 519.47 58000 100 100 0.8057 0.053591 0.21256 11 15 18 20 31 42 65 93 130 211 364 
