k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 25 0.228055 0.507 0.083234 0.17596 0.5051 0.082346 0.17703 55 74 97 101 113 110 116 96 90 71 77 
10 1 50 0.22805 0.507 0.083234 0.1836 0.5051 0.082346 0.17624 55 74 97 101 113 110 116 96 90 71 77 
10 1 100 0.22805 0.507 0.083234 0.17562 0.5051 0.082346 0.17628 55 74 97 101 113 110 116 96 90 71 77 
10 1 200 0.22805 0.507 0.083234 0.17569 0.5051 0.082346 0.17622 55 74 97 101 113 110 116 96 90 71 77 
10 1 400 0.22805 0.5359 0.083805 0.20032 0.5258 0.084419 0.19273 48 62 91 92 106 104 120 104 101 81 91 
10 1 1000 0.22805 0.7344 0.064081 0.42059 0.7243 0.069429 0.42373 7 17 34 40 59 78 89 113 143 156 264 
10 1 2000 0.22805 0.8477 0.038794 0.75708 0.8423 0.039841 0.745 1 5 8 12 33 42 59 78 132 178 452 
10 1 4000 0.22805 0.9226 0.019048 1.4069 0.9206 0.019395 1.3934 0 1 2 3 3 22 41 46 60 178 644 
10 1 10000 0.22805 0.977 0.0056767 3.4038 0.978 0.0043403 3.3881 0 1 0 1 0 2 10 13 19 87 867 
10 1 20000 0.22805 0.996 0.00062462 6.8107 0.9951 0.00064664 6.7519 0 0 0 0 0 0 1 1 3 27 968 
10 1 40000 0.22805 0.9995 4.98e-05 13.049 0.9998 1.998e-05 13.089 0 0 0 0 0 0 0 0 0 5 995 
10 1 100000 0.22805 1 0 17.38 1 0 17.475 0 0 0 0 0 0 0 0 0 0 1000 
10 1 200000 0.22805 1 0 17.412 1 0 17.484 0 0 0 0 0 0 0 0 0 0 1000 
10 1 400000 0.22805 1 0 17.369 1 0 17.528 0 0 0 0 0 0 0 0 0 0 1000 
10 5 25 0.675945 0.7064 0.07115 0.18876 0.6908 0.070005 0.19201 13 23 42 49 56 93 92 104 144 151 233 
10 5 50 0.67595 0.7064 0.07115 0.18993 0.6908 0.070005 0.19056 13 23 42 49 56 93 92 104 144 151 233 
10 5 100 0.67595 0.7064 0.07115 0.1898 0.6908 0.070005 0.18874 13 23 42 49 56 93 92 104 144 151 233 
10 5 200 0.67595 0.7064 0.07115 0.19606 0.6908 0.070005 0.18981 13 23 42 49 56 93 92 104 144 151 233 
10 5 400 0.67595 0.7127 0.068918 0.1991 0.6959 0.068842 0.19721 11 21 41 47 55 90 92 108 146 153 236 
10 5 1000 0.67595 0.8421 0.039918 0.37035 0.8359 0.03924 0.3753 3 2 12 18 19 48 61 87 138 174 438 
10 5 2000 0.67595 0.9149 0.020889 0.59269 0.9089 0.021272 0.59846 0 0 2 8 14 17 24 47 91 191 606 
10 5 4000 0.67595 0.967 0.0063574 1.0314 0.9602 0.0093053 1.0276 0 0 0 0 1 5 10 10 52 125 797 
10 5 10000 0.67595 0.9942 0.00072709 2.3698 0.993 0.0012523 2.3759 0 0 0 0 0 0 0 1 6 43 950 
10 5 20000 0.67595 0.9988 0.0001387 4.6259 0.9984 0.00023768 4.583 0 0 0 0 0 0 0 0 1 10 989 
10 5 40000 0.67595 1 0 8.5944 0.9999 1e-05 8.5522 0 0 0 0 0 0 0 0 0 0 1000 
10 5 100000 0.67595 1 0 17.068 1 0 17.066 0 0 0 0 0 0 0 0 0 0 1000 
10 5 200000 0.67595 1 0 23.995 1 0 24.042 0 0 0 0 0 0 0 0 0 0 1000 
10 5 400000 0.67595 1 0 28.944 1 0 28.899 0 0 0 0 0 0 0 0 0 0 1000 
10 10 25 1.25677 0.7768 0.056038 0.19344 0.7506 0.064104 0.19363 3 16 23 25 44 73 81 94 136 192 313 
10 10 50 1.2568 0.7768 0.056038 0.22459 0.7506 0.064104 0.20186 3 16 23 25 44 73 81 94 136 192 313 
10 10 100 1.2568 0.7768 0.056038 0.19884 0.7506 0.064104 0.19737 3 16 23 25 44 73 81 94 136 192 313 
10 10 200 1.2568 0.7768 0.056038 0.19515 0.7506 0.064104 0.19462 3 16 23 25 44 73 81 94 136 192 313 
10 10 400 1.2568 0.7805 0.055445 0.20237 0.7588 0.061604 0.20751 3 16 21 25 44 71 76 99 134 190 321 
10 10 1000 1.2568 0.8924 0.02769 0.36605 0.8795 0.031001 0.37199 1 4 3 7 13 22 53 58 97 189 553 
10 10 2000 1.2568 0.948 0.011487 0.57289 0.9391 0.014896 0.57321 0 0 2 2 3 6 17 25 69 161 715 
10 10 4000 1.2568 0.9761 0.0048637 0.93161 0.973 0.0057367 0.93772 0 0 0 0 1 4 8 8 25 107 847 
10 10 10000 1.2568 0.9957 0.00085236 1.9559 0.994 0.0011451 1.9642 0 0 0 0 0 0 3 0 4 23 970 
10 10 20000 1.2568 0.9992 9.9459e-05 3.773 0.9986 0.00017822 3.7302 0 0 0 0 0 0 0 0 1 6 993 
10 10 40000 1.2568 0.9999 1e-05 7.2242 0.9997 2.994e-05 7.187 0 0 0 0 0 0 0 0 0 1 999 
10 10 100000 1.2568 1 0 15.297 1 0 15.269 0 0 0 0 0 0 0 0 0 0 1000 
10 10 200000 1.2568 1 0 22.955 1 0 22.903 0 0 0 0 0 0 0 0 0 0 1000 
10 10 400000 1.2568 1 0 38.386 1 0 36.531 0 0 0 0 0 0 0 0 0 0 1000 
10 25 25 2.9723 0.8291 0.041445 0.2037 0.807 0.052343 0.21034 1 3 15 15 34 49 63 90 140 196 394 
10 25 50 2.9723 0.8291 0.041445 0.2045 0.807 0.052343 0.20687 1 3 15 15 34 49 63 90 140 196 394 
10 25 100 2.9723 0.8291 0.041445 0.20424 0.807 0.052343 0.20598 1 3 15 15 34 49 63 90 140 196 394 
10 25 200 2.9723 0.8291 0.041445 0.20422 0.807 0.052343 0.20375 1 3 15 15 34 49 63 90 140 196 394 
10 25 400 2.9723 0.8326 0.040518 0.21158 0.8111 0.051318 0.2106 1 3 13 14 35 48 58 95 139 190 404 
