k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 4 100 10 1.28858 0.5618 0.13476 0.045125 0.5468 0.13122 0.044093 205 34 30 33 54 60 58 91 128 170 137 
10 4 100 20 1.2886 0.7767 0.099206 0.069462 0.7716 0.099173 0.069743 94 14 16 12 12 20 29 79 107 216 401 
10 4 100 40 1.2886 0.909 0.048207 0.11528 0.906 0.048312 0.11829 39 3 4 4 4 6 11 19 65 148 697 
10 4 100 60 1.2886 0.9535 0.024672 0.16204 0.9456 0.02963 0.15833 18 3 1 2 1 2 2 11 40 99 821 
10 4 100 80 1.2886 0.9702 0.015147 0.19941 0.9672 0.014939 0.19913 11 1 0 1 2 2 2 6 20 84 871 
10 4 100 100 1.2886 0.9775 0.011836 0.24187 0.9755 0.011641 0.24311 9 1 0 0 2 0 2 2 15 70 899 
10 4 100 120 1.2886 0.983 0.0091401 0.28196 0.9803 0.0092111 0.28194 7 1 0 0 1 0 1 1 11 56 922 
10 4 100 200 1.2886 0.9891 0.0052164 0.45066 0.9901 0.0036156 0.4522 3 1 0 0 1 0 2 3 5 37 948 
10 4 100 400 1.2886 0.9954 0.0015003 0.92006 0.9957 0.00051202 0.91789 1 0 0 0 0 0 1 0 2 28 968 
10 4 100 600 1.2886 0.9968 0.00035011 1.4802 0.9968 0.00039015 1.4771 0 0 0 0 0 0 0 0 2 28 970 
10 4 100 800 1.2886 0.9974 0.00025349 2.1412 0.9969 0.00038077 2.2869 0 0 0 0 0 0 0 0 0 26 974 
10 4 100 1000 1.2886 0.9976 0.00023447 2.9335 0.9971 0.00036195 2.9442 0 0 0 0 0 0 0 0 0 24 976 
10 4 100 1200 1.2886 0.9977 0.00022493 3.8407 0.9975 0.00028403 3.8381 0 0 0 0 0 0 0 0 0 23 977 
10 4 100 1500 1.2886 0.998 0.0001962 5.3665 0.9977 0.00026497 5.3778 0 0 0 0 0 0 0 0 0 20 980 
10 4 100 2000 1.2886 0.9983 0.00016728 8.3902 0.9982 0.00019696 8.5746 0 0 0 0 0 0 0 0 0 17 983 
10 4 500 10 3.41633 0.5662 0.13191 0.050113 0.5438 0.13029 0.049276 193 39 25 45 49 57 64 90 136 165 137 
10 4 500 20 3.4163 0.7875 0.093047 0.077227 0.7769 0.09395 0.077009 81 20 9 15 11 18 40 75 101 215 415 
10 4 500 40 3.4163 0.9213 0.038615 0.1234 0.9135 0.043351 0.12305 28 4 3 2 4 7 9 23 62 145 713 
10 4 500 60 3.4163 0.9629 0.019033 0.16874 0.9588 0.020003 0.16935 14 1 1 1 2 2 3 7 30 92 847 
10 4 500 80 3.4163 0.9763 0.013382 0.21552 0.9753 0.010831 0.21478 10 1 1 1 0 1 2 2 15 64 903 
10 4 500 100 3.4163 0.9821 0.011741 0.25814 0.9812 0.0087153 0.2579 10 0 1 0 1 1 0 1 7 43 936 
10 4 500 120 3.4163 0.9874 0.0081093 0.32726 0.987 0.0056567 0.33075 7 0 0 1 0 0 1 1 5 32 953 
10 4 500 200 3.4163 0.9933 0.0045497 0.52551 0.9948 0.0018949 0.53139 3 1 0 1 0 0 0 1 1 16 977 
10 4 500 400 3.4163 0.9979 0.0013069 1.0423 0.9982 0.00025702 0.9725 1 0 0 0 0 1 0 0 0 6 992 
10 4 500 600 3.4163 0.9992 0.0001395 1.7886 0.9992 9.9459e-05 1.7524 0 0 0 0 0 0 0 1 0 5 994 
10 4 500 800 3.4163 0.9995 0.00010986 2.5878 0.9993 8.96e-05 2.3719 0 0 0 0 0 0 0 1 0 2 997 
10 4 500 1000 3.4163 0.9995 0.00010986 3.1427 0.9994 7.972e-05 2.9987 0 0 0 0 0 0 0 1 0 2 997 
10 4 500 1200 3.4163 0.9996 5.99e-05 3.8101 0.9994 7.972e-05 3.8678 0 0 0 0 0 0 0 0 1 2 997 
10 4 500 1500 3.4163 0.9997 4.996e-05 5.3463 0.9994 7.972e-05 5.3744 0 0 0 0 0 0 0 0 1 1 998 
10 4 500 2000 3.4163 0.9998 4e-05 8.4252 0.9995 4.98e-05 8.5062 0 0 0 0 0 0 0 0 1 0 999 
10 8 100 10 1.77447 0.8345 0.048048 0.073413 0.8171 0.054572 0.074137 21 7 10 17 14 17 57 81 143 257 376 
10 8 100 20 1.7745 0.9494 0.016917 0.11407 0.9422 0.018458 0.114 7 2 3 1 3 1 11 19 50 163 740 
10 8 100 40 1.7745 0.9863 0.0064488 0.18385 0.9822 0.0063495 0.22716 4 1 0 0 1 0 3 1 11 45 934 
10 8 100 60 1.7745 0.993 0.0028739 0.24994 0.9908 0.0034588 0.25151 1 1 0 0 1 0 1 1 6 26 963 
10 8 100 80 1.7745 0.9969 0.00052091 0.30787 0.9929 0.0032028 0.30632 0 0 0 0 0 0 1 0 5 17 977 
10 8 100 100 1.7745 0.9974 0.00043367 0.3647 0.9939 0.0030358 0.36519 0 0 0 0 0 0 1 0 3 16 980 
10 8 100 120 1.7745 0.9986 0.00027832 0.41887 0.9956 0.0021428 0.42174 0 0 0 0 0 0 1 0 1 8 990 
