k probes k_factor build_time recall var_recall query_time val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 1 5.71878 0.3317 0.032237 0.23878 0.3415 0.03206 0.24088 41 120 201 201 171 141 88 25 8 4 0 
10 1 2 5.7188 0.4042 0.048611 0.2614 0.4106 0.048076 0.25886 31 92 154 173 144 140 121 71 47 22 5 
10 1 3 5.7188 0.4245 0.055305 0.26262 0.4325 0.054488 0.24773 31 87 142 171 130 143 117 69 62 35 13 
10 1 4 5.7188 0.4327 0.05926 0.25314 0.4391 0.056838 0.25097 31 87 139 167 131 136 116 70 58 43 22 
10 1 5 5.7188 0.4356 0.060693 0.25669 0.4407 0.057431 0.25871 31 87 136 168 133 132 114 72 59 39 29 
10 1 8 5.7188 0.4362 0.060971 0.27163 0.4416 0.058007 0.26726 31 87 135 169 133 131 114 72 59 39 30 
10 1 10 5.7188 0.4362 0.060971 0.26424 0.4416 0.058007 0.26295 31 87 135 169 133 131 114 72 59 39 30 
10 1 12 5.7188 0.4362 0.060971 0.26998 0.4416 0.058007 0.26536 31 87 135 169 133 131 114 72 59 39 30 
10 1 20 5.7188 0.4362 0.060971 0.26667 0.4416 0.058007 0.26561 31 87 135 169 133 131 114 72 59 39 30 
10 1 25 5.7188 0.4362 0.060971 0.27254 0.4416 0.058007 0.26994 31 87 135 169 133 131 114 72 59 39 30 
10 1 50 5.7188 0.4362 0.060971 0.27571 0.4416 0.058007 0.276 31 87 135 169 133 131 114 72 59 39 30 
10 1 75 5.7188 0.4362 0.060971 0.28249 0.4416 0.058007 0.28087 31 87 135 169 133 131 114 72 59 39 30 
10 1 100 5.7188 0.4362 0.060971 0.28862 0.4416 0.058007 0.288 31 87 135 169 133 131 114 72 59 39 30 
10 1 250 5.7188 0.4362 0.060971 0.32256 0.4416 0.058007 0.32162 31 87 135 169 133 131 114 72 59 39 30 
10 1 500 5.7188 0.4362 0.060971 0.38854 0.4416 0.058007 0.38181 31 87 135 169 133 131 114 72 59 39 30 
10 2 1 5.7188 0.4105 0.028809 0.24171 0.4155 0.028398 0.23806 11 50 119 183 234 180 153 52 13 4 1 
10 2 2 5.7188 0.5447 0.039371 0.25011 0.5398 0.041938 0.24509 3 23 50 97 142 183 181 173 90 47 11 
10 2 3 5.7188 0.5938 0.045927 0.26715 0.5917 0.047368 0.26521 3 21 37 75 122 156 165 170 121 98 32 
10 2 4 5.7188 0.6189 0.050703 0.25585 0.6157 0.050194 0.25411 3 20 34 71 109 141 159 155 127 118 63 
10 2 5 5.7188 0.6292 0.051879 0.2635 0.6274 0.052061 0.25718 3 20 31 69 104 137 146 170 124 116 80 
10 2 8 5.7188 0.6395 0.053904 0.27239 0.635 0.053549 0.27456 3 19 28 70 102 135 138 161 124 120 100 
10 2 10 5.7188 0.6402 0.053938 0.28109 0.6355 0.053703 0.27855 3 19 28 69 102 136 137 160 124 122 100 
10 2 12 5.7188 0.6405 0.054024 0.29337 0.6358 0.053852 0.28832 3 19 28 69 102 136 136 160 125 121 101 
10 2 20 5.7188 0.6405 0.054024 0.30404 0.6359 0.053855 0.29735 3 19 28 69 102 136 136 160 125 121 101 
10 2 25 5.7188 0.6405 0.054024 0.30066 0.6359 0.053855 0.29992 3 19 28 69 102 136 136 160 125 121 101 
10 2 50 5.7188 0.6405 0.054024 0.31387 0.6359 0.053855 0.30843 3 19 28 69 102 136 136 160 125 121 101 
10 2 75 5.7188 0.6405 0.054024 0.31446 0.6359 0.053855 0.3128 3 19 28 69 102 136 136 160 125 121 101 
10 2 100 5.7188 0.6405 0.054024 0.32278 0.6359 0.053855 0.32137 3 19 28 69 102 136 136 160 125 121 101 
10 2 250 5.7188 0.6405 0.054024 0.3577 0.6359 0.053855 0.35755 3 19 28 69 102 136 136 160 125 121 101 
10 2 500 5.7188 0.6405 0.054024 0.42071 0.6359 0.053855 0.4189 3 19 28 69 102 136 136 160 125 121 101 
10 4 1 5.7188 0.4508 0.024344 0.24754 0.4546 0.023923 0.23949 4 16 85 148 252 220 184 69 16 5 1 
