k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.0161408 0.3532 0.063153 0.28053 906.27 0.3598 0.067752 0.27814 109 150 130 146 133 113 82 58 36 29 14 
10 1 7 0.036 1 0.0213888 0.3105 0.06024 0.1501 453.13 0.3122 0.063555 0.14736 155 155 159 146 120 97 49 54 33 27 5 
10 1 8 0.036 1 0.0318491 0.268 0.050927 0.083427 226.56 0.2619 0.049968 0.080441 179 197 161 155 103 79 47 40 28 7 4 
10 1 9 0.036 1 0.0452155 0.1923 0.034245 0.049744 113.32 0.175 0.032167 0.047735 272 228 186 128 81 46 37 15 5 2 0 
10 1 10 0.036 1 0.0634406 0.1529 0.02814 0.032276 56.675 0.1548 0.028546 0.030362 345 261 165 100 58 41 17 8 2 3 0 
10 1 11 0.036 1 0.0802539 0.127 0.019611 0.022776 28.317 0.1212 0.01967 0.02106 382 261 189 94 40 20 9 5 0 0 0 
10 1 12 0.036 1 0.0942013 0.0911 0.013004 0.017644 14.162 0.0889 0.01292 0.016043 468 307 125 64 22 10 4 0 0 0 0 
10 5 6 0.036 1 0.027745 0.8574 0.028534 1.4359 3964.6 0.8429 0.03058 1.4387 0 0 5 11 13 40 57 86 163 219 406 
10 5 6 0.036 2 0.027745 0.5654 0.074497 0.19423 471.57 0.5471 0.077009 0.18913 30 44 81 88 107 113 126 112 115 109 75 
10 5 6 0.036 3 0.027745 0.2797 0.061039 0.04917 80.795 0.2645 0.061912 0.046928 199 174 172 128 94 78 54 40 32 21 8 
10 5 6 0.036 4 0.027745 0.0886 0.021411 0.023193 13.09 0.0879 0.020284 0.021885 580 218 82 49 36 17 8 4 2 4 0 
10 5 6 0.036 5 0.027745 0.0148 0.0027837 0.018009 1.253 0.0142 0.0022606 0.017207 897 75 20 3 2 2 1 0 0 0 0 
10 5 7 0.036 1 0.0541434 0.7679 0.043643 0.76469 2034.2 0.76 0.047548 0.73635 2 8 11 28 41 60 105 142 168 217 218 
10 5 7 0.036 2 0.054143 0.4446 0.070081 0.089181 196.26 0.4333 0.075236 0.086983 49 97 121 150 115 120 116 73 72 56 31 
10 5 7 0.036 3 0.054143 0.1904 0.04215 0.026987 30.502 0.1802 0.04237 0.02529 308 228 163 126 59 40 32 19 18 3 4 
10 5 7 0.036 4 0.054143 0.056 0.011155 0.015921 4.385 0.0561 0.012295 0.015595 681 191 63 37 17 5 3 3 0 0 0 
10 5 7 0.036 5 0.054143 0.0086 0.0013674 0.013309 0.391 0.0083 0.0014626 0.012851 935 51 8 5 1 0 0 0 0 0 0 
10 5 8 0.036 1 0.0612217 0.7025 0.052316 0.38193 1032.2 0.6908 0.053108 0.37849 5 12 23 43 67 101 127 134 168 179 141 
10 5 8 0.036 2 0.061222 0.3552 0.062756 0.047656 86.228 0.3432 0.062676 0.045824 108 139 148 143 121 111 89 61 46 20 14 
10 5 8 0.036 3 0.061222 0.1335 0.028356 0.018107 12.58 0.1143 0.025091 0.016514 430 228 144 86 60 22 16 2 7 5 0 
10 5 8 0.036 4 0.061222 0.0313 0.0053156 0.013091 1.723 0.0291 0.0054086 0.01251 791 141 45 14 6 2 1 0 0 0 0 
10 5 8 0.036 5 0.061222 0.0036 0.00040745 0.010791 0.134 0.0035 0.00039815 0.010594 967 30 3 0 0 0 0 0 0 0 0 
10 5 9 0.036 1 0.0693515 0.625 0.056331 0.21472 525.88 0.6098 0.056741 0.20134 10 24 44 61 95 120 144 168 150 105 79 
10 5 9 0.036 2 0.069352 0.2684 0.050852 0.027919 35.414 0.2537 0.048255 0.026155 186 176 181 145 102 82 57 39 16 10 6 
10 5 9 0.036 3 0.069352 0.0837 0.017442 0.013903 4.572 0.0745 0.014154 0.013215 579 209 106 56 24 12 10 2 1 0 1 
10 5 9 0.036 4 0.069352 0.0156 0.0024791 0.010751 0.536 0.0153 0.0023382 0.01015 884 90 16 6 4 0 0 0 0 0 0 
10 5 9 0.036 5 0.069352 0.0015 0.00016792 0.011 0.037 0.0016 0.00017762 0.010337 986 13 1 0 0 0 0 0 0 0 0 
