k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.186102 0.3618 0.075676 0.28229 906.26 0.3749 0.082943 0.28018 119 152 148 131 104 100 73 62 48 25 38 
10 1 7 0.036 1 0.208299 0.2955 0.058809 0.15082 453.12 0.2912 0.061604 0.14791 171 174 154 137 105 93 70 43 29 16 8 
10 1 8 0.036 1 0.222587 0.2502 0.05001 0.082777 226.57 0.2376 0.050977 0.079979 227 179 172 133 87 82 55 40 16 6 3 
10 1 9 0.036 1 0.239943 0.2039 0.039114 0.050169 113.3 0.1993 0.038028 0.050802 254 236 180 130 79 53 31 17 14 5 1 
10 1 10 0.036 1 0.273951 0.1509 0.025405 0.034444 56.66 0.1556 0.028397 0.031233 335 242 210 108 52 22 19 6 5 1 0 
10 1 11 0.036 1 0.357618 0.1228 0.019279 0.026584 28.341 0.114 0.019203 0.025146 401 254 180 90 49 15 6 3 2 0 0 
10 1 12 0.036 1 0.327276 0.0873 0.012721 0.018697 14.146 0.0819 0.011874 0.017251 499 272 136 57 23 12 1 0 0 0 0 
10 5 6 0.036 1 0.280272 0.8697 0.02856 1.4409 3933.9 0.8592 0.031987 1.6134 1 1 3 11 14 36 48 79 133 224 450 
10 5 6 0.036 2 0.28027 0.6035 0.083121 0.20078 488.39 0.574 0.084468 0.19403 30 46 69 72 99 97 113 116 99 118 141 
10 5 6 0.036 3 0.28027 0.318 0.080657 0.052567 89.895 0.2895 0.076777 0.049719 205 150 148 111 96 79 64 43 32 39 33 
10 5 6 0.036 4 0.28027 0.1145 0.034414 0.025185 17.018 0.103 0.031683 0.024487 551 193 91 58 46 18 13 10 10 6 4 
10 5 6 0.036 5 0.28027 0.0233 0.004872 0.019611 2.082 0.0196 0.0047806 0.020237 854 96 32 7 5 5 0 1 0 0 0 
10 5 7 0.036 1 0.331582 0.8067 0.038504 0.91659 2022.2 0.7943 0.045003 0.88473 0 4 6 21 32 51 94 120 158 203 311 
10 5 7 0.036 2 0.33158 0.4921 0.078806 0.096476 204.31 0.4718 0.082988 0.090978 51 80 98 118 116 110 109 105 89 64 60 
10 5 7 0.036 3 0.33158 0.2173 0.057488 0.030357 33.176 0.2072 0.052701 0.02904 316 207 138 88 88 59 32 29 16 14 13 
10 5 7 0.036 4 0.33158 0.0674 0.019957 0.018095 5.313 0.0614 0.017107 0.017443 690 160 62 39 23 5 7 6 1 6 1 
10 5 7 0.036 5 0.33158 0.0122 0.0032544 0.016291 0.661 0.0127 0.0027314 0.016134 930 46 12 4 4 1 2 1 0 0 0 
10 5 8 0.036 1 0.388633 0.7298 0.051644 0.39982 1031.5 0.7208 0.054842 0.38471 4 12 21 34 55 87 118 130 172 177 190 
10 5 8 0.036 2 0.38863 0.376 0.074699 0.051392 87.088 0.3778 0.077425 0.049468 103 140 137 158 112 86 82 55 54 45 28 
10 5 8 0.036 3 0.38863 0.1371 0.03659 0.020258 12.333 0.1415 0.036024 0.019591 465 222 113 75 41 26 27 12 14 4 1 
10 5 8 0.036 4 0.38863 0.0358 0.0088272 0.01513 1.705 0.0349 0.0077397 0.014618 802 119 45 9 12 8 3 1 0 1 0 
10 5 8 0.036 5 0.38863 0.0052 0.00087383 0.01362 0.172 0.0044 0.00082146 0.013352 961 30 7 0 2 0 0 0 0 0 0 
10 5 9 0.036 1 0.377345 0.6291 0.057501 0.25235 526.79 0.6292 0.055703 0.24854 7 34 35 63 91 117 153 150 151 117 82 
10 5 9 0.036 2 0.37735 0.2714 0.055157 0.033735 34.95 0.2708 0.05248 0.031759 192 178 172 141 115 65 54 35 26 13 9 
10 5 9 0.036 3 0.37735 0.082 0.018114 0.017106 4.179 0.0814 0.017171 0.016281 587 218 88 59 20 14 4 6 3 1 0 
10 5 9 0.036 4 0.37735 0.0171 0.0028605 0.013626 0.432 0.0177 0.0037204 0.013183 874 97 20 5 2 1 1 0 0 0 0 
10 5 9 0.036 5 0.37735 0.0026 0.00037361 0.013395 0.044 0.0015 0.00018794 0.01298 979 17 3 1 0 0 0 0 0 0 0 
10 5 10 0.036 1 0.405561 0.5295 0.057297 0.12811 267.06 0.5309 0.058314 0.11478 15 47 76 99 147 147 143 123 102 69 32 
10 5 10 0.036 2 0.40556 0.1767 0.034542 0.022326 14.465 0.1873 0.035164 0.020682 311 235 181 105 79 41 21 15 6 5 1 
10 5 10 0.036 3 0.40556 0.0437 0.008669 0.015247 1.535 0.0427 0.0071739 0.01403 732 171 62 16 9 5 4 0 0 1 0 
10 5 10 0.036 4 0.40556 0.008 0.0011772 0.013408 0.157 0.0067 0.00096608 0.012933 938 48 10 4 0 0 0 0 0 0 0 
10 5 10 0.036 5 0.40556 0.0003 2.994e-05 0.013556 0.009 0.0004 3.988e-05 0.012923 997 3 0 0 0 0 0 0 0 0 0 
10 5 11 0.036 1 0.454489 0.436 0.051616 0.080704 135.02 0.4307 0.053661 0.068366 37 68 110 169 153 151 139 77 51 33 12 
10 5 11 0.036 2 0.45449 0.1192 0.020612 0.018883 6.023 0.1157 0.019963 0.017398 411 285 148 78 38 23 10 6 1 0 0 
10 5 11 0.036 3 0.45449 0.0234 0.0032757 0.014449 0.535 0.0215 0.0029707 0.013882 823 135 29 11 2 0 0 0 0 0 0 
10 5 11 0.036 4 0.45449 0.0015 0.00016792 0.013695 0.026 0.0025 0.00026401 0.013372 986 13 1 0 0 0 0 0 0 0 0 
10 5 11 0.036 5 0.45449 0.0001 1e-05 0.013684 0.001 0.0001 1e-05 0.013322 999 1 0 0 0 0 0 0 0 0 0 
10 5 12 0.036 1 0.49849 0.3242 0.039574 0.047244 68.227 0.3298 0.040853 0.045224 69 137 189 181 169 123 67 41 13 10 1 
10 5 12 0.036 2 0.49849 0.0637 0.008681 0.017976 2.355 0.0653 0.0094153 0.016312 585 267 93 39 13 3 0 0 0 0 0 
10 5 12 0.036 3 0.49849 0.0086 0.0010671 0.014675 0.159 0.0082 0.0010138 0.014431 926 64 8 2 0 0 0 0 0 0 0 
10 5 12 0.036 4 0.49849 0.001 9.9099e-05 0.014143 0.014 0.0014 0.00013818 0.013557 990 10 0 0 0 0 0 0 0 0 0 
10 5 12 0.036 5 0.49849 0.0003 2.994e-05 0.014031 0.003 0.0001 1e-05 0.013512 997 3 0 0 0 0 0 0 0 0 0 
10 10 6 0.036 1 0.409989 0.9716 0.0046981 2.5915 6920.3 0.9698 0.0053533 2.7906 0 0 0 0 0 3 3 17 34 138 805 
10 10 6 0.036 2 0.40999 0.8797 0.028166 0.6626 1441.6 0.8721 0.030542 0.65415 0 0 7 5 23 26 45 76 125 186 507 
10 10 6 0.036 3 0.40999 0.7227 0.070225 0.22475 442.96 0.7086 0.07374 0.21915 8 27 42 44 57 60 96 123 134 143 266 
10 10 6 0.036 4 0.40999 0.529 0.095575 0.099964 163.82 0.513 0.099931 0.096491 61 79 83 101 98 111 88 97 78 76 128 
