k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train n_subsample val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1e-07 6.14638 0.8184 0.04871 0.21151 0 0.0029458 0.016317 0.19203 512.81 58000 100 0.8123 0.052091 0.2087 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.375e-07 6.1464 0.8184 0.04871 0.21632 0 0.0026546 0.017622 0.19575 512.81 58000 100 0.8123 0.052091 0.2102 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.75e-07 6.1464 0.8184 0.04871 0.25348 0 0.0032223 0.022269 0.22753 512.81 58000 100 0.8123 0.052091 0.22362 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 2.5e-07 6.1464 0.8184 0.04871 0.22463 0 0.0031202 0.014855 0.20633 512.81 58000 100 0.8123 0.052091 0.22346 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 3.75e-07 6.1464 0.8184 0.04871 0.22785 0 0.0030515 0.016822 0.20766 512.81 58000 100 0.8123 0.052091 0.22678 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 5e-07 6.1464 0.8184 0.04871 0.22921 0 0.0031552 0.016655 0.20907 512.81 58000 100 0.8123 0.052091 0.23269 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 7.5e-07 6.1464 0.8184 0.04871 0.21394 0 0.0034106 0.015569 0.19462 512.81 58000 100 0.8123 0.052091 0.21203 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1e-06 6.1464 0.8184 0.04871 0.21601 0 0.0031115 0.017018 0.19555 512.81 58000 100 0.8123 0.052091 0.21516 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.375e-06 6.1464 0.8184 0.04871 0.21281 0 0.003077 0.015066 0.19435 512.81 58000 100 0.8123 0.052091 0.2119 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.75e-06 6.1464 0.8184 0.04871 0.21593 0 0.0030745 0.01802 0.19452 512.81 58000 100 0.8123 0.052091 0.21263 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 2.5e-06 6.1464 0.8184 0.04871 0.21601 0 0.0030583 0.016919 0.19571 512.81 58000 100 0.8123 0.052091 0.21461 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 3.75e-06 6.1464 0.8184 0.04871 0.22242 0 0.0031567 0.016927 0.20198 512.81 58000 100 0.8123 0.052091 0.23696 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 5e-06 6.1464 0.8184 0.04871 0.22037 0 0.0029168 0.015413 0.20173 512.81 58000 100 0.8123 0.052091 0.22429 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 7.5e-06 6.1464 0.8184 0.04871 0.22157 0 0.0028737 0.016536 0.20187 512.81 58000 100 0.8123 0.052091 0.21902 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1e-05 6.1464 0.8184 0.04871 0.22156 0 0.0027503 0.015449 0.20305 512.81 58000 100 0.8123 0.052091 0.21797 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.375e-05 6.1464 0.8184 0.04871 0.22122 0 0.0027103 0.015412 0.2028 512.81 58000 100 0.8123 0.052091 0.21807 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 1.75e-05 6.1464 0.8184 0.04871 0.22034 0 0.0027328 0.015416 0.20188 512.81 58000 100 0.8123 0.052091 0.21881 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 2.5e-05 6.1464 0.8184 0.04871 0.221 0 0.0026502 0.01539 0.20267 512.81 58000 100 0.8123 0.052091 0.24545 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 3.75e-05 6.1464 0.8184 0.04871 0.20183 0 0.0027078 0.020304 0.17851 512.81 58000 100 0.8123 0.052091 0.19589 7 10 14 24 29 35 67 97 125 218 374 
10 5 12 0.036 10 1 5e-05 6.1464 0.8184 0.04871 0.19576 0 0.0025047 0.014649 0.17831 512.81 58000 100 0.8123 0.052091 0.19414 7 10 14 24 29 35 67 97 125 218 374 
