k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 5 12 0.036 10 1 1 20.7999 0.7982 0.049066 0.14595 0 0.0033581 0.015048 0.12735 337.18 58000 0.7831 0.056121 0.14423 8 3 21 26 31 51 72 107 148 215 318 
10 5 12 0.036 10 1 2 20.8 0.6348 0.076866 0.056377 0 0.0023638 0.013528 0.040206 98.684 58000 0.6143 0.08423 0.055703 33 30 57 59 76 95 116 119 139 153 123 
10 5 12 0.036 10 1 3 20.8 0.4992 0.084944 0.035583 0 0.0020566 0.012724 0.020529 46.178 58000 0.4853 0.088763 0.034878 77 81 72 102 100 115 118 92 106 84 53 
10 5 12 0.036 10 1 4 20.8 0.3883 0.083557 0.026473 0 0.0018584 0.012272 0.01203 25.028 58000 0.3789 0.083168 0.02593 146 121 112 111 109 98 83 87 57 44 32 
10 5 12 0.036 10 1 5 20.8 0.3034 0.073742 0.021452 0 0.001691 0.011871 0.0075532 14.678 58000 0.2885 0.072771 0.020816 223 156 130 110 98 79 67 54 38 33 12 
10 5 12 0.036 10 1 6 20.8 0.2373 0.063502 0.018524 0 0.0016142 0.011505 0.0050766 9.088 58000 0.2238 0.060634 0.017869 318 168 133 103 79 56 53 37 25 23 5 
10 5 12 0.036 10 1 7 20.8 0.1792 0.051979 0.016297 0 0.0015157 0.011034 0.0034385 5.829 58000 0.1701 0.049325 0.015721 429 175 112 83 64 43 34 27 19 12 2 
10 5 12 0.036 10 1 8 20.8 0.1407 0.042456 0.014962 0 0.0014149 0.010942 0.0023252 3.888 58000 0.1312 0.038865 0.014314 522 158 96 70 60 27 29 18 10 8 2 
10 5 12 0.036 10 1 9 20.8 0.1083 0.033855 0.013842 0 0.0013733 0.010599 0.0016094 2.632 58000 0.101 0.03083 0.013409 607 144 81 52 52 20 18 11 9 4 2 
10 5 12 0.036 10 1 10 20.8 0.0839 0.026437 0.013327 0 0.0014108 0.010577 0.0011021 1.84 58000 0.0755 0.023073 0.01285 682 122 64 48 36 15 16 10 4 2 1 
10 5 12 0.036 10 1 11 20.8 0.063 0.019951 0.012396 0 0.0012699 0.010104 0.00080024 1.277 58000 0.0587 0.018122 0.012029 748 105 52 35 22 17 8 9 4 0 0 
10 5 12 0.036 10 1 12 20.8 0.049 0.015154 0.011895 0 0.0012276 0.0098913 0.00058586 0.915 58000 0.0453 0.013732 0.011685 791 95 43 27 17 12 6 8 1 0 0 
10 5 12 0.036 10 1 13 20.8 0.0364 0.011286 0.011639 0 0.001208 0.0098219 0.00042609 0.639 58000 0.033 0.0097407 0.011425 842 68 41 19 9 11 4 6 0 0 0 
10 5 12 0.036 10 1 14 20.8 0.0266 0.0080605 0.011427 0 0.0012047 0.0097325 0.00031212 0.452 58000 0.0262 0.0076412 0.011265 879 58 26 15 8 6 7 1 0 0 0 
10 5 12 0.036 10 1 15 20.8 0.0219 0.0066971 0.011306 0 0.0011829 0.0096972 0.00025257 0.34 58000 0.0201 0.0058518 0.011144 901 48 18 14 8 6 4 1 0 0 0 
10 5 12 0.036 10 1 16 20.8 0.0165 0.0049227 0.011246 0 0.0011757 0.0096998 0.00019873 0.249 58000 0.0153 0.0043403 0.011041 923 39 13 11 6 5 3 0 0 0 0 
10 5 12 0.036 10 1 17 20.8 0.0114 0.002973 0.011229 0 0.0011717 0.0097202 0.00016048 0.178 58000 0.0113 0.0031455 0.010985 941 32 9 12 3 2 1 0 0 0 0 
10 5 12 0.036 10 1 18 20.8 0.0099 0.0024945 0.011376 0 0.001176 0.0098847 0.00014634 0.146 58000 0.0081 0.0021666 0.010934 948 27 11 9 2 3 0 0 0 0 0 
10 5 12 0.036 10 1 19 20.8 0.0086 0.0021682 0.011236 0 0.0011751 0.0097717 0.00012305 0.116 58000 0.0065 0.0015093 0.010902 955 23 10 7 3 2 0 0 0 0 0 
10 5 12 0.036 10 1 20 20.8 0.0058 0.0013677 0.011064 0 0.0011774 0.0096227 9.7895e-05 0.075 58000 0.0052 0.0011942 0.01087 966 20 9 2 1 2 0 0 0 0 0 
10 5 12 0.036 10 1 22 20.8 0.0029 0.00058217 0.011034 0 0.0011633 0.0096352 6.5588e-05 0.035 58000 0.0028 0.00061277 0.010846 981 13 3 2 1 0 0 0 0 0 0 
