k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 9 0.036 1 1 1 0.055056 0.2004 0.038298 0.04967 0 0.00069566 0.0099239 0.038823 113.32 58000 0.1934 0.034591 0.048142 268 225 175 138 77 51 33 17 11 3 2 
10 1 9 0.036 1 1 2 0.055056 0 0 0.01002 0 0.00067014 0.0090283 3.0721e-05 0 58000 0 0 0.0095771 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 3 0.055056 0 0 0.0098742 0 0.0002396 0.0093534 3.2018e-05 0 58000 0 0 0.0098621 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 4 0.055056 0 0 0.0093408 0 0.00025542 0.0088369 3.1732e-05 0 58000 0 0 0.0093266 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 5 0.055056 0 0 0.0096879 0 0.0002414 0.009198 3.0871e-05 0 58000 0 0 0.0095195 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 6 0.055056 0 0 0.0089983 0 0.00024786 0.008486 3.6053e-05 0 58000 0 0 0.0091309 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 7 0.055056 0 0 0.0093672 0 0.00024944 0.0088536 3.1794e-05 0 58000 0 0 0.0097594 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 8 0.055056 0 0 0.0088422 0 0.00023924 0.0083456 3.0919e-05 0 58000 0 0 0.009475 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 9 0.055056 0 0 0.0093127 0 0.00024436 0.0088167 3.3123e-05 0 58000 0 0 0.0096629 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 10 0.055056 0 0 0.0091213 0 0.00024293 0.0086173 3.0095e-05 0 58000 0 0 0.0096282 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 11 0.055056 0 0 0.0095307 0 0.00024885 0.0090241 3.1672e-05 0 58000 0 0 0.0096028 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 12 0.055056 0 0 0.0092185 0 0.00023897 0.0086731 3.5386e-05 0 58000 0 0 0.0093957 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 13 0.055056 0 0 0.0091045 0 0.00024474 0.0085488 3.1573e-05 0 58000 0 0 0.0092543 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 14 0.055056 0 0 0.0091028 0 0.00024611 0.0085976 3.2535e-05 0 58000 0 0 0.0093205 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 15 0.055056 0 0 0.0092394 0 0.00023785 0.0087424 3.0798e-05 0 58000 0 0 0.0092842 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 16 0.055056 0 0 0.0093849 0 0.00023857 0.0088892 3.2722e-05 0 58000 0 0 0.0096696 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 17 0.055056 0 0 0.0089275 0 0.00024476 0.0084321 3.1715e-05 0 58000 0 0 0.0092403 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 18 0.055056 0 0 0.0094562 0 0.00024857 0.0089452 3.5137e-05 0 58000 0 0 0.0095984 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 19 0.055056 0 0 0.0097268 0 0.00025183 0.0092088 2.9703e-05 0 58000 0 0 0.0092166 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 20 0.055056 0 0 0.0097675 0 0.00024202 0.0092226 3.3434e-05 0 58000 0 0 0.009548 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 22 0.055056 0 0 0.0094721 0 0.00025404 0.0089615 2.9848e-05 0 58000 0 0 0.0092384 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 25 0.055056 0 0 0.0095798 0 0.00024347 0.0090827 3.2821e-05 0 58000 0 0 0.0097348 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 30 0.055056 0 0 0.0094845 0 0.00025308 0.0089348 3.2965e-05 0 58000 0 0 0.0095213 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 35 0.055056 0 0 0.0095051 0 0.00023218 0.0089761 3.5336e-05 0 58000 0 0 0.0096657 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 40 0.055056 0 0 0.01002 0 0.00024717 0.0095036 3.0802e-05 0 58000 0 0 0.0094955 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 50 0.055056 0 0 0.010142 0 0.00024049 0.0096261 3.4825e-05 0 58000 0 0 0.0094794 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 60 0.055056 0 0 0.0098753 0 0.00024652 0.009351 3.2427e-05 0 58000 0 0 0.011181 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 70 0.055056 0 0 0.0093799 0 0.00023481 0.0088838 3.3433e-05 0 58000 0 0 0.0097172 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 80 0.055056 0 0 0.0096797 0 0.00024357 0.0091779 3.0891e-05 0 58000 0 0 0.0098714 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 90 0.055056 0 0 0.0094451 0 0.00022693 0.0089623 3.4627e-05 0 58000 0 0 0.0093608 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 100 0.055056 0 0 0.0098054 0 0.00023557 0.0093088 3.1915e-05 0 58000 0 0 0.010026 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 125 0.055056 0 0 0.0086762 0 0.00024346 0.0081751 3.2958e-05 0 58000 0 0 0.0094741 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 150 0.055056 0 0 0.010149 0 0.00024229 0.0096444 3.3034e-05 0 58000 0 0 0.010116 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 200 0.055056 0 0 0.0089741 0 0.00023707 0.0084765 3.3043e-05 0 58000 0 0 0.0093918 1000 0 0 0 0 0 0 0 0 0 0 
