k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 9 0.036 1 1 1 0.278597 0.1939 0.034868 0.050921 0 0.0014026 0.010482 0.0388 113.28 58000 0.1896 0.03789 0.049472 264 240 175 134 87 40 36 13 7 4 0 
10 1 9 0.036 1 1 2 0.2786 0 0 0.010066 0 0.0011399 0.0087192 3.5386e-05 0 58000 0 0 0.0097335 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 3 0.2786 0 0 0.0091978 0 0.00073304 0.0082638 3.4261e-05 0 58000 0 0 0.0095372 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 4 0.2786 0 0 0.00927 0 0.00073313 0.0083298 3.4248e-05 0 58000 0 0 0.0095284 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 5 0.2786 0 0 0.0092829 0 0.00075032 0.0083304 3.4271e-05 0 58000 0 0 0.0095715 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 6 0.2786 0 0 0.0091452 0 0.00073579 0.0082077 3.4081e-05 0 58000 0 0 0.0093391 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 7 0.2786 0 0 0.0092739 0 0.00074473 0.0083267 3.4481e-05 0 58000 0 0 0.0095164 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 8 0.2786 0 0 0.0090063 0 0.00073142 0.0080773 3.3592e-05 0 58000 0 0 0.0095226 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 9 0.2786 0 0 0.0088765 0 0.00072445 0.0079501 3.424e-05 0 58000 0 0 0.0093406 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 10 0.2786 0 0 0.0090043 0 0.00072488 0.0080765 3.4005e-05 0 58000 0 0 0.0093469 1000 0 0 0 0 0 0 0 0 0 0 
