k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 9 0.036 1 1 1 0.0850182 0.1158 0.021732 0.057769 0.00085151 0.000142 0.012693 0.043741 113.27 58000 0.1115 0.020899 0.048388 446 251 156 62 44 26 8 3 2 2 0 
10 1 9 0.036 1 1 2 0.085018 0 0 0.0096937 0.00073761 0.00010092 0.0085993 3.3328e-05 0 58000 0 0 0.0098011 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 3 0.085018 0 0 0.0092787 0.00043179 0.00010728 0.0084901 3.3474e-05 0 58000 0 0 0.0094976 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 4 0.085018 0 0 0.0087261 0.00042358 9.2875e-05 0.0079633 3.6701e-05 0 58000 0 0 0.0094653 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 5 0.085018 0 0 0.0089842 0.00041416 9.0887e-05 0.0082329 3.2561e-05 0 58000 0 0 0.0094758 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 6 0.085018 0 0 0.0091626 0.00042489 9.2127e-05 0.0083986 3.2661e-05 0 58000 0 0 0.0095248 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 7 0.085018 0 0 0.0091613 0.00042212 9.2422e-05 0.0083977 3.2046e-05 0 58000 0 0 0.0095116 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 8 0.085018 0 0 0.0091807 0.00042761 9.2906e-05 0.0084044 3.2448e-05 0 58000 0 0 0.0095086 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 9 0.085018 0 0 0.0091233 0.00041997 9.5231e-05 0.0083527 3.1941e-05 0 58000 0 0 0.0095118 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 10 0.085018 0 0 0.0091521 0.00042526 9.2938e-05 0.0083827 3.2759e-05 0 58000 0 0 0.0095112 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 11 0.085018 0 0 0.0092433 0.00042097 9.2097e-05 0.0084868 3.2339e-05 0 58000 0 0 0.0095113 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 12 0.085018 0 0 0.0091525 0.00043036 9.251e-05 0.0083683 3.2511e-05 0 58000 0 0 0.0095122 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 13 0.085018 0 0 0.0091256 0.00041992 9.2151e-05 0.0083661 3.2528e-05 0 58000 0 0 0.009515 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 14 0.085018 0 0 0.0091492 0.00043088 9.1843e-05 0.008384 3.2249e-05 0 58000 0 0 0.0095217 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 15 0.085018 0 0 0.0091788 0.00042148 9.2801e-05 0.00841 3.2461e-05 0 58000 0 0 0.0095138 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 16 0.085018 0 0 0.0092065 0.00042187 9.2371e-05 0.0084438 3.2863e-05 0 58000 0 0 0.0095218 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 17 0.085018 0 0 0.0092333 0.00042448 9.2887e-05 0.008468 3.2558e-05 0 58000 0 0 0.0095038 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 18 0.085018 0 0 0.0091957 0.00042159 9.1898e-05 0.008428 3.2507e-05 0 58000 0 0 0.0095208 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 19 0.085018 0 0 0.0091787 0.00042526 9.2319e-05 0.0084141 3.2036e-05 0 58000 0 0 0.0095041 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 20 0.085018 0 0 0.0092573 0.00042726 9.6758e-05 0.0084848 3.2525e-05 0 58000 0 0 0.0095217 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 22 0.085018 0 0 0.0092261 0.00042339 9.7314e-05 0.0084549 3.256e-05 0 58000 0 0 0.0095801 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 25 0.085018 0 0 0.009125 0.00041958 9.1963e-05 0.0083677 3.2156e-05 0 58000 0 0 0.0095304 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 30 0.085018 0 0 0.0091234 0.00042192 9.2009e-05 0.008358 3.2442e-05 0 58000 0 0 0.0099764 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 35 0.085018 0 0 0.0093415 0.00042694 0.00010871 0.0085534 3.3023e-05 0 58000 0 0 0.0095182 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 40 0.085018 0 0 0.0094917 0.00044428 9.5116e-05 0.0086972 3.3142e-05 0 58000 0 0 0.0095092 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 50 0.085018 0 0 0.009183 0.00042123 9.2706e-05 0.0084271 3.2343e-05 0 58000 0 0 0.0096413 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 60 0.085018 0 0 0.0091489 0.00042641 9.2455e-05 0.0083735 3.2118e-05 0 58000 0 0 0.0095189 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 70 0.085018 0 0 0.0091941 0.00042059 9.2286e-05 0.0084316 3.2234e-05 0 58000 0 0 0.0095162 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 80 0.085018 0 0 0.0091987 0.00045252 9.292e-05 0.0083929 3.2202e-05 0 58000 0 0 0.0095176 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 90 0.085018 0 0 0.00912 0.00043524 9.1807e-05 0.0083432 3.2295e-05 0 58000 0 0 0.0095146 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 100 0.085018 0 0 0.0092555 0.00041989 9.2505e-05 0.0084881 3.207e-05 0 58000 0 0 0.0095143 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 125 0.085018 0 0 0.0091194 0.00042421 9.6624e-05 0.0083573 3.221e-05 0 58000 0 0 0.0095122 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 150 0.085018 0 0 0.0092525 0.00042254 9.2919e-05 0.0084874 3.2478e-05 0 58000 0 0 0.0095137 1000 0 0 0 0 0 0 0 0 0 0 
10 1 9 0.036 1 1 200 0.085018 0 0 0.0091691 0.00042104 9.2971e-05 0.0084131 3.2188e-05 0 58000 0 0 0.0095099 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 1 0.0599894 0.0808 0.014186 0.034059 0.00077847 0.00016106 0.010307 0.022527 56.635 58000 0.083 0.013505 0.031976 546 260 102 55 17 15 0 4 1 0 0 
10 1 10 0.036 1 1 2 0.059989 0 0 0.010535 0.0007144 0.00012076 0.0094492 2.6975e-05 0 58000 0 0 0.0097913 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 3 0.059989 0 0 0.0098818 0.0004339 0.0001122 0.0090845 3.2273e-05 0 58000 0 0 0.0095392 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 4 0.059989 0 0 0.010004 0.00043464 0.00011458 0.0091967 2.8209e-05 0 58000 0 0 0.0095705 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 5 0.059989 0 0 0.010234 0.00043722 0.00011669 0.0094237 2.6707e-05 0 58000 0 0 0.0094962 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 6 0.059989 0 0 0.010126 0.00044431 0.00011714 0.009311 2.6352e-05 0 58000 0 0 0.0095052 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 7 0.059989 0 0 0.010154 0.00043512 0.00011665 0.0093448 2.6194e-05 0 58000 0 0 0.0094974 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 8 0.059989 0 0 0.010353 0.00044274 0.00012865 0.0095067 2.7167e-05 0 58000 0 0 0.0095183 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 9 0.059989 0 0 0.010212 0.00043913 0.00011656 0.009401 2.7037e-05 0 58000 0 0 0.0094888 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 10 0.059989 0 0 0.010175 0.00043762 0.00011654 0.0093554 2.6701e-05 0 58000 0 0 0.00953 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 11 0.059989 0 0 0.010377 0.0004456 0.00011631 0.0095665 2.6527e-05 0 58000 0 0 0.009707 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 12 0.059989 0 0 0.010347 0.00044083 0.00011586 0.0095365 2.6542e-05 0 58000 0 0 0.0097147 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 13 0.059989 0 0 0.010101 0.00043331 0.00011546 0.0093052 2.6422e-05 0 58000 0 0 0.0095009 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 14 0.059989 0 0 0.010165 0.00043856 0.00011593 0.0093578 2.6798e-05 0 58000 0 0 0.0095249 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 15 0.059989 0 0 0.010236 0.00043578 0.00011888 0.0094367 2.6336e-05 0 58000 0 0 0.0094886 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 16 0.059989 0 0 0.010143 0.00043302 0.00011595 0.009336 2.6873e-05 0 58000 0 0 0.0095008 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 17 0.059989 0 0 0.010115 0.00043581 0.00012672 0.0093047 2.6183e-05 0 58000 0 0 0.0094952 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 18 0.059989 0 0 0.010158 0.00043262 0.00011668 0.0093388 2.6797e-05 0 58000 0 0 0.0095051 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 19 0.059989 0 0 0.010362 0.00044176 0.00011625 0.0095488 2.6544e-05 0 58000 0 0 0.0097141 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 20 0.059989 0 0 0.010206 0.00043261 0.00012592 0.0093878 2.6207e-05 0 58000 0 0 0.0095208 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 22 0.059989 0 0 0.010098 0.00043095 0.00011558 0.009306 2.6227e-05 0 58000 0 0 0.0094979 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 25 0.059989 0 0 0.010221 0.0004359 0.00011511 0.0094138 2.6212e-05 0 58000 0 0 0.0095126 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 30 0.059989 0 0 0.010332 0.0004528 0.00011696 0.0095135 2.6375e-05 0 58000 0 0 0.0096992 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 35 0.059989 0 0 0.0104 0.00044293 0.00011631 0.0095884 2.6592e-05 0 58000 0 0 0.0097045 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 40 0.059989 0 0 0.010128 0.00043944 0.00011617 0.0093254 2.635e-05 0 58000 0 0 0.0094964 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 50 0.059989 0 0 0.010387 0.00044642 0.00011609 0.00957 2.6618e-05 0 58000 0 0 0.0097074 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 60 0.059989 0 0 0.010341 0.0004456 0.0001159 0.0095243 2.6502e-05 0 58000 0 0 0.0097139 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 70 0.059989 0 0 0.010124 0.00043596 0.00011812 0.0093126 2.6693e-05 0 58000 0 0 0.0095166 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 80 0.059989 0 0 0.01054 0.0004486 0.00012412 0.0097096 2.7481e-05 0 58000 0 0 0.010304 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 90 0.059989 0 0 0.010114 0.00043087 0.00011564 0.0093092 2.6527e-05 0 58000 0 0 0.0095177 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 100 0.059989 0 0 0.010115 0.00043702 0.00011589 0.0093164 2.633e-05 0 58000 0 0 0.0094879 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 125 0.059989 0 0 0.010165 0.00044168 0.00011603 0.0093513 2.623e-05 0 58000 0 0 0.0095151 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 150 0.059989 0 0 0.010334 0.00044653 0.00011655 0.0095194 2.6952e-05 0 58000 0 0 0.0096952 1000 0 0 0 0 0 0 0 0 0 0 
10 1 10 0.036 1 1 200 0.059989 0 0 0.010218 0.00043469 0.00011637 0.0094084 2.6709e-05 0 58000 0 0 0.0095132 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 1 0.0590115 0.0632 0.010736 0.023182 0.00076068 0.00015341 0.0098581 0.012143 28.317 58000 0.0595 0.0095993 0.022275 615 243 80 37 12 10 1 2 0 0 0 
10 1 11 0.036 1 1 2 0.059012 0 0 0.0091636 0.00067333 0.00012736 0.0081191 3.0858e-05 0 58000 0 0 0.0096967 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 3 0.059012 0 0 0.0085108 0.00041137 0.00012305 0.0077428 2.8143e-05 0 58000 0 0 0.009478 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 4 0.059012 0 0 0.0085684 0.00041913 0.00012602 0.0077852 2.8091e-05 0 58000 0 0 0.0094465 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 5 0.059012 0 0 0.0085523 0.00041247 0.00012376 0.0077848 2.7861e-05 0 58000 0 0 0.0094735 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 6 0.059012 0 0 0.0088688 0.0004236 0.00012461 0.0080801 3.1489e-05 0 58000 0 0 0.0095054 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 7 0.059012 0 0 0.0086959 0.00042389 0.00012783 0.0079118 2.839e-05 0 58000 0 0 0.0096369 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 8 0.059012 0 0 0.0086825 0.00041955 0.00012226 0.007908 2.8238e-05 0 58000 0 0 0.0096251 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 9 0.059012 0 0 0.0087229 0.00041934 0.00012459 0.0079386 2.8282e-05 0 58000 0 0 0.0094641 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 10 0.059012 0 0 0.008702 0.0004198 0.00012321 0.0079204 2.8671e-05 0 58000 0 0 0.0096356 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 11 0.059012 0 0 0.0085637 0.00041365 0.00012381 0.0077965 2.8271e-05 0 58000 0 0 0.0094715 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 12 0.059012 0 0 0.0086076 0.00041583 0.00012218 0.0078313 2.8021e-05 0 58000 0 0 0.0094522 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 13 0.059012 0 0 0.008708 0.00041987 0.00012316 0.0079326 2.8386e-05 0 58000 0 0 0.0096444 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 14 0.059012 0 0 0.0086882 0.00041821 0.00012313 0.0079098 2.8243e-05 0 58000 0 0 0.0096317 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 15 0.059012 0 0 0.0085293 0.00041191 0.00012265 0.0077625 2.7903e-05 0 58000 0 0 0.0094658 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 16 0.059012 0 0 0.0085657 0.00041338 0.00012217 0.0077995 2.8098e-05 0 58000 0 0 0.0094663 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 17 0.059012 0 0 0.0085016 0.00041655 0.00012253 0.0077267 2.7777e-05 0 58000 0 0 0.0094635 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 18 0.059012 0 0 0.0085623 0.00041728 0.00012259 0.0077872 2.8009e-05 0 58000 0 0 0.0094467 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 19 0.059012 0 0 0.0086459 0.00041718 0.00012279 0.007875 2.8625e-05 0 58000 0 0 0.0096476 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 20 0.059012 0 0 0.0085737 0.00041412 0.00012144 0.0078003 2.8098e-05 0 58000 0 0 0.0094606 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 22 0.059012 0 0 0.008511 0.00041106 0.00012203 0.0077487 2.8169e-05 0 58000 0 0 0.0094584 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 25 0.059012 0 0 0.0086844 0.00041854 0.00012239 0.0079054 2.8215e-05 0 58000 0 0 0.0096301 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 30 0.059012 0 0 0.0085496 0.00041384 0.0001235 0.0077804 2.796e-05 0 58000 0 0 0.0094618 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 35 0.059012 0 0 0.0085074 0.00041113 0.00012052 0.0077458 2.7849e-05 0 58000 0 0 0.0094633 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 40 0.059012 0 0 0.0086902 0.00042282 0.00012724 0.0079029 2.8065e-05 0 58000 0 0 0.0096419 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 50 0.059012 0 0 0.0087417 0.00042143 0.00012354 0.0079596 2.834e-05 0 58000 0 0 0.0096339 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 60 0.059012 0 0 0.0085271 0.00041495 0.00012767 0.0077493 2.8246e-05 0 58000 0 0 0.0094635 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 70 0.059012 0 0 0.0089267 0.00042765 0.00012486 0.0081309 2.8762e-05 0 58000 0 0 0.010418 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 80 0.059012 0 0 0.0086379 0.00042238 0.00012431 0.0078594 2.8221e-05 0 58000 0 0 0.0094733 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 90 0.059012 0 0 0.0087555 0.00042125 0.00012394 0.007971 2.8321e-05 0 58000 0 0 0.0096272 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 100 0.059012 0 0 0.0085099 0.00041685 0.00012258 0.0077361 2.8e-05 0 58000 0 0 0.0094555 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 125 0.059012 0 0 0.0086929 0.00042423 0.00012245 0.0079084 2.8379e-05 0 58000 0 0 0.0096329 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 150 0.059012 0 0 0.008501 0.00041727 0.00012192 0.0077328 2.8156e-05 0 58000 0 0 0.0094588 1000 0 0 0 0 0 0 0 0 0 0 
10 1 11 0.036 1 1 200 0.059012 0 0 0.0085111 0.00041103 0.00012134 0.0077484 2.8109e-05 0 58000 0 0 0.0094587 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 1 0.0687785 0.0299 0.0036396 0.015342 0.00083796 0.00020091 0.0097321 0.004235 7.089 58000 0.0299 0.0037998 0.015973 763 189 35 12 1 0 0 0 0 0 0 
10 1 13 0.036 1 1 2 0.068779 0 0 0.0099451 0.00071135 0.00020085 0.0087963 2.7349e-05 0 58000 0 0 0.0090655 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 3 0.068779 0 0 0.0090309 0.00047847 0.00018129 0.0081319 2.6145e-05 0 58000 0 0 0.0086565 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 4 0.068779 0 0 0.0091856 0.00049656 0.00018216 0.0082753 2.6336e-05 0 58000 0 0 0.0087662 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 5 0.068779 0 0 0.0097913 0.00051152 0.00018915 0.0088443 2.5961e-05 0 58000 0 0 0.0088156 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 6 0.068779 0 0 0.0089462 0.00048115 0.00017865 0.0080623 2.5442e-05 0 58000 0 0 0.0086576 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 7 0.068779 0 0 0.0089908 0.00047443 0.00017947 0.00812 2.5582e-05 0 58000 0 0 0.008644 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 8 0.068779 0 0 0.0093356 0.00048249 0.00019684 0.0084341 2.607e-05 0 58000 0 0 0.0089721 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 9 0.068779 0 0 0.0093798 0.00053136 0.0001874 0.0084401 2.6112e-05 0 58000 0 0 0.0088153 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 10 0.068779 0 0 0.0091809 0.00051587 0.00018195 0.008263 2.6014e-05 0 58000 0 0 0.0086868 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 11 0.068779 0 0 0.0093716 0.00048291 0.00018992 0.0084497 2.6206e-05 0 58000 0 0 0.0086471 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 12 0.068779 0 0 0.009241 0.00049338 0.00018657 0.0083314 2.6179e-05 0 58000 0 0 0.0086561 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 13 0.068779 0 0 0.0094431 0.00050504 0.00018896 0.0085225 2.6629e-05 0 58000 0 0 0.0087326 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 14 0.068779 0 0 0.0093306 0.00048104 0.00018384 0.0084328 2.6408e-05 0 58000 0 0 0.0086508 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 15 0.068779 0 0 0.0095764 0.00049917 0.00018435 0.0086462 2.6334e-05 0 58000 0 0 0.0088876 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 16 0.068779 0 0 0.0095093 0.00049761 0.00018374 0.0086037 2.6003e-05 0 58000 0 0 0.008819 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 17 0.068779 0 0 0.0091503 0.00048411 0.00017977 0.0082543 2.5404e-05 0 58000 0 0 0.0088527 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 18 0.068779 0 0 0.0092183 0.00049306 0.00018603 0.0083196 2.5886e-05 0 58000 0 0 0.008644 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 19 0.068779 0 0 0.0092257 0.00050179 0.00018241 0.0083154 2.621e-05 0 58000 0 0 0.0086573 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 20 0.068779 0 0 0.0092647 0.00049472 0.00018259 0.0083557 2.621e-05 0 58000 0 0 0.00873 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 22 0.068779 0 0 0.0091226 0.00049618 0.00018047 0.0082259 2.6314e-05 0 58000 0 0 0.0086389 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 25 0.068779 0 0 0.009153 0.00048239 0.0001795 0.0082673 2.538e-05 0 58000 0 0 0.0088314 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 30 0.068779 0 0 0.0091759 0.00047486 0.00018013 0.0082923 2.539e-05 0 58000 0 0 0.0088176 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 35 0.068779 0 0 0.0089548 0.00047603 0.0001821 0.0080739 2.5332e-05 0 58000 0 0 0.0086484 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 40 0.068779 0 0 0.0091752 0.00049053 0.00017992 0.0082784 2.5349e-05 0 58000 0 0 0.0088256 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 50 0.068779 0 0 0.0090319 0.00048859 0.00018317 0.008128 2.5927e-05 0 58000 0 0 0.0091498 1000 0 0 0 0 0 0 0 0 0 0 
10 1 13 0.036 1 1 60 0.068779 0 0 0.0091278 0.00047999 0.00018368 0.0082402 2.5459e-05 0 58000 0 0 0.0088278 1000 0 0 0 0 0 0 0 0 0 0 
