k n_trees depth sparsity v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size val_recall val_var_recall val_query_time r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10
10 1 6 0.036 1 0.039418 0.2584 0.054584 0.27639 0.0006214 8.39e-05 0.010789 0.26467 906.25 0.2532 0.055325 0.27688 208 205 163 119 101 75 56 30 23 13 7 
10 1 7 0.036 1 0.0414076 0.1876 0.036202 0.14626 0.00063534 9.7514e-05 0.0098254 0.13546 453.13 0.1801 0.034969 0.14554 297 225 167 128 83 47 26 12 10 4 1 
10 1 8 0.036 1 0.0429282 0.1527 0.029923 0.082102 0.00068884 0.00011663 0.0092702 0.071781 226.57 0.1417 0.02876 0.080658 354 247 174 105 55 30 17 8 4 3 3 
10 1 9 0.036 1 0.0463451 0.1087 0.018213 0.049292 0.00077212 0.00013352 0.0091877 0.038947 113.28 0.1053 0.020522 0.047914 443 278 139 75 34 19 10 1 1 0 0 
10 1 10 0.036 1 0.0523226 0.0762 0.011725 0.031613 0.00073141 0.00014564 0.0094958 0.021001 56.64 0.083 0.015286 0.030739 541 277 108 45 16 9 3 1 0 0 0 
10 1 11 0.036 1 0.0545894 0.0629 0.0090627 0.022966 0.00070306 0.00015083 0.0099034 0.011967 28.328 0.0627 0.009288 0.021617 597 258 86 43 11 4 1 0 0 0 0 
10 1 12 0.036 1 0.053963 0.0423 0.0056464 0.017739 0.00081228 0.00017425 0.0095586 0.0068547 14.174 0.0435 0.006264 0.016459 696 216 66 14 7 1 0 0 0 0 0 
10 5 6 0.036 1 0.0574414 0.7551 0.043518 1.5025 0.0012873 0.00023415 0.021749 1.4788 4228.5 0.7373 0.045544 1.5074 1 6 12 31 42 81 110 142 174 201 200 
10 5 6 0.036 2 0.057441 0.3793 0.072354 0.12049 0.001521 0.00017972 0.019364 0.099102 273.52 0.3799 0.071497 0.119 95 128 153 152 116 96 78 68 43 39 32 
10 5 6 0.036 3 0.057441 0.143 0.038009 0.029098 0.0011771 0.00015965 0.016887 0.01051 25.747 0.1384 0.036942 0.027882 440 226 135 76 36 31 20 14 12 7 3 
