k n_trees depth sparsity v build_time recall var_recall query_time cs_size val_recall val_var_recall val_query_time
10 1 6 0.036 1 0.0134316 0.2694 0.045089 0.027929 156.39 0.2734 0.04794 0.025232
10 1 7 0.036 1 0.0155119 0.1729 0.026562 0.025242 78.266 0.1622 0.022774 0.02063
10 1 8 0.036 1 0.0173619 0.1254 0.021977 0.013935 39.068 0.1262 0.021095 0.011501
10 1 9 0.036 1 0.0165217 0.1212 0.016587 0.0073271 19.633 0.1117 0.01711 0.0058411
10 1 10 0.036 1 0.0193045 0.0746 0.0083432 0.0052336 9.831 0.077 0.0092002 0.0039645
10 1 11 0.036 1 0.0226332 0.0631 0.0061746 0.0042722 4.976 0.0582 0.006219 0.0031291
10 1 12 0.036 1 0.0287161 0.0313 0.0032536 0.0038333 2.684 0.0318 0.0032921 0.0028817
10 5 6 0.036 1 0.00639326 0.6864 0.04486 0.10238 707.64 0.6921 0.043451 0.099832
10 5 6 0.036 2 0.0063933 0.2971 0.036878 0.016536 67.096 0.2903 0.038014 0.015451
10 5 6 0.036 3 0.0063933 0.081 0.01109 0.0055341 7.031 0.0794 0.011767 0.0048316
10 5 6 0.036 4 0.0063933 0.0139 0.0016384 0.0037913 0.543 0.0116 0.0013668 0.0032406
10 5 6 0.036 5 0.0063933 0.0012 0.00011868 0.0031663 0.034 0.0007 6.958e-05 0.0028235
10 5 7 0.036 1 0.0134759 0.6377 0.049939 0.058767 356.26 0.6261 0.048397 0.052416
10 5 7 0.036 2 0.013476 0.285 0.037713 0.010019 30.944 0.2686 0.037792 0.0082197
10 5 7 0.036 3 0.013476 0.0867 0.011905 0.0041453 3.549 0.0787 0.011027 0.003361
10 5 7 0.036 4 0.013476 0.0117 0.0013745 0.0030052 0.337 0.0125 0.0015753 0.0025313
10 5 7 0.036 5 0.013476 0.0009 8.9279e-05 0.0026971 0.015 0.0006 5.97e-05 0.0023605
10 5 8 0.036 1 0.0194987 0.4966 0.053722 0.031206 181.22 0.4831 0.049554 0.028659
10 5 8 0.036 2 0.019499 0.1714 0.02833 0.0063462 13.065 0.1603 0.022076 0.0049722
10 5 8 0.036 3 0.019499 0.0437 0.0066069 0.0033776 1.362 0.0362 0.0046542 0.0026672
10 5 8 0.036 4 0.019499 0.0078 0.0010202 0.0024704 0.143 0.0062 0.00072228 0.0020207
10 5 8 0.036 5 0.019499 0.0005 4.98e-05 0.0024385 0.01 0.0001 1e-05 0.0021002
10 5 9 0.036 1 0.0271329 0.4276 0.047085 0.019115 94.081 0.4127 0.045054 0.017011
10 5 9 0.036 2 0.027133 0.1052 0.012766 0.0042276 4.095 0.0955 0.011441 0.0032811
