k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 5 8 0.036 10 1 1 4.24199 0.9673 0.011372 0.052854 0 0.0034883 0.005831 0.043296 221.77 10000 0.9705 0.01015 0.051933
10 5 8 0.036 10 1 2 4.242 0.9465 0.019707 0.036444 0 0.0031132 0.0076455 0.025328 124.14 10000 0.9516 0.016214 0.033363
10 5 8 0.036 10 1 3 4.242 0.925 0.028403 0.026883 0 0.0026566 0.0054505 0.018446 89.028 10000 0.9339 0.021262 0.024508
10 5 8 0.036 10 1 4 4.242 0.9032 0.036486 0.024512 0 0.0026086 0.006781 0.014778 69.784 10000 0.9156 0.027204 0.02421
10 5 8 0.036 10 1 5 4.242 0.8824 0.043694 0.0213 0 0.0023304 0.006253 0.012379 57.506 10000 0.8962 0.033679 0.034553
10 5 8 0.036 10 1 6 4.242 0.8641 0.050372 0.023589 0 0.0022607 0.0060197 0.014797 48.956 10000 0.8771 0.039465 0.020325
10 5 8 0.036 10 1 7 4.242 0.8432 0.057231 0.016922 0 0.0016552 0.0045631 0.010354 42.471 10000 0.8586 0.045752 0.015413
10 5 8 0.036 10 1 8 4.242 0.8242 0.063678 0.011447 0 0.0012727 0.0031558 0.0067649 37.507 10000 0.8423 0.050411 0.011037
10 5 8 0.036 10 1 9 4.242 0.8069 0.069292 0.010661 0 0.0012638 0.0030371 0.006107 33.482 10000 0.825 0.056291 0.010352
10 5 8 0.036 10 1 10 4.242 0.7895 0.074795 0.010188 0 0.0012522 0.0030041 0.0056788 30.184 10000 0.8072 0.062671 0.0098364
10 5 8 0.036 10 1 11 4.242 0.7716 0.081175 0.0096137 0 0.0012332 0.0029702 0.0051537 27.456 10000 0.7901 0.0684 0.009362
10 5 8 0.036 10 1 12 4.242 0.7558 0.087013 0.0092255 0 0.0012146 0.0029367 0.0048163 25.068 10000 0.7701 0.07447 0.0091313
10 5 8 0.036 10 1 13 4.242 0.7412 0.091734 0.008975 0 0.0012142 0.0029123 0.0045794 23.087 10000 0.7552 0.079452 0.0086798
10 5 8 0.036 10 1 14 4.242 0.7281 0.096036 0.0087539 0 0.0012432 0.0029187 0.0043247 21.392 10000 0.7408 0.083939 0.0083285
10 5 8 0.036 10 1 15 4.242 0.7123 0.10176 0.0083369 0 0.0011908 0.0028349 0.0040353 19.874 10000 0.7237 0.089658 0.0084068
10 5 8 0.036 10 1 16 4.242 0.6994 0.10559 0.008231 0 0.0011841 0.0028823 0.003877 18.604 10000 0.7084 0.094484 0.0078562
10 5 8 0.036 10 1 17 4.242 0.6878 0.10924 0.0084683 0 0.0012547 0.002953 0.0039488 17.464 10000 0.6916 0.099469 0.0076096
10 5 8 0.036 10 1 18 4.242 0.6744 0.1136 0.0078656 0 0.0011798 0.0028311 0.0035607 16.426 10000 0.6761 0.10438 0.0074456
10 5 8 0.036 10 1 19 4.242 0.6613 0.11689 0.0077139 0 0.0011915 0.0028045 0.0034163 15.499 10000 0.665 0.10726 0.007281
10 5 8 0.036 10 1 20 4.242 0.6469 0.11989 0.007413 0 0.0011531 0.0027394 0.0032251 14.634 10000 0.6518 0.11241 0.0073668
10 5 8 0.036 10 1 22 4.242 0.625 0.1252 0.007093 0 0.0011324 0.0026775 0.0029957 13.246 10000 0.6272 0.11834 0.0069876
10 5 8 0.036 10 1 25 4.242 0.5921 0.1332 0.0070641 0 0.0011425 0.0027712 0.0028523 11.572 10000 0.5882 0.12889 0.006442
10 5 8 0.036 10 1 30 4.242 0.5452 0.14462 0.0064077 0 0.001127 0.0025756 0.0024161 9.545 10000 0.5404 0.14055 0.0060369
10 5 8 0.036 10 1 35 4.242 0.5041 0.15094 0.0061982 0 0.0011321 0.0025923 0.0021905 8.112 10000 0.5008 0.14681 0.0059024
10 5 8 0.036 10 1 40 4.242 0.468 0.15303 0.0057363 0 0.001088 0.0024947 0.0018835 7.023 10000 0.4619 0.15167 0.0053471
10 5 8 0.036 10 1 50 4.242 0.4127 0.14758 0.0053918 0 0.0010852 0.0024782 0.0015759 5.519 10000 0.4011 0.14732 0.0049155
10 5 8 0.036 10 1 60 4.242 0.361 0.13393 0.0050146 0 0.0010999 0.0023932 0.0012807 4.449 10000 0.3521 0.13319 0.0046077
10 5 8 0.036 10 1 70 4.242 0.3162 0.11413 0.004707 0 0.0010569 0.0023009 0.0011217 3.67 10000 0.3061 0.11233 0.0043776
10 5 8 0.036 10 1 80 4.242 0.2699 0.093297 0.00464 0 0.0011085 0.0023237 0.00098757 2.986 10000 0.2642 0.094052 0.0041864
10 5 8 0.036 10 1 90 4.242 0.2254 0.07521 0.0043789 0 0.001069 0.0022083 0.0008565 2.399 10000 0.2225 0.075019 0.0041259
10 5 8 0.036 10 1 100 4.242 0.184 0.058523 0.0041939 0 0.00103 0.0021876 0.00076013 1.924 10000 0.1807 0.056134 0.0039628
10 5 8 0.036 10 1 125 4.242 0.0862 0.023933 0.0038611 0 0.0010339 0.0021306 0.00047203 0.871 10000 0.0821 0.022032 0.0036038
10 5 8 0.036 10 1 150 4.242 0.0203 0.005043 0.0036159 0 0.0010275 0.0021907 0.00018546 0.203 10000 0.0184 0.0039254 0.0031654
10 5 8 0.036 10 1 175 4.242 0.0014 0.00033838 0.0033024 0 0.00098963 0.0020846 4.2966e-05 0.014 10000 0.0003 2.994e-05 0.0030622
10 5 8 0.036 10 1 200 4.242 0 0 0.0034185 0 0.0010277 0.0021466 2.9685e-05 0 10000 0 0 0.0032058
