k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.0144351 0.3994 0.041601 0.0098926 0 0.00050855 0.0022287 0.0068703 29.826 10000 0.4036 0.040107 0.0084927
10 1 7 0.036 1 1 2 0.014435 0.2569 0.032104 0.0051024 0 0.00018559 0.0020357 0.0025477 9.412 10000 0.2596 0.031119 0.004682
10 1 7 0.036 1 1 3 0.014435 0.1988 0.025064 0.0042238 0 0.00017703 0.0018755 0.0018314 5.192 10000 0.1992 0.024664 0.003782
10 1 7 0.036 1 1 4 0.014435 0.1604 0.020673 0.0035629 0 0.00018693 0.001688 0.0013855 3.28 10000 0.159 0.019599 0.0032789
10 1 7 0.036 1 1 5 0.014435 0.1342 0.016687 0.0033336 0 0.00017747 0.0016772 0.0012027 2.432 10000 0.1344 0.015893 0.0030317
10 1 7 0.036 1 1 6 0.014435 0.1156 0.014151 0.0030126 0 0.00017263 0.0015738 0.0010123 1.892 10000 0.1156 0.01367 0.0027653
10 1 7 0.036 1 1 7 0.014435 0.1025 0.011776 0.0029699 0 0.00019909 0.0016041 0.00092637 1.527 10000 0.1021 0.011477 0.0028719
10 1 7 0.036 1 1 8 0.014435 0.0988 0.01117 0.0029264 0 0.00019098 0.0016106 0.00085567 1.4 10000 0.0966 0.010799 0.0027317
10 1 7 0.036 1 1 9 0.014435 0.0938 0.010432 0.0028238 0 0.00017932 0.0015758 0.00079808 1.283 10000 0.0915 0.010068 0.0025885
10 1 7 0.036 1 1 10 0.014435 0.0872 0.0094856 0.0028178 0 0.00017858 0.001564 0.00080334 1.167 10000 0.0861 0.0091059 0.0027263
10 1 7 0.036 1 1 11 0.014435 0.0837 0.0087531 0.0027437 0 0.00017956 0.0015393 0.0007442 1.073 10000 0.0829 0.008446 0.0025304
10 1 7 0.036 1 1 12 0.014435 0.0775 0.0078316 0.0027177 0 0.00017996 0.0015674 0.00070064 0.969 10000 0.0772 0.0076478 0.0025155
10 1 7 0.036 1 1 13 0.014435 0.0735 0.0071349 0.0025441 0 0.00017514 0.0014951 0.00064446 0.902 10000 0.0722 0.0069141 0.0024481
10 1 7 0.036 1 1 14 0.014435 0.0691 0.0063616 0.0026019 0 0.00017843 0.0015582 0.00061169 0.829 10000 0.0653 0.006072 0.0024582
10 1 7 0.036 1 1 15 0.014435 0.0654 0.0054683 0.0026012 0 0.00017842 0.0015567 0.000614 0.776 10000 0.0624 0.0053516 0.0024912
10 1 7 0.036 1 1 16 0.014435 0.064 0.0053093 0.0024951 0 0.00017836 0.0014876 0.00062182 0.752 10000 0.0601 0.0051231 0.0022936
10 1 7 0.036 1 1 17 0.014435 0.0624 0.0050713 0.0026459 0 0.0001829 0.0015941 0.00061046 0.728 10000 0.0593 0.0050986 0.0022711
10 1 7 0.036 1 1 18 0.014435 0.0574 0.0044697 0.002481 0 0.00018711 0.0014782 0.00060906 0.663 10000 0.0539 0.0043692 0.0022974
10 1 7 0.036 1 1 19 0.014435 0.0574 0.0044697 0.0025268 0 0.00018095 0.001517 0.00057353 0.663 10000 0.0539 0.0043692 0.0023059
10 1 7 0.036 1 1 20 0.014435 0.0551 0.004058 0.0025043 0 0.00017859 0.0015158 0.00056436 0.639 10000 0.0521 0.0040196 0.0023751
10 1 7 0.036 1 1 22 0.014435 0.0499 0.0034835 0.0024108 0 0.00017611 0.0014655 0.0005114 0.57 10000 0.0469 0.0034538 0.002345
10 1 7 0.036 1 1 25 0.014435 0.0456 0.0031037 0.0023178 0 0.00017431 0.0014447 0.00046568 0.507 10000 0.0426 0.0031284 0.0021395
10 1 7 0.036 1 1 30 0.014435 0.035 0.0024975 0.0022993 0 0.00018021 0.0014774 0.00039139 0.382 10000 0.0328 0.0025667 0.0021497
10 1 7 0.036 1 1 35 0.014435 0.0305 0.0021219 0.0020252 0 0.00017526 0.0013374 0.00032192 0.329 10000 0.0285 0.0020398 0.0020259
