k n_trees depth sparsity k_build b v build_time recall var_recall query_time projection_time traversal_time vote_time exact_time cs_size n_train val_recall val_var_recall val_query_time
10 1 7 0.036 1 1 1 0.0128817 0.3427 0.037544 0.010348 0.00065132 0.00010435 0.0021873 0.0071289 33.852 10000 0.3467 0.038027 0.0096323
10 1 7 0.036 1 1 2 0.012882 0.224 0.029353 0.0052078 0.00031295 7.9681e-05 0.0020016 0.002456 9.294 10000 0.2144 0.026779 0.0048873
10 1 7 0.036 1 1 3 0.012882 0.1733 0.024422 0.004291 0.00031217 8.8404e-05 0.0018654 0.0016776 4.782 10000 0.1647 0.022787 0.0039037
10 1 7 0.036 1 1 4 0.012882 0.1412 0.019662 0.0036956 0.00030963 7.6278e-05 0.0016448 0.001333 3.106 10000 0.1338 0.017495 0.0034398
10 1 7 0.036 1 1 5 0.012882 0.1197 0.016458 0.0035366 0.00031682 7.7238e-05 0.0016083 0.0011811 2.38 10000 0.1169 0.0156 0.0032118
10 1 7 0.036 1 1 6 0.012882 0.1084 0.014104 0.0031629 0.00030445 7.3584e-05 0.0015271 0.00096972 1.94 10000 0.1052 0.014087 0.003053
10 1 7 0.036 1 1 7 0.012882 0.0986 0.01229 0.0031902 0.00031342 8.0861e-05 0.0015452 0.00097313 1.697 10000 0.0951 0.012138 0.0029205
10 1 7 0.036 1 1 8 0.012882 0.0908 0.011407 0.003021 0.00031103 7.563e-05 0.001509 0.00083623 1.466 10000 0.0872 0.011267 0.0027595
10 1 7 0.036 1 1 9 0.012882 0.0836 0.010161 0.0031077 0.00032391 9.2157e-05 0.00158 0.00084716 1.271 10000 0.0812 0.010337 0.0028666
10 1 7 0.036 1 1 10 0.012882 0.0793 0.0091306 0.0029034 0.00031534 7.5143e-05 0.0015118 0.00073006 1.177 10000 0.0763 0.0092976 0.0026284
10 1 7 0.036 1 1 11 0.012882 0.0759 0.0086378 0.0029262 0.00031821 7.616e-05 0.0015417 0.00072285 1.101 10000 0.0706 0.0083039 0.0026137
10 1 7 0.036 1 1 12 0.012882 0.0734 0.0084609 0.0028807 0.00031452 7.6002e-05 0.0015391 0.00067726 1.038 10000 0.0676 0.0079782 0.0027049
10 1 7 0.036 1 1 13 0.012882 0.0697 0.0075194 0.0027823 0.00032363 7.4247e-05 0.001475 0.00063277 0.967 10000 0.0643 0.0072027 0.0026829
10 1 7 0.036 1 1 14 0.012882 0.0647 0.0066305 0.002682 0.00030522 7.295e-05 0.0014519 0.00058872 0.875 10000 0.0608 0.0065299 0.0024688
10 1 7 0.036 1 1 15 0.012882 0.0576 0.0059081 0.0026113 0.00030409 7.2383e-05 0.001431 0.00055033 0.778 10000 0.0542 0.0057281 0.0024133
10 1 7 0.036 1 1 16 0.012882 0.0562 0.0056672 0.0027605 0.0003417 7.5576e-05 0.0014978 0.00056809 0.757 10000 0.0524 0.0054197 0.002477
10 1 7 0.036 1 1 17 0.012882 0.0558 0.005592 0.0026059 0.00030851 7.2297e-05 0.0014146 0.00054921 0.746 10000 0.0516 0.0052827 0.0024087
10 1 7 0.036 1 1 18 0.012882 0.0525 0.0050788 0.0026861 0.00034064 7.5985e-05 0.0014671 0.00054085 0.703 10000 0.049 0.0047037 0.0025413
