k n_trees search_k build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 1 25 0.02941 0.7739 0.079288 0.10718 0.7764 0.078622 0.10632
10 1 50 0.02941 0.7739 0.079288 0.10599 0.7764 0.078622 0.10513
10 1 100 0.02941 0.7739 0.079288 0.10671 0.7764 0.078622 0.10599
10 1 200 0.02941 0.7739 0.079288 0.10738 0.7764 0.078622 0.10604
10 1 400 0.02941 0.7878 0.06898 0.11075 0.7835 0.073511 0.10806
10 1 1000 0.02941 0.9373 0.02164 0.23576 0.9451 0.017794 0.23575
10 1 2000 0.02941 0.9813 0.005646 0.44545 0.9844 0.0041808 0.44105
10 1 4000 0.02941 0.996 0.00088488 0.83395 0.9968 0.00067043 0.81816
10 1 10000 0.02941 1 0 1.4848 1 0 1.4894
10 1 20000 0.02941 1 0 1.5097 1 0 1.4903
10 1 40000 0.02941 1 0 1.4849 1 0 1.4945
10 1 100000 0.02941 1 0 1.4849 1 0 1.4907
10 1 200000 0.02941 1 0 1.4889 1 0 1.5084
10 1 400000 0.02941 1 0 1.5107 1 0 1.4884
10 5 25 0.0529455 0.8962 0.035481 0.11268 0.8934 0.038855 0.11436
10 5 50 0.052946 0.8962 0.035481 0.11285 0.8934 0.038855 0.1141
10 5 100 0.052946 0.8962 0.035481 0.11286 0.8934 0.038855 0.11416
10 5 200 0.052946 0.8962 0.035481 0.11289 0.8934 0.038855 0.11409
10 5 400 0.052946 0.9005 0.033203 0.11614 0.8978 0.036492 0.1168
10 5 1000 0.052946 0.9549 0.013049 0.19741 0.9488 0.016515 0.19669
10 5 2000 0.052946 0.9803 0.0046065 0.30325 0.9761 0.0064853 0.30316
10 5 4000 0.052946 0.9948 0.00079375 0.51049 0.9929 0.001401 0.50943
10 5 10000 0.052946 0.9992 0.0001395 1.2214 0.9994 7.972e-05 1.2175
10 5 20000 0.052946 0.9999 1e-05 1.9876 0.9999 1e-05 1.9835
10 5 40000 0.052946 1 0 2.8878 1 0 2.878
10 5 100000 0.052946 1 0 2.882 1 0 2.8776
10 5 200000 0.052946 1 0 2.8885 1 0 2.8787
10 5 400000 0.052946 1 0 2.8807 1 0 2.8759
10 10 25 0.0886974 0.9206 0.028304 0.12213 0.9188 0.029776 0.1222
10 10 50 0.088697 0.9206 0.028304 0.12142 0.9188 0.029776 0.12097
10 10 100 0.088697 0.9206 0.028304 0.12163 0.9188 0.029776 0.12096
10 10 200 0.088697 0.9206 0.028304 0.12135 0.9188 0.029776 0.12113
10 10 400 0.088697 0.9235 0.026204 0.1237 0.9218 0.028013 0.1228
10 10 1000 0.088697 0.9611 0.011408 0.19426 0.9614 0.012523 0.19441
10 10 2000 0.088697 0.9841 0.0036809 0.28108 0.9809 0.0053105 0.27738
10 10 4000 0.088697 0.9933 0.0015266 0.42273 0.992 0.0018979 0.42105
10 10 10000 0.088697 0.999 0.00011912 0.93745 0.9993 0.00012964 0.93427
10 10 20000 0.088697 0.9998 1.998e-05 1.7081 0.9998 1.998e-05 1.7068
10 10 40000 0.088697 0.9999 1e-05 2.7586 1 0 2.7665
10 10 100000 0.088697 1 0 4.3569 1 0 4.3602
10 10 200000 0.088697 1 0 4.3561 1 0 4.3644
10 10 400000 0.088697 1 0 4.3582 1 0 4.3666
10 25 25 0.19885 0.9434 0.019256 0.12427 0.943 0.020572 0.12448
10 25 50 0.19885 0.9434 0.019256 0.12461 0.943 0.020572 0.12411
10 25 100 0.19885 0.9434 0.019256 0.12454 0.943 0.020572 0.1241
10 25 200 0.19885 0.9434 0.019256 0.12454 0.943 0.020572 0.1241
10 25 400 0.19885 0.9441 0.018824 0.12546 0.9442 0.019766 0.12469
10 25 1000 0.19885 0.9759 0.0068761 0.19278 0.9729 0.0084641 0.19369
10 25 2000 0.19885 0.9895 0.0026424 0.27756 0.9861 0.0041009 0.27505
10 25 4000 0.19885 0.9946 0.0016525 0.39867 0.9942 0.0015679 0.39797
10 25 10000 0.19885 0.9988 0.00015872 0.73283 0.9985 0.00038814 0.73243
10 25 20000 0.19885 0.9997 4.996e-05 1.3528 0.9998 4e-05 1.3416
10 25 40000 0.19885 1 0 2.5065 1 0 2.5297
10 25 100000 0.19885 1 0 5.1318 1 0 5.1229
10 25 200000 0.19885 1 0 9.237 1 0 9.186
10 25 400000 0.19885 1 0 9.1483 1 0 9.1392
10 50 25 0.388482 0.9425 0.020464 0.1373 0.9437 0.01932 0.13663
10 50 50 0.38848 0.9425 0.020464 0.13586 0.9437 0.01932 0.1356
10 50 100 0.38848 0.9425 0.020464 0.13601 0.9437 0.01932 0.13566
10 50 200 0.38848 0.9425 0.020464 0.13595 0.9437 0.01932 0.13559
10 50 400 0.38848 0.9435 0.020018 0.13713 0.9444 0.019188 0.13681
10 50 1000 0.38848 0.9781 0.0060965 0.20818 0.9757 0.0071667 0.20629
10 50 2000 0.38848 0.9889 0.0031499 0.28384 0.9889 0.0028096 0.28305
10 50 4000 0.38848 0.9944 0.0014701 0.401 0.9942 0.0014478 0.40135
10 50 10000 0.38848 0.998 0.00061662 0.70684 0.999 0.00015916 0.71104
10 50 20000 0.38848 0.9997 4.996e-05 1.1668 0.9995 6.982e-05 1.1633
10 50 40000 0.38848 0.9999 1e-05 2.2025 0.9999 1e-05 2.2023
10 50 100000 0.38848 1 0 4.9582 1 0 4.9377
10 50 200000 0.38848 1 0 9.0479 1 0 9.0165
10 50 400000 0.38848 1 0 16.975 1 0 16.963
10 100 25 0.770963 0.954 0.01572 0.15173 0.9549 0.014551 0.15105
10 100 50 0.77096 0.954 0.01572 0.15477 0.9549 0.014551 0.15902
10 100 100 0.77096 0.954 0.01572 0.15967 0.9549 0.014551 0.15888
10 100 200 0.77096 0.954 0.01572 0.15902 0.9549 0.014551 0.16223
10 100 400 0.77096 0.9545 0.015415 0.16004 0.956 0.014218 0.15971
10 100 1000 0.77096 0.9799 0.0062322 0.22961 0.9817 0.0052203 0.22999
10 100 2000 0.77096 0.9911 0.0024933 0.30627 0.9905 0.0025223 0.29371
10 100 4000 0.77096 0.9957 0.0012528 0.40438 0.9965 0.00063839 0.40954
