k m efc search build_time recall var_recall query_time val_recall val_var_recall val_query_time
10 4 100 10 0.11133 0.7789 0.08531 0.019006 0.7979 0.069035 0.017782
10 4 100 20 0.11133 0.9285 0.026404 0.026631 0.9371 0.018572 0.026154
10 4 100 40 0.11133 0.9822 0.0052084 0.041976 0.9872 0.0019381 0.041628
10 4 100 60 0.11133 0.9912 0.0027853 0.057009 0.9941 0.00069589 0.05679
10 4 100 80 0.11133 0.9942 0.0019683 0.072949 0.9959 0.00049368 0.072309
10 4 100 100 0.11133 0.995 0.0018569 0.088814 0.9974 0.00025349 0.088172
10 4 100 120 0.11133 0.9964 0.00088793 0.10636 0.9978 0.00021538 0.10608
10 4 100 200 0.11133 0.9989 0.0001089 0.17584 0.9983 0.00016728 0.17739
10 4 100 400 0.11133 0.9992 7.9439e-05 0.43596 0.999 9.9099e-05 0.41919
10 4 100 600 0.11133 0.9993 6.958e-05 0.69863 0.999 9.9099e-05 0.73772
10 4 100 800 0.11133 0.9993 6.958e-05 1.1245 0.999 9.9099e-05 1.1466
10 4 100 1000 0.11133 0.9993 6.958e-05 1.6634 0.9992 7.9439e-05 1.59
10 4 100 1200 0.11133 0.9993 6.958e-05 2.0943 0.9992 7.9439e-05 2.3691
10 4 100 1500 0.11133 0.9993 6.958e-05 3.0528 0.9993 6.958e-05 3.1566
10 4 100 2000 0.11133 0.9993 6.958e-05 5.3501 0.9993 6.958e-05 5.2425
10 4 500 10 0.198773 0.7906 0.074346 0.019484 0.8015 0.063651 0.018529
10 4 500 20 0.19877 0.9376 0.018725 0.027773 0.9438 0.014316 0.027509
10 4 500 40 0.19877 0.9865 0.0035313 0.044438 0.9892 0.001685 0.04424
10 4 500 60 0.19877 0.9952 0.00077774 0.060836 0.9945 0.00088063 0.060191
10 4 500 80 0.19877 0.9971 0.00050209 0.077297 0.9973 0.00034305 0.077219
10 4 500 100 0.19877 0.9978 0.00031548 0.094331 0.9984 0.0001576 0.093883
10 4 500 120 0.19877 0.9987 0.00014846 0.11086 0.9988 0.00011868 0.10908
10 4 500 200 0.19877 0.9995 4.98e-05 0.19462 0.9994 5.97e-05 0.1942
10 4 500 400 0.19877 0.9998 1.998e-05 0.47503 0.9998 1.998e-05 0.41759
10 4 500 600 0.19877 1 0 0.76156 0.9998 1.998e-05 0.81952
10 4 500 800 0.19877 1 0 1.1892 0.9998 1.998e-05 1.1134
10 4 500 1000 0.19877 1 0 1.7039 0.9999 1e-05 1.5839
10 4 500 1200 0.19877 1 0 2.4018 0.9999 1e-05 2.2623
10 4 500 1500 0.19877 1 0 3.2588 1 0 3.1968
10 4 500 2000 0.19877 1 0 5.5853 1 0 5.1947
10 8 100 10 0.0961381 0.9118 0.022123 0.023991 0.9117 0.022335 0.022954
10 8 100 20 0.096138 0.9791 0.0062394 0.033786 0.9783 0.004924 0.033605
10 8 100 40 0.096138 0.9943 0.0016191 0.053268 0.9958 0.00070306 0.052819
10 8 100 60 0.096138 0.9974 0.00043367 0.071599 0.9986 0.00017822 0.071081
10 8 100 80 0.096138 0.9983 0.00032744 0.089048 0.9992 7.9439e-05 0.088441
10 8 100 100 0.096138 0.9989 0.00018898 0.10709 0.9997 2.994e-05 0.10665
10 8 100 120 0.096138 0.9994 7.972e-05 0.12648 1 0 0.12516
10 8 100 200 0.096138 0.9998 1.998e-05 0.20835 1 0 0.20664
10 8 100 400 0.096138 1 0 0.48711 1 0 0.46522
10 8 100 600 0.096138 1 0 0.80473 1 0 0.81112
10 8 100 800 0.096138 1 0 1.1921 1 0 1.3457
10 8 100 1000 0.096138 1 0 1.755 1 0 1.7969
10 8 100 1200 0.096138 1 0 2.4046 1 0 2.3595
10 8 100 1500 0.096138 1 0 3.306 1 0 3.4595
10 8 100 2000 0.096138 1 0 5.5491 1 0 5.7277
10 8 500 10 0.24806 0.9089 0.021152 0.02617 0.917 0.016327 0.025085
